index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
WPU311201                     ,WPU311201                     ,"PPI Commodity data for Services related to transportation activities-Operation of port waterfront terminals, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,109.4,117.0,122.2,126.1,129.5,132.8,135.8,141.2,143.6,146.9,148.5,150.902
WPU31120101                   ,WPU31120101                   ,"PPI Commodity data for Services related to transportation activities-Operation of port waterfront terminals, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,109.4,117.0,122.2,126.1,129.5,132.8,135.8,141.2,143.6,146.9,148.5,150.902
WPU3113                       ,WPU3113                       ,"PPI Commodity data for Services related to transportation activities-Marine cargo handling, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,103.0,103.6,105.8,107.8,108.8,110.8,113.4,117.0,119.9,122.2,124.8,127.172
WPU311301                     ,WPU311301                     ,"PPI Commodity data for Services related to transportation activities-Marine cargo handling, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,103.0,103.6,105.8,107.8,108.8,110.8,113.4,117.0,119.9,122.2,124.8,127.172
WPU31130101                   ,WPU31130101                   ,"PPI Commodity data for Services related to transportation activities-Marine cargo handling, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,103.0,103.6,105.8,107.8,108.8,110.8,113.4,117.0,119.9,122.2,124.8,127.172
WPU312                        ,WPU312                        ,"PPI Commodity data for Services related to transportation activities-Services related to air transportation, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,107.0,108.9,110.2,112.0,114.5,115.7,117.9,120.2,123.2,119.8,132.031
WPU3121                       ,WPU3121                       ,"PPI Commodity data for Services related to transportation activities-Other airport operations, excluding aircraft maintenance and repair, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,107.0,108.9,110.2,112.0,114.5,115.7,117.9,120.2,123.2,119.8,132.031
WPU312101                     ,WPU312101                     ,"PPI Commodity data for Services related to transportation activities-Other airport operations, excluding aircraft maintenance and repair, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,107.0,108.9,110.2,112.0,114.5,115.7,117.9,120.2,123.2,119.8,132.031
WPU31210101                   ,WPU31210101                   ,"PPI Commodity data for Services related to transportation activities-Other airport operations, excluding aircraft maintenance and repair, not seasonally adjusted",Index base: 2009.04 = 100,2009-M04,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,107.0,108.9,110.2,112.0,114.5,115.7,117.9,120.2,123.2,119.8,132.031
WPU313                        ,WPU313                        ,"PPI Commodity data for Services related to transportation activities-Other services related to transportation activities (partial), not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.8,105.0,106.8,108.2,106.3,105.1,106.0,108.5,109.8,107.3,135.811
WPU3131                       ,WPU3131                       ,"PPI Commodity data for Services related to transportation activities-Arrangement of freight and cargo, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,97.1,103.2,104.6,105.5,106.7,104.4,103.2,104.6,107.5,109.7,105.4,151.378
WPU313101                     ,WPU313101                     ,"PPI Commodity data for Services related to transportation activities-Arrangement of freight and cargo, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,97.1,103.2,104.6,105.5,106.7,104.4,103.2,104.6,107.5,109.7,105.4,151.378
WPU31310101                   ,WPU31310101                   ,"PPI Commodity data for Services related to transportation activities-Arrangement of freight and cargo, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,97.1,103.2,104.6,105.5,106.7,104.4,103.2,104.6,107.5,109.7,105.4,151.378
WPU3132                       ,WPU3132                       ,"PPI Commodity data for Services related to transportation activities-Freight forwarding, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,92.7,93.3,94.0,96.9,98.5,97.6,96.6,96.6,98.1,98.4,98.1,105.572
WPU313201                     ,WPU313201                     ,"PPI Commodity data for Services related to transportation activities-Freight forwarding, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,92.7,93.3,94.0,96.9,98.5,97.6,96.6,96.6,98.1,98.4,98.1,105.572
WPU31320101                   ,WPU31320101                   ,"PPI Commodity data for Services related to transportation activities-Freight forwarding, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,92.7,93.3,94.0,96.9,98.5,97.6,96.6,96.6,98.1,98.4,98.1,105.572
WPU32                         ,WPU32                         ,"PPI Commodity data for Warehousing, storage, and related services, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.1,100.1,98.0,97.1,97.4,98.6,99.9,103.4,107.1,106.9,107.0,113.011
WPU321                        ,WPU321                        ,"PPI Commodity data for Warehousing, storage, and related services, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.1,100.1,98.0,97.1,97.4,98.6,99.9,103.4,107.1,106.9,107.0,113.011
WPU3211                       ,WPU3211                       ,"PPI Commodity data for Warehousing, storage, and related services, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.1,100.1,98.0,97.1,97.4,98.6,99.9,103.4,107.1,106.9,107.0,113.011
WPU321101                     ,WPU321101                     ,"PPI Commodity data for Warehousing, storage, and related services, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.1,100.1,98.0,97.1,97.4,98.6,99.9,103.4,107.1,106.9,107.0,113.011
WPU32110101                   ,WPU32110101                   ,"PPI Commodity data for Warehousing, storage, and related services, not seasonally adjusted",Index base: 2008.12 = 100,2008-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.1,100.1,98.0,97.1,97.4,98.6,99.9,103.4,107.1,106.9,107.0,113.011
WPU33                         ,WPU33                         ,"PPI Commodity data for Publishing sales, excluding software, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,103.8,106.0,108.5,109.7,111.8,113.6,115.6,118.2,122.0,127.0,131.378
