UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,7,2013,25,4306139,2170329,2135810,1629867,1579585,314419,324655,32744,29951,132989,136919,6660,6278,53650,58422,1676671,1630611,335669,349567,49686,48208,154871,159916,12106,12033,1709614,1722820,1225123,1219637,292276,302209,17660,17627,128381,132274,4647,4647,41527,46426,1261190,1260161,308464,321758,28978,30471,146973,151920,8927,9250,460715,412990,404744,359948,22143,22446,15084,12324,4608,4645,2013,1631,12123,11996,415481,370450,27205,27809,20708,17737,7898,7996,3179,2783
C,7,2013,26,4237387,2133461,2103926,1613755,1561030,299662,313588,31766,28985,131042,137536,6589,6201,50647,56586,1657979,1610460,319578,337411,48255,47256,151548,159697,11670,11693,1679521,1694842,1214074,1204114,278482,291642,17018,16978,126436,133018,4554,4511,38957,44579,1247881,1242949,293438,310141,28022,29722,143888,151967,8599,8865,453940,409084,399681,356916,21180,21946,14748,12007,4606,4518,2035,1690,11690,12007,410098,367511,26140,27270,20233,17534,7660,7730,3071,2828
C,7,2013,27,4263109,2143924,2119185,1629458,1577659,292901,310085,31604,29079,133403,141927,6753,6316,49805,54119,1672849,1624637,311929,332459,48175,47003,153520,163146,11953,11761,1683639,1707829,1224045,1218089,271489,288171,16370,16776,128863,137493,4637,4721,38235,42579,1257223,1254939,285658,305490,27469,29437,145915,155537,8739,9068,460285,411356,405413,359570,21412,21914,15234,12303,4540,4434,2116,1595,11570,11540,415626,369698,26271,26969,20706,17566,7605,7609,3214,2693
C,7,2013,28,4306256,2159627,2146629,1646610,1598836,290637,310364,31345,29136,136016,148452,6716,6333,48303,53508,1688681,1645351,308707,331750,47820,47174,155542,169761,11777,11782,1695776,1730685,1237481,1234818,269473,288468,16224,16781,131509,144050,4553,4731,36536,41837,1269095,1271057,282625,304690,27105,29445,147992,162257,8501,9072,463851,415944,409129,364018,21164,21896,15121,12355,4507,4402,2163,1602,11767,11671,419586,374294,26082,27060,20715,17729,7550,7504,3276,2710
C,7,2013,29,4176884,2086959,2089925,1592210,1555265,275390,298806,30634,28428,135812,149646,6456,6159,46457,51621,1632516,1600018,292517,318882,46843,46226,154680,170460,11411,11588,1639438,1681731,1197493,1197538,255153,277859,15811,16231,131333,145432,4481,4522,35167,40149,1227829,1232226,267581,292939,26584,28702,147269,163092,8372,8831,447521,408194,394717,357727,20237,20947,14823,12197,4479,4214,1975,1637,11290,11472,404687,367792,24936,25943,20259,17524,7411,7368,3039,2757
C,7,2013,30,4250280,2120157,2130123,1621099,1585447,277796,304008,31222,28975,136478,153595,6515,6309,47047,51789,1661995,1630182,294999,324076,47702,47188,155476,174291,11559,11774,1664471,1712210,1218689,1219754,257528,281951,16000,16456,132017,149245,4534,4646,35703,40158,1249501,1254290,269949,296972,27094,29163,148058,166842,8506,8975,455686,417913,402410,365693,20268,22057,15222,12519,4461,4350,1981,1663,11344,11631,412494,375892,25050,27104,20608,18025,7418,7449,3053,2799
C,7,2013,31,4256153,2119697,2136456,1623233,1590473,276691,305455,30598,28354,136753,155307,6561,6240,45861,50627,1662982,1634108,293337,325270,47147,46472,155029,175201,11573,11607,1663898,1714484,1220693,1220262,256280,283668,15656,15830,132265,150835,4573,4534,34431,39355,1250301,1254031,268198,298570,26679,28589,147532,167721,8495,8816,455799,421972,402540,370211,20411,21787,14942,12524,4488,4472,1988,1706,11430,11272,412681,380077,25139,26700,20468,17883,7497,7480,3078,2791
C,7,2013,32,4215702,2097039,2118663,1610611,1579701,273935,304238,29831,28324,131049,150880,6360,5873,45253,49647,1649659,1622601,290372,323788,46283,46097,149054,170145,11314,11107,1648035,1700628,1213625,1212927,254138,282579,15151,15998,126523,146514,4407,4247,34191,38363,1242927,1245887,265967,297114,26207,28439,141696,162892,8304,8459,449004,418035,396986,366774,19797,21659,14680,12326,4526,4366,1953,1626,11062,11284,406732,376714,24405,26674,20076,17658,7358,7253,3010,2648
C,7,2013,33,4305589,2150959,2154630,1646494,1599959,287013,316321,30883,28702,134940,153884,6643,6183,44986,49581,1685364,1642675,303273,335762,47692,46711,152583,173116,11635,11500,1684104,1727365,1233985,1224650,266288,294306,15618,16173,130266,149476,4528,4543,33419,38217,1262625,1257339,277736,308706,26805,28856,144877,165729,8445,8788,466855,427265,412509,375309,20725,22015,15265,12529,4674,4408,2115,1640,11567,11364,422739,385336,25537,27056,20887,17855,7706,7387,3190,2712
C,7,2013,34,4040466,2009030,2031436,1540009,1509184,264958,296943,28399,26509,128392,147227,5865,5609,41407,45964,1575723,1548683,279839,314732,43855,43372,144615,165115,10471,10482,1583245,1631528,1163055,1158221,246234,276229,14689,14728,124222,143092,4048,4067,30997,35191,1189552,1188277,256786,289179,25016,26501,137835,158223,7659,7968,425785,399908,376954,350963,18724,20714,13710,11781,4170,4135,1817,1542,10410,10773,386171,360406,23053,25553,18839,16871,6780,6892,2812,2514
