Descriptions:,Unit:,Multiplier:,Currency:,Unique Identifier:,Series Name:
"Clay, lime, gypsum, and misc. nonmetallic mineral products  (NAICS = 3271,4,9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3271A4A9.S,IP.G3271A4A9.S
"Clay, lime, gypsum, and misc. nonmetallic mineral products  (NAICS = 3271,4,9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3271A4A9.N,IP.G3271A4A9.N
"Clay and misc. nonmetallic mineral products  (NAICS = 3271,9); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3271A9.S,IP.G3271A9.S
"Clay and misc. nonmetallic mineral products  (NAICS = 3271,9); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3271A9.N,IP.G3271A9.N
Clay product and refractory  (NAICS = 3271); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3271.S,IP.G3271.S
Clay product and refractory  (NAICS = 3271); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3271.N,IP.G3271.N
"Pottery, ceramics, and plumbing fixture  (NAICS = 32711); s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32711.S,IP.G32711.S
"Pottery, ceramics, and plumbing fixture  (NAICS = 32711); n.s.a. IP",Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32711.N,IP.G32711.N
Clay building material and refractories  (NAICS = 32712); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32712.S,IP.G32712.S
Clay building material and refractories  (NAICS = 32712); n.s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G32712.N,IP.G32712.N
Other nonmetallic mineral product  (NAICS = 3279); s.a. IP,Index:_2012_100,1,NA,G17/IP_DURABLE_GOODS_DETAIL/IP.G3279.S,IP.G3279.S
