index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
WDU13110414                   ,WDU13110414                   ,"PPI Commodity data for Nonmetallic mineral products-For automotive uses, not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1987-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,94.9,96.8,95.3,94.9,94.0,94.5,86.0,79.0,76.7,75.8,74.5,71.7,70.1,67.7,64.9,,,,,,,,
WDU13110415                   ,WDU13110415                   ,"PPI Commodity data for Nonmetallic mineral products-For other uses, n.e.c., not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1994-M07,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9,110.2,109.6,110.1,110.6,111.1,111.8,111.5,111.4,111.0,,,,,,,
WDU13110416                   ,WDU13110416                   ,"PPI Commodity data for Nonmetallic mineral products-Laminated glass for automotive uses, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.2,,,,,,,
WDU13110501                   ,WDU13110501                   ,"PPI Commodity data for Nonmetallic mineral products-.085 Inch through .107 inch, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1983-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13110502                   ,WDU13110502                   ,"PPI Commodity data for Nonmetallic mineral products-.108 Inch through .134 inch, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1982-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13110701                   ,WDU13110701                   ,"PPI Commodity data for Nonmetallic mineral products-Tempered glass, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,101.4,104.0,107.3,109.1,,,,,,,,,,,,,,,,,,,,,,,,
WDU13110702                   ,WDU13110702                   ,"PPI Commodity data for Nonmetallic mineral products-Other flat glass, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,107.8,110.8,116.0,,,,,,,,,,,,,,,,,,,,,,,,
WDU1311070321                 ,WDU1311070321                 ,"PPI Commodity data for Nonmetallic mineral products-Other glass products, made of purchased glass, not seasonally adjusted, discontinued",Index base: 2004.12 = 100,2004-M12,2011-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,104.0,105.2,105.9,106.6,104.7,
WDU13110711                   ,WDU13110711                   ,"PPI Commodity data for Nonmetallic mineral products-Tempered glass for automotive use, not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1987-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,99.6,101.6,102.1,102.4,101.6,99.7,95.2,93.1,93.2,92.8,92.0,90.9,84.7,85.9,84.5,,,,,,,,
WDU13110712                   ,WDU13110712                   ,"PPI Commodity data for Nonmetallic mineral products-Tempered glass for construction & architectural, not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1987-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,101.5,95.9,92.1,93.2,90.7,86.1,94.6,92.3,89.7,88.5,89.2,93.6,97.5,96.6,96.9,,,,,,,,
WDU13110713                   ,WDU13110713                   ,"PPI Commodity data for Nonmetallic mineral products-Tempered glass for other uses, not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1987-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,104.2,104.5,104.6,105.5,107.9,109.4,118.7,119.6,120.9,120.7,120.7,122.9,126.3,127.6,127.8,128.6,,,,,,,
WDU13110714                   ,WDU13110714                   ,"PPI Commodity data for Nonmetallic mineral products-Other flat glass products, n.e.c., not seasonally adjusted, discontinued",Index base: 1987.12 = 100,1987-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,103.0,103.5,105.4,107.6,110.6,116.1,119.8,122.1,122.6,124.9,126.3,134.0,140.7,141.2,141.2,,,,,,,,
WDU13110716                   ,WDU13110716                   ,"PPI Commodity data for Nonmetallic mineral products-Multiple-glazed, sealed insulating glass, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,
WDU13110717                   ,WDU13110717                   ,"PPI Commodity data for Nonmetallic mineral products-Tempered glass for automotive use, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,
WDU13110718                   ,WDU13110718                   ,"PPI Commodity data for Nonmetallic mineral products-Tempered glass for construction & architectural uses, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,,,,,,,
WDU13110719                   ,WDU13110719                   ,"PPI Commodity data for Nonmetallic mineral products-Other flat glass, not seasonally adjusted, discontinued",Index base: 2003.12 = 100,2003-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,
WDU13110721                   ,WDU13110721                   ,"PPI Commodity data for Nonmetallic mineral products-Specialty glass, not seasonally adjusted, discontinued",Index base: 2004.12 = 100,2004-M12,2011-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,104.0,105.2,105.9,106.6,104.7,
WDU13130112                   ,WDU13130112                   ,"PPI Commodity data for Nonmetallic mineral products-Other pressed and blown glassware, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.1,109.5,114.9,116.4,122.5,125.3,132.1,140.1,145.2,150.8,153.2,157.2,160.1,163.6,166.9,170.2,171.4,175.6,177.0,177.7,180.1,178.4,181.2,182.5,187.2,192.0,205.5,203.7
WDU13130113                   ,WDU13130113                   ,"PPI Commodity data for Nonmetallic mineral products-Machine-made pressed & blown table, kitchen & art glassware, not seasonally adjusted, discontinued",Index base: 2004.12 = 100,2004-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,103.3,103.4,103.1,102.1,102.2,103.7
WDU13130114                   ,WDU13130114                   ,"PPI Commodity data for Nonmetallic mineral products-All other machine-made pressed and blown glassware, not seasonally adjusted, discontinued",Index base: 2004.12 = 100,2004-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.9,101.0,102.8,106.4,107.0,111.4
WDU13130115                   ,WDU13130115                   ,"PPI Commodity data for Nonmetallic mineral products-Handmade pressed and blown glassware, made of purcha, not seasonally adjusted, discontinued",Index base: 2004.12 = 100,2004-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,97.2,99.1,,,107.2,110.0
WDU131302                     ,WDU131302                     ,"PPI Commodity data for Nonmetallic mineral products-Automotive rearview mirrors, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M10,1999-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,104.5,107.2,108.7,111.4,115.7,116.9,116.9,118.2,118.3,118.4,118.4,117.2,117.4,118.2,,,,,,,,,,,,,
WDU13130211                   ,WDU13130211                   ,"PPI Commodity data for Nonmetallic mineral products-Automotive rearview mirrors, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M10,1999-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,104.5,107.2,108.7,111.4,115.7,116.9,116.9,118.2,118.3,118.4,118.4,117.2,117.4,118.2,,,,,,,,,,,,,
WDU13210101                   ,WDU13210101                   ,"PPI Commodity data for Nonmetallic mineral products-Sand, construction, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2006-M06,,,,,,,,,,,,,,,,,,,,,,20.8,22.5,23.6,23.7,25.1,25.2,25.9,26.6,27.5,28.3,29.5,30.0,30.4,30.6,30.7,31.0,31.1,31.7,32.3,32.9,33.6,35.2,36.5,39.3,41.3,42.1,43.6,47.8,54.0,57.4,61.0,66.7,74.6,85.5,93.8,100.0,102.0,105.8,108.3,112.6,117.5,122.5,126.2,131.1,134.3,137.2,142.3,148.9,152.3,157.0,161.1,167.7,175.7,182.5,188.1,192.3,195.2,199.1,212.4,,,,,,
WDU13210111                   ,WDU13210111                   ,"PPI Commodity data for Nonmetallic mineral products-Gravel, construction, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2006-M06,,,,,,,,,,,,,,,,,,,,,,21.3,22.7,23.7,24.1,25.3,25.4,26.1,26.7,27.6,29.1,30.2,30.9,31.2,31.5,31.6,32.0,32.4,32.6,33.0,33.5,34.3,35.9,37.4,39.2,40.9,41.8,43.2,46.6,52.6,56.3,60.3,65.5,73.1,85.8,94.2,100.0,102.3,105.7,108.9,112.9,116.8,123.2,123.1,125.7,129.7,131.1,135.1,141.0,145.3,150.1,154.1,162.3,167.8,173.6,179.7,183.7,186.9,194.9,212.4,,,,,,
WDU13210113                   ,WDU13210113                   ,"PPI Commodity data for Nonmetallic mineral products-Construction sand and gravel (run of pit or bank), not seasonally adjusted, discontinued",Index base: 2006.06 = 100,2006-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.6,118.4,121.0,121.1,122.7
WDU13210115                   ,WDU13210115                   ,"PPI Commodity data for Nonmetallic mineral products-Other construction gravel, incl. asphaltic aggregate, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1982-M06,1989-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5,102.3,105.1,109.6,113.5,117.4,,,,,,,,,,,,,,,,,,,,,,,
WDU13210117                   ,WDU13210117                   ,"PPI Commodity data for Nonmetallic mineral products-Construction sand (washed, screened, or otherwise treated), not seasonally adjusted, discontinued",Index base: 2006.06 = 100,2006-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7,112.2,116.6,115.6,116.9
WDU13210119                   ,WDU13210119                   ,"PPI Commodity data for Nonmetallic mineral products-Construction gravel (washed, screened, or otherwise treated), not seasonally adjusted, discontinued",Index base: 2006.06 = 100,2006-M06,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.7,115.3,117.5,117.8,120.3
WDU13220131                   ,WDU13220131                   ,"PPI Commodity data for Nonmetallic mineral products-Portland cement, not seasonally adjusted, discontinued",Index base: 1982 = 100,1926-M13,1989-M06,15.1,14.4,14.0,13.5,13.6,11.3,11.2,13.3,14.1,14.0,13.9,13.4,13.6,13.8,13.7,13.9,14.2,14.2,14.5,15.0,15.7,17.5,19.7,20.2,20.7,22.3,22.3,23.4,24.2,25.1,26.7,28.1,28.8,29.1,29.7,29.6,29.6,29.1,29.0,29.0,29.1,29.6,30.3,31.2,32.9,36.8,39.0,40.6,47.9,57.2,62.9,67.6,74.3,83.8,91.9,97.5,100.0,100.3,104.3,106.4,104.6,102.7,102.8,,,,,,,,,,,,,,,,,,,,,,,
WDU13220151                   ,WDU13220151                   ,"PPI Commodity data for Nonmetallic mineral products-Other cements, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1986-M03,1989-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,93.5,95.8,,,,,,,,,,,,,,,,,,,,,,,
WDU133101                     ,WDU133101                     ,"PPI Commodity data for Nonmetallic mineral products-Building block, not seasonally adjusted, discontinued",Index base: 1967 = 100,1975-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.8,171.7,183.6,201.6,232.8,256.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13310101                   ,WDU13310101                   ,"PPI Commodity data for Nonmetallic mineral products-Heavyweight aggregate, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,77.0,81.0,82.7,83.3,88.5,88.5,90.5,92.6,92.4,95.4,96.6,94.6,93.5,95.1,95.1,93.3,92.9,93.9,96.0,99.1,100.0,104.2,106.3,113.4,118.4,122.8,134.7,147.6,161.8,168.1,178.6,191.0,220.2,241.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13310102                   ,WDU13310102                   ,"PPI Commodity data for Nonmetallic mineral products-Lightweight aggregate, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,79.2,80.9,80.9,82.6,85.6,85.7,87.5,88.4,87.5,90.0,93.1,93.6,94.2,96.8,96.2,95.5,95.5,96.6,98.2,98.7,100.0,104.2,109.1,113.3,118.0,124.3,135.7,153.8,168.5,174.3,187.0,208.5,241.0,267.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13311111                   ,WDU13311111                   ,"PPI Commodity data for Nonmetallic mineral products-Lightweight stretcher units: 8"" x 8"" x 16"", not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1987-M13,,,,,,,,,,,,,,,,,,,,,,27.6,28.1,28.1,28.7,29.8,29.8,30.4,30.8,30.4,31.3,32.4,32.6,32.8,33.7,33.5,33.2,33.2,33.6,34.2,34.3,34.8,36.3,38.0,39.4,41.0,43.2,47.2,53.5,58.6,60.6,65.1,72.5,83.9,93.0,98.0,,100.6,105.0,109.9,112.9,113.3,,,,,,,,,,,,,,,,,,,,,,,,
WDU13311112                   ,WDU13311112                   ,"PPI Commodity data for Nonmetallic mineral products-Lightweight stretcher, other sizes, n.e.c., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.2,105.1,113.6,119.5,122.8,,,,,,,,,,,,,,,,,,,,,,,,
WDU13311113                   ,WDU13311113                   ,"PPI Commodity data for Nonmetallic mineral products-Other lightweight units, any size, n.e.c., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,105.5,112.4,118.7,120.9,122.8,,,,,,,,,,,,,,,,,,,,,,,,
WDU13311121                   ,WDU13311121                   ,"PPI Commodity data for Nonmetallic mineral products-Medium weight units, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.3,105.8,112.0,120.3,126.7,,,,,,,,,,,,,,,,,,,,,,,,
WDU13311131                   ,WDU13311131                   ,"PPI Commodity data for Nonmetallic mineral products-Normal weight stretcher units: 8"" x 8"" x 16"", not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1987-M13,,,,,,,,,,,,,,,,,,,,,,30.6,32.2,32.8,33.1,35.1,35.1,35.9,36.8,36.7,37.9,38.4,37.6,37.1,37.8,37.8,37.0,36.9,37.3,38.1,39.4,39.7,41.4,42.2,45.0,47.0,48.8,53.5,58.6,64.3,66.7,70.9,75.9,87.4,95.7,99.7,100.0,102.4,106.4,109.8,112.6,115.2,,,,,,,,,,,,,,,,,,,,,,,,
WDU13311132                   ,WDU13311132                   ,"PPI Commodity data for Nonmetallic mineral products-Normal weight stretcher, other sizes, n.e.c., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.3,106.2,110.5,114.6,119.5,,,,,,,,,,,,,,,,,,,,,,,,
WDU13311133                   ,WDU13311133                   ,"PPI Commodity data for Nonmetallic mineral products-Other normal weight units, any size, n.e.c., not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1987-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,103.5,110.0,117.3,125.0,130.9,,,,,,,,,,,,,,,,,,,,,,,,
WDU13320101                   ,WDU13320101                   ,"PPI Commodity data for Nonmetallic mineral products-Storm sewer pipe, reinforced, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,21.6,23.6,25.1,26.4,29.3,29.4,30.5,31.1,32.3,33.8,34.9,35.8,37.3,37.6,37.6,37.7,36.1,34.8,34.7,35.1,36.9,37.0,37.5,38.3,41.5,42.8,43.8,53.0,62.5,62.4,64.7,75.0,84.3,94.2,97.6,100.0,101.0,103.0,105.1,106.0,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13320105                   ,WDU13320105                   ,"PPI Commodity data for Nonmetallic mineral products-Sanitary sewer pipe, reinforced, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,100.0,100.8,102.3,123.5,134.4,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13340101                   ,WDU13340101                   ,"PPI Commodity data for Nonmetallic mineral products-Burial vaults and boxes, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,100.0,101.6,103.2,108.2,112.2,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13340103                   ,WDU13340103                   ,"PPI Commodity data for Nonmetallic mineral products-Concrete septic tanks, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,112.4,113.7,113.5,113.5,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13340104                   ,WDU13340104                   ,"PPI Commodity data for Nonmetallic mineral products-Other precast concrete products, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,100.0,101.5,103.9,109.1,115.7,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13350101                   ,WDU13350101                   ,"PPI Commodity data for Nonmetallic mineral products-Prestressed single and double tees, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1984-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.2,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU13350102                   ,WDU13350102                   ,"PPI Commodity data for Nonmetallic mineral products-Prestressed concrete bridge beams, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8,116.6,,,,,,,,,,,,,,,,,,,,,,,,,
WDU1336                       ,WDU1336                       ,"PPI Commodity data for Nonmetallic mineral products-Dry mixed concrete materials, not seasonally adjusted, discontinued",Index base: 1982 = 100,1988-M03,1999-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,102.4,,,,,,,,119.3,121.1,124.1,,,,,,,,,,,,
WDU133601                     ,WDU133601                     ,"PPI Commodity data for Nonmetallic mineral products-Dry mixed concrete materials, not seasonally adjusted, discontinued",Index base: 1982 = 100,1996-M07,1999-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.3,121.1,124.1,,,,,,,,,,,,
