index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WDU01130403                   ,WDU01130403                   ,"PPI Commodity data for Farm products-Russet potatoes, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.4,166.6,157.9,166.4,149.1,109.5,130.3,135.3,94.3,131.0,175.5,84.4,78.3,98.3,129.3,115.5,191.4,132.2,117.8,187.0,,,
WDU01130404                   ,WDU01130404                   ,"PPI Commodity data for Farm products-Round red potatoes, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,118.9,147.3,124.8,117.6,107.9,122.9,112.9,129.4,123.2,156.0,108.6,101.3,128.6,152.7,129.3,185.9,167.3,169.1,219.7,,,
WDU01130441                   ,WDU01130441                   ,"PPI Commodity data for Farm products-Western, Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1961-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,24.6,25.1,34.3,41.7,26.5,27.6,28.1,35.6,36.1,,38.4,60.9,72.1,62.3,61.2,63.3,71.8,69.1,94.3,110.7,100.0,,,126.3,122.5,124.2,119.1,160.1,174.0,127.0,,,,,,,,,,,,,,,,,,,,,,,
WDU01130442                   ,WDU01130442                   ,"PPI Commodity data for Farm products-Midwestern, Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1961-M01,1991-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,30.0,24.7,40.9,48.7,31.3,32.1,32.2,34.7,36.0,,35.5,71.5,93.7,77.9,78.4,74.7,74.6,72.7,113.0,142.3,100.0,110.9,137.4,105.3,93.9,112.1,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU01130443                   ,WDU01130443                   ,"PPI Commodity data for Farm products-Eastern, New York, not seasonally adjusted, discontinued",Index base: 1982 = 100,1961-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,34.2,35.3,54.3,61.5,50.2,39.9,38.8,46.7,53.7,52.6,55.3,101.3,116.7,88.9,96.3,100.0,87.6,83.0,114.5,154.6,100.0,118.2,141.4,87.2,96.2,136.7,121.8,182.5,177.5,145.7,,,,,,,,,,,,,,,,,,,,,,,
WDU01130444                   ,WDU01130444                   ,"PPI Commodity data for Farm products-Western, New York, not seasonally adjusted, discontinued",Index base: 1982 = 100,1961-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,29.0,31.4,38.7,48.7,32.7,34.3,35.9,42.0,42.7,38.7,44.6,64.1,77.7,68.8,68.5,71.3,,74.3,99.9,116.8,100.0,108.3,,131.0,122.9,130.9,130.4,173.9,176.2,142.2,,,,,,,,,,,,,,,,,,,,,,,
WDU01130445                   ,WDU01130445                   ,"PPI Commodity data for Farm products-Western, Los Angeles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1961-M01,1991-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,23.5,23.8,33.6,41.9,25.5,28.2,27.3,33.0,33.5,28.2,37.2,57.4,69.6,66.0,58.5,61.5,76.1,68.6,97.6,125.6,100.0,103.6,128.1,93.7,103.2,,107.5,144.7,148.8,121.6,,,,,,,,,,,,,,,,,,,,,,,
WDU011305                     ,WDU011305                     ,"PPI Commodity data for Farm products-Irish potatoes for processing, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2011-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4,213.7,199.9,204.6,236.7,153.4,,114.4,,,65.4,36.6,,70.4,111.5,85.2,117.0,112.1,,,,,
WDU01130501                   ,WDU01130501                   ,"PPI Commodity data for Farm products-Irish potatoes for processing, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2011-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4,213.7,199.9,204.6,236.7,153.4,,114.4,,,65.4,36.6,,70.4,111.5,85.2,117.0,112.1,,,,,
WDU01230101                   ,WDU01230101                   ,"PPI Commodity data for Farm products-Long grain rice, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1991-M12,2004-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.5,,,,,,,84.1,,,49.7,,,,,,,,,,,,
