index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
WDUSOP2400                    ,WDUSOP2400                    ,"PPI Commodity data for Stage of processing-Processed fuels and lubricants, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,14.4,16.4,14.9,15.2,15.9,15.7,15.8,15.8,15.8,16.3,17.2,16.2,16.2,16.6,16.8,16.7,16.6,16.2,16.5,16.8,16.9,16.5,16.6,17.7,19.5,20.1,22.2,33.6,39.4,42.3,47.7,49.9,61.6,85.0,100.6,100.0,95.4,95.7,92.8,72.7,73.3,71.2,76.4,85.9,85.3,84.5,84.7,83.1,84.2,90.0,89.3,81.1,84.6,102.0,104.5,96.3,112.6,124.3,150.0,162.8,173.9,206.2,161.9,185.2,215.0,213.2,209.5,208.2,168.1
WDUSOP2410                    ,WDUSOP2410                    ,"PPI Commodity data for Stage of processing-Processed fuels and lubricants to manufacturing industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,17.3,19.3,17.6,17.9,18.7,18.5,18.5,18.5,18.5,19.1,20.1,19.1,19.1,19.7,19.9,19.9,19.8,19.4,19.6,19.9,20.1,19.8,20.0,21.5,23.6,24.5,26.4,35.5,41.9,44.8,51.0,53.7,64.3,85.5,100.2,100.0,96.2,97.1,93.8,75.1,75.9,73.3,78.3,87.3,88.4,87.5,88.1,86.1,87.1,92.4,92.0,85.8,87.9,100.9,105.7,98.7,116.0,125.1,148.6,158.1,172.6,199.4,165.7,184.8,213.2,212.0,204.3,207.2,176.6
WDUSOP2420                    ,WDUSOP2420                    ,"PPI Commodity data for Stage of processing-Processed fuels and lubricants to nonmanufacturing industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,12.5,14.5,13.2,13.6,14.1,13.9,14.2,14.1,14.2,14.6,15.6,14.5,14.3,14.6,14.8,14.7,14.5,14.1,14.4,14.7,14.8,14.2,14.4,15.2,16.6,16.9,19.4,32.7,38.0,41.1,46.2,48.1,60.4,84.7,101.0,100.0,94.9,94.6,92.0,71.2,71.7,69.9,75.3,85.0,83.4,82.6,82.6,81.1,82.3,88.4,87.6,78.1,82.5,102.3,103.5,94.8,110.5,123.8,150.9,165.7,175.0,209.6,160.9,185.8,216.2,214.2,211.9,209.1,165.6
WDUSOP2500                    ,WDUSOP2500                    ,"PPI Commodity data for Stage of processing-Containers, nonreturnable, for intermediate demand, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,23.4,24.4,24.5,25.2,29.6,28.0,28.0,28.5,28.9,31.0,32.4,33.2,33.0,33.4,33.2,33.6,33.2,32.9,33.5,34.5,35.0,35.9,37.2,39.0,40.8,42.7,45.2,53.3,60.0,63.1,65.9,71.0,79.4,89.1,96.7,100.0,100.4,105.9,109.0,110.3,114.5,120.1,125.4,127.7,128.1,127.7,126.4,129.7,148.8,141.1,136.0,140.8,142.5,151.6,153.1,152.1,153.7,159.3,167.1,175.0,180.3,191.8,195.8,201.2,205.4,206.9,215.0,218.9,219.0
WDUSOP2600                    ,WDUSOP2600                    ,"PPI Commodity data for Stage of processing-Supplies for intermediate demand, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,28.5,29.8,28.0,29.0,32.6,32.6,31.0,31.7,31.2,32.0,32.3,33.1,33.5,33.3,33.7,34.5,35.0,34.7,35.0,36.5,36.8,37.1,37.8,39.7,40.8,42.5,51.7,56.8,61.8,65.8,69.3,72.9,80.2,89.9,96.9,100.0,101.8,104.1,104.4,105.6,107.7,113.7,118.1,119.4,121.4,122.7,125.0,127.0,132.1,135.9,135.9,134.8,134.2,136.9,138.7,138.9,141.5,146.7,151.9,157.0,161.7,173.8,172.2,175.0,184.2,188.9,191.8,194.5,191.2
WDUSOP2610                    ,WDUSOP2610                    ,"PPI Commodity data for Stage of processing-Supplies to manufacturing industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,23.4,24.7,24.6,26.3,29.3,28.5,28.7,29.1,30.8,32.2,33.4,33.9,34.8,36.2,35.8,36.0,35.8,35.9,36.1,37.1,37.6,38.7,39.8,41.4,42.5,43.3,45.6,53.3,59.4,62.6,66.6,71.2,78.1,87.2,95.2,100.0,101.5,105.0,107.3,108.3,110.0,114.8,119.8,122.1,124.4,125.9,128.5,130.7,137.0,138.7,139.4,140.6,140.7,143.5,145.4,144.7,146.5,149.2,155.7,161.1,162.9,170.5,168.0,172.2,180.5,182.9,185.5,188.2,186.5
WDUSOP2620                    ,WDUSOP2620                    ,"PPI Commodity data for Stage of processing-Supplies to nonmanufacturing industries, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,31.8,33.1,30.4,31.0,35.1,35.5,32.8,33.7,31.8,32.3,32.1,32.8,33.1,32.1,32.9,33.8,34.6,34.1,34.5,36.2,36.3,36.4,36.9,38.9,39.9,42.0,54.7,58.4,62.9,67.3,70.7,73.8,81.2,91.1,97.8,100.0,102.0,103.7,103.0,104.2,106.6,113.2,117.2,118.0,119.9,121.1,123.2,125.1,129.5,134.4,134.1,132.2,131.4,134.1,135.8,136.3,139.0,144.9,149.7,154.7,160.1,173.2,171.4,174.0,183.3,188.3,191.2,193.8,190.4
WDUSOP2621                    ,WDUSOP2621                    ,"PPI Commodity data for Stage of processing-Supplies to nonmanufacturing, manufactured animal feeds, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,60.8,61.8,52.5,52.5,58.5,63.5,51.9,56.2,44.7,42.5,39.4,42.7,43.6,37.2,40.9,43.6,45.9,45.0,45.9,50.0,48.3,46.5,46.4,49.9,50.4,56.1,97.3,90.2,84.0,95.1,99.3,95.5,106.9,110.6,111.3,100.0,109.1,104.2,86.6,90.5,94.6,115.0,114.4,102.8,101.3,103.0,105.4,105.8,103.4,133.1,129.1,100.2,89.2,94.6,96.8,98.1,106.6,119.1,107.4,110.9,138.4,182.4,170.7,166.6,203.2,227.9,234.4,221.6,186.6
WDUSOP2622                    ,WDUSOP2622                    ,"PPI Commodity data for Stage of processing-Supplies to nonmanufacturing, other than animal feeds, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,26.5,27.9,26.7,27.5,31.3,30.7,30.1,30.1,30.7,31.9,32.6,32.8,32.8,33.2,32.9,33.2,33.2,32.9,33.0,33.8,34.5,35.4,36.0,37.6,38.9,39.8,42.7,50.5,58.9,62.0,65.2,69.7,76.3,87.5,95.4,100.0,101.0,103.7,105.3,106.2,108.3,112.7,117.5,120.2,122.5,123.7,125.8,127.9,133.2,134.6,134.8,136.2,136.5,138.8,140.5,140.9,143.1,148.4,154.9,160.1,163.2,173.4,173.0,176.2,183.3,186.7,189.4,193.3,192.4
WDUSOP2700                    ,WDUSOP2700                    ,"PPI Commodity data for Stage of processing-Intermediate materials less foods and feeds, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2015-M13,22.2,24.1,23.5,24.6,27.6,26.7,27.0,27.2,28.0,29.3,30.1,30.1,30.5,30.7,30.3,30.2,30.1,30.3,30.7,31.3,31.7,32.5,33.6,34.8,36.2,37.7,40.6,50.5,56.6,60.0,64.1,68.6,77.4,89.4,98.2,100.0,100.5,103.0,103.0,99.3,101.7,106.9,111.9,114.5,114.6,114.9,116.4,118.7,125.5,125.6,125.7,123.4,123.9,130.1,130.5,128.5,134.2,143.0,155.1,165.4,171.5,188.7,173.0,184.4,200.4,200.6,200.4,201.1,187.0
