index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDU15110135                   ,WDU15110135                   ,"PPI Commodity data for Miscellaneous products-Game, board, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M06,,,,,,,,,,,,,,,,,,,,,,28.7,29.1,31.8,35.3,40.1,38.1,38.0,38.0,38.0,41.8,39.7,42.0,40.6,40.6,39.9,41.5,41.5,41.5,41.5,41.5,47.1,47.7,47.7,,,,,,,,,72.0,75.6,83.0,89.9,100.0,100.9,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110143                   ,WDU15110143                   ,"PPI Commodity data for Miscellaneous products-Preschool toy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M12,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9,74.3,86.9,95.0,100.0,109.4,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110151                   ,WDU15110151                   ,"PPI Commodity data for Miscellaneous products-Plastic toy, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1977-M13,,,,,,,,,,,,,,,,,,,,,,96.7,96.7,96.7,99.9,101.8,96.8,96.8,95.9,94.6,94.6,94.6,103.5,103.5,103.5,103.3,99.7,99.7,99.4,99.7,98.5,100.0,103.6,104.7,106.6,109.1,111.3,113.4,132.4,148.4,148.9,153.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU151101522                  ,WDU151101522                  ,"PPI Commodity data for Miscellaneous products-Electronic toys and games, incl. home video games (excl disks), not seasonally adjusted, discontinued",Index base: 2007.12 = 100,2007-M12,2016-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8,104.7,106.3,108.6,,,
WDU15110161                   ,WDU15110161                   ,"PPI Commodity data for Miscellaneous products-Doll, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M13,,,,,,,,,,,,,,,,,,,,,,50.8,62.5,52.8,63.8,66.2,66.1,64.1,64.1,64.1,62.3,62.1,62.1,58.8,59.6,62.7,64.9,62.0,61.4,61.4,61.3,54.9,54.5,56.2,59.9,63.6,64.1,66.5,74.1,79.7,73.9,75.5,78.0,84.1,95.6,96.0,100.0,101.1,94.6,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110165                   ,WDU15110165                   ,"PPI Commodity data for Miscellaneous products-Stuffed toy, not seasonally adjusted, discontinued",Index base: 1982 = 100,1961-M01,1984-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,54.2,54.2,54.2,54.2,55.5,57.7,57.7,59.3,59.5,59.5,60.2,61.0,62.8,65.0,65.5,69.0,72.2,77.1,90.6,96.2,100.0,100.0,103.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110172                   ,WDU15110172                   ,"PPI Commodity data for Miscellaneous products-Stroller, not seasonally adjusted, discontinued",Index base: 1982 = 100,1961-M01,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,53.5,54.2,54.6,55.1,55.9,56.4,57.7,59.1,60.2,57.2,60.3,62.5,63.4,68.1,,70.3,74.0,,90.5,94.1,100.0,105.0,106.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110181                   ,WDU15110181                   ,"PPI Commodity data for Miscellaneous products-Velocipede, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1979-M02,,,,,,,,,,,,,,,,,,,,,,27.5,28.4,28.8,29.3,31.3,32.1,32.7,32.6,32.8,33.9,33.9,33.2,32.9,32.7,32.2,31.9,31.6,31.8,32.0,33.5,34.2,35.9,37.6,39.9,41.4,42.9,44.2,52.2,60.3,64.0,68.1,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15110191                   ,WDU15110191                   ,"PPI Commodity data for Miscellaneous products-Children's riding vehicles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M01,1985-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,57.6,63.7,68.1,71.8,80.5,91.3,97.5,100.0,,101.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120101                   ,WDU15120101                   ,"PPI Commodity data for Miscellaneous products-Fishing rod, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1978-M08,,,,,,,,,,,,,,,,,,,,,,65.1,65.1,63.8,61.2,69.6,69.6,69.6,66.4,59.5,59.8,57.6,47.9,41.9,41.9,42.0,42.2,42.5,42.9,43.5,46.1,48.6,46.9,49.4,53.0,54.0,54.5,55.5,63.3,71.3,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120111                   ,WDU15120111                   ,"PPI Commodity data for Miscellaneous products-Fishing reel, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1977-M13,,,,,,,,,,,,,,,,,,,,,,43.1,43.1,43.1,43.3,45.0,45.0,45.0,45.0,45.6,47.1,48.7,50.9,51.9,51.9,52.0,52.2,53.3,54.2,56.3,58.0,60.5,61.9,65.5,68.1,68.4,63.1,65.7,74.2,80.5,80.7,81.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120121                   ,WDU15120121                   ,"PPI Commodity data for Miscellaneous products-Golf ball, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1982-M05,,,,,,,,,,,,,,,,,,,,,,75.4,76.3,76.8,80.9,83.6,83.9,85.9,89.7,91.7,98.1,99.7,99.7,101.7,104.5,105.9,105.4,104.5,104.5,106.8,109.6,109.8,109.8,109.8,110.4,104.2,99.5,98.5,106.6,104.9,101.5,98.4,86.3,87.7,91.9,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120131                   ,WDU15120131                   ,"PPI Commodity data for Miscellaneous products-Golf club, iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1982-M05,,,,,,,,,,,,,,,,,,,,,,42.8,42.3,42.6,44.8,49.1,50.4,55.3,58.7,60.0,63.3,65.8,66.7,66.3,67.9,70.0,70.3,72.9,73.2,76.7,78.8,80.6,81.7,82.5,84.5,84.9,86.2,83.8,86.3,84.0,81.0,82.8,85.5,81.8,96.2,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120132                   ,WDU15120132                   ,"PPI Commodity data for Miscellaneous products-Golf club, wood, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1982-M05,,,,,,,,,,,,,,,,,,,,,,43.5,43.5,44.0,48.2,54.1,54.8,58.2,61.1,62.7,66.4,69.4,69.3,68.1,69.1,71.0,71.0,72.2,71.7,73.9,75.9,78.2,79.3,80.1,81.7,81.9,82.6,81.1,81.9,78.5,79.6,80.0,79.0,79.0,95.8,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120141                   ,WDU15120141                   ,"PPI Commodity data for Miscellaneous products-Baseball glove, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M12,,,,,,,,,,,,,,,,,,,,,,39.7,42.4,39.5,41.8,52.2,48.0,44.1,42.2,43.0,46.3,45.9,46.1,51.3,51.5,49.5,48.1,48.1,48.7,51.5,51.2,52.5,52.6,54.1,58.0,59.3,60.9,62.3,68.2,79.8,77.2,72.0,74.5,85.7,95.5,100.7,100.0,100.1,109.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120151                   ,WDU15120151                   ,"PPI Commodity data for Miscellaneous products-Football, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1982-M13,,,,,,,,,,,,,,,,,,,,,,27.5,28.2,28.6,31.9,34.4,32.8,32.9,34.3,35.2,36.9,38.5,39.4,40.2,41.9,41.9,42.3,43.8,44.5,44.7,46.5,47.6,48.7,49.2,50.5,50.7,51.3,52.5,56.3,,,65.5,67.5,72.7,86.7,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120161                   ,WDU15120161                   ,"PPI Commodity data for Miscellaneous products-Roller skates, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1977-M04,,,,,,,,,,,,,,,,,,,,,,27.7,27.7,26.8,28.0,31.0,31.5,32.5,33.1,33.7,34.5,36.0,36.9,37.6,37.9,37.9,37.9,38.1,38.2,39.3,39.6,40.8,41.8,43.0,43.9,45.3,47.1,49.3,55.6,65.7,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120171                   ,WDU15120171                   ,"PPI Commodity data for Miscellaneous products-Bowling ball, not seasonally adjusted, discontinued",Index base: 1982 = 100,1967-M01,1985-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,59.7,59.9,59.9,59.8,59.8,60.6,63.0,65.4,68.1,72.6,75.0,81.4,89.1,93.3,100.0,103.2,105.3,108.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120181                   ,WDU15120181                   ,"PPI Commodity data for Miscellaneous products-Bicycle, not seasonally adjusted, discontinued",Index base: 1982 = 100,1955-M01,1984-M12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.5,37.4,38.4,37.6,37.8,36.8,36.7,36.5,35.9,36.2,36.7,37.1,37.8,39.2,40.0,42.5,44.9,46.8,53.3,59.2,62.9,65.6,69.1,77.7,87.1,92.4,100.0,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15120191                   ,WDU15120191                   ,"PPI Commodity data for Miscellaneous products-Playground, gymnasium, and gymnastic equipment, not seasonally adjusted, discontinued",Index base: 1985.12 = 100,1985-M12,1998-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,103.9,104.8,108.7,110.9,113.3,116.2,115.7,117.4,118.6,117.8,119.1,119.7,,,,,,,,,,,,,,,,,,,,
WDU15130102                   ,WDU15130102                   ,"PPI Commodity data for Miscellaneous products-Pistols and revolvers, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2004-M13,,,,,,,,,,,,,,,,,,,,,,24.4,24.5,24.5,24.6,25.3,25.3,25.8,26.1,26.1,26.4,27.0,27.8,28.0,28.6,29.4,29.5,29.2,28.2,28.3,29.4,31.0,36.6,39.7,,,40.5,41.3,44.8,49.5,52.8,57.1,62.5,67.1,80.0,92.4,100.0,102.3,111.7,112.8,116.4,121.9,130.4,135.4,138.4,142.2,142.6,143.9,145.4,148.0,149.1,151.1,156.2,160.4,168.7,176.3,179.2,183.0,188.7,,,,,,,,,,,,,,
WDU15130106                   ,WDU15130106                   ,"PPI Commodity data for Miscellaneous products-Rifle, repeating, center fire, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1981-M13,,,,,,,,,,,,,,,,,,,,,,26.7,27.9,28.7,29.5,31.9,30.8,30.8,30.8,30.8,32.2,33.8,33.8,33.7,34.3,35.2,35.4,35.6,36.5,37.9,38.2,39.0,39.9,40.1,42.5,44.1,45.1,45.7,50.2,55.1,58.6,62.7,71.7,71.9,82.9,96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15130107                   ,WDU15130107                   ,"PPI Commodity data for Miscellaneous products-Rifle, repeating, rim fire, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1981-M13,,,,,,,,,,,,,,,,,,,,,,24.4,25.2,26.9,28.0,32.3,30.6,30.6,30.6,30.6,34.7,37.1,38.8,39.0,39.8,40.6,40.9,41.4,42.2,42.5,44.9,45.7,46.1,46.5,48.5,50.9,51.4,52.4,57.0,62.7,66.9,68.3,70.3,75.7,85.6,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15130108                   ,WDU15130108                   ,"PPI Commodity data for Miscellaneous products-Rifle, single shot, rim fire, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1981-M13,,,,,,,,,,,,,,,,,,,,,,15.0,17.8,18.5,19.1,21.4,20.7,20.7,20.7,20.7,22.4,24.0,24.0,24.1,25.4,26.2,27.5,28.2,29.3,30.0,31.6,33.1,33.8,33.8,,,,,,,,58.4,65.5,77.1,88.6,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15130111                   ,WDU15130111                   ,"PPI Commodity data for Miscellaneous products-Shotguns, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2004-M13,,,,,,,,,,,,,,,,,,,,,,27.8,29.4,30.3,31.2,34.5,32.3,32.3,32.3,32.3,34.3,36.0,36.2,36.3,37.1,37.7,38.1,38.2,39.4,40.0,40.9,41.5,42.3,43.9,45.8,48.7,49.5,50.5,54.3,61.0,64.8,69.6,76.0,81.5,92.3,103.3,,,,,136.2,141.6,148.0,157.1,162.2,166.2,167.2,170.9,176.9,179.5,182.0,184.2,188.0,197.5,205.9,203.9,206.1,209.0,210.7,,,,,,,,,,,,,,
WDU15130113                   ,WDU15130113                   ,"PPI Commodity data for Miscellaneous products-Rifles, centerfire, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M08,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8,110.4,115.6,120.5,126.8,131.7,132.6,135.9,139.7,143.4,145.9,148.3,153.5,158.6,164.1,167.7,173.0,176.6,181.2,,,,,,,,,,,,,,
WDU15130115                   ,WDU15130115                   ,"PPI Commodity data for Miscellaneous products-Other small arms, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,106.6,110.2,116.3,115.3,116.1,117.1,118.2,121.4,126.2,121.3,122.4,123.7,125.4,128.3,138.2,138.0,138.2,148.8,,,,,,,,,,,,,,
WDU15130119                   ,WDU15130119                   ,"PPI Commodity data for Miscellaneous products-Parts and attachments for small arms, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1,107.5,110.8,118.1,121.7,128.0,133.3,139.2,149.5,144.3,144.5,143.9,144.8,146.4,149.8,151.7,154.4,154.8,159.4,,,,,,,,,,,,,,
WDU15130121                   ,WDU15130121                   ,"PPI Commodity data for Miscellaneous products-Small arms shipped to U.S. military, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1986-M03,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,108.5,114.2,,,,,158.9,155.0,166.4,171.1,171.7,167.2,167.5,172.5,173.6,173.3,176.1,179.7,,,,,,,,,,,,,,
WDU15130125                   ,WDU15130125                   ,"PPI Commodity data for Miscellaneous products-Small arms, not seasonally adjusted, discontinued",Index base: 2004.12 = 100,2004-M12,2011-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,102.7,105.9,109.0,111.0,111.0,111.0,,,,,,,
WDU15130126                   ,WDU15130126                   ,"PPI Commodity data for Miscellaneous products-Other small arms, 30mm & under or 1.18 in & under, not seasonally adjusted, discontinued",Index base: 2011.12 = 100,2011-M12,2013-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,
WDU15130222                   ,WDU15130222                   ,"PPI Commodity data for Miscellaneous products-Revolver cartridge, 38 special, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1985-M06,,,,,,,,,,,,,,,,,,,,,,17.8,19.9,21.3,22.2,26.6,25.7,25.5,25.5,27.2,29.8,31.9,31.9,31.5,31.5,32.9,32.9,32.9,33.2,35.0,35.0,34.9,35.8,36.7,,,43.5,44.9,49.9,56.8,59.8,64.1,69.2,76.0,83.3,92.7,100.0,109.4,115.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15130223                   ,WDU15130223                   ,"PPI Commodity data for Miscellaneous products-Pistol and revolver cartridges, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M08,2002-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,109.1,112.6,114.3,114.9,116.9,119.0,120.3,127.7,133.6,129.4,129.8,130.8,134.1,138.9,135.8,,,,,,,,,,,,,,,,,
WDU15130231                   ,WDU15130231                   ,"PPI Commodity data for Miscellaneous products-Rifle cartridges, centerfire, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2002-M05,,,,,,,,,,,,,,,,,,,,,,21.1,23.3,25.0,25.8,29.9,28.9,28.7,28.7,30.5,33.3,35.3,35.3,34.9,34.9,36.4,36.4,36.4,36.5,38.5,38.5,38.4,39.5,40.5,,,48.1,48.9,52.0,58.2,61.4,65.8,71.3,77.7,85.2,94.4,100.0,114.2,120.5,,,,,,,,,145.7,149.2,152.6,,,,152.2,152.1,151.4,,,,,,,,,,,,,,,,,
WDU15130232                   ,WDU15130232                   ,"PPI Commodity data for Miscellaneous products-Rifle cartridges, rimfire, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1996-M08,,,,,,,,,,,,,,,,,,,,,,23.6,25.8,26.7,27.2,31.7,30.5,30.3,30.3,31.8,33.9,35.3,35.3,35.0,35.0,35.9,35.9,36.0,36.2,38.4,38.5,38.5,40.8,42.2,45.7,46.2,47.1,47.7,50.7,56.3,58.5,63.5,67.9,75.9,85.2,93.9,100.0,108.5,114.3,,,,,,,,,104.6,105.1,103.3,,,,,,,,,,,,,,,,,,,,,,,
WDU15130241                   ,WDU15130241                   ,"PPI Commodity data for Miscellaneous products-Shot gun shells, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2002-M05,,,,,,,,,,,,,,,,,,,,,,23.5,27.3,29.8,31.0,36.4,35.2,35.0,35.0,36.8,38.8,38.8,38.8,37.6,37.4,39.9,39.9,40.1,40.4,41.8,41.8,41.8,43.5,44.8,49.3,49.9,50.8,51.6,56.3,63.2,65.3,71.6,77.0,86.3,94.8,100.7,100.0,106.0,111.7,,,,,,,,,151.4,145.7,150.9,,,,151.4,146.9,149.1,,,,,,,,,,,,,,,,,
WDU15130301                   ,WDU15130301                   ,"PPI Commodity data for Miscellaneous products-Small arms ammunition primers, not seasonally adjusted, discontinued",Index base: 1985.06 = 100,1985-M06,2013-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,94.2,97.9,106.5,109.9,113.8,114.5,123.7,124.3,125.9,132.5,136.6,138.5,139.5,140.1,141.0,140.1,140.6,145.2,152.9,169.6,191.9,209.2,208.6,214.8,227.3,222.1,,,,,,
WDU15210101                   ,WDU15210101                   ,"PPI Commodity data for Miscellaneous products-Nonfilter tip, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1989-M06,,,,,,,,,,,,,,,,,,,,,,17.5,18.3,19.5,20.0,20.6,20.6,22.4,22.8,22.8,22.8,23.8,24.8,24.8,24.8,24.8,24.8,26.1,26.8,26.8,27.7,28.8,29.5,31.6,33.7,34.4,35.0,36.2,39.7,44.7,49.1,54.2,59.7,,,,,,143.3,156.8,171.0,189.8,215.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU15210102                   ,WDU15210102                   ,"PPI Commodity data for Miscellaneous products-Filter tip, king size, not seasonally adjusted, discontinued",Index base: 1982 = 100,1959-M01,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,28.2,28.2,28.2,28.2,28.2,28.3,29.2,30.2,30.8,32.0,34.1,34.8,34.8,36.4,39.9,45.0,49.2,54.8,60.6,66.5,75.2,82.6,100.0,109.4,120.0,129.4,141.2,156.2,177.3,205.3,235.6,268.1,299.5,282.8,239.6,246.1,252.9,268.0,311.3,425.7,450.7,502.5,520.4,477.6,481.6,,,,,,,,,,,,,,
WDU15210103                   ,WDU15210103                   ,"PPI Commodity data for Miscellaneous products-Filter tip, super king and long size, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2004-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6,102.5,110.8,121.6,133.9,151.0,173.3,200.2,233.1,258.1,234.3,194.5,199.4,206.5,219.6,256.4,350.4,371.8,418.4,434.7,397.1,395.3,,,,,,,,,,,,,,
WDU15210104                   ,WDU15210104                   ,"PPI Commodity data for Miscellaneous products-Filter tip, 80mm long or less, not seasonally adjusted, discontinued",Index base: 1991.12 = 100,1995-M03,1996-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8,,,,,,,,,,,,,,,,,,,,,,,
