index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WDU442301                     ,WDU442301                     ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck trailer, utility trailer, and RV rental and leasing, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,78.0,89.8,90.1,95.4,106.0,,,,
WDU44230101                   ,WDU44230101                   ,"PPI Commodity data for Rental and leasing of goods (partial)-Truck trailer, utility trailer, and RV rental and leasing, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2015-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,78.0,89.8,90.1,95.4,106.0,,,,
WDU4424                       ,WDU4424                       ,"PPI Commodity data for Rental and leasing of goods (partial)-Rental and leasing of RVs and cargo and utility trailers, not seasonally adjusted, discontinued",Index base: 2015.09 = 100,2015-M09,2017-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,
WDU442401                     ,WDU442401                     ,"PPI Commodity data for Rental and leasing of goods (partial)-Rental and leasing of RVs and cargo and utility trailers, not seasonally adjusted, discontinued",Index base: 2015.09 = 100,2015-M09,2017-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,
WDU44240101                   ,WDU44240101                   ,"PPI Commodity data for Rental and leasing of goods (partial)-Rental and leasing of RVs and cargo and utility trailers, not seasonally adjusted, discontinued",Index base: 2015.09 = 100,2015-M09,2017-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,
WDU51110101                   ,WDU51110101                   ,"PPI Commodity data for Health care services-Physician care, not seasonally adjusted, discontinued",Index base: 2009.03 = 100,2009-M03,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9,104.9,106.1,106.3,,,,,
WDU511102022                  ,WDU511102022                  ,"PPI Commodity data for Health care services-Private insurance patients: diagnostic imaging center care, not seasonally adjusted, discontinued",Index base: 2014.06 = 100,2014-M06,2017-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,103.3,,
WDU511102023                  ,WDU511102023                  ,"PPI Commodity data for Health care services-All other patients: diagnostic imaging center care, not seasonally adjusted, discontinued",Index base: 2014.06 = 100,2014-M06,2017-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,
WDU51110501                   ,WDU51110501                   ,"PPI Commodity data for Health care services-Dental care, not seasonally adjusted, discontinued",Index base: 2010.06 = 100,2010-M06,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,103.8,105.7,,,,,
WDU52                         ,WDU52                         ,"PPI Commodity data for Educational services (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU521                        ,WDU521                        ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU5211                       ,WDU5211                       ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU521101                     ,WDU521101                     ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU52110101                   ,WDU52110101                   ,"PPI Commodity data for Educational services (partial)-Computer training school services, not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2017-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,100.0,100.8,101.1,102.1,102.1,103.2,105.2,,
WDU564                        ,WDU564                        ,"PPI Commodity data for Entertainment services (partial)-Amusement machine receipts (partial), not seasonally adjusted, discontinued",Index base: 2008.12 = 100,2008-M12,2016-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.6,83.1,83.1,83.1,87.6,87.2,85.7,,,
