index,Index,Label,unit,start,last,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
WDU05120213                   ,WDU05120213                   ,"PPI Commodity data for Fuels and related products and power-Metallurgical, low volatile, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1981-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,11.9,11.8,11.8,11.8,11.6,11.5,11.6,12.2,12.5,13.0,13.9,18.8,23.1,25.7,28.6,55.5,80.0,80.7,84.8,88.1,88.5,88.4,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120215                   ,WDU05120215                   ,"PPI Commodity data for Fuels and related products and power-All other industrial users, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1983-M06,2000-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,101.0,96.6,92.9,88.9,89.3,93.8,94.9,93.2,92.2,90.7,84.7,84.9,91.6,91.5,91.5,,,,,,,,,,,
WDU051203                     ,WDU051203                     ,"PPI Commodity data for Fuels and related products and power-Contract sales of prepared bituminous coal, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M06,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,79.2,84.6,88.3,93.3,100.0,100.3,101.9,102.3,100.5,98.0,96.7,96.4,98.5,98.5,97.1,96.2,95.2,93.9,94.5,93.4,91.2,90.3,86.9,86.9,,,,,,,,,
WDU05120301                   ,WDU05120301                   ,"PPI Commodity data for Fuels and related products and power-Steam electric utilities, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M06,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,70.3,78.6,85.8,92.4,100.0,101.7,104.9,105.4,103.8,101.8,100.5,100.1,102.3,101.9,100.7,99.8,99.8,98.2,99.1,98.6,96.2,95.2,91.0,90.4,,,,,,,,,
WDU05120302                   ,WDU05120302                   ,"PPI Commodity data for Fuels and related products and power-Manufacturing, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,85.9,90.0,92.0,96.0,100.0,98.5,99.3,100.3,98.0,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120303                   ,WDU05120303                   ,"PPI Commodity data for Fuels and related products and power-Metallurgical/coke producers, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M06,1996-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,98.4,97.8,93.0,96.0,100.0,96.9,92.4,,,82.6,80.8,83.0,86.1,87.4,86.1,85.1,80.0,81.2,,,,,,,,,,,,,,,
WDU05120304                   ,WDU05120304                   ,"PPI Commodity data for Fuels and related products and power-Metallurgical, low volatile, not seasonally adjusted, discontinued",Index base: 1982 = 100,1982-M01,1985-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,91.8,80.6,75.6,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120306                   ,WDU05120306                   ,"PPI Commodity data for Fuels and related products and power-All other industrial users, not seasonally adjusted, discontinued",Index base: 1982 = 100,1976-M06,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,85.9,90.0,92.0,96.0,100.0,98.5,99.3,100.3,97.9,95.5,94.8,92.9,94.1,95.1,93.0,92.2,87.5,86.6,84.7,79.9,79.5,80.7,80.1,85.7,,,,,,,,,
WDU05120321                   ,WDU05120321                   ,"PPI Commodity data for Fuels and related products and power-Export, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1982-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2,82.3,85.0,82.5,,,,,,,,,,,,,,,,,,,,,,,,
WDU051204                     ,WDU051204                     ,"PPI Commodity data for Fuels and related products and power-Unprepared bituminous coal and lignite, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,105.7,105.4,105.2,,,,,,,,,,,,,,,,,,,,,,,,
WDU05120402                   ,WDU05120402                   ,"PPI Commodity data for Fuels and related products and power-Unprepared bituminous coal and lignite, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,105.7,105.4,105.2,,,,,,,,,,,,,,,,,,,,,,,,
WDU051205                     ,WDU051205                     ,"PPI Commodity data for Fuels and related products and power-Prepared bituminous coal, resid./comm. use, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6,77.4,87.8,89.7,,,,93.0,90.9,91.7,90.9,91.2,91.4,92.0,93.7,,,,,,,,,
WDU05120501                   ,WDU05120501                   ,"PPI Commodity data for Fuels and related products and power-Prepared bituminous coal, residential/commercial use, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1994-M01,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,90.9,91.7,90.9,91.2,91.4,92.0,93.7,,,,,,,,,
WDU051206                     ,WDU051206                     ,"PPI Commodity data for Fuels and related products and power-Prepared bituminous coal for export, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1988-M03,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1,88.0,88.6,90.5,80.6,73.6,75.0,82.8,89.4,88.9,86.4,78.4,73.9,77.4,,,,,,,,,
WDU05120601                   ,WDU05120601                   ,"PPI Commodity data for Fuels and related products and power-Prepared bituminous coal for export, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6,73.6,75.0,82.8,89.4,88.9,86.4,78.4,73.9,77.4,,,,,,,,,
WDU051207                     ,WDU051207                     ,"PPI Commodity data for Fuels and related products and power-Prepared bituminous coal, intracomp. trans., not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6,94.6,97.3,97.6,96.7,94.2,105.2,108.7,104.2,100.2,107.8,104.0,97.1,94.7,112.6,,,,,,,,,
WDU05120701                   ,WDU05120701                   ,"PPI Commodity data for Fuels and related products and power-Prepared bituminuos coal, intracompany transfers, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1991-M07,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,105.2,108.7,104.2,100.2,107.8,104.0,97.1,94.7,112.6,,,,,,,,,
WDU05120801                   ,WDU05120801                   ,"PPI Commodity data for Fuels and related products and power-Unprepared bituminous coal and Lignite, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M12,2008-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,105.7,105.4,105.3,,,,,,99.4,99.4,97.5,93.9,93.9,94.1,87.2,86.2,85.6,87.2,87.2,89.2,100.6,111.8,117.0,125.4,,,
WDU05120901                   ,WDU05120901                   ,"PPI Commodity data for Fuels and related products and power-Mechanically cleaned bituminous coal and lignite, not seasonally adjusted, discontinued",Index base: 2001.12 = 100,2001-M12,2008-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,101.3,111.7,132.0,141.4,141.8,,,
WDU05120902                   ,WDU05120902                   ,"PPI Commodity data for Fuels and related products and power-Bituminous coal and Lignite, other preparation, not seasonally adjusted, discontinued",Index base: 2001.12 = 100,2001-M12,2008-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,103.6,112.5,118.7,129.6,135.3,,,
WDU052                        ,WDU052                        ,"PPI Commodity data for Fuels and related products and power-Coke oven products, not seasonally adjusted, discontinued",Index base: 1982 = 100,1926-M01,2003-M03,6.0,5.6,5.0,5.0,5.0,4.9,4.6,4.6,5.0,5.3,5.6,6.1,6.2,6.3,6.6,7.1,7.3,7.3,7.7,7.9,8.4,9.9,12.3,13.1,13.6,14.6,14.7,15.5,15.6,15.9,17.6,19.0,19.0,19.9,20.0,20.0,20.0,20.0,20.6,20.8,21.2,21.7,22.4,23.6,27.6,32.2,33.7,36.1,53.7,71.7,75.1,82.2,89.2,93.0,93.3,98.8,100.0,96.3,94.5,93.2,88.0,82.8,84.9,89.9,91.4,93.9,91.3,89.2,88.6,92.0,95.8,95.1,98.0,94.3,86.9,87.7,88.3,,,,,,,,
WDU0521                       ,WDU0521                       ,"PPI Commodity data for Fuels and related products and power-Coke (foundry by-products), not seasonally adjusted, discontinued",Index base: 1967 = 100,1971-M01,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8,,,,330.8,346.8,379.4,411.8,429.2,430.6,456.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210102                   ,WDU05210102                   ,"PPI Commodity data for Fuels and related products and power-Birmingham, Alabama, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1982-M06,,,,,,,,,,,,,,,,,,,,,,39.2,48.5,53.1,57.1,60.8,60.8,65.7,67.9,69.2,79.4,86.2,86.6,90.6,91.0,91.0,91.0,91.0,94.0,95.5,98.2,100.0,103.6,109.0,127.6,148.3,156.3,168.9,246.5,329.4,350.7,380.7,413.2,435.7,439.1,463.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210103                   ,WDU05210103                   ,"PPI Commodity data for Fuels and related products and power-Milwaukee, Wisconsin, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1982-M06,,,,,,,,,,,,,,,,,,,,,,49.0,58.3,60.7,63.6,68.9,69.2,73.2,73.2,74.4,82.2,88.4,88.4,92.4,92.7,92.7,92.7,92.7,96.1,97.1,98.6,100.0,103.5,108.7,126.5,147.4,156.5,163.8,247.1,330.4,338.3,366.8,400.1,420.4,420.4,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210104                   ,WDU05210104                   ,"PPI Commodity data for Fuels and related products and power-Kearney, New Jersey, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1971-M03,,,,,,,,,,,,,,,,,,,,,,47.4,59.8,64.2,64.7,66.5,66.7,70.1,70.1,72.5,80.6,87.0,86.8,90.9,91.3,91.3,91.3,91.3,94.5,95.7,97.9,100.0,103.5,108.8,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210106                   ,WDU05210106                   ,"PPI Commodity data for Fuels and related products and power-Detroit, Michigan, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,,,,,,,,,,,,,,,,,,,,,,45.9,56.7,59.9,63.2,69.5,69.9,73.9,73.9,74.8,81.6,88.1,88.4,92.4,92.7,92.7,92.7,92.7,96.0,97.0,98.7,100.0,103.5,108.7,126.7,146.6,150.4,162.3,232.3,311.1,337.7,377.5,409.8,,423.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210107                   ,WDU05210107                   ,"PPI Commodity data for Fuels and related products and power-Ironton, Ohio, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1974-M13,,,,,,,,,,,,,,,,,,,,,,45.5,56.2,61.6,65.2,70.8,71.6,76.4,76.4,77.5,81.3,87.5,87.8,92.1,92.1,92.4,92.1,92.1,95.8,97.0,98.7,100.0,103.7,109.1,129.0,153.3,157.3,173.1,174.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210108                   ,WDU05210108                   ,"PPI Commodity data for Fuels and related products and power-Indianapolis, Indiana, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1982-M06,,,,,,,,,,,,,,,,,,,,,,46.7,59.4,60.7,62.8,68.4,68.8,72.9,72.9,74.5,83.0,89.5,89.5,93.6,93.9,93.9,93.9,93.9,93.9,93.9,97.0,100.0,103.6,109.1,127.8,148.9,157.6,166.3,255.6,342.9,351.3,381.2,416.3,436.6,437.7,468.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210109                   ,WDU05210109                   ,"PPI Commodity data for Fuels and related products and power-St. Louis, Missouri, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1981-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3,110.2,161.3,225.3,229.7,251.8,272.8,283.8,286.8,304.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05210111                   ,WDU05210111                   ,"PPI Commodity data for Fuels and related products and power-Philadelphia, Pennsylvania, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1982-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,109.5,170.1,223.2,230.4,250.9,272.2,284.3,285.8,305.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0522                       ,WDU0522                       ,"PPI Commodity data for Fuels and related products and power-Coke, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1982-M06,2003-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,94.5,93.2,88.0,82.7,84.9,89.9,91.4,93.8,91.3,89.1,88.5,92.0,95.7,95.0,98.0,94.3,86.8,87.6,88.3,,,,,,,,
WDU052201                     ,WDU052201                     ,"PPI Commodity data for Fuels and related products and power-Coke, not seasonally adjusted, discontinued",Index base: 1982.06 = 100,1982-M06,2003-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2,94.5,93.2,,,,,,,91.3,89.1,88.5,92.0,95.7,95.0,98.0,94.3,86.8,87.6,88.3,,,,,,,,
WDU05220101                   ,WDU05220101                   ,"PPI Commodity data for Fuels and related products and power-Coke, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1997-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,71.0,74.4,81.4,88.3,92.0,92.3,97.9,,95.2,92.5,91.3,86.2,78.2,80.7,87.1,84.7,86.8,85.7,86.1,86.4,90.2,93.4,,,,,,,,,,,,,,
WDU05220105                   ,WDU05220105                   ,"PPI Commodity data for Fuels and related products and power-Coke oven and blast furnace products, not seasonally adjusted, discontinued",Index base: 1997.06 = 100,1997-M06,2003-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,99.7,91.8,92.7,93.3,,,,,,,,
WDU05220198                   ,WDU05220198                   ,"PPI Commodity data for Fuels and related products and power-Other coke furnace products, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,1989-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3,114.3,112.3,,,,,,,,,,,,,,,,,,,,,
WDU05310101                   ,WDU05310101                   ,"PPI Commodity data for Fuels and related products and power-Gas, natural, not seasonally adjusted, discontinued",Index base: 1967 = 100,1958-M01,1977-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,83.2,90.5,94.9,96.8,97.5,97.7,97.8,98.6,100.0,101.6,103.2,106.1,112.8,121.0,131.3,154.6,215.3,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05310102                   ,WDU05310102                   ,"PPI Commodity data for Fuels and related products and power-Interstate, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M05,1996-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,43.0,58.8,79.2,100.0,108.6,108.8,107.8,96.0,82.1,78.4,81.6,75.8,74.0,76.4,83.8,75.9,62.5,,,,,,,,,,,,,,,
WDU05310103                   ,WDU05310103                   ,"PPI Commodity data for Fuels and related products and power-Intrastate, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M05,1996-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6,59.4,67.8,85.1,,106.7,,,82.7,82.1,84.0,93.3,103.1,103.2,102.7,98.1,97.1,86.5,,,,,,,,,,,,,,,
WDU05310104                   ,WDU05310104                   ,"PPI Commodity data for Fuels and related products and power-Imported, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M05,1985-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,49.3,84.3,95.9,100.0,90.1,83.4,71.8,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05320103                   ,WDU05320103                   ,"PPI Commodity data for Fuels and related products and power-Gas, propane, Okla., group 3, not seasonally adjusted, discontinued",Index base: 1967 = 100,1958-M01,1977-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,82.6,73.2,58.7,52.2,64.5,56.5,69.2,89.1,100.0,66.3,63.7,96.3,95.7,93.7,113.2,183.5,221.0,287.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU05320106                   ,WDU05320106                   ,"PPI Commodity data for Fuels and related products and power-Ethane, not seasonally adjusted, discontinued",Index base: 1982 = 100,1978-M02,1996-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,73.5,116.2,125.0,100.0,110.3,85.0,70.0,60.3,49.9,51.4,51.5,69.0,74.4,68.2,65.2,61.1,61.6,,,,,,,,,,,,,,,
WDU05320107                   ,WDU05320107                   ,"PPI Commodity data for Fuels and related products and power-Gas mixtures and other natural gas liquids, not seasonally adjusted, discontinued",Index base: 1984.06 = 100,1984-M06,2009-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7,53.9,58.8,51.8,58.0,76.4,75.1,65.7,60.7,55.8,62.7,79.0,80.3,60.5,76.1,126.3,121.9,105.5,151.0,193.4,246.6,267.8,315.0,375.4,,
