index,Index,Label,unit,start,last,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
CUURA104SACL11   ,CUURA104SACL11   ,"Commodities less food and beverages in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5,62.8,66.2,73.9,84.6,92.3,94.9,100.9,104.2,105.4,101.2,103.8,108.0,112.1,117.1,120.0,122.3,124.4,126.5,130.4,132.6,136.4
CUURA104SAD      ,CUURA104SAD      ,"Durables in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,41.1,42.5,44.0,45.5,46.2,47.2,49.9,55.4,59.6,61.6,66.1,73.0,82.5,89.3,92.7,100.7,106.6,107.5,107.4,107.6,109.0,110.1,110.4,112.6,115.1,117.9,122.5,127.6,129.0,130.9
CUURA104SAF      ,CUURA104SAF      ,"Food and beverages in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,66.4,72.8,80.0,87.2,93.8,98.0,101.1,100.9,102.3,105.0,109.4,111.9,118.0,124.3,129.2,132.9,137.2,140.6,143.6,148.9,151.8
CUURA104SAF1     ,CUURA104SAF1     ,"Food in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1917-M12,1997-M13,17.4,19.2,21.3,16.2,14.8,15.7,15.6,16.8,17.4,16.9,16.7,17.0,15.9,12.9,10.5,10.3,11.6,12.6,12.7,13.4,12.4,11.7,12.1,13.3,15.5,17.3,17.0,17.4,20.2,24.8,26.8,25.8,26.1,28.9,29.4,29.3,29.3,28.7,29.2,30.2,31.4,31.0,31.3,31.6,31.6,32.0,32.3,33.2,34.5,34.3,35.8,37.8,39.7,40.8,42.1,48.6,56.4,60.9,62.2,66.4,73.0,80.1,87.3,94.1,98.1,101.1,100.8,101.9,104.7,109.3,111.6,117.8,123.8,127.8,131.3,135.6,139.2,142.4,148.1,150.5
CUURA104SAF11    ,CUURA104SAF11    ,"Food at home in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1953-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,31.2,30.5,30.8,31.7,33.3,32.6,32.9,33.2,33.2,33.6,33.9,34.8,36.2,35.6,36.9,38.9,40.8,41.7,43.1,50.2,58.2,62.8,63.6,67.8,74.7,82.8,89.1,95.6,99.1,101.6,99.2,99.3,102.5,107.0,108.9,116.3,122.6,126.4,129.4,134.6,138.3,141.6,148.5,149.6
CUURA104SAF116   ,CUURA104SAF116   ,"Alcoholic beverages in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,66.4,72.0,77.7,84.4,90.2,95.8,101.2,103.1,108.1,109.8,111.5,116.0,121.8,130.3,146.3,152.0,155.9,156.7,158.3,159.4,166.4
CUURA104SAG      ,CUURA104SAG      ,"Other goods and services in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,61.8,65.5,70.3,75.2,82.4,90.8,101.0,108.2,113.0,118.0,122.7,132.7,140.7,150.4,155.0,168.1,177.2,182.9,192.2,202.9,214.3
CUURA104SAH      ,CUURA104SAH      ,"Housing in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,54.4,60.5,67.9,78.9,86.7,92.2,101.7,106.1,108.5,111.3,113.4,115.7,119.2,124.8,131.4,135.8,139.1,145.2,150.1,153.1,156.2
CUURA104SAH1     ,CUURA104SAH1     ,"Shelter in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M10,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.4,21.3,21.9,22.3,23.2,23.4,23.9,23.9,24.1,24.0,24.3,24.5,25.2,25.9,27.3,29.5,32.0,34.1,35.6,37.0,40.1,43.9,46.7,49.4,56.5,65.4,78.9,86.7,91.5,102.3,106.1,110.3,115.6,119.4,123.0,125.5,131.8,139.0,146.3,151.3,159.5,164.8,169.0,171.7
CUURA104SAH2     ,CUURA104SAH2     ,"Fuels and utilities in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,21.7,22.1,22.7,23.6,24.2,25.3,26.8,27.0,27.6,27.6,27.9,27.8,28.4,28.4,28.8,29.6,31.4,33.1,34.0,34.7,38.7,44.9,47.9,55.3,59.7,64.1,71.0,79.9,89.1,101.0,109.9,111.0,110.0,108.4,108.1,115.5,123.7,131.2,131.0,132.4,136.1,137.9,139.2,145.2
CUURA104SAH21    ,CUURA104SAH21    ,"Household energy in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,50.2,55.0,60.8,69.9,79.9,89.1,102.8,108.1,109.2,107.2,103.8,101.4,107.9,117.4,125.5,125.8,126.3,132.3,132.6,130.8,140.3
CUURA104SAH3     ,CUURA104SAH3     ,"Household furnishings and operations in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,72.9,77.4,82.3,87.0,93.9,98.5,100.2,101.3,101.1,101.9,103.8,105.3,107.0,108.0,111.6,113.4,114.1,117.1,123.9,125.9,126.8
CUURA104SAM      ,CUURA104SAM      ,"Medical care in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,12.4,12.6,12.9,13.5,14.0,14.7,15.4,15.8,16.8,17.7,18.5,19.7,20.7,21.4,22.4,23.0,23.7,24.3,25.1,26.9,28.4,30.1,31.6,32.9,34.6,36.0,39.5,43.7,48.2,53.3,58.0,64.2,71.2,79.7,89.6,100.9,109.6,113.4,121.2,130.2,138.2,146.8,160.6,175.7,185.9,196.8,207.0,212.6,225.4,228.8
CUURA104SAN      ,CUURA104SAN      ,"Nondurables in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,38.5,40.5,42.4,43.7,44.9,49.0,55.8,59.9,61.5,64.8,69.6,77.5,86.9,94.5,97.5,100.9,101.6,103.0,101.2,105.5,109.8,116.0,123.1,127.1,130.1,133.1,135.0,138.2,142.2,146.1
CUURA104SANL1    ,CUURA104SANL1    ,"Nondurables less food in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,41.8,43.8,45.6,47.1,48.2,50.0,55.8,59.1,60.9,63.5,66.4,74.9,86.4,95.0,97.0,100.7,102.3,104.0,97.8,101.7,107.6,113.7,121.7,125.8,128.4,130.2,130.7,133.8,136.3,141.3
CUURA104SANL11   ,CUURA104SANL11   ,"Nondurables less food and beverages in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,63.6,66.0,74.8,86.6,95.3,97.1,100.7,102.3,103.7,97.0,101.2,107.2,113.3,121.3,124.5,126.8,128.4,128.9,132.1,134.7,139.6
CUURA104SAS      ,CUURA104SAS      ,"Services in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,28.5,30.3,32.6,34.8,36.2,37.5,40.8,44.5,48.2,53.0,58.7,65.4,75.6,85.0,92.5,101.1,106.4,109.9,114.2,117.2,120.6,126.1,132.9,139.8,146.4,151.5,158.6,164.3,169.0,173.3
CUURA104SASL2RS  ,CUURA104SASL2RS  ,"Services less rent of shelter in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.1,109.5,112.9,116.7,119.0,122.2,130.5,138.1,144.9,150.9,156.2,162.6,168.7,174.0,180.0
CUURA104SASL5    ,CUURA104SASL5    ,"Services less medical care services in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1967-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,28.9,30.8,33.2,35.5,36.8,38.0,41.2,44.9,48.4,53.2,59.0,65.7,76.3,85.8,92.9,101.1,105.9,109.6,113.4,115.9,118.9,124.1,130.6,136.8,142.9,147.3,154.2,159.6,163.8,168.3
CUURA104SAT      ,CUURA104SAT      ,"Transportation in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,17.9,18.9,21.0,22.8,24.4,24.7,24.3,24.2,24.5,25.7,26.9,28.5,29.1,29.2,29.9,29.9,30.3,30.8,31.1,31.6,32.7,34.1,36.0,37.9,38.3,39.3,43.4,47.0,51.6,56.3,59.7,68.5,82.1,93.6,96.6,99.8,103.6,105.4,99.5,100.5,102.3,107.2,112.1,112.9,115.6,118.1,122.3,127.6,129.2,132.7
CUURA104SAT1     ,CUURA104SAT1     ,"Private transportation in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,22.1,23.8,24.2,25.1,26.9,27.4,26.3,26.1,26.1,27.3,28.1,29.9,30.2,30.1,30.2,30.2,30.6,31.1,31.3,31.9,33.1,34.1,36.2,37.6,37.9,39.0,43.6,47.5,51.9,57.1,60.9,70.3,83.8,95.1,97.5,99.3,103.1,105.1,98.3,99.2,101.5,106.3,110.7,111.4,114.2,116.6,120.9,126.3,128.1,132.3
CUURA104SEFV     ,CUURA104SEFV     ,"Food away from home in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,22.1,22.1,23.2,24.2,24.4,24.8,25.2,25.4,25.6,26.0,26.6,27.2,28.3,29.9,32.4,34.2,36.6,38.8,40.0,43.7,50.5,55.1,58.7,63.9,69.0,74.2,83.1,90.3,95.7,100.0,104.3,107.6,110.0,114.4,118.1,121.8,127.7,132.1,135.1,137.3,140.6,144.3,147.4,153.3
CUURA104SEHA     ,CUURA104SEHA     ,"Rent of primary residence in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1917-M12,1997-M13,25.5,27.6,32.0,37.1,38.2,38.9,41.1,42.7,42.8,42.7,42.2,41.2,40.3,38.4,33.6,27.8,25.4,25.1,25.8,27.2,28.0,28.2,28.3,28.6,28.9,28.9,28.9,28.9,28.9,29.9,31.6,32.5,33.0,34.0,35.5,37.1,38.6,39.0,39.4,40.0,40.8,41.4,42.2,42.8,43.1,43.3,43.3,43.9,44.4,45.0,45.8,47.1,49.1,51.4,52.7,53.9,55.7,58.1,61.7,67.2,73.3,78.3,83.4,89.4,95.3,100.7,104.0,109.6,115.8,118.2,120.5,123.7,127.4,131.1,135.6,139.2,143.0,146.9,149.7,151.5
CUURA104SEHC     ,CUURA104SEHC     ,"Owners' equivalent rent of residences in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,106.0,109.1,114.2,117.9,121.5,124.7,131.5,136.9,144.7,150.7,160.0,165.4,169.3,171.1
CUURA104SEHC01   ,CUURA104SEHC01   ,"Owners' equivalent rent of primary residence in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,106.0,109.1,114.2,117.9,121.5,124.7,131.5,136.9,144.7,150.7,160.0,165.4,169.3,171.1
CUURA104SEHF     ,CUURA104SEHF     ,"Energy services in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1935-M01,1997-M13,,,,,,,,,,,,,,,,,,13.9,13.6,13.6,13.7,13.7,13.8,13.9,14.1,14.3,14.2,14.1,14.1,14.2,14.2,14.2,14.2,15.5,15.2,16.2,16.6,17.3,17.9,18.1,18.6,19.7,20.5,20.5,21.2,21.1,21.4,21.3,22.0,21.9,22.3,23.2,24.9,26.5,27.2,28.0,32.4,39.1,42.2,50.8,55.7,60.7,68.7,78.4,88.2,103.2,108.6,109.8,108.8,105.3,102.9,109.5,118.5,127.2,127.5,128.1,134.3,134.7,132.6,142.7
CUURA104SEHF01   ,CUURA104SEHF01   ,"Electricity in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1971-M05,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,38.5,44.9,54.0,55.4,59.2,66.0,68.9,74.6,86.1,94.1,100.8,105.1,108.0,109.9,110.6,111.4,117.6,126.6,141.3,144.4,144.8,139.9,139.5,138.3,137.7
CUURA104SEHF02   ,CUURA104SEHF02   ,"Utility (piped) gas service in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1971-M05,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,22.1,25.4,30.8,34.0,42.7,47.0,54.1,63.9,72.1,83.5,105.1,111.4,111.2,108.0,101.0,96.1,102.9,112.0,115.9,113.9,114.8,129.9,130.9,128.0,146.5
CUURA104SETB     ,CUURA104SETB     ,"Motor fuel in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1978-M04,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.7,97.2,109.3,102.1,98.8,99.2,99.4,75.2,77.3,76.2,84.1,96.9,97.1,95.7,93.3,96.4,101.9,105.2,106.1
CUURA104SETB01   ,CUURA104SETB01   ,"Gasoline (all types) in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1978-M04,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6,97.1,109.2,101.9,98.9,99.2,99.4,75.2,77.3,76.2,84.0,96.9,97.1,95.7,93.2,96.3,101.7,105.0,106.5
CUURA104SS47014  ,CUURA104SS47014  ,"Gasoline, unleaded regular in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,50.0,51.6,69.5,96.5,108.9,101.7,98.9,99.4,99.8,74.4,75.9,74.4,81.5,94.2,94.6,92.7,89.7,92.4,97.9,102.4,104.2
CUURA104SS47015  ,CUURA104SS47015  ,"Gasoline, unleaded midgrade in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1993.12=100,1993-M12,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.1,109.8,113.3,115.6
CUURA104SS47016  ,CUURA104SS47016  ,"Gasoline, unleaded premium in Pittsburgh, PA, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1981-M08,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,99.8,100.4,79.3,81.1,80.3,86.6,98.5,98.2,97.7,95.8,98.6,102.1,104.7,107.0
