index,Index,Label,unit,start,last,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CUUSA311SAGS     ,CUUSA311SAGS     ,"Other personal services in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,102.075,103.522,104.198,105.707,107.165,107.374,107.97,108.952,110.227,110.726,111.541,112.493,113.097,114.414,115.183,115.4
CUUSA311SAH      ,CUUSA311SAH      ,"Housing in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,100.6,101.3,101.7,104.5,104.4,106.6,107.2,110.6,111.9,114.2,115.9,118.7,120.6,122.7,124.3,127.5,129.6,131.8,134.0,138.8,141.059,144.856,147.993,151.304,151.828,152.411,151.689,153.049,154.041,155.527,157.351,159.64,160.581,162.007,163.418,165.157,166.753,168.462,170.056,171.207,172.414,173.737
CUUSA311SAH1     ,CUUSA311SAH1     ,"Shelter in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,102.4,104.4,105.4,107.0,108.4,110.7,113.7,116.1,119.4,122.1,124.3,126.6,128.7,131.3,134.8,136.2,139.6,143.9,147.081,148.614,151.87,154.129,156.064,156.828,156.632,158.655,160.776,162.8,165.697,168.167,169.892,170.904,172.9,175.289,178.084,179.897,182.186,183.157,184.43,185.985
CUUSA311SAH2     ,CUUSA311SAH2     ,"Fuels and utilities in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.8,110.4,102.6,113.6,105.7,120.0,110.3,113.7,105.6,112.5,112.4,118.7,114.2,127.4,123.7,140.3,134.9,149.6,144.826,175.783,180.367,197.445,184.084,188.966,183.635,183.991,179.581,181.254,175.989,178.774,177.057,187.523,186.273,185.476,181.942,186.608,187.316,193.413,196.194,197.547
CUUSA311SAH21    ,CUUSA311SAH21    ,"Household energy in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,102.7,111.4,103.8,115.0,108.5,119.9,112.3,114.3,105.4,112.5,112.1,118.5,114.9,127.0,124.0,140.1,136.6,150.7,149.118,180.955,185.399,204.427,190.884,192.204,181.669,183.986,178.916,178.846,174.112,173.914,172.617,181.955,180.163,177.302,173.346,176.056,176.441,181.996,184.952,186.053
CUUSA311SAH3     ,CUUSA311SAH3     ,"Household furnishings and operations in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,102.1,103.5,103.6,101.5,103.0,104.7,105.4,105.2,105.9,107.5,108.7,107.5,108.6,107.5,105.9,103.6,102.3,101.9,102.145,100.607,100.611,101.003,102.636,100.468,98.972,97.272,94.484,93.503,93.608,93.706,93.083,91.253,90.218,89.583,89.378,88.926,87.606,86.859,86.805,86.91
CUUSA311SAH31    ,CUUSA311SAH31    ,"Household furnishings and supplies in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2017-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,99.163,97.488,94.723,93.601,93.895,93.482,92.209,89.939,88.449,87.281,86.676,86.218,84.971,83.394,82.969,81.67
CUUSA311SAM      ,CUUSA311SAM      ,"Medical care in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1996.11=100,1997-S01,2017-S03,102.1,102.2,104.0,104.9,106.4,107.3,109.4,110.0,110.8,111.2,114.2,115.6,117.5,119.6,120.8,122.7,125.6,127.5,130.5,128.5,131.303,136.382,140.278,141.303,142.148,143.328,148.322,150.709,154.1,155.968,160.236,162.959,166.346,170.637,171.526,171.239,176.352,180.673,183.083,184.62,188.361,189.406
CUUSA311SAN      ,CUUSA311SAN      ,"Nondurables in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.8,100.4,101.7,103.8,107.1,108.2,109.3,109.6,109.2,110.5,112.3,113.5,116.0,118.1,120.6,125.9,127.5,127.6,130.135,133.163,139.356,140.361,133.097,136.74,138.316,138.275,147.947,148.662,151.275,151.004,151.204,151.351,152.835,151.263,146.498,145.68,144.971,147.124,148.018,149.59
CUUSA311SANL1    ,CUUSA311SANL1    ,"Nondurables less food in Washington-Baltimore, DC-MD-VA-WV, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2017-S03,,,100.9,100.1,101.0,105.3,110.3,111.0,111.5,110.4,108.0,109.5,112.2,111.5,113.1,116.0,119.9,128.0,129.5,128.7,131.311,134.182,143.489,141.356,126.697,134.259,137.063,136.159,150.629,150.065,153.592,152.303,151.747,151.431,152.332,148.255,138.311,136.053,134.399,138.153,139.335,141.182
