index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JTU520000000000000LDL         ,JTU520000000000000LDL         ,520000,L,2000-M12,2021-M10,486.0,555.0,459.0,430.0,453.0,466.0,622.0,669.0,742.0,473.0,364.0,375.0,427.0,423.0,417.0,417.0,381.0,417.0,320.0,489.0
JTU520000000000000LDR         ,JTU520000000000000LDR         ,520000,R,2000-M12,2021-M10,8.3,9.4,7.6,7.1,7.5,7.5,10.1,11.0,12.7,8.2,6.3,6.4,7.3,7.1,6.9,6.8,6.1,6.6,5.0,7.5
JTU530000000000000LDL         ,JTU530000000000000LDL         ,530000,L,2000-M12,2021-M10,303.0,311.0,328.0,370.0,402.0,426.0,459.0,402.0,532.0,299.0,295.0,313.0,321.0,243.0,288.0,287.0,303.0,219.0,320.0,617.0
JTU530000000000000LDR         ,JTU530000000000000LDR         ,530000,R,2000-M12,2021-M10,14.9,15.3,15.9,17.7,18.8,19.6,21.2,18.9,26.7,15.5,15.3,16.0,16.1,11.9,13.8,13.4,13.8,9.7,13.8,27.7
JTU540099000000000LDL         ,JTU540099000000000LDL         ,540099,L,2000-M12,2021-M10,5033.0,4222.0,4489.0,4559.0,4873.0,4520.0,5003.0,5405.0,5144.0,4540.0,5144.0,5214.0,4751.0,5216.0,5210.0,5198.0,4890.0,4991.0,5041.0,6458.0
JTU540099000000000LDR         ,JTU540099000000000LDR         ,540099,R,2000-M12,2021-M10,30.5,26.4,28.0,27.7,28.7,25.7,27.8,30.4,30.9,27.1,29.6,29.0,25.6,27.3,26.5,25.8,23.8,23.8,23.7,31.9
JTU600000000000000LDL         ,JTU600000000000000LDL         ,600000,L,2000-M12,2021-M10,1541.0,1693.0,1840.0,1680.0,1773.0,1728.0,1854.0,2055.0,2285.0,2206.0,1988.0,2067.0,2036.0,2039.0,1824.0,1977.0,2064.0,2102.0,2037.0,4486.0
JTU600000000000000LDR         ,JTU600000000000000LDR         ,600000,R,2000-M12,2021-M10,9.7,10.3,10.9,9.8,10.0,9.5,9.9,10.7,11.6,11.0,9.8,10.0,9.7,9.5,8.3,8.7,8.9,8.9,8.4,19.3
JTU610000000000000LDL         ,JTU610000000000000LDL         ,610000,L,2000-M12,2021-M10,292.0,256.0,370.0,309.0,335.0,371.0,414.0,410.0,476.0,421.0,410.0,445.0,465.0,424.0,399.0,397.0,428.0,479.0,402.0,914.0
JTU610000000000000LDR         ,JTU610000000000000LDR         ,610000,R,2000-M12,2021-M10,11.6,9.7,13.7,11.2,11.8,12.8,14.1,13.5,15.4,13.3,12.6,13.3,13.9,12.4,11.5,11.1,11.7,12.9,10.7,26.4
JTU620000000000000LDL         ,JTU620000000000000LDL         ,620000,L,2000-M12,2021-M10,1247.0,1439.0,1473.0,1372.0,1439.0,1355.0,1438.0,1644.0,1808.0,1784.0,1576.0,1624.0,1571.0,1617.0,1425.0,1579.0,1634.0,1626.0,1633.0,3573.0
JTU620000000000000LDR         ,JTU620000000000000LDR         ,620000,R,2000-M12,2021-M10,9.4,10.5,10.4,9.5,9.7,8.9,9.1,10.2,10.9,10.6,9.2,9.3,8.9,9.0,7.7,8.3,8.4,8.2,8.0,18.1
JTU700000000000000LDL         ,JTU700000000000000LDL         ,700000,L,2000-M12,2021-M10,3533.0,3150.0,3657.0,3859.0,3615.0,3462.0,3448.0,3479.0,3537.0,3069.0,3442.0,3367.0,3326.0,3535.0,3715.0,3472.0,3846.0,3800.0,3551.0,10541.0
JTU700000000000000LDR         ,JTU700000000000000LDR         ,700000,R,2000-M12,2021-M10,29.4,26.3,30.0,30.9,28.2,26.4,25.7,25.9,27.0,23.5,25.8,24.5,23.3,24.1,24.5,22.2,24.0,23.3,21.4,79.1
JTU710000000000000LDL         ,JTU710000000000000LDL         ,710000,L,2000-M12,2021-M10,1024.0,818.0,1078.0,1077.0,925.0,874.0,938.0,951.0,836.0,811.0,949.0,961.0,895.0,1044.0,1067.0,988.0,1152.0,1147.0,967.0,1724.0
