index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JTU100000000000000TSL         ,JTU100000000000000TSL         ,100000,L,2000-M12,2021-M12,60762.0,54994.0,53222.0,54757.0,57438.0,58558.0,58536.0,56428.0,48472.0,44486.0,46140.0,47505.0,49068.0,52434.0,56020.0,57443.0,59396.0,62062.0,63785.0,76187.0
JTU100000000000000TSR         ,JTU100000000000000TSR         ,100000,R,2000-M12,2021-M12,54.8,50.4,48.9,49.7,51.2,51.1,50.6,49.2,44.6,41.2,42.0,42.3,42.8,44.8,46.8,47.0,47.8,49.1,49.7,63.3
JTU110099000000000TSL         ,JTU110099000000000TSL         ,110099,L,2000-M12,2021-M12,279.0,252.0,253.0,245.0,239.0,255.0,305.0,349.0,315.0,219.0,241.0,364.0,341.0,358.0,452.0,394.0,327.0,394.0,353.0,336.0
JTU110099000000000TSR         ,JTU110099000000000TSR         ,110099,R,2000-M12,2021-M12,46.0,43.2,44.2,41.5,38.1,37.3,42.1,45.6,45.4,31.1,30.6,42.9,39.5,40.2,55.6,59.0,48.4,54.2,48.6,54.3
JTU230000000000000TSL         ,JTU230000000000000TSL         ,230000,L,2000-M12,2021-M12,5566.0,5304.0,5325.0,5248.0,5505.0,5387.0,5137.0,5331.0,4897.0,4209.0,4027.0,3928.0,3703.0,3410.0,3645.0,3922.0,4272.0,4216.0,4867.0,4985.0
JTU230000000000000TSR         ,JTU230000000000000TSR         ,230000,R,2000-M12,2021-M12,81.5,79.0,79.1,75.2,75.0,70.0,67.3,74.4,81.4,76.3,72.8,69.6,63.2,55.4,56.4,58.3,61.3,57.8,65.0,68.6
JTU300000000000000TSL         ,JTU300000000000000TSL         ,300000,L,2000-M12,2021-M12,6327.0,5492.0,4893.0,4630.0,4665.0,4681.0,4808.0,4476.0,4182.0,3051.0,2894.0,2879.0,2840.0,2934.0,3160.0,3365.0,3813.0,4124.0,4048.0,5391.0
JTU300000000000000TSR         ,JTU300000000000000TSR         ,300000,R,2000-M12,2021-M12,38.5,36.0,33.7,32.3,32.8,33.1,34.6,33.4,35.3,26.5,24.7,24.1,23.6,24.1,25.6,27.2,30.7,32.5,31.6,44.3
JTU320000000000000TSL         ,JTU320000000000000TSL         ,320000,L,2000-M12,2021-M12,3707.0,3309.0,2974.0,2802.0,2878.0,2732.0,2833.0,2702.0,2543.0,1664.0,1569.0,1684.0,1692.0,1689.0,1883.0,1980.0,2115.0,2291.0,2300.0,3166.0
JTU320000000000000TSR         ,JTU320000000000000TSR         ,320000,R,2000-M12,2021-M12,35.9,34.9,33.2,31.4,32.1,30.4,32.2,31.9,34.9,23.6,21.6,22.5,22.4,22.0,24.2,25.7,27.3,28.8,28.6,41.8
JTU340000000000000TSL         ,JTU340000000000000TSL         ,340000,L,2000-M12,2021-M12,2622.0,2184.0,1918.0,1829.0,1789.0,1946.0,1975.0,1773.0,1637.0,1388.0,1323.0,1197.0,1148.0,1248.0,1278.0,1383.0,1697.0,1832.0,1747.0,2223.0
JTU340000000000000TSR         ,JTU340000000000000TSR         ,340000,R,2000-M12,2021-M12,42.9,37.8,34.6,33.9,33.9,37.6,38.9,35.9,35.9,31.1,29.7,26.9,25.7,27.7,27.9,29.8,36.1,38.6,36.6,48.3
JTU400000000000000TSL         ,JTU400000000000000TSL         ,400000,L,2000-M12,2021-M12,14218.0,12820.0,12260.0,13114.0,13685.0,13519.0,13218.0,12801.0,10593.0,9568.0,9821.0,10257.0,10741.0,12226.0,12671.0,12498.0,12506.0,13508.0,13707.0,16093.0
JTU400000000000000TSR         ,JTU400000000000000TSR         ,400000,R,2000-M12,2021-M12,54.8,50.4,48.6,51.4,52.8,51.6,49.7,48.8,42.6,38.9,39.3,40.4,41.6,46.4,47.2,46.0,45.6,48.9,49.4,60.5
JTU420000000000000TSL         ,JTU420000000000000TSL         ,420000,L,2000-M12,2021-M12,1993.0,1936.0,1792.0,1903.0,1861.0,1846.0,2003.0,1959.0,1667.0,1409.0,1424.0,1502.0,1382.0,1641.0,1626.0,1615.0,1624.0,1715.0,1746.0,2109.0
JTU420000000000000TSR         ,JTU420000000000000TSR         ,420000,R,2000-M12,2021-M12,34.8,34.5,32.2,33.9,32.6,31.6,33.7,33.3,30.2,26.2,26.0,26.8,24.4,28.6,28.1,27.9,27.9,29.4,29.6,37.4
JTU440000000000000TSL         ,JTU440000000000000TSL         ,440000,L,2000-M12,2021-M12,10186.0,9113.0,8726.0,9268.0,9643.0,9679.0,9421.0,8963.0,7035.0,6674.0,6783.0,6984.0,7534.0,8600.0,8912.0,8633.0,8532.0,9159.0,9119.0,10356.0
JTU440000000000000TSR         ,JTU440000000000000TSR         ,440000,R,2000-M12,2021-M12,66.8,60.6,58.5,61.5,63.1,63.0,60.7,58.6,48.4,46.2,46.2,47.0,49.9,56.0,57.1,54.5,53.8,58.0,58.4,69.7
JTU480099000000000TSL         ,JTU480099000000000TSL         ,480099,L,2000-M12,2021-M12,2037.0,1773.0,1741.0,1943.0,2183.0,1993.0,1796.0,1880.0,1894.0,1485.0,1615.0,1771.0,1822.0,1982.0,2131.0,2249.0,2347.0,2635.0,2843.0,3626.0
JTU480099000000000TSR         ,JTU480099000000000TSR         ,480099,R,2000-M12,2021-M12,40.9,36.8,36.5,40.3,44.4,39.7,35.2,37.1,39.5,31.3,33.2,35.6,36.0,38.0,39.2,40.3,40.8,44.0,45.8,59.5
JTU510000000000000TSL         ,JTU510000000000000TSL         ,510000,L,2000-M12,2021-M12,1626.0,1300.0,1155.0,1003.0,1070.0,1139.0,995.0,893.0,911.0,752.0,748.0,786.0,909.0,991.0,949.0,929.0,1011.0,1057.0,1103.0,1207.0
JTU510000000000000TSR         ,JTU510000000000000TSR         ,510000,R,2000-M12,2021-M12,44.8,38.3,36.2,32.2,35.0,37.5,32.8,29.9,32.5,27.8,27.9,29.4,33.6,36.4,34.5,33.2,35.9,37.2,38.5,44.8
JTU510099000000000TSL         ,JTU510099000000000TSL         ,510099,L,2000-M12,2021-M12,2662.0,2496.0,2476.0,2722.0,2624.0,2943.0,3105.0,2763.0,2321.0,2095.0,1869.0,2129.0,2326.0,2197.0,2226.0,2217.0,2383.0,2336.0,2491.0,2728.0
JTU510099000000000TSR         ,JTU510099000000000TSR         ,510099,R,2000-M12,2021-M12,33.7,31.4,30.7,33.6,32.0,35.2,37.2,33.7,29.6,27.2,24.3,27.4,29.5,27.5,27.4,26.8,28.2,27.2,28.5,31.3
JTU520000000000000TSL         ,JTU520000000000000TSL         ,520000,L,2000-M12,2021-M12,1782.0,1616.0,1536.0,1708.0,1643.0,1853.0,2083.0,1801.0,1422.0,1388.0,1175.0,1375.0,1529.0,1480.0,1480.0,1468.0,1575.0,1532.0,1584.0,1630.0
JTU520000000000000TSR         ,JTU520000000000000TSR         ,520000,R,2000-M12,2021-M12,30.4,27.3,25.5,28.4,27.1,29.9,33.7,29.6,24.3,24.1,20.4,23.6,26.0,25.0,24.5,23.9,25.2,24.2,24.6,25.1
JTU530000000000000TSL         ,JTU530000000000000TSL         ,530000,L,2000-M12,2021-M12,878.0,880.0,939.0,1013.0,981.0,1091.0,1021.0,962.0,898.0,705.0,696.0,756.0,798.0,718.0,745.0,748.0,809.0,803.0,906.0,1098.0
JTU530000000000000TSR         ,JTU530000000000000TSR         ,530000,R,2000-M12,2021-M12,43.1,43.3,45.6,48.6,46.0,50.2,47.1,45.2,45.0,36.5,36.1,38.7,39.9,35.1,35.7,35.0,37.0,35.6,39.0,49.4
JTU540099000000000TSL         ,JTU540099000000000TSL         ,540099,L,2000-M12,2021-M12,11657.0,10269.0,9373.0,9582.0,10600.0,11568.0,11873.0,11503.0,9165.0,9380.0,10525.0,10352.0,10573.0,11584.0,12434.0,13006.0,13017.0,13293.0,13509.0,14016.0
JTU540099000000000TSR         ,JTU540099000000000TSR         ,540099,R,2000-M12,2021-M12,70.6,64.1,58.5,58.3,62.3,65.7,66.0,64.7,55.1,55.9,60.5,57.5,56.9,60.6,63.1,64.7,63.5,63.5,63.5,69.2
JTU600000000000000TSL         ,JTU600000000000000TSL         ,600000,L,2000-M12,2021-M12,5567.0,5341.0,5444.0,5445.0,5779.0,5945.0,6003.0,6018.0,5756.0,5611.0,5518.0,5915.0,6283.0,6423.0,6872.0,7104.0,7552.0,8030.0,8062.0,10406.0
JTU600000000000000TSR         ,JTU600000000000000TSR         ,600000,R,2000-M12,2021-M12,35.2,32.6,32.3,31.6,32.7,32.7,32.1,31.3,29.3,28.1,27.2,28.5,29.8,30.0,31.2,31.4,32.6,34.0,33.4,44.8
JTU610000000000000TSL         ,JTU610000000000000TSL         ,610000,L,2000-M12,2021-M12,720.0,665.0,794.0,756.0,802.0,884.0,899.0,875.0,873.0,847.0,893.0,956.0,969.0,984.0,1013.0,1037.0,1067.0,1126.0,1115.0,1466.0
JTU610000000000000TSR         ,JTU610000000000000TSR         ,610000,R,2000-M12,2021-M12,28.7,25.2,29.5,27.4,28.3,30.5,30.6,28.8,28.3,26.8,27.5,28.6,28.9,28.8,29.2,29.1,29.1,30.3,29.8,42.4
JTU620000000000000TSL         ,JTU620000000000000TSL         ,620000,L,2000-M12,2021-M12,4848.0,4676.0,4649.0,4687.0,4976.0,5060.0,5102.0,5142.0,4883.0,4764.0,4626.0,4955.0,5314.0,5440.0,5859.0,6066.0,6483.0,6904.0,6947.0,8939.0
JTU620000000000000TSR         ,JTU620000000000000TSR         ,620000,R,2000-M12,2021-M12,36.4,34.0,32.9,32.4,33.5,33.2,32.4,31.8,29.5,28.3,27.1,28.4,30.0,30.2,31.6,31.8,33.2,34.7,34.0,45.2
JTU700000000000000TSL         ,JTU700000000000000TSL         ,700000,L,2000-M12,2021-M12,10709.0,9443.0,9637.0,10264.0,10677.0,10814.0,10837.0,10070.0,8107.0,7667.0,8297.0,8696.0,9162.0,10151.0,11150.0,11762.0,11904.0,12542.0,13105.0,17389.0
JTU700000000000000TSR         ,JTU700000000000000TSR         ,700000,R,2000-M12,2021-M12,89.0,78.8,79.2,82.2,83.3,82.5,80.7,74.9,62.0,58.8,62.1,63.2,64.3,69.1,73.5,75.1,74.2,77.0,79.0,130.5
JTU710000000000000TSL         ,JTU710000000000000TSL         ,710000,L,2000-M12,2021-M12,1736.0,1517.0,1686.0,1694.0,1669.0,1547.0,1630.0,1565.0,1263.0,1310.0,1511.0,1527.0,1536.0,1725.0,1772.0,1827.0,1968.0,2108.0,1937.0,2305.0
JTU710000000000000TSR         ,JTU710000000000000TSR         ,710000,R,2000-M12,2021-M12,95.2,85.1,93.0,91.6,88.2,80.2,82.8,79.4,65.9,68.5,78.7,77.6,75.7,82.0,81.8,81.1,84.4,88.5,79.5,129.3
JTU720000000000000TSL         ,JTU720000000000000TSL         ,720000,L,2000-M12,2021-M12,8973.0,7925.0,7950.0,8571.0,9011.0,9265.0,9205.0,8506.0,6845.0,6358.0,6788.0,7171.0,7629.0,8426.0,9374.0,9932.0,9936.0,10434.0,11170.0,15087.0
JTU720000000000000TSR         ,JTU720000000000000TSR         ,720000,R,2000-M12,2021-M12,87.9,77.7,76.7,80.5,82.5,82.9,80.3,74.2,61.3,57.1,59.4,60.8,62.4,66.9,72.1,74.1,72.4,75.0,78.9,130.7
JTU810000000000000TSL         ,JTU810000000000000TSL         ,810000,L,2000-M12,2021-M12,2152.0,2279.0,2410.0,2504.0,2589.0,2308.0,2260.0,2228.0,2221.0,1930.0,2196.0,2204.0,2196.0,2163.0,2463.0,2250.0,2611.0,2565.0,2541.0,3637.0
JTU810000000000000TSR         ,JTU810000000000000TSR         ,810000,R,2000-M12,2021-M12,40.9,42.4,44.6,46.3,48.0,42.4,41.1,40.4,41.4,36.2,41.0,40.6,40.1,38.9,43.8,39.5,45.3,44.0,43.1,67.4
JTU900000000000000TSL         ,JTU900000000000000TSL         ,900000,L,2000-M12,2021-M12,3586.0,3724.0,3697.0,3699.0,3748.0,4074.0,4114.0,3453.0,3467.0,4186.0,3473.0,3588.0,3494.0,3495.0,3907.0,4069.0,4054.0,4135.0,4206.0,5306.0
JTU900000000000000TSR         ,JTU900000000000000TSR         ,900000,R,2000-M12,2021-M12,17.0,17.3,17.1,17.1,17.2,18.5,18.5,15.3,15.4,18.6,15.7,16.4,16.0,16.0,17.7,18.3,18.1,18.4,18.6,24.2
JTU910000000000000TSL         ,JTU910000000000000TSL         ,910000,L,2000-M12,2021-M12,430.0,514.0,475.0,475.0,470.0,627.0,723.0,314.0,412.0,1002.0,346.0,368.0,374.0,330.0,380.0,371.0,401.0,401.0,468.0,844.0
JTU910000000000000TSR         ,JTU910000000000000TSR         ,910000,R,2000-M12,2021-M12,15.6,18.6,17.2,17.4,17.2,23.0,26.4,11.4,14.5,33.7,12.1,13.0,13.5,12.1,13.8,13.3,14.3,14.3,16.5,28.8
JTU920000000000000TSL         ,JTU920000000000000TSL         ,920000,L,2000-M12,2021-M12,3156.0,3209.0,3220.0,3228.0,3280.0,3447.0,3391.0,3142.0,3055.0,3184.0,3128.0,3221.0,3120.0,3165.0,3526.0,3698.0,3654.0,3735.0,3736.0,4463.0
JTU920000000000000TSR         ,JTU920000000000000TSR         ,920000,R,2000-M12,2021-M12,17.2,17.1,17.1,17.1,17.2,17.9,17.4,15.9,15.5,16.3,16.3,16.9,16.3,16.5,18.3,19.0,18.7,19.0,18.9,23.5
JTU923000000000000TSL         ,JTU923000000000000TSL         ,923000,L,2000-M12,2021-M12,1441.0,1542.0,1582.0,1587.0,1620.0,1769.0,1761.0,1538.0,1504.0,1682.0,1653.0,1615.0,1600.0,1510.0,1762.0,1817.0,1769.0,1928.0,1924.0,2556.0
JTU923000000000000TSR         ,JTU923000000000000TSR         ,923000,R,2000-M12,2021-M12,15.0,15.6,15.9,15.9,16.0,17.3,17.1,14.7,14.4,16.2,16.1,15.9,15.7,14.8,17.2,17.6,17.0,18.4,18.3,25.7
JTU929000000000000TSL         ,JTU929000000000000TSL         ,929000,L,2000-M12,2021-M12,1718.0,1669.0,1637.0,1640.0,1659.0,1677.0,1632.0,1602.0,1551.0,1501.0,1475.0,1611.0,1518.0,1655.0,1764.0,1881.0,1882.0,1807.0,1813.0,1909.0
JTU929000000000000TSR         ,JTU929000000000000TSR         ,929000,R,2000-M12,2021-M12,19.6,18.9,18.5,18.5,18.5,18.6,17.8,17.2,16.7,16.4,16.4,18.0,17.0,18.5,19.6,20.7,20.6,19.6,19.6,21.2
