index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CEU4348100003    ,CEU4348100003    ,43481000,3,2006-M03,2021-M10,27.7,28.06,26.57,26.55,28.4,28.17,31.01,33.72,32.51,33.41,34.58,34.88,35.29,37.75
CEU4348100011    ,CEU4348100011    ,43481000,11,2006-M03,2021-M10,960.49,933.02,887.53,927.17,981.33,931.91,1023.36,1133.3,1127.73,1129.98,1122.64,1121.89,1132.63,1191.71
CEU4348100012    ,CEU4348100012    ,43481000,12,2006-M03,2021-M10,463.24,433.35,413.7,425.2,436.26,405.89,439.29,478.72,475.8,470.81,458.0,446.78,443.03,460.46
CEU4348100013    ,CEU4348100013    ,43481000,13,2006-M03,2021-M10,13.36,13.03,12.38,12.18,12.63,12.27,13.31,14.24,13.72,13.92,14.11,13.89,13.8,14.59
CEU4348100016    ,CEU4348100016    ,43481000,16,2006-M03,2021-M10,100.0,95.7,90.7,93.9,92.6,89.1,86.0,87.6,93.3,94.7,93.6,93.7,95.0,79.7
CEU4348100017    ,CEU4348100017    ,43481000,17,2006-M03,2021-M10,100.0,96.9,87.0,90.0,94.9,90.6,96.3,106.6,109.5,114.2,116.8,118.0,121.1,108.6
CEU4348100056    ,CEU4348100056    ,43481000,56,2006-M03,2021-M10,17051.0,16315.0,15463.0,16005.0,15789.0,15191.0,14662.0,14931.0,15906.0,16150.0,15956.0,15981.0,16205.0,13586.0
CEU4348100057    ,CEU4348100057    ,43481000,57,2006-M03,2021-M10,472320.0,457824.0,410772.0,424883.0,448337.0,427908.0,454696.0,503452.0,517131.0,539614.0,551760.0,557494.0,571836.0,512834.0
CEU4348400002    ,CEU4348400002    ,43484000,2,2006-M03,2021-M10,40.0,40.5,40.0,40.8,41.3,41.3,41.8,42.1,42.1,41.7,41.8,41.8,41.4,40.9
CEU4348400003    ,CEU4348400003    ,43484000,3,2006-M03,2021-M10,19.8,20.07,19.81,20.54,21.41,21.99,22.35,22.68,22.48,22.74,23.39,24.32,25.29,26.42
CEU4348400011    ,CEU4348400011    ,43484000,11,2006-M03,2021-M10,791.99,812.22,791.68,838.22,884.79,907.49,934.24,955.94,947.11,948.57,977.88,1015.67,1046.8,1080.8
CEU4348400012    ,CEU4348400012    ,43484000,12,2006-M03,2021-M10,381.97,377.25,369.02,384.41,393.35,395.26,401.04,403.8,399.6,395.23,398.94,404.48,409.45,417.6
CEU4348400013    ,CEU4348400013    ,43484000,13,2006-M03,2021-M10,9.55,9.32,9.23,9.42,9.52,9.58,9.59,9.58,9.48,9.47,9.54,9.69,9.89,10.21
CEU4348400016    ,CEU4348400016    ,43484000,16,2006-M03,2021-M10,100.0,97.6,88.0,88.6,93.4,96.7,100.4,103.7,106.3,104.9,105.7,108.5,109.9,104.1
CEU4348400017    ,CEU4348400017    ,43484000,17,2006-M03,2021-M10,100.0,99.0,88.1,92.0,101.0,107.4,113.3,118.9,120.7,120.5,125.0,133.3,140.4,138.9
CEU4348400056    ,CEU4348400056    ,43484000,56,2006-M03,2021-M10,57589.0,56216.0,50700.0,51048.0,53762.0,55711.0,57792.0,59744.0,61196.0,60414.0,60900.0,62491.0,63283.0,59966.0
CEU4348400057    ,CEU4348400057    ,43484000,57,2006-M03,2021-M10,1140177.0,1128487.0,1004287.0,1048423.0,1151084.0,1224952.0,1291666.0,1355255.0,1375843.0,1373597.0,1424748.0,1519610.0,1600333.0,1583998.0
CEU4348410002    ,CEU4348410002    ,43484100,2,2006-M03,2021-M10,39.6,39.9,40.0,41.4,41.8,41.6,42.3,42.6,42.4,42.0,41.9,41.9,41.8,41.2
CEU4348410003    ,CEU4348410003    ,43484100,3,2006-M03,2021-M10,20.01,20.45,20.0,20.79,21.64,22.25,22.64,22.97,22.7,23.02,23.62,24.33,25.32,26.48
CEU4348410011    ,CEU4348410011    ,43484100,11,2006-M03,2021-M10,792.25,816.57,800.9,859.95,904.14,925.43,957.84,978.2,961.93,967.74,989.39,1020.42,1057.79,1092.07
CEU4348410012    ,CEU4348410012    ,43484100,12,2006-M03,2021-M10,382.1,379.27,373.32,394.37,401.95,403.07,411.17,413.2,405.85,403.21,403.63,406.37,413.75,421.96
CEU4348410013    ,CEU4348410013    ,43484100,13,2006-M03,2021-M10,9.65,9.5,9.32,9.53,9.62,9.69,9.72,9.7,9.58,9.59,9.64,9.69,9.9,10.23
CEU4348410016    ,CEU4348410016    ,43484100,16,2006-M03,2021-M10,100.0,97.7,88.9,90.0,94.5,96.7,100.2,103.3,105.8,105.3,105.3,108.8,110.8,105.3
CEU4348410017    ,CEU4348410017    ,43484100,17,2006-M03,2021-M10,100.0,99.9,88.8,93.5,102.2,107.5,113.4,118.6,120.0,121.2,124.3,132.2,140.1,139.4
CEU4348410056    ,CEU4348410056    ,43484100,56,2006-M03,2021-M10,39862.0,38947.0,35428.0,35889.0,37652.0,38537.0,39951.0,41194.0,42177.0,41985.0,41973.0,43356.0,44154.0,41980.0
CEU4348410057    ,CEU4348410057    ,43484100,57,2006-M03,2021-M10,797655.0,796638.0,708706.0,746096.0,814890.0,857396.0,904397.0,946063.0,957284.0,966405.0,991200.0,1054812.0,1117781.0,1111664.0
CEU4348411002    ,CEU4348411002    ,43484110,2,2006-M03,2021-M10,40.2,40.4,39.4,40.3,40.2,40.6,40.9,42.0,41.9,40.6,40.6,40.7,40.8,40.2
CEU4348411003    ,CEU4348411003    ,43484110,3,2006-M03,2021-M10,18.86,19.41,19.46,20.58,20.66,21.2,20.82,20.86,21.28,21.77,22.13,23.41,24.28,24.78
CEU4348411011    ,CEU4348411011    ,43484110,11,2006-M03,2021-M10,758.83,784.87,766.49,829.37,831.4,860.51,852.23,876.33,891.71,883.75,897.6,952.51,990.73,996.43
CEU4348411012    ,CEU4348411012    ,43484110,12,2006-M03,2021-M10,365.98,364.54,357.28,380.35,369.61,374.8,365.83,370.17,376.22,368.22,366.19,379.32,387.52,385.0
CEU4348411013    ,CEU4348411013    ,43484110,13,2006-M03,2021-M10,9.1,9.02,9.07,9.44,9.18,9.23,8.94,8.81,8.98,9.07,9.03,9.32,9.5,9.57
CEU4348411016    ,CEU4348411016    ,43484110,16,2006-M03,2021-M10,100.0,97.5,85.7,86.4,91.1,94.2,97.6,102.6,106.6,105.4,106.8,111.3,115.3,112.0
CEU4348411017    ,CEU4348411017    ,43484110,17,2006-M03,2021-M10,100.0,100.3,88.4,94.2,99.8,105.9,107.8,113.5,120.3,121.6,125.3,138.1,148.4,147.1
CEU4348411056    ,CEU4348411056    ,43484110,56,2006-M03,2021-M10,9478.0,9238.0,8121.0,8185.0,8632.0,8928.0,9254.0,9723.0,10106.0,9987.0,10120.0,10547.0,10926.0,10612.0
CEU4348411057    ,CEU4348411057    ,43484110,57,2006-M03,2021-M10,178756.0,179277.0,158076.0,168460.0,178321.0,189247.0,192667.0,202812.0,215006.0,217417.0,223899.0,246907.0,265227.0,262966.0
CEU4348412002    ,CEU4348412002    ,43484120,2,2006-M03,2021-M10,39.4,39.8,40.2,41.7,42.2,41.9,42.8,42.8,42.5,42.5,42.3,42.3,42.1,41.6
CEU4348412003    ,CEU4348412003    ,43484120,3,2006-M03,2021-M10,20.37,20.78,20.16,20.85,21.93,22.56,23.19,23.62,23.15,23.41,24.09,24.62,25.66,27.06
CEU4348412011    ,CEU4348412011    ,43484120,11,2006-M03,2021-M10,801.88,826.17,811.33,869.5,926.55,945.27,991.47,1009.79,984.42,995.03,1020.04,1042.1,1081.06,1125.62
CEU4348412012    ,CEU4348412012    ,43484120,12,2006-M03,2021-M10,386.74,383.72,378.18,398.75,411.91,411.71,425.6,426.55,415.34,414.58,416.14,415.0,422.86,434.92
CEU4348412013    ,CEU4348412013    ,43484120,13,2006-M03,2021-M10,9.82,9.65,9.4,9.56,9.75,9.83,9.95,9.98,9.77,9.75,9.83,9.8,10.04,10.46
CEU4348412016    ,CEU4348412016    ,43484120,16,2006-M03,2021-M10,100.0,97.8,89.9,91.3,95.5,97.5,101.1,103.6,105.6,105.4,104.9,108.0,109.5,103.3
CEU4348412017    ,CEU4348412017    ,43484120,17,2006-M03,2021-M10,100.0,99.8,89.0,93.4,102.9,108.0,115.1,120.1,120.0,121.1,124.1,130.5,137.9,137.2
CEU4348412056    ,CEU4348412056    ,43484120,56,2006-M03,2021-M10,30363.0,29708.0,27308.0,27714.0,29011.0,29600.0,30708.0,31458.0,32072.0,31992.0,31860.0,32779.0,33243.0,31369.0
CEU4348412057    ,CEU4348412057    ,43484120,57,2006-M03,2021-M10,618453.0,617293.0,550616.0,577778.0,636351.0,667888.0,712011.0,742911.0,742312.0,748869.0,767472.0,807091.0,852963.0,848754.0
CEU4348412102    ,CEU4348412102    ,43484121,2,2006-M03,2021-M10,40.2,40.7,40.3,41.3,41.7,40.7,41.9,42.1,41.9,41.9,41.9,41.8,41.6,40.8
CEU4348412103    ,CEU4348412103    ,43484121,3,2006-M03,2021-M10,20.19,20.73,19.82,20.39,21.43,22.24,22.91,23.45,23.05,22.88,23.46,23.78,24.78,26.33
CEU4348412111    ,CEU4348412111    ,43484121,11,2006-M03,2021-M10,811.22,843.84,798.4,842.48,894.37,905.84,960.64,986.45,966.91,958.85,982.26,993.22,1030.09,1073.49
CEU4348412112    ,CEU4348412112    ,43484121,12,2006-M03,2021-M10,391.25,391.93,372.15,386.36,397.61,394.54,412.37,416.69,407.95,399.51,400.73,395.54,402.92,414.78
CEU4348412113    ,CEU4348412113    ,43484121,13,2006-M03,2021-M10,9.74,9.63,9.24,9.35,9.53,9.69,9.83,9.91,9.73,9.53,9.57,9.47,9.69,10.17
CEU4348412116    ,CEU4348412116    ,43484121,16,2006-M03,2021-M10,100.0,99.1,88.7,87.8,91.6,91.8,95.7,96.7,97.1,97.1,96.5,98.2,99.9,94.4
CEU4348412117    ,CEU4348412117    ,43484121,17,2006-M03,2021-M10,100.0,101.7,87.1,88.6,97.2,101.0,108.6,112.3,110.9,110.0,112.1,115.7,122.5,123.1
CEU4348412156    ,CEU4348412156    ,43484121,56,2006-M03,2021-M10,21796.0,21599.0,19334.0,19130.0,19971.0,19998.0,20854.0,21081.0,21167.0,21166.0,21037.0,21403.0,21764.0,20573.0
CEU4348412157    ,CEU4348412157    ,43484121,57,2006-M03,2021-M10,440113.0,447730.0,383200.0,390019.0,427910.0,444713.0,477830.0,494351.0,487989.0,484261.0,493437.0,508991.0,539349.0,541721.0
CEU4348412202    ,CEU4348412202    ,43484122,2,2006-M03,2021-M10,37.5,37.5,40.1,42.6,43.4,44.5,44.6,44.3,43.7,43.7,43.3,43.5,43.3,43.3
CEU4348412203    ,CEU4348412203    ,43484122,3,2006-M03,2021-M10,20.82,20.91,21.0,21.87,23.06,23.25,23.76,23.96,23.32,24.44,25.32,26.2,27.32,28.44
CEU4348412211    ,CEU4348412211    ,43484122,11,2006-M03,2021-M10,781.53,783.51,842.58,931.12,1001.41,1035.36,1060.21,1060.08,1019.65,1069.11,1095.58,1139.19,1181.68,1231.43
CEU4348412212    ,CEU4348412212    ,43484122,12,2006-M03,2021-M10,376.93,363.91,392.74,427.01,445.19,450.95,455.11,447.79,430.2,445.45,446.96,453.67,462.21,475.8
CEU4348412213    ,CEU4348412213    ,43484122,13,2006-M03,2021-M10,10.04,9.71,9.79,10.03,10.25,10.13,10.2,10.12,9.84,10.18,10.33,10.43,10.69,10.99
CEU4348412216    ,CEU4348412216    ,43484122,16,2006-M03,2021-M10,100.0,94.5,92.9,99.9,105.4,111.9,114.7,120.9,127.0,126.1,126.0,132.7,133.7,125.8
CEU4348412217    ,CEU4348412217    ,43484122,17,2006-M03,2021-M10,100.0,94.9,93.7,105.0,116.7,124.9,130.9,139.1,142.2,148.1,153.2,167.0,175.5,171.8
CEU4348412256    ,CEU4348412256    ,43484122,56,2006-M03,2021-M10,8585.0,8115.0,7972.0,8580.0,9048.0,9603.0,9848.0,10380.0,10901.0,10829.0,10819.0,11391.0,11480.0,10799.0
CEU4348412257    ,CEU4348412257    ,43484122,57,2006-M03,2021-M10,178754.0,169702.0,167420.0,187667.0,208645.0,223242.0,234015.0,248659.0,254266.0,264676.0,273940.0,298486.0,313638.0,307118.0
CEU4348420002    ,CEU4348420002    ,43484200,2,2006-M03,2021-M10,41.0,41.7,39.8,39.5,40.3,40.6,40.7,41.2,41.6,41.0,41.6,41.4,40.5,40.1
CEU4348420003    ,CEU4348420003    ,43484200,3,2006-M03,2021-M10,19.32,19.22,19.35,19.95,20.87,21.41,21.71,22.06,22.0,22.1,22.9,24.3,25.22,26.26
CEU4348420011    ,CEU4348420011    ,43484200,11,2006-M03,2021-M10,791.47,802.29,770.47,788.87,841.66,868.91,883.36,909.89,914.2,906.37,952.07,1006.1,1021.38,1054.09
CEU4348420012    ,CEU4348420012    ,43484200,12,2006-M03,2021-M10,381.72,372.63,359.13,361.77,374.17,378.46,379.19,384.35,385.71,377.64,388.41,400.67,399.51,407.28
CEU4348420013    ,CEU4348420013    ,43484200,13,2006-M03,2021-M10,9.32,8.93,9.02,9.15,9.28,9.33,9.32,9.32,9.28,9.21,9.34,9.68,9.86,10.15
CEU4348420016    ,CEU4348420016    ,43484200,16,2006-M03,2021-M10,100.0,97.4,86.2,85.5,90.9,96.9,100.6,104.8,107.2,104.0,106.7,108.0,107.8,101.3
CEU4348420017    ,CEU4348420017    ,43484200,17,2006-M03,2021-M10,100.0,96.9,86.3,88.2,98.2,107.4,113.0,119.7,122.1,118.9,126.5,135.8,140.8,137.7
CEU4348420056    ,CEU4348420056    ,43484200,56,2006-M03,2021-M10,17731.0,17275.0,15276.0,15153.0,16122.0,17180.0,17838.0,18581.0,19009.0,18434.0,18923.0,19150.0,19116.0,17970.0
CEU4348420057    ,CEU4348420057    ,43484200,57,2006-M03,2021-M10,342555.0,331986.0,295603.0,302269.0,336404.0,367845.0,387250.0,409980.0,418245.0,407362.0,433325.0,465277.0,482160.0,471844.0
CEU4348421002    ,CEU4348421002    ,43484210,2,2006-M03,2021-M10,35.8,34.0,31.7,32.2,33.3,35.1,34.4,33.8,33.8,33.9,33.9,34.4,33.3,33.1
CEU4348421003    ,CEU4348421003    ,43484210,3,2006-M03,2021-M10,17.64,18.33,18.31,18.41,19.01,18.71,18.64,18.94,20.02,21.03,21.88,23.19,23.5,23.93
CEU4348421011    ,CEU4348421011    ,43484210,11,2006-M03,2021-M10,632.41,622.48,579.98,593.46,632.13,657.61,641.41,640.09,675.97,713.6,740.85,797.35,783.66,792.94
CEU4348421012    ,CEU4348421012    ,43484210,12,2006-M03,2021-M10,305.01,289.12,270.34,272.16,281.02,286.42,275.33,270.38,285.2,297.32,302.24,317.53,306.53,306.38
CEU4348421013    ,CEU4348421013    ,43484210,13,2006-M03,2021-M10,8.51,8.51,8.53,8.44,8.45,8.15,8.0,8.0,8.45,8.76,8.93,9.24,9.19,9.25
CEU4348421016    ,CEU4348421016    ,43484210,16,2006-M03,2021-M10,100.0,88.2,74.5,75.3,79.3,87.6,91.5,90.3,91.7,93.4,94.3,96.0,92.5,85.4
CEU4348421017    ,CEU4348421017    ,43484210,17,2006-M03,2021-M10,100.0,91.7,77.3,78.5,85.5,92.9,96.6,96.9,104.0,111.4,116.9,126.3,123.2,115.9
CEU4348421056    ,CEU4348421056    ,43484210,56,2006-M03,2021-M10,3569.0,3148.0,2659.0,2686.0,2831.0,3125.0,3265.0,3222.0,3271.0,3334.0,3364.0,3428.0,3300.0,3048.0
CEU4348421057    ,CEU4348421057    ,43484210,57,2006-M03,2021-M10,62962.0,57709.0,48680.0,49455.0,53820.0,58478.0,60838.0,61027.0,65507.0,70111.0,73604.0,79509.0,77556.0,72944.0
CEU4348422002    ,CEU4348422002    ,43484220,2,2006-M03,2021-M10,43.6,43.8,41.8,41.1,42.0,42.1,43.1,44.0,44.0,43.1,44.2,43.9,43.1,42.5
CEU4348422003    ,CEU4348422003    ,43484220,3,2006-M03,2021-M10,19.05,19.45,20.06,19.8,20.15,21.4,21.25,21.65,21.56,21.34,22.04,23.97,25.47,27.01
CEU4348422011    ,CEU4348422011    ,43484220,11,2006-M03,2021-M10,829.75,851.3,838.3,813.01,845.26,901.6,916.21,953.73,948.05,919.25,974.29,1053.43,1098.54,1147.18
CEU4348422012    ,CEU4348422012    ,43484220,12,2006-M03,2021-M10,400.18,395.4,390.75,372.84,375.77,392.69,393.3,402.87,399.99,383.01,397.47,419.51,429.69,443.25
CEU4348422013    ,CEU4348422013    ,43484220,13,2006-M03,2021-M10,9.19,9.03,9.35,9.08,8.96,9.32,9.12,9.15,9.1,8.89,8.99,9.55,9.96,10.44
CEU4348422016    ,CEU4348422016    ,43484220,16,2006-M03,2021-M10,100.0,97.9,86.1,85.0,91.5,98.0,101.5,107.1,107.1,101.3,106.7,107.9,109.5,102.4
CEU4348422017    ,CEU4348422017    ,43484220,17,2006-M03,2021-M10,100.0,100.0,90.7,88.3,96.8,110.1,113.2,121.7,121.3,113.5,123.4,135.9,146.4,145.1
CEU4348422056    ,CEU4348422056    ,43484220,56,2006-M03,2021-M10,9204.0,9013.0,7922.0,7823.0,8426.0,9016.0,9341.0,9854.0,9857.0,9327.0,9819.0,9934.0,10075.0,9421.0
CEU4348422057    ,CEU4348422057    ,43484220,57,2006-M03,2021-M10,175305.0,175319.0,158920.0,154859.0,169757.0,192928.0,198482.0,213374.0,212562.0,199011.0,216398.0,238155.0,256609.0,254417.0
CEU4348423002    ,CEU4348423002    ,43484230,2,2006-M03,2021-M10,40.7,44.4,42.6,42.4,42.8,41.9,41.2,41.9,43.1,42.8,43.0,42.3,41.1,41.2
CEU4348423003    ,CEU4348423003    ,43484230,3,2006-M03,2021-M10,21.04,19.35,18.75,21.1,23.19,23.1,24.45,24.63,23.84,23.94,24.97,25.51,25.78,26.26
CEU4348423011    ,CEU4348423011    ,43484230,11,2006-M03,2021-M10,855.94,858.96,799.07,895.42,992.36,966.96,1007.48,1031.19,1028.06,1025.81,1073.21,1080.07,1060.15,1080.78
CEU4348423012    ,CEU4348423012    ,43484230,12,2006-M03,2021-M10,412.82,398.95,372.46,410.64,441.17,421.16,432.47,435.59,433.75,427.41,437.83,430.12,414.68,417.59
CEU4348423013    ,CEU4348423013    ,43484230,13,2006-M03,2021-M10,10.15,8.99,8.74,9.68,10.31,10.06,10.5,10.4,10.06,9.97,10.19,10.16,10.08,10.15
CEU4348423016    ,CEU4348423016    ,43484230,16,2006-M03,2021-M10,100.0,103.0,94.6,93.5,98.1,101.6,105.4,110.9,118.5,116.3,115.8,116.6,115.6,111.0
CEU4348423017    ,CEU4348423017    ,43484230,17,2006-M03,2021-M10,100.0,94.7,84.3,93.8,108.1,111.5,122.5,129.9,134.3,132.3,137.4,141.4,141.7,138.6
CEU4348423056    ,CEU4348423056    ,43484230,56,2006-M03,2021-M10,4963.0,5111.0,4695.0,4641.0,4867.0,5041.0,5230.0,5506.0,5881.0,5771.0,5746.0,5787.0,5737.0,5509.0
CEU4348423057    ,CEU4348423057    ,43484230,57,2006-M03,2021-M10,104404.0,98909.0,88024.0,97922.0,112848.0,116454.0,127849.0,135619.0,140210.0,138176.0,143470.0,147609.0,147900.0,144680.0
CEU4348500002    ,CEU4348500002    ,43485000,2,2006-M03,2021-M10,32.9,32.9,32.3,33.0,34.6,34.4,33.2,32.5,33.6,33.6,34.4,35.0,34.5,33.6
CEU4348500003    ,CEU4348500003    ,43485000,3,2006-M03,2021-M10,15.18,15.64,15.59,16.4,16.96,17.23,17.17,17.19,17.44,17.91,18.41,19.09,19.87,21.11
CEU4348500011    ,CEU4348500011    ,43485000,11,2006-M03,2021-M10,499.93,514.61,504.21,540.84,585.89,592.04,570.11,558.01,586.54,602.53,632.37,668.34,685.68,708.43
CEU4348500012    ,CEU4348500012    ,43485000,12,2006-M03,2021-M10,241.11,239.02,235.02,248.03,260.47,257.86,244.73,235.71,247.47,251.05,257.98,266.16,268.2,273.72
CEU4348500013    ,CEU4348500013    ,43485000,13,2006-M03,2021-M10,7.32,7.26,7.27,7.52,7.54,7.5,7.37,7.26,7.36,7.46,7.51,7.6,7.77,8.16
CEU4348500016    ,CEU4348500016    ,43485000,16,2006-M03,2021-M10,100.0,102.5,100.3,104.1,111.8,111.3,109.5,111.3,118.1,119.4,123.1,125.4,123.4,91.1
CEU4348500017    ,CEU4348500017    ,43485000,17,2006-M03,2021-M10,100.0,105.6,103.0,112.5,124.9,126.3,123.9,126.1,135.7,140.8,149.2,157.7,161.5,126.6
CEU4348500056    ,CEU4348500056    ,43485000,56,2006-M03,2021-M10,13812.0,14161.0,13855.0,14385.0,15441.0,15374.0,15127.0,15374.0,16312.0,16490.0,16999.0,17322.0,17041.0,12582.0
CEU4348500057    ,CEU4348500057    ,43485000,57,2006-M03,2021-M10,209690.0,221505.0,215942.0,235901.0,261835.0,264907.0,259726.0,264322.0,284465.0,295348.0,312932.0,330616.0,338652.0,265545.0
CEU4348540002    ,CEU4348540002    ,43485400,2,2006-M03,2021-M10,28.4,29.5,28.2,27.5,28.9,28.8,27.0,25.4,25.6,28.0,29.8,31.0,29.7,28.5
CEU4348540003    ,CEU4348540003    ,43485400,3,2006-M03,2021-M10,14.5,14.68,15.21,17.11,18.17,17.99,17.64,17.92,17.89,18.16,17.86,18.15,19.17,20.64
CEU4348540011    ,CEU4348540011    ,43485400,11,2006-M03,2021-M10,411.62,432.65,429.48,470.24,526.09,518.97,476.76,454.92,458.78,508.33,532.79,562.51,568.49,587.96
CEU4348540012    ,CEU4348540012    ,43485400,12,2006-M03,2021-M10,198.52,200.95,200.19,215.65,233.88,226.04,204.66,192.16,193.56,211.8,217.36,224.01,222.36,227.18
CEU4348540013    ,CEU4348540013    ,43485400,13,2006-M03,2021-M10,6.99,6.82,7.09,7.85,8.08,7.84,7.57,7.57,7.55,7.57,7.29,7.23,7.5,7.97
CEU4348540016    ,CEU4348540016    ,43485400,16,2006-M03,2021-M10,100.0,107.1,104.0,101.9,107.7,104.5,99.3,97.8,100.0,110.9,119.0,124.5,120.8,85.3
CEU4348540017    ,CEU4348540017    ,43485400,17,2006-M03,2021-M10,100.0,108.4,109.1,120.3,135.1,129.7,120.8,120.9,123.4,138.8,146.6,155.9,159.7,121.4
CEU4348540056    ,CEU4348540056    ,43485400,56,2006-M03,2021-M10,5013.0,5368.0,5212.0,5110.0,5401.0,5237.0,4977.0,4904.0,5013.0,5558.0,5965.0,6242.0,6055.0,4274.0
CEU4348540057    ,CEU4348540057    ,43485400,57,2006-M03,2021-M10,72675.0,78786.0,79258.0,87452.0,98151.0,94246.0,87806.0,87876.0,89673.0,100903.0,106563.0,113289.0,116063.0,88194.0
CEU4348590002    ,CEU4348590002    ,43485900,2,2006-M03,2021-M10,36.9,34.3,34.6,35.9,36.7,34.7,33.9,33.8,35.5,34.9,35.0,35.0,34.8,34.4
CEU4348590003    ,CEU4348590003    ,43485900,3,2006-M03,2021-M10,13.75,14.02,14.01,14.72,15.5,15.78,15.48,14.69,15.1,15.6,16.24,16.73,17.12,18.0
CEU4348590011    ,CEU4348590011    ,43485900,11,2006-M03,2021-M10,507.48,480.55,484.02,528.89,569.35,548.06,524.89,496.39,535.72,544.67,567.75,585.45,595.15,620.08
CEU4348590012    ,CEU4348590012    ,43485900,12,2006-M03,2021-M10,244.76,223.2,225.61,242.55,253.11,238.71,225.32,209.68,226.03,226.94,231.62,233.15,232.79,239.59
CEU4348590013    ,CEU4348590013    ,43485900,13,2006-M03,2021-M10,6.63,6.51,6.53,6.75,6.89,6.87,6.65,6.21,6.37,6.5,6.63,6.66,6.7,6.95
CEU4348590016    ,CEU4348590016    ,43485900,16,2006-M03,2021-M10,100.0,97.7,102.8,113.2,124.3,121.0,118.8,125.4,140.2,140.9,144.8,147.9,149.6,123.4
CEU4348590017    ,CEU4348590017    ,43485900,17,2006-M03,2021-M10,100.0,99.6,104.7,121.2,140.1,138.9,133.8,134.0,154.0,159.9,171.1,179.9,186.2,161.6
CEU4348590056    ,CEU4348590056    ,43485900,56,2006-M03,2021-M10,2589.0,2529.0,2661.0,2930.0,3217.0,3133.0,3077.0,3247.0,3631.0,3649.0,3750.0,3829.0,3872.0,3196.0
CEU4348590057    ,CEU4348590057    ,43485900,57,2006-M03,2021-M10,35595.0,35448.0,37266.0,43131.0,49866.0,49435.0,47639.0,47699.0,54813.0,56905.0,60915.0,64048.0,66275.0,57533.0
CEU4348800002    ,CEU4348800002    ,43488000,2,2006-M03,2021-M10,38.4,37.6,37.0,37.0,37.8,37.5,37.8,37.5,37.7,36.8,37.0,37.7,37.7,37.4
CEU4348800003    ,CEU4348800003    ,43488000,3,2006-M03,2021-M10,20.77,21.84,22.48,22.72,22.97,23.46,23.48,23.43,23.42,24.04,24.83,25.57,26.28,28.09
CEU4348800011    ,CEU4348800011    ,43488000,11,2006-M03,2021-M10,797.7,820.98,831.43,841.61,869.19,879.44,887.68,878.04,882.16,885.74,917.95,963.14,991.37,1051.75
CEU4348800012    ,CEU4348800012    ,43488000,12,2006-M03,2021-M10,384.73,381.31,387.55,385.96,386.41,383.04,381.05,370.89,372.19,369.05,374.49,383.56,387.77,406.38
CEU4348800013    ,CEU4348800013    ,43488000,13,2006-M03,2021-M10,10.02,10.14,10.48,10.42,10.21,10.22,10.08,9.9,9.88,10.02,10.13,10.18,10.28,10.85
CEU4348800016    ,CEU4348800016    ,43488000,16,2006-M03,2021-M10,100.0,99.1,90.4,89.6,94.8,96.9,100.8,104.4,109.3,109.3,113.3,120.2,124.4,114.7
CEU4348800017    ,CEU4348800017    ,43488000,17,2006-M03,2021-M10,100.0,104.3,97.9,98.0,104.9,109.5,113.9,117.8,123.2,126.5,135.5,148.0,157.4,155.1
