index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU9092262201    ,CEU9092262201    ,90922622,1,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.9,472.1,483.0,502.9,517.7,538.0,540.8,537.7,529.6,514.7,494.2,471.2,458.8,448.5,438.1,438.7,446.2,442.4,426.2,416.7,418.7,413.7,407.1,395.3,375.7,359.8,346.0,343.8,342.6,344.8,349.4,347.8,347.8,349.8,357.4,359.8,360.8,358.8,353.6,347.9,349.1,349.9,347.4,354.0,367.0,376.0,380.7,387.1,399.7,408.2
CEU9092262210    ,CEU9092262210    ,90922622,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.7,298.2,305.7,314.0,325.4,335.5,326.5,334.6,350.0,340.0,323.4,310.2,307.8,307.6,307.1,310.8,318.5,316.8,308.7,306.6,307.5,302.5,297.4,288.5,275.2,263.0,252.7,252.1,251.6,255.6,259.8,251.1,246.9,248.6,255.1,254.7,255.5,255.9,251.5,246.3,244.2,244.2,242.2,243.4,254.0,261.3,264.6,271.6,281.8,291.0
CEU9092292001    ,CEU9092292001    ,90922920,1,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.0,726.3,750.5,797.3,827.2,878.9,969.4,1005.7,1039.9,1061.9,1098.4,1141.1,1193.3,1261.2,1340.1,1410.0,1485.4,1560.3,1651.5,1684.0,1708.7,1747.1,1783.1,1818.3,1823.5,1821.1,1840.3,1870.9,1884.8,1899.0,1892.3,1861.6,1852.3,1861.5,1879.1,1907.2,1927.1,1919.1,1894.9,1852.9,1817.4,1807.1,1812.3,1814.7,1808.8,1808.1,1818.2,1823.9,1826.2,1801.2
CEU9092292010    ,CEU9092292010    ,90922920,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.1,248.5,271.7,308.8,337.7,368.1,400.6,397.4,400.4,417.0,423.6,395.0,450.0,501.7,554.1,601.5,642.6,683.5,724.5,739.3,749.3,768.5,786.5,811.2,813.1,818.5,834.5,850.3,861.6,879.3,887.4,867.1,865.8,866.8,871.4,884.6,895.7,874.1,877.6,875.2,868.9,863.0,865.1,869.5,864.6,866.0,879.3,884.9,883.1,871.3
CEU9092299901    ,CEU9092299901    ,90922999,1,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.8,518.9,538.4,556.3,556.7,575.0,596.1,619.0,642.6,643.5,614.6,600.0,594.3,582.2,553.7,531.9,524.1,511.2,496.9,486.6,482.3,493.0,503.4,501.9,495.8,497.1,503.9,510.9,528.4,548.0,544.6,538.2,543.8,560.2,545.4,537.4,534.6,530.9,515.5,502.9,499.9,495.8,500.8,506.9,505.2,502.3,487.5,479.9,473.2,463.6
CEU9092299910    ,CEU9092299910    ,90922999,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.5,162.0,174.2,187.4,192.4,205.0,213.6,221.8,232.3,240.2,232.6,227.8,237.6,242.2,241.9,239.7,244.3,249.1,254.4,259.1,256.2,262.2,268.8,271.7,271.3,273.5,277.1,281.1,292.4,293.1,290.0,277.6,268.3,268.8,276.0,261.9,262.4,257.1,247.1,245.4,247.6,243.1,245.1,271.3,277.5,274.2,260.6,252.7,247.4,240.2
CEU9093000001    ,CEU9093000001    ,90930000,1,1955-M01,2022-M01,,,,,,,,,,,,,,,,,3558.0,3819.0,4071.0,4232.0,4366.0,4547.0,4708.0,4881.0,5121.0,5392.0,5700.0,6080.0,6371.0,6660.0,6904.0,7158.0,7437.0,7790.0,8146.0,8407.0,8758.0,8865.0,9023.0,9446.0,9633.0,9765.0,9619.0,9458.0,9434.0,9482.0,9687.0,9901.0,10100.0,10339.0,10609.0,10914.0,11081.0,11267.0,11438.0,11682.0,11849.0,12056.0,12276.0,12525.0,12829.0,13139.0,13449.0,13718.0,13820.0,13909.0,14041.0,14167.0,14362.0,14571.0,14554.0,14376.0,14150.0,14045.0,14037.0,14098.0,14195.0,14319.0,14379.0,14481.0,14576.0,13921.0,13912.0
CEU9093000010    ,CEU9093000010    ,90930000,10,1964-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,2509.0,2689.0,2953.0,3128.0,3285.0,3373.0,3546.0,3698.0,3883.0,4048.0,4218.0,4309.0,4363.0,4574.0,4846.0,5051.0,5252.0,5226.0,5108.0,5147.0,5258.0,5408.0,5574.0,5738.0,5904.0,6106.0,6340.0,6483.0,6630.0,6767.0,6943.0,7088.0,7255.0,7426.0,7627.0,7866.0,8076.0,8333.0,8551.0,8565.0,8606.0,8637.0,8395.0,8725.0,9000.0,9014.0,8864.0,8700.0,8596.0,8589.0,8635.0,8683.0,8766.0,8796.0,8880.0,8959.0,8549.0,8572.0
CEU9093161101    ,CEU9093161101    ,90931611,1,1955-M01,2022-M01,,,,,,,,,,,,,,,,,1750.8,1883.9,2025.5,2114.7,2197.9,2314.3,2410.6,2521.6,2674.3,2838.7,3030.7,3296.7,3489.5,3649.4,3784.9,3911.6,4091.1,4261.9,4432.6,4583.6,4722.2,4785.7,4859.4,4958.0,4989.4,5090.1,5095.3,5049.4,5020.1,5075.8,5220.5,5357.7,5468.8,5590.0,5739.7,5902.1,5994.1,6075.9,6206.3,6329.4,6453.1,6592.3,6758.5,6920.9,7120.4,7293.9,7479.3,7654.4,7709.4,7765.2,7856.1,7913.0,7986.8,8083.9,8078.8,8013.4,7872.5,7777.9,7776.7,7814.9,7870.9,7905.1,7921.5,7963.0,8000.9,7581.2,7585.8
CEU9093161110    ,CEU9093161110    ,90931611,10,1964-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,1723.3,1855.7,2054.9,2168.2,2257.1,2282.4,2374.1,2443.6,2538.5,2633.6,2741.6,2828.4,2860.5,2965.5,3076.8,3189.7,3294.9,3307.4,3209.3,3250.0,3331.7,3443.6,3565.3,3690.2,3792.5,3925.0,4080.1,4175.0,4253.5,4366.8,4461.9,4577.7,4701.6,4840.0,4967.0,5142.6,5265.5,5474.4,5644.8,5634.9,5660.4,5688.1,5430.9,5673.5,5899.4,5941.0,5867.4,5751.9,5676.7,5673.4,5708.0,5749.3,5783.0,5798.5,5845.2,5882.9,5598.5,5617.3
