index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5552232056    ,CEU5552232056    ,55522320,56,2006-M03,2022-M01,4004.0,3941.0,3857.0,3895.0,3986.0,4127.0,4362.0,4491.0,4660.0,4815.0,4925.0,4995.0,4954.0,4796.0,4754.0
CEU5552232057    ,CEU5552232057    ,55522320,57,2006-M03,2022-M01,83577.0,83097.0,84361.0,92939.0,105135.0,121492.0,119481.0,130676.0,150556.0,155690.0,172815.0,167719.0,148785.0,147352.0,156464.0
CEU5552239002    ,CEU5552239002    ,55522390,2,2006-M03,2022-M01,36.1,36.8,35.8,36.3,36.4,37.2,37.8,38.5,38.8,38.6,39.3,38.9,37.6,36.0,36.3
CEU5552239003    ,CEU5552239003    ,55522390,3,2006-M03,2022-M01,17.26,17.78,16.88,16.97,16.83,18.05,18.13,18.53,20.51,22.56,24.1,24.22,23.78,23.92,25.85
CEU5552239011    ,CEU5552239011    ,55522390,11,2006-M03,2022-M01,623.46,653.8,604.3,616.83,612.08,671.97,685.64,712.7,796.38,870.33,948.19,943.36,895.05,861.54,939.3
CEU5552239012    ,CEU5552239012    ,55522390,12,2006-M03,2022-M01,300.69,303.67,281.68,282.88,272.11,292.68,294.32,301.05,336.0,362.63,386.83,375.68,350.1,332.88,346.64
CEU5552239013    ,CEU5552239013    ,55522390,13,2006-M03,2022-M01,8.32,8.26,7.87,7.78,7.48,7.86,7.78,7.83,8.65,9.4,9.83,9.65,9.3,9.24,9.54
CEU5552239016    ,CEU5552239016    ,55522390,16,2006-M03,2022-M01,100.0,97.1,92.2,92.3,93.8,93.4,99.0,96.9,94.1,93.5,95.5,94.4,90.8,82.2,79.4
CEU5552239017    ,CEU5552239017    ,55522390,17,2006-M03,2022-M01,100.0,100.1,90.2,90.8,91.4,97.7,104.0,104.0,111.9,122.2,133.4,132.5,125.2,114.0,119.0
CEU5552239056    ,CEU5552239056    ,55522390,56,2006-M03,2022-M01,3497.0,3395.0,3225.0,3228.0,3279.0,3266.0,3461.0,3387.0,3291.0,3270.0,3339.0,3300.0,3177.0,2876.0,2778.0
