"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6M3_DISCONTINUED/H0.M3.M","H6/H6M3_DISCONTINUED/H0.M3@@M2.M","H6/H6M3_DISCONTINUED/H0.M3_N.M","H6/H6M3_DISCONTINUED/H0.M3@@M2_N.M","H6/H6M3_DISCONTINUED/H0.MDTLB.M","H6/H6M3_DISCONTINUED/H0.MDTLT.M","H6/H6M3_DISCONTINUED/H0.MRP.M","H6/H6M3_DISCONTINUED/H0.MEU.M","H6/H6M3_DISCONTINUED/H0.MMFIN.M","H6/H6M3_DISCONTINUED/H0.MDTLB_N.M","H6/H6M3_DISCONTINUED/H0.MDTLT_N.M","H6/H6M3_DISCONTINUED/H0.MRPAB_N.M","H6/H6M3_DISCONTINUED/H0.MRPT_N.M","H6/H6M3_DISCONTINUED/H0.MRP_N.M","H6/H6M3_DISCONTINUED/H0.MEU_N.M","H6/H6M3_DISCONTINUED/H0.MMFIN_N.M"
"Time Period","H0.M3.M","H0.M3@@M2.M","H0.M3_N.M","H0.M3@@M2_N.M","H0.MDTLB.M","H0.MDTLT.M","H0.MRP.M","H0.MEU.M","H0.MMFIN.M","H0.MDTLB_N.M","H0.MDTLT_N.M","H0.MRPAB_N.M","H0.MRPT_N.M","H0.MRP_N.M","H0.MEU_N.M","H0.MMFIN_N.M"
1961-02,319.9,3.3,319.9,3.3,2.4,0.0,0.0,1.0,0.0,2.4,0.0,0.0,0.0,0.0,1.0,0.0
1961-03,321.9,3.6,320.8,3.6,2.5,0.0,0.0,1.1,0.0,2.5,0.0,0.0,0.0,0.0,1.1,0.0
1961-04,323.8,3.9,324.2,4.0,2.7,0.0,0.0,1.2,0.0,2.8,0.0,0.0,0.0,0.0,1.2,0.0
1961-05,326.5,4.3,324.5,4.4,2.9,0.0,0.0,1.4,0.0,3.1,0.0,0.0,0.0,0.0,1.4,0.0
1961-06,328.9,4.6,327.5,4.8,3.1,0.0,0.0,1.5,0.0,3.3,0.0,0.0,0.0,0.0,1.5,0.0
1961-07,330.5,5.0,330.0,5.1,3.4,0.0,0.0,1.6,0.0,3.5,0.0,0.0,0.0,0.0,1.6,0.0
1961-08,332.7,5.1,331.0,5.2,3.6,0.0,0.0,1.6,0.0,3.7,0.0,0.0,0.0,0.0,1.6,0.0
1961-09,334.8,5.2,334.0,5.2,3.7,0.0,0.0,1.5,0.0,3.7,0.0,0.0,0.0,0.0,1.5,0.0
1961-10,336.5,5.4,336.8,5.2,3.9,0.0,0.0,1.5,0.0,3.7,0.0,0.0,0.0,0.0,1.5,0.0
1961-11,338.8,5.5,339.3,5.2,4.0,0.0,0.0,1.5,0.0,3.7,0.0,0.0,0.0,0.0,1.5,0.0
1961-12,340.8,5.3,343.7,5.2,3.9,0.0,0.0,1.5,0.0,3.7,0.0,0.0,0.0,0.0,1.5,0.0
1962-01,343.0,5.5,346.5,5.4,4.1,0.0,0.0,1.5,0.0,3.9,0.0,0.0,0.0,0.0,1.5,0.0
1962-02,346.1,5.9,346.2,5.9,4.4,0.0,0.0,1.5,0.0,4.4,0.0,0.0,0.0,0.0,1.5,0.0
1962-03,349.4,6.3,348.4,6.3,4.8,0.0,0.0,1.6,0.0,4.8,0.0,0.0,0.0,0.0,1.6,0.0
1962-04,352.1,6.6,352.7,6.7,5.1,0.0,0.0,1.6,0.0,5.2,0.0,0.0,0.0,0.0,1.6,0.0
1962-05,354.2,6.7,352.1,7.0,5.2,0.0,0.0,1.5,0.0,5.5,0.0,0.0,0.0,0.0,1.5,0.0
1962-06,356.3,7.1,355.0,7.3,5.6,0.0,0.0,1.5,0.0,5.8,0.0,0.0,0.0,0.0,1.5,0.0
1962-07,358.0,7.1,357.4,7.3,5.6,0.0,0.0,1.5,0.0,5.8,0.0,0.0,0.0,0.0,1.5,0.0
1962-08,360.1,7.3,358.3,7.4,5.7,0.0,0.0,1.6,0.0,5.8,0.0,0.0,0.0,0.0,1.6,0.0
1962-09,362.5,7.6,361.5,7.6,6.0,0.0,0.0,1.6,0.0,6.0,0.0,0.0,0.0,0.0,1.6,0.0
1962-10,365.1,8.0,365.3,7.8,6.4,0.0,0.0,1.6,0.0,6.2,0.0,0.0,0.0,0.0,1.6,0.0
1962-11,368.0,8.2,368.3,7.8,6.6,0.0,0.0,1.6,0.0,6.2,0.0,0.0,0.0,0.0,1.6,0.0
1962-12,371.3,8.6,374.0,8.2,7.0,0.0,0.0,1.6,0.0,6.6,0.0,0.0,0.0,0.0,1.6,0.0
1963-01,374.2,9.0,377.9,8.8,7.3,0.0,0.0,1.7,0.0,7.2,0.0,0.0,0.0,0.0,1.7,0.0
1963-02,377.2,9.2,377.3,9.2,7.5,0.0,0.0,1.7,0.0,7.5,0.0,0.0,0.0,0.0,1.7,0.0
1963-03,380.2,9.6,379.4,9.6,7.9,0.0,0.0,1.7,0.0,7.9,0.0,0.0,0.0,0.0,1.7,0.0
1963-04,383.1,9.8,383.9,10.0,8.1,0.0,0.0,1.8,0.0,8.3,0.0,0.0,0.0,0.0,1.8,0.0
1963-05,386.2,10.1,383.9,10.5,8.3,0.0,0.0,1.8,0.0,8.7,0.0,0.0,0.0,0.0,1.8,0.0
1963-06,388.8,10.3,387.4,10.6,8.5,0.0,0.0,1.8,0.0,8.8,0.0,0.0,0.0,0.0,1.8,0.0
