"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6M3_DISCONTINUED/H0.M3.M","H6/H6M3_DISCONTINUED/H0.M3@@M2.M","H6/H6M3_DISCONTINUED/H0.M3_N.M","H6/H6M3_DISCONTINUED/H0.M3@@M2_N.M","H6/H6M3_DISCONTINUED/H0.MDTLB.M","H6/H6M3_DISCONTINUED/H0.MDTLT.M","H6/H6M3_DISCONTINUED/H0.MRP.M","H6/H6M3_DISCONTINUED/H0.MEU.M","H6/H6M3_DISCONTINUED/H0.MMFIN.M","H6/H6M3_DISCONTINUED/H0.MDTLB_N.M","H6/H6M3_DISCONTINUED/H0.MDTLT_N.M","H6/H6M3_DISCONTINUED/H0.MRPAB_N.M","H6/H6M3_DISCONTINUED/H0.MRPT_N.M","H6/H6M3_DISCONTINUED/H0.MRP_N.M","H6/H6M3_DISCONTINUED/H0.MEU_N.M","H6/H6M3_DISCONTINUED/H0.MMFIN_N.M"
"Time Period","H0.M3.M","H0.M3@@M2.M","H0.M3_N.M","H0.M3@@M2_N.M","H0.MDTLB.M","H0.MDTLT.M","H0.MRP.M","H0.MEU.M","H0.MMFIN.M","H0.MDTLB_N.M","H0.MDTLT_N.M","H0.MRPAB_N.M","H0.MRPT_N.M","H0.MRP_N.M","H0.MEU_N.M","H0.MMFIN_N.M"
1985-10,3167.1,695.5,3166.9,697.0,263.6,149.9,111.6,104.8,65.5,265.0,151.3,83.1,29.1,112.3,102.9,65.5
1985-11,3182.3,701.1,3189.7,704.2,266.5,150.8,114.4,104.3,65.1,266.5,151.7,85.7,31.4,117.2,102.2,66.7
1985-12,3208.1,712.4,3221.6,714.0,269.9,151.8,121.2,104.2,65.3,269.5,151.9,87.7,33.7,121.5,104.3,66.8
1986-01,3232.8,727.1,3243.0,728.6,279.0,152.4,121.8,106.5,67.4,278.2,152.8,86.3,34.9,121.2,106.7,69.7
1986-02,3250.7,734.6,3241.8,736.4,280.5,153.7,124.4,107.1,68.9,280.0,154.1,90.5,34.5,125.1,107.1,70.1
1986-03,3277.2,741.0,3272.8,742.1,277.3,156.8,126.2,108.2,72.5,278.4,156.2,90.6,34.1,124.7,110.1,72.7
1986-04,3307.7,746.7,3309.9,741.8,275.3,158.5,126.3,109.4,77.1,274.2,157.0,89.1,35.5,124.6,109.4,76.6
1986-05,3331.0,742.6,3318.4,743.7,271.0,158.2,126.9,107.7,78.8,270.9,157.5,89.6,38.1,127.7,108.9,78.7
1986-06,3353.0,744.4,3348.8,739.9,269.6,158.2,127.8,109.2,79.6,269.0,157.4,86.2,40.6,126.8,109.1,77.6
1986-07,3381.9,751.4,3381.2,744.9,269.2,158.6,132.9,109.2,81.5,267.6,157.7,90.4,40.8,131.2,107.9,80.4
1986-08,3407.8,757.5,3407.3,757.6,271.1,158.2,134.9,107.9,85.3,271.9,158.3,94.6,41.1,135.8,107.9,83.8
1986-09,3435.3,763.4,3432.2,766.4,270.5,157.2,135.9,110.6,89.2,272.3,157.9,94.2,42.6,136.7,112.1,87.5
1986-10,3455.6,763.7,3453.7,764.8,268.3,155.0,139.0,112.6,88.9,269.4,156.5,95.5,44.5,140.0,111.0,87.9
1986-11,3467.1,761.6,3474.9,765.4,267.5,152.4,141.6,113.6,86.4,267.5,153.5,98.1,46.9,145.0,111.8,87.7
1986-12,3499.1,766.8,3513.3,768.3,268.6,150.4,145.8,115.7,86.2,267.8,150.8,96.7,49.2,145.8,116.6,87.3
1987-01,3524.7,776.7,3536.0,778.4,272.7,149.2,149.5,120.1,85.1,271.7,149.7,98.5,50.2,148.7,120.8,87.5
1987-02,3534.3,782.6,3524.1,784.6,274.7,149.0,150.5,122.3,86.2,274.4,149.1,98.2,52.6,150.7,122.0,88.4
1987-03,3542.6,784.9,3538.4,786.4,277.8,148.2,150.2,121.0,87.7,279.2,147.6,94.9,53.1,148.0,122.8,88.8
1987-04,3562.7,790.8,3568.1,784.9,281.8,145.8,155.8,120.1,87.2,281.0,144.5,95.8,57.0,152.7,119.6,87.0
1987-05,3578.2,801.0,3565.1,801.1,286.7,146.3,160.1,122.1,85.8,286.8,145.7,97.4,62.9,160.4,122.7,85.5
1987-06,3593.4,814.6,3588.0,810.4,291.0,147.7,164.9,123.6,87.4,290.6,146.8,96.3,68.1,164.5,123.1,85.5
1987-07,3599.2,815.9,3599.8,810.4,290.9,149.3,167.7,119.2,88.8,289.4,148.3,97.0,70.1,167.1,117.7,87.9
1987-08,3620.1,827.8,3621.1,829.5,290.6,151.3,173.5,123.3,89.2,291.3,151.2,103.0,72.6,175.5,123.3,88.2
1987-09,3642.5,838.9,3639.8,842.3,290.3,153.2,179.2,128.7,87.5,291.8,154.0,105.6,74.9,180.5,130.5,85.6
1987-10,3667.9,848.7,3665.6,850.0,295.3,156.2,179.1,129.5,88.5,296.4,157.8,105.5,75.4,180.9,128.3,86.7
1987-11,3681.5,857.5,3689.1,862.4,300.3,159.4,180.0,125.0,92.7,300.5,160.8,106.4,77.6,184.0,123.4,93.8
1987-12,3686.5,855.0,3698.7,855.3,299.1,162.7,178.0,121.5,93.7,297.9,163.3,104.3,72.6,176.9,123.2,94.1
1988-01,3709.1,856.7,3719.9,857.7,296.1,164.1,180.9,119.0,96.5,294.5,164.6,106.3,73.3,179.6,120.1,99.0
1988-02,3737.2,861.8,3728.0,864.1,300.1,165.1,179.3,117.5,99.9,299.7,165.1,106.5,72.6,179.0,117.0,103.3
1988-03,3762.1,866.4,3759.7,868.0,303.0,166.5,178.0,118.8,100.0,304.8,165.7,105.0,70.0,175.0,120.3,102.2
1988-04,3788.5,872.7,3796.0,865.5,301.8,168.0,183.4,122.3,97.3,301.2,166.5,107.4,71.8,179.2,121.5,97.1
1988-05,3814.6,883.4,3798.5,882.6,304.2,168.4,188.3,126.7,95.9,304.7,167.8,112.0,76.1,188.2,126.6,95.5
1988-06,3834.2,890.9,3827.8,887.6,309.3,168.3,190.0,129.7,93.6,309.1,167.4,112.3,78.4,190.7,128.7,91.8
1988-07,3850.3,897.2,3851.5,892.4,315.1,169.3,189.3,131.9,91.5,313.8,168.1,109.3,80.9,190.2,129.9,90.3
1988-08,3864.5,906.3,3864.9,908.9,322.6,170.1,188.8,134.0,90.7,323.6,169.9,111.2,80.6,191.7,134.0,89.7
1988-09,3876.3,913.1,3872.3,916.0,327.5,173.3,189.3,131.2,91.9,328.8,174.3,108.0,82.4,190.5,132.7,89.7
1988-10,3890.1,918.5,3888.4,920.1,329.1,174.9,191.9,129.7,92.9,329.9,176.7,107.4,86.6,194.0,128.7,90.7
1988-11,3909.0,922.6,3917.4,928.5,329.4,175.0,193.4,131.5,93.3,330.0,176.7,109.9,87.6,197.4,130.3,94.0
1988-12,3928.8,934.4,3941.1,934.3,337.8,174.5,196.5,131.7,93.8,336.3,175.3,107.9,86.2,194.1,134.5,94.0
1989-01,3937.0,939.3,3944.3,939.4,344.5,175.2,197.1,129.1,93.5,342.1,175.7,108.2,86.8,195.0,130.5,96.1
1989-02,3940.8,942.7,3932.8,944.3,348.0,175.5,196.7,129.8,92.8,347.4,175.3,109.7,86.1,195.9,129.3,96.5
1989-03,3961.5,955.8,3962.2,957.1,354.4,175.3,201.0,132.3,92.8,356.5,174.3,110.4,87.2,197.6,134.0,94.7
1989-04,3970.8,958.9,3980.0,950.8,358.3,177.0,196.7,131.4,95.5,357.5,175.4,105.3,87.0,192.3,130.5,95.1
1989-05,3974.9,957.5,3958.1,956.1,359.0,178.1,193.3,127.5,99.5,359.7,177.5,104.9,88.0,192.9,126.8,99.2
1989-06,3995.2,961.6,3987.5,959.2,358.9,178.1,195.6,124.5,104.5,359.0,177.1,109.0,88.3,197.2,123.0,102.8
1989-07,4017.4,959.2,4016.6,955.1,359.7,176.8,190.0,124.9,107.8,358.7,175.5,109.4,82.3,191.7,122.9,106.2
1989-08,4027.5,947.1,4027.3,950.3,360.0,174.5,180.9,121.6,110.2,361.4,174.2,109.0,75.4,184.4,121.4,109.0
1989-09,4035.2,936.4,4029.7,937.3,361.3,170.5,176.6,117.3,110.8,362.3,171.6,109.3,68.3,177.6,118.0,107.9
1989-10,4047.5,926.8,4043.6,927.8,363.1,166.3,174.1,112.9,110.5,363.8,168.0,112.9,63.3,176.3,112.0,107.7
1989-11,4063.1,923.7,4071.4,929.4,364.9,163.4,173.9,110.7,110.9,365.8,165.0,115.9,61.3,177.1,110.1,111.2
1989-12,4077.1,918.6,4089.5,918.0,366.6,161.5,169.1,109.4,112.0,365.0,162.2,112.1,54.0,166.2,112.4,112.2
1990-01,4089.2,916.4,4091.7,914.9,369.7,159.5,168.4,106.5,112.3,367.1,158.4,114.2,51.6,165.8,107.9,115.7
1990-02,4095.6,910.0,4089.8,912.8,370.3,154.5,171.8,101.6,111.8,369.7,154.2,119.2,51.4,170.7,101.5,116.8
1990-03,4098.3,901.7,4102.8,903.8,369.5,150.0,170.3,97.2,114.6,369.9,150.2,117.4,50.6,167.9,98.9,116.8
1990-04,4105.8,897.4,4117.5,891.3,369.5,146.9,168.2,96.4,116.4,368.1,146.3,114.2,50.7,164.8,95.9,116.1
1990-05,4107.8,901.2,4093.4,900.7,371.2,142.8,169.2,100.6,117.4,371.9,143.0,117.6,51.1,168.7,99.7,117.4
1990-06,4115.1,895.9,4111.3,895.0,370.4,139.0,169.9,97.6,119.0,370.9,139.2,121.7,50.3,171.9,96.1,116.8
1990-07,4127.8,897.9,4125.2,895.2,374.2,135.1,169.6,97.4,121.5,374.0,135.0,123.3,48.1,171.4,95.6,119.2
1990-08,4144.2,896.5,4145.4,901.1,373.5,132.1,168.7,98.5,123.7,375.6,132.8,124.8,47.3,172.1,98.0,122.6
1990-09,4151.5,891.4,4147.1,892.3,367.6,129.9,165.1,100.9,127.9,370.1,130.7,118.6,47.1,165.8,100.8,124.9
1990-10,4155.9,890.9,4149.8,890.2,366.3,127.9,161.2,103.0,132.5,367.2,128.2,118.0,45.3,163.3,102.2,129.3
1990-11,4151.8,882.2,4156.8,884.7,366.6,125.2,155.4,101.5,133.4,366.5,125.2,114.5,43.5,157.9,101.6,133.5
1990-12,4154.7,875.9,4166.1,874.2,360.5,121.1,151.5,103.3,139.6,358.9,120.6,106.4,42.3,148.7,106.4,139.5
1991-01,4177.2,882.7,4177.9,881.7,365.2,117.9,148.3,105.0,146.3,362.2,116.9,104.4,41.1,145.5,106.4,150.7
1991-02,4193.9,882.1,4191.0,887.7,367.4,114.4,142.0,104.2,154.1,366.5,114.1,101.8,39.1,140.9,104.6,161.6
1991-03,4201.5,872.1,4209.9,875.4,365.1,111.0,136.8,102.9,156.4,364.9,110.9,99.2,36.2,135.4,105.2,158.9
1991-04,4209.0,868.6,4220.9,863.7,362.0,108.2,136.8,101.9,159.8,360.6,107.8,100.6,34.0,134.6,101.4,159.3
1991-05,4208.4,857.9,4195.9,858.0,359.3,104.3,134.4,98.6,161.2,360.5,104.7,100.9,32.9,133.8,97.4,161.6
1991-06,4209.2,850.0,4205.2,848.1,360.2,100.5,131.0,96.7,161.7,361.1,100.7,102.9,30.0,132.9,95.0,158.3
1991-07,4202.5,839.8,4197.0,835.5,354.1,97.3,130.9,96.0,161.6,354.1,97.3,102.5,29.8,132.3,93.9,157.9
1991-08,4197.1,835.5,4197.1,838.9,351.4,93.5,130.8,95.6,164.1,353.5,94.1,103.4,29.9,133.3,94.7,163.3
1991-09,4191.2,829.3,4182.8,828.5,348.5,90.5,129.4,93.6,167.3,350.8,91.1,101.0,28.9,129.9,92.8,163.7
1991-10,4195.4,828.5,4187.1,826.4,342.9,87.5,130.7,92.9,174.6,343.6,87.7,105.5,26.9,132.3,92.4,170.4
1991-11,4201.2,829.3,4209.7,831.6,338.7,85.3,131.6,93.1,180.5,339.0,85.3,107.3,25.8,133.1,93.6,180.6
1991-12,4210.3,830.5,4222.8,829.4,335.1,83.5,131.1,92.3,188.5,333.6,83.1,105.1,23.8,128.9,95.0,188.8
1992-01,4215.8,827.6,4218.1,828.1,330.3,82.0,131.8,90.6,192.9,327.2,81.2,106.6,22.7,129.3,91.9,198.5
1992-02,4236.2,829.1,4234.3,837.3,326.7,79.7,134.7,89.7,198.4,325.7,79.5,110.3,23.0,133.3,90.6,208.3
1992-03,4238.4,826.6,4241.6,829.7,324.9,77.5,133.3,89.9,200.9,324.5,77.4,109.8,22.5,132.3,92.1,203.5
1992-04,4226.1,818.9,4240.1,814.4,321.6,75.4,130.3,86.8,204.8,320.1,75.0,107.4,21.6,129.0,86.4,203.8
1992-05,4220.5,815.9,4211.1,816.4,318.2,72.8,129.7,84.4,210.6,319.6,73.2,107.5,21.8,129.3,83.3,211.1
1992-06,4218.7,818.1,4211.4,815.0,314.4,71.5,131.4,84.3,216.4,315.6,71.8,111.2,22.3,133.5,83.0,211.2
1992-07,4218.9,817.6,4212.2,811.3,309.1,71.3,130.7,83.4,223.2,308.9,71.2,109.6,22.1,131.8,81.5,217.9
1992-08,4227.1,821.4,4227.9,824.0,305.0,70.1,135.7,80.2,230.3,306.5,70.4,116.6,21.3,137.9,79.3,229.9
1992-09,4235.7,818.6,4225.1,816.7,301.6,69.7,136.7,80.1,230.5,303.5,70.2,116.6,20.7,137.3,79.2,226.5
1992-10,4234.9,803.8,4227.8,801.6,295.1,69.6,137.8,80.0,221.4,295.9,69.8,118.2,21.2,139.4,79.7,216.8
1992-11,4230.8,796.6,4240.7,799.9,290.7,68.2,139.4,79.0,219.3,291.3,68.4,118.8,21.6,140.4,79.7,220.2
1992-12,4222.6,789.5,4237.6,788.3,288.4,67.3,141.5,79.5,212.8,287.3,67.0,117.7,21.4,139.1,81.3,213.5
1993-01,4204.5,777.2,4210.1,778.3,283.5,67.3,141.3,77.7,207.3,280.7,66.6,116.1,22.8,138.8,78.9,213.2
1993-02,4207.7,784.2,4201.2,792.3,282.4,65.7,144.0,79.2,212.9,281.5,65.5,118.0,24.4,142.4,80.3,222.5
1993-03,4211.1,790.0,4210.9,792.1,280.6,65.0,149.5,80.1,215.0,280.1,64.9,123.4,25.1,148.6,81.8,216.8
1993-04,4212.6,791.8,4225.3,786.9,280.3,65.0,152.8,79.1,214.5,278.7,64.7,125.9,26.0,151.9,78.7,212.9
1993-05,4241.9,797.7,4231.4,798.2,284.7,64.5,153.5,77.5,217.6,286.0,64.8,127.2,26.2,153.5,76.5,217.4
1993-06,4242.1,792.4,4238.4,790.7,282.7,64.2,156.9,74.5,214.2,283.7,64.4,133.8,25.9,159.7,73.7,209.2
1993-07,4238.9,788.9,4234.7,783.3,277.1,64.1,164.5,71.4,211.8,276.7,64.0,138.7,26.6,165.3,69.7,207.6
1993-08,4240.4,785.7,4237.8,787.3,276.6,63.7,162.7,72.7,210.1,277.5,63.9,137.5,27.2,164.7,71.7,209.6
1993-09,4249.6,788.4,4239.4,786.4,274.8,63.3,166.7,72.4,211.2,276.3,63.7,139.9,27.7,167.6,71.5,207.4
1993-10,4256.5,791.2,4253.0,791.1,275.3,63.3,167.1,72.4,213.1,276.5,63.6,141.8,27.1,168.9,72.3,209.7
1993-11,4275.3,795.9,4283.5,799.4,275.0,63.2,169.0,74.6,214.1,276.1,63.5,141.7,27.5,169.2,75.2,215.4
1993-12,4285.6,801.3,4304.5,800.1,277.5,61.6,172.6,72.8,216.8,276.9,61.5,141.9,27.5,169.4,73.9,218.3
1994-01,4282.4,797.3,4288.5,798.5,279.5,62.0,170.9,72.0,213.0,276.5,61.3,140.3,28.1,168.4,73.1,219.2
1994-02,4268.7,782.3,4258.1,788.7,277.4,61.6,168.3,73.0,202.1,276.5,61.4,137.6,29.0,166.5,74.1,210.1
1994-03,4279.6,786.8,4276.8,788.2,276.0,61.1,173.6,72.1,204.0,275.7,61.1,144.1,28.7,172.8,73.3,205.3
1994-04,4290.4,793.2,4307.0,788.8,277.8,61.7,177.0,72.6,204.1,276.2,61.4,147.5,29.2,176.7,72.2,202.4
1994-05,4300.8,795.4,4285.3,795.5,283.0,60.6,175.9,75.8,200.0,284.3,60.9,146.1,30.8,176.9,75.2,198.2
1994-06,4297.3,805.3,4294.9,804.5,285.4,61.1,180.2,79.7,198.9,286.0,61.2,151.1,32.5,183.6,79.1,194.6
1994-07,4318.3,820.5,4317.4,815.5,290.0,61.9,184.1,85.0,199.6,289.2,61.7,150.4,34.2,184.6,83.1,196.7
1994-08,4319.7,824.2,4316.7,824.3,293.9,62.1,183.3,84.3,200.6,294.2,62.2,149.8,34.8,184.6,83.2,200.0
1994-09,4329.4,832.7,4318.0,830.0,298.5,63.0,185.7,84.4,201.0,299.8,63.3,151.0,35.2,186.2,83.3,197.5
1994-10,4339.7,844.6,4335.6,846.2,302.4,63.9,185.3,85.6,207.4,304.2,64.3,150.4,36.5,186.9,85.6,205.1
1994-11,4355.4,857.4,4364.0,861.2,308.3,64.3,188.5,86.8,209.5,310.2,64.7,150.8,37.5,188.4,87.2,210.7
1994-12,4369.8,872.2,4389.0,870.4,314.1,64.8,196.3,86.3,210.8,314.0,64.8,152.3,39.9,192.1,87.3,212.2
1995-01,4393.7,890.3,4397.4,891.9,316.2,67.0,201.0,89.3,216.7,312.9,66.3,157.5,41.5,199.0,91.0,222.7
1995-02,4396.5,895.9,4387.0,902.3,321.6,67.8,204.1,88.5,213.9,320.8,67.6,159.7,42.6,202.3,90.1,221.5
1995-03,4415.7,913.8,4417.7,916.4,327.9,68.9,203.9,90.7,222.4,327.8,68.9,159.9,43.4,203.4,91.6,224.7
1995-04,4436.5,926.6,4454.0,922.0,329.3,70.7,204.7,93.1,228.8,327.5,70.3,160.4,44.5,204.9,92.5,226.8
1995-05,4476.0,942.8,4459.4,943.1,335.1,69.8,208.5,93.5,236.0,336.5,70.0,164.9,45.9,210.7,93.4,232.5
1995-06,4514.6,956.0,4510.2,954.6,340.3,70.2,205.7,95.0,244.9,340.4,70.2,163.8,45.4,209.2,94.4,240.4
1995-07,4540.2,963.0,4537.6,957.2,341.0,71.7,202.0,97.5,250.8,339.8,71.4,156.6,45.6,202.3,95.4,248.2
1995-08,4575.5,976.1,4570.0,973.4,345.5,72.7,207.2,98.0,252.7,345.1,72.6,160.5,47.2,207.7,96.8,251.2
1995-09,4596.4,985.2,4585.7,980.4,350.2,72.9,207.5,98.5,256.1,351.1,73.0,159.5,47.9,207.4,97.3,251.7
1995-10,4613.6,990.4,4604.8,992.2,356.2,73.6,205.4,96.9,258.4,358.6,74.1,159.4,47.0,206.4,97.0,256.1
1995-11,4624.4,993.5,4631.1,997.3,361.0,74.0,202.1,95.0,261.5,363.9,74.6,155.3,46.3,201.6,94.9,262.3
1995-12,4636.3,995.7,4658.8,995.0,364.7,74.2,198.3,94.0,264.4,365.4,74.3,148.4,45.4,193.8,94.9,266.7
1996-01,4670.3,1011.8,4676.3,1015.1,369.6,75.4,200.2,96.5,270.1,365.7,74.6,154.2,45.0,199.3,98.6,276.8
1996-02,4700.6,1028.0,4694.8,1037.9,376.3,75.3,201.0,97.7,277.8,375.6,75.1,154.8,45.3,200.1,99.5,287.5
1996-03,4734.7,1036.6,4746.4,1042.0,381.8,74.4,200.0,97.3,283.1,382.1,74.5,154.4,45.6,200.0,97.9,287.5
1996-04,4753.0,1043.6,4770.7,1039.6,383.3,74.6,202.0,99.2,284.5,381.7,74.3,154.6,47.9,202.5,98.7,282.5
1996-05,4788.1,1069.2,4769.3,1069.5,393.3,74.5,216.0,98.6,286.7,394.7,74.8,168.7,50.8,219.5,99.1,281.5
1996-06,4811.0,1079.0,4807.1,1075.9,399.1,74.8,213.3,100.9,291.0,398.6,74.7,165.1,51.0,216.2,100.3,286.1
1996-07,4837.4,1089.9,4827.5,1081.9,405.3,75.4,212.0,99.6,297.6,403.7,75.1,161.3,50.4,211.7,97.5,293.8
1996-08,4857.3,1101.3,4850.3,1095.4,412.3,76.5,210.5,98.2,303.8,410.6,76.2,161.0,49.4,210.4,97.0,301.1
1996-09,4885.4,1119.4,4869.6,1112.1,417.7,77.0,214.3,100.9,309.5,417.9,77.0,164.1,49.1,213.2,99.5,304.4
1996-10,4925.6,1145.7,4911.9,1146.1,432.7,77.9,216.2,107.2,311.7,435.6,78.4,167.9,48.3,216.2,107.0,308.9
1996-11,4946.3,1151.4,4954.3,1155.7,434.1,78.3,212.4,109.0,317.6,438.2,79.0,164.8,47.5,212.3,108.3,318.0
1996-12,4985.5,1170.3,5008.0,1172.4,443.3,77.8,210.3,114.6,324.2,444.8,78.1,159.8,45.8,205.7,115.7,328.1
1997-01,5013.0,1183.9,5021.6,1188.6,447.4,79.7,212.7,117.5,326.6,443.1,78.9,166.9,45.7,212.6,120.1,333.9
1997-02,5045.3,1205.2,5047.3,1219.0,455.0,80.3,215.7,119.6,334.6,454.4,80.2,169.3,46.9,216.2,121.9,346.3
1997-03,5079.8,1224.8,5100.4,1234.1,465.3,79.8,214.9,122.2,342.6,466.1,79.9,169.0,46.7,215.7,123.1,349.3
1997-04,5120.7,1248.7,5145.3,1245.5,479.3,80.1,220.2,124.3,344.7,478.2,79.9,173.4,47.0,220.3,123.9,343.1
1997-05,5146.8,1262.6,5128.8,1264.0,483.4,80.7,219.9,128.9,349.6,484.9,81.0,177.5,46.4,223.9,130.1,344.1
1997-06,5176.9,1275.0,5166.8,1270.9,491.3,81.6,219.2,126.2,356.7,490.5,81.5,174.9,46.6,221.5,125.7,351.6
1997-07,5235.2,1313.6,5216.1,1300.9,507.1,82.9,228.9,129.2,365.5,505.1,82.5,182.2,45.8,228.0,126.5,358.8
1997-08,5291.5,1339.9,5278.7,1328.7,519.0,83.8,232.0,133.1,372.1,515.8,83.3,184.9,46.3,231.3,131.3,367.1
1997-09,5333.7,1362.7,5309.2,1350.8,530.5,84.1,231.4,135.5,381.2,530.0,84.0,183.6,45.7,229.3,133.5,374.0
1997-10,5376.2,1387.6,5358.6,1384.6,539.3,84.5,243.5,133.6,386.7,541.8,84.9,196.0,46.2,242.1,133.0,382.8
1997-11,5417.2,1407.1,5425.1,1411.6,542.6,84.7,253.1,138.2,388.5,547.6,85.4,206.1,47.0,253.1,136.5,388.8
1997-12,5460.9,1429.3,5489.2,1436.4,546.2,84.9,253.9,147.5,396.9,549.3,85.4,203.3,46.2,249.5,148.9,403.4
1998-01,5508.6,1453.0,5522.2,1460.6,548.7,86.4,263.6,149.0,405.2,544.0,85.6,219.8,44.4,264.1,151.9,414.9
1998-02,5545.5,1457.3,5554.2,1475.2,562.1,86.6,256.2,142.5,409.9,561.2,86.5,214.0,44.1,258.1,145.3,424.1
1998-03,5610.7,1495.5,5638.5,1508.6,582.1,86.2,271.9,136.7,418.6,583.0,86.3,229.4,44.6,274.0,138.4,426.9
1998-04,5647.1,1508.7,5679.9,1508.0,576.8,86.7,274.8,137.3,433.1,576.5,86.7,229.8,44.7,274.5,137.5,432.7
1998-05,5687.0,1527.6,5673.2,1531.7,582.1,85.8,274.1,139.6,446.0,584.2,86.1,234.2,44.9,279.1,141.8,440.6
1998-06,5728.4,1543.1,5711.8,1538.5,587.2,86.6,269.7,141.0,458.6,587.0,86.5,225.5,46.7,272.2,140.5,452.3
1998-07,5749.6,1546.8,5721.5,1528.7,576.7,86.1,272.5,145.4,466.1,574.8,85.9,225.8,45.4,271.2,142.4,454.5
1998-08,5814.7,1586.1,5792.2,1569.3,590.6,86.4,280.0,150.6,478.5,586.1,85.8,233.6,45.0,278.5,148.3,470.7
1998-09,5883.9,1612.9,5851.5,1593.6,592.5,87.0,287.3,153.1,493.0,591.5,86.8,237.4,45.7,283.1,150.5,481.6
1998-10,5953.6,1641.5,5927.5,1631.3,596.4,88.2,286.6,156.9,513.4,597.6,88.4,240.8,41.8,282.7,155.1,507.5
1998-11,6010.3,1658.5,6015.4,1663.7,597.9,87.8,289.7,153.6,529.6,602.5,88.4,248.9,41.3,290.2,151.4,531.1
1998-12,6051.9,1668.2,6087.9,1681.6,595.6,88.0,293.2,150.2,541.2,599.6,88.6,246.5,43.9,290.4,151.5,551.5
1999-01,6080.9,1675.0,6102.9,1687.5,597.9,89.6,294.8,146.7,546.0,593.6,89.0,250.8,45.0,295.8,148.8,560.2
1999-02,6134.1,1702.0,6151.2,1725.6,596.4,89.5,308.2,148.6,559.3,595.0,89.3,263.5,48.0,311.5,151.7,578.1
1999-03,6132.3,1690.2,6172.0,1708.2,592.9,89.5,298.8,150.2,558.8,593.0,89.5,250.6,51.7,302.3,153.2,570.2
1999-04,6172.7,1699.1,6211.7,1700.3,590.8,89.2,295.5,153.3,570.3,591.3,89.3,241.5,53.3,294.8,154.5,570.4
1999-05,6200.4,1708.6,6188.3,1715.6,591.2,88.8,298.5,154.0,576.2,594.4,89.3,248.6,55.1,303.7,156.8,571.5
1999-06,6237.5,1723.9,6219.7,1720.1,588.8,89.0,305.9,159.0,581.2,590.1,89.2,251.8,56.9,308.7,158.4,573.7
1999-07,6268.7,1730.9,6232.2,1707.9,592.9,89.1,308.0,158.9,582.0,591.7,88.9,246.8,59.3,306.1,155.5,565.8
1999-08,6299.2,1740.0,6265.7,1719.4,589.8,90.2,311.3,157.5,591.2,585.3,89.5,248.4,60.9,309.4,154.6,580.7
1999-09,6323.0,1748.7,6282.4,1723.0,592.5,90.2,315.5,155.2,595.4,591.1,90.0,246.9,63.3,310.2,152.2,579.4
1999-10,6378.4,1784.6,6346.7,1766.6,617.7,90.5,317.1,153.2,606.1,617.5,90.5,246.8,63.2,310.0,150.8,597.8
1999-11,6465.0,1845.2,6467.2,1849.9,642.5,91.6,325.8,161.9,623.4,645.6,92.1,263.3,62.5,325.9,159.7,626.6
1999-12,6551.5,1902.8,6597.1,1922.0,667.3,91.6,334.9,170.8,638.2,671.7,92.2,273.0,61.7,334.7,171.7,651.7
2000-01,6605.5,1929.9,6630.9,1946.2,672.4,94.9,334.3,175.0,653.3,668.0,94.3,272.6,62.9,335.4,176.7,671.9
2000-02,6642.2,1951.1,6661.1,1976.2,676.5,96.1,348.0,174.8,655.7,673.7,95.7,291.3,61.1,352.4,178.5,675.9
2000-03,6704.0,1983.4,6753.1,2006.7,686.6,96.7,344.3,184.3,671.5,685.7,96.6,291.0,58.3,349.2,189.0,686.2
2000-04,6767.3,1996.2,6812.4,1998.2,698.7,96.2,342.9,181.4,677.0,699.5,96.3,284.7,57.2,341.9,184.1,676.4
2000-05,6776.9,2013.5,6765.3,2025.5,698.1,95.4,350.9,185.1,684.0,703.9,96.2,299.1,58.2,357.3,188.9,679.2
2000-06,6823.6,2043.1,6805.1,2041.7,707.7,97.2,358.4,185.9,693.9,711.4,97.7,304.8,58.0,362.8,185.1,684.7
2000-07,6875.2,2081.6,6836.1,2055.1,713.2,99.3,364.9,182.9,721.3,713.1,99.3,303.1,58.8,361.9,179.1,701.7
2000-08,6945.0,2116.7,6905.8,2092.4,726.6,101.1,363.0,185.2,740.8,721.9,100.4,299.6,61.0,360.6,181.5,728.0
2000-09,7003.5,2142.4,6957.5,2108.2,721.8,101.7,367.4,189.2,762.3,720.5,101.5,299.5,60.7,360.3,185.2,740.7
2000-10,7027.0,2147.9,6982.0,2120.2,717.2,103.3,369.9,189.8,767.6,715.5,103.1,299.5,59.6,359.2,186.3,756.1
2000-11,7038.3,2149.6,7043.7,2154.1,719.1,103.8,361.0,192.2,773.4,720.3,104.0,302.2,58.3,360.5,190.0,779.4
2000-12,7117.6,2186.3,7173.8,2211.1,734.3,102.5,362.3,195.2,791.9,738.0,103.1,306.0,58.2,364.2,195.2,810.6
2001-01,7237.2,2250.1,7259.5,2269.1,750.2,105.9,364.1,198.8,831.1,744.9,105.2,306.7,57.7,364.4,200.2,854.5
2001-02,7308.5,2281.3,7332.5,2311.3,720.9,107.7,355.8,204.5,892.4,716.3,107.0,301.6,59.9,361.4,209.0,917.6
