index,Index,Label,unit,start,last,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU488119488119P              ,PCU488119488119P              ,"PPI industry data for Other airport operations-Primary services, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M04,,99.2,101.4,104.0,109.5,112.2,116.1,120.8,127.2,130.5,135.7,138.5,143.4,149.7,155.0,152.9,156.2,163.7,169.4,170.6,173.6,174.7,176.6,179.8,182.2,185.1,188.8,193.7,188.1,207.618
PCU48819-48819-               ,PCU48819-48819-               ,"PPI industry data for Other air transportation support activities, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,102.0,107.5,110.8,112.9,117.0,117.5,121.8,125.1,125.9,128.0,128.9,133.0,136.4,141.6,145.6,149.0,148.3,153.731
PCU488190488190               ,PCU488190488190               ,"PPI industry data for Other support activities for air transport., not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,101.9,107.4,110.8,112.9,117.0,117.5,121.8,125.1,125.9,128.0,128.9,133.0,136.4,141.6,145.6,149.0,148.3,153.726
PCU4881904881905              ,PCU4881904881905              ,"PPI industry data for Other support activities for air transport.-Other air transportation support activities, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2022-M04,,,,,,,,,,,,,,,,,103.4,104.3,108.2,111.2,112.0,113.8,114.7,118.4,121.6,126.3,129.9,133.0,132.5,137.276
PCU488190488190P              ,PCU488190488190P              ,"PPI industry data for Other support activities for air transport.-Primary services, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2022-M04,,100.8,99.8,99.9,101.5,104.8,105.8,107.4,112.6,116.8,119.9,125.4,129.3,137.2,141.6,144.2,148.9,150.3,155.9,160.2,161.3,164.0,165.2,170.6,175.1,182.0,187.1,191.6,190.9,197.742
PCU488190488190SM             ,PCU488190488190SM             ,"PPI industry data for Other support activities for air transport.-Other receipts, not seasonally adjusted",Index base: 1992.06 = 100,1992-M06,2021-M04,,101.4,105.0,110.2,113.2,117.4,124.1,132.5,139.3,141.3,145.7,148.7,134.4,135.0,138.4,140.8,151.1,145.5,149.6,152.5,156.6,159.6,160.1,158.9,157.7,158.8,161.9,160.2,152.1,
PCU4883--4883--               ,PCU4883--4883--               ,"PPI industry group data for Water transportation support activities, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,101.0,103.5,107.7,112.7,117.3,116.8,120.2,123.9,128.0,130.4,131.7,132.0,135.3,139.0,142.2,145.3,147.8,151.349
PCU48831-48831-               ,PCU48831-48831-               ,"PPI industry data for Port and harbor operations, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,102.4,105.9,108.8,114.8,117.7,120.5,127.7,134.7,139.9,144.4,148.4,152.0,155.2,161.4,164.2,168.1,169.9,172.624
PCU488310488310               ,PCU488310488310               ,"PPI industry data for Port and harbor operations, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,102.4,105.9,108.8,114.9,117.7,120.5,127.7,134.7,139.9,144.4,148.4,152.0,155.2,161.5,164.2,168.1,169.9,172.645
PCU4883104883101              ,PCU4883104883101              ,"PPI industry data for Port and harbor operations-Port and harbor services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,102.3,106.1,109.3,115.8,118.8,121.6,128.6,136.3,142.0,146.6,150.6,154.3,157.6,163.9,166.7,170.6,172.4,175.152
PCU488310488310P              ,PCU488310488310P              ,"PPI industry data for Port and harbor operations-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,102.3,106.1,109.3,115.8,118.8,121.6,128.6,136.3,142.0,146.6,150.6,154.3,157.6,163.9,166.7,170.6,172.4,175.152
PCU488310488310SM             ,PCU488310488310SM             ,"PPI industry data for Port and harbor operations-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,103.2,104.4,,105.5,,,,,,,,,,,,137.5,147.5,158.495
PCU48832-48832-               ,PCU48832-48832-               ,"PPI industry data for Marine cargo handling, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,100.5,102.2,105.1,109.0,110.7,113.3,116.8,118.2,122.0,125.4,127.1,130.9,134.9,139.0,142.1,144.9,147.9,150.625
PCU488320488320               ,PCU488320488320               ,"PPI industry data for Marine cargo handling, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2022-M04,101.2,102.6,102.9,102.1,101.6,103.7,104.9,106.7,109.1,111.4,110.9,111.5,113.2,115.1,118.4,122.8,124.7,127.6,131.6,133.2,137.4,141.3,143.2,147.4,152.0,156.5,160.1,163.2,166.6,169.663
PCU4883204883208              ,PCU4883204883208              ,"PPI industry data for Marine cargo handling-Movement of containers, not seasonally adjusted",Index base: 1998.12 = 100,1998-M12,2022-M04,,,,,,,,101.3,105.5,106.9,103.1,102.2,103.1,104.6,106.5,109.6,111.3,114.5,117.8,117.7,121.5,125.2,127.0,129.7,132.8,137.0,140.3,143.1,145.8,148.41
PCU4883204883209              ,PCU4883204883209              ,"PPI industry data for Marine cargo handling-Other marine cargo handling, not seasonally adjusted",Index base: 1998.12 = 100,1998-M12,2022-M04,,,,,,,,100.3,101.1,101.5,102.1,102.5,103.3,105.6,110.7,116.8,118.1,119.7,121.1,123.7,126.6,128.5,129.6,132.1,134.7,139.5,143.2,145.0,150.8,155.151
PCU488320488320P              ,PCU488320488320P              ,"PPI industry data for Marine cargo handling-Primary services, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2022-M04,101.4,102.8,103.1,102.0,101.6,104.8,106.0,107.5,109.7,112.0,111.4,112.0,113.6,115.5,118.8,123.3,125.0,128.0,131.0,131.8,135.8,139.4,141.1,144.1,147.5,152.2,155.8,158.9,162.2,165.33
PCU488320488320SM             ,PCU488320488320SM             ,"PPI industry data for Marine cargo handling-Other receipts, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2015-M05,100.3,101.4,101.9,102.5,101.7,97.9,98.9,102.7,106.5,108.3,112.2,116.3,119.7,122.8,126.9,130.2,134.1,137.1,156.1,168.3,175.9,182.9,186.5,,,,,,,
PCU48833-48833-               ,PCU48833-48833-               ,"PPI industry data for Navigational services to shipping, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M04,,,,,,,,,,,,,101.5,105.7,113.9,120.6,133.8,122.9,122.9,129.3,133.4,132.2,130.8,121.5,123.2,124.7,128.2,131.6,133.1,140.369
PCU488330488330               ,PCU488330488330               ,"PPI industry data for Navigational services to shipping, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M04,,99.8,101.5,107.2,110.9,113.3,115.6,119.7,124.2,125.4,127.4,129.3,133.1,138.6,149.5,158.2,175.6,161.3,161.2,169.6,175.0,173.4,171.6,159.4,161.6,163.5,168.2,172.7,174.6,184.153
PCU4883304883301              ,PCU4883304883301              ,"PPI industry data for Navigational services to shipping-Navigational services to shipping and salvage, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M04,,99.5,101.1,106.7,110.2,112.5,114.9,119.1,123.5,125.8,128.8,130.7,134.6,140.1,151.1,160.0,177.6,164.0,163.9,172.4,177.9,176.3,174.5,162.1,164.3,166.3,171.0,175.6,177.6,187.443
PCU488330488330P              ,PCU488330488330P              ,"PPI industry data for Navigational services to shipping-Primary services, not seasonally adjusted",Index base: 1992.12 = 100,1992-M12,2022-M04,,99.5,101.1,106.7,110.2,112.5,114.9,119.1,123.5,125.8,128.8,130.7,134.6,140.1,151.1,160.0,177.6,164.0,163.9,172.4,177.9,176.3,174.5,162.1,164.3,166.3,171.0,175.6,177.6,187.443
PCU4885--4885--               ,PCU4885--4885--               ,"PPI industry group data for Freight transportation arrangement, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,99.4,97.7,97.3,98.3,98.2,97.5,97.9,98.9,99.1,98.8,100.2,102.5,94.8,95.2,98.7,99.9,101.6,102.8,101.0,99.8,100.7,102.6,104.0,100.7,128.069
PCU48851-48851-               ,PCU48851-48851-               ,"PPI industry data for Freight transportation arrangement, not seasonally adjusted",Index base: 1996.12 = 100,1996-M12,2022-M04,,,,,,99.4,97.7,97.3,98.3,98.2,97.5,97.9,98.9,99.1,98.8,100.2,102.5,94.8,95.2,98.7,99.9,101.6,102.8,101.0,99.8,100.7,102.6,104.0,100.7,128.069
PCU488510488510               ,PCU488510488510               ,"PPI industry data for Freight transportation arrangement, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M04,,,,99.8,101.5,101.4,99.7,99.2,100.3,100.3,99.5,99.9,100.9,101.1,100.9,102.2,104.6,96.8,97.1,100.8,102.0,103.7,104.9,103.1,101.9,102.7,104.7,106.2,102.7,130.682
PCU4885104885101              ,PCU4885104885101              ,"PPI industry data for Freight transportation arrangement-Freight forwarding, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M04,,,,99.3,98.2,95.1,94.1,94.7,96.1,96.9,97.8,98.7,101.1,100.7,98.5,100.5,99.4,91.4,88.7,89.3,89.9,92.7,94.2,93.4,92.4,92.4,93.9,94.2,93.9,100.991
PCU4885104885102              ,PCU4885104885102              ,"PPI industry data for Freight transportation arrangement-Arrangement of freight and cargo n.e.c., not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M04,,,,100.2,104.2,106.6,104.3,103.0,103.7,103.0,100.8,100.9,100.9,101.5,102.7,103.5,109.1,101.5,104.7,111.2,112.8,113.8,114.8,112.3,110.8,112.3,114.7,117.3,110.6,160.24
PCU488510488510P              ,PCU488510488510P              ,"PPI industry data for Freight transportation arrangement-Primary services, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M04,,,,99.8,101.5,101.4,99.6,99.2,100.2,100.2,99.3,99.7,100.8,101.0,100.7,102.0,104.4,96.6,97.0,100.6,101.8,103.5,104.7,102.9,101.7,102.6,104.6,106.0,102.5,131.37
