index,Index,Label,unit,start,last,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU511120511120P              ,PCU511120511120P              ,"PPI industry data for Periodical publishers-Primary services, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2022-M04,105.7,115.3,129.3,139.5,150.3,161.6,171.6,178.4,189.1,200.6,213.0,225.5,236.9,243.0,249.0,256.8,262.6,273.1,285.5,293.4,300.9,315.8,331.1,343.3,350.8,360.7,368.5,384.5,398.8,405.0,408.6,413.1,415.9,424.9,430.5,436.6,440.2,448.5,451.7,451.0,457.7,456.009
PCU511120511120SM             ,PCU511120511120SM             ,"PPI industry data for Periodical publishers-Other receipts, not seasonally adjusted",Index base: 1979.12 = 100,1979-M12,2020-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,267.4,277.2,285.0,325.4,339.0,343.0,,,,374.1,382.1,415.2,430.7,420.2,,
PCU51113-51113-               ,PCU51113-51113-               ,"PPI industry data for Book publishers, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M04,,,,,,102.6,107.5,111.9,117.7,125.3,132.3,138.7,143.7,147.8,153.4,162.3,169.4,174.0,178.9,184.7,190.2,195.6,201.5,208.2,215.7,224.3,232.8,240.2,250.9,260.7,268.2,274.4,284.0,291.9,299.5,309.3,313.9,317.8,324.6,331.3,338.4,351.559
PCU511130511130               ,PCU511130511130               ,"PPI industry data for Book publishers, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,106.7,113.7,121.3,127.4,134.1,140.8,146.9,155.1,165.4,175.2,183.4,189.7,194.9,202.8,214.3,224.7,232.1,238.8,247.6,255.0,263.3,273.0,283.0,293.7,305.4,317.0,327.1,341.6,354.9,365.3,373.7,386.8,397.5,407.7,421.1,427.4,432.8,442.0,451.1,460.8,478.731
PCU511130511130F              ,PCU511130511130F              ,"PPI industry data for Book publishers-Print book publishing, not seasonally adjusted",Index base: 2015.09 = 100,2015-M09,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,102.5,105.3,108.0,111.2,116.731
PCU511130511130F1             ,PCU511130511130F1             ,"PPI industry data for Book publishers-General adult and juvenile book publishing, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,102.2,102.9,103.3,103.8,104.3,101.5,102.8,103.2,102.9,103.2,105.523
PCU511130511130F11            ,PCU511130511130F11            ,"PPI industry data for Book publishers-General adult book publishing, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,103.1,104.0,104.6,105.1,105.6,104.7,106.4,106.4,106.8,107.4,109.28
PCU511130511130F12            ,PCU511130511130F12            ,"PPI industry data for Book publishers-Juvenile book publishing, not seasonally adjusted",Index base: 2009.06 = 100,2009-M06,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.1,100.4,100.4,100.8,101.4,93.1,93.3,94.2,92.3,91.6,95.173
PCU511130511130F2             ,PCU511130511130F2             ,"PPI industry data for Book publishers-Textbook publishing, including teachers' editions and workbooks, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,106.0,115.5,126.8,137.4,148.4,160.8,170.5,182.5,200.3,219.7,233.4,244.4,251.5,264.3,284.3,301.2,317.1,332.3,347.4,363.5,384.6,406.4,429.1,455.1,484.4,513.8,539.5,571.3,593.5,622.0,644.9,683.5,716.9,738.4,768.8,784.7,770.4,788.8,797.1,792.9,810.956
PCU511130511130F21            ,PCU511130511130F21            ,"PPI industry data for Book publishers-College textbook publishing, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2022-M04,,106.0,116.4,131.9,144.7,156.3,167.8,175.4,183.3,195.8,210.2,228.6,233.9,239.5,246.6,259.9,271.3,287.4,297.0,313.3,330.2,356.0,378.9,407.1,431.8,460.9,493.5,536.5,587.2,628.0,647.0,687.4,750.3,806.1,839.3,885.2,908.1,896.0,892.0,903.6,897.8,897.834
