index,Index,Label,unit,start,last,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU445110445110331            ,PCU445110445110331            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of cleaning and paper products, not seasonally adjusted",Index base: 2017.01 = 100,2017-M01,2022-M02,,,,,,,,,,,,,,,,,,95.4,97.3,104.9,104.1,116.676
PCU445110445110332            ,PCU445110445110332            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of health and beauty products, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,99.2,99.0,107.9,110.4,109.6,119.5,129.3,139.9,138.9,133.7,144.9,163.1,199.3,193.5,183.8,198.4,199.1,198.1,204.3,219.5,225.4,229.488
PCU445110445110333            ,PCU445110445110333            ,"PPI industry data for Supermarkets and other grocery stores-Retailing of all other nonfood products, not seasonally adjusted",Index base: 2017.01 = 100,2017-M01,2022-M02,,,,,,,,,,,,,,,,,,91.9,93.8,97.1,104.3,112.455
PCU445110445110P              ,PCU445110445110P              ,"PPI industry data for Supermarkets and other grocery stores-Primary services, not seasonally adjusted",Index base: 1999.12 = 100,1999-M12,2022-M02,104.3,109.9,113.7,118.0,123.6,132.2,136.1,140.8,150.6,152.1,148.4,156.7,163.8,168.9,176.2,185.8,192.6,193.9,200.2,204.2,213.0,215.583
PCU4452--4452--               ,PCU4452--4452--               ,"PPI industry group data for Specialty food stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,107.1,110.2,114.1,122.9,132.4,141.0,138.9,143.8,153.3,157.0,162.4,171.1,178.6,180.0,184.5,179.0,184.0,193.383
PCU445200445200               ,PCU445200445200               ,"PPI industry data for Specialty food stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,107.1,110.2,114.1,122.9,132.4,141.0,138.9,143.8,153.3,157.0,162.4,171.1,178.6,180.0,184.5,179.0,184.0,193.378
PCU4452004452001              ,PCU4452004452001              ,"PPI industry data for Specialty food stores-Specialty food store services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,107.0,110.1,114.0,122.8,132.3,140.9,138.8,143.7,153.2,156.9,162.3,171.1,178.5,180.0,184.5,178.9,184.0,193.438
PCU445200445200101            ,PCU445200445200101            ,"PPI industry data for Specialty food stores-Meat markets, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2018-M01,,,,,,,,,,,,,,106.5,107.9,115.8,122.1,121.1,,,,
PCU445200445200102            ,PCU445200445200102            ,"PPI industry data for Specialty food stores-Fish and seafood markets, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2018-M01,,,,,,,,,,,,,,92.5,100.6,107.9,108.0,103.2,,,,
PCU445200445200103            ,PCU445200445200103            ,"PPI industry data for Specialty food stores-Fruit and vegetable markets, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2018-M01,,,,,,,,,,,,,,104.6,111.0,116.0,113.6,116.2,,,,
PCU445200445200104            ,PCU445200445200104            ,"PPI industry data for Specialty food stores-Other specialty food stores, not seasonally adjusted",Index base: 2012.06 = 100,2012-M06,2018-M01,,,,,,,,,,,,,,102.8,105.2,108.5,118.6,122.7,,,,
PCU445200445200P              ,PCU445200445200P              ,"PPI industry data for Specialty food stores-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,107.0,110.1,114.0,122.8,132.3,140.9,138.8,143.7,153.2,156.9,162.3,171.1,178.5,180.0,184.5,178.9,184.0,193.438
PCU4453--4453--               ,PCU4453--4453--               ,"PPI industry group data for Beer, wine, and liquor stores, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,,102.9,103.5,106.9,110.7,111.0,111.3,113.2,120.6,119.8,125.3,132.0,139.0,136.6,124.3,126.6,125.4,127.7,129.3,128.6,131.4,133.725
PCU44531-44531-               ,PCU44531-44531-               ,"PPI industry data for Beer, wine, and liquor stores, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,,102.9,103.5,106.9,110.7,111.0,111.3,113.2,120.6,119.8,125.3,132.0,139.0,136.6,124.3,126.6,125.4,127.7,129.3,128.6,131.4,133.725
PCU445310445310               ,PCU445310445310               ,"PPI industry data for Beer, wine, and liquor stores, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,,102.9,103.5,106.9,110.7,111.0,111.3,113.2,120.6,119.8,125.3,132.0,139.0,136.6,124.3,126.6,125.4,127.7,129.3,128.6,131.4,133.725
PCU4453104453101              ,PCU4453104453101              ,"PPI industry data for Beer, wine, and liquor stores-Beer, wine, and liquor store services, not seasonally adjusted",Index base: 2000.06 = 100,1999-M12,2022-M02,,102.9,103.5,106.9,110.7,111.1,111.3,113.2,120.6,119.8,125.3,132.0,139.0,136.6,124.4,126.7,125.4,127.7,129.4,128.7,131.4,133.773
PCU44531044531011             ,PCU44531044531011             ,"PPI industry data for Beer, wine, and liquor stores-Retailing of beer, wine, and liquor, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,101.6,99.9,101.6,102.7,100.1,102.4,103.766
PCU44531044531012             ,PCU44531044531012             ,"PPI industry data for Beer, wine, and liquor stores-Retailng of all other goods and sales of prepared foods, not seasonally adjusted",Index base: 2014.06 = 100,2014-M06,2022-M02,,,,,,,,,,,,,,,,104.4,109.5,112.6,113.6,125.8,127.1,132.503
PCU445310445310P              ,PCU445310445310P              ,"PPI industry data for Beer, wine, and liquor stores-Primary services, not seasonally adjusted",Index base: 2000.06 = 100,2000-M06,2022-M02,,102.9,103.5,106.9,110.7,111.1,111.3,113.2,120.6,119.8,125.3,132.0,139.0,136.6,124.4,126.7,125.4,127.7,129.4,128.7,131.4,133.773
