index,Index,Label,unit,start,last,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU491110491110731            ,PCU491110491110731            ,"PPI industry data for U.S. Postal Service-High density and saturation flats and parcels, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,106.9,108.2,105.6,100.8,100.5,104.7,105.9,108.12
PCU491110491110732            ,PCU491110491110732            ,"PPI industry data for U.S. Postal Service-Carrier route basic mail, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,107.7,108.8,106.0,103.5,103.6,105.1,106.2,112.448
PCU491110491110733            ,PCU491110491110733            ,"PPI industry data for U.S. Postal Service-Bulk letters, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,108.2,109.7,107.2,108.6,110.2,113.4,115.6,119.309
PCU491110491110734            ,PCU491110491110734            ,"PPI industry data for U.S. Postal Service-Bulk flats, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,107.5,109.1,106.7,108.2,109.3,112.1,116.1,123.378
PCU491110491110735            ,PCU491110491110735            ,"PPI industry data for U.S. Postal Service-Other standard mail and fees, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,107.6,111.5,110.7,111.7,114.2,118.6,121.6,135.961
PCU49111049111074             ,PCU49111049111074             ,"PPI industry data for U.S. Postal Service-Package services mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.9,36.9,39.6,41.0,48.3,48.3,59.7,67.8,67.8,73.3,75.4,75.4,75.4,82.5,83.9,83.9,96.0,100.0,100.0,114.3,115.6,115.6,115.6,139.0,139.0,139.0,139.0,150.3,150.3,156.3,160.8,163.9,163.9,163.9,173.6,190.4,202.7,215.5,223.9,224.4,229.0,234.2,247.7,251.8,245.7,245.8,247.6,253.5,258.3,268.01
PCU49111049111075             ,PCU49111049111075             ,"PPI industry data for U.S. Postal Service-Special services and fees, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,24.1,24.1,24.1,26.4,38.6,48.2,57.4,64.0,64.0,70.5,72.7,72.7,72.7,79.9,81.4,81.4,95.4,100.0,100.0,116.6,118.1,118.1,118.1,134.4,134.4,134.4,134.4,136.5,136.5,159.6,170.0,177.7,177.7,177.7,187.9,198.9,207.8,214.6,217.2,219.5,224.7,237.5,253.8,262.5,260.0,263.8,268.6,276.0,275.6,285.245
PCU4911104911108              ,PCU4911104911108              ,"PPI industry data for U.S. Postal Service-Shipping services (competitive services), not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,111.0,112.0,123.2,128.7,133.8,144.2,155.5,161.55
PCU49111049111081             ,PCU49111049111081             ,"PPI industry data for U.S. Postal Service-Domestic priority mail, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,60.8,60.8,64.8,65.6,70.3,70.3,74.1,76.8,76.8,93.5,101.4,101.4,101.4,100.2,100.0,100.0,100.0,100.0,100.0,117.4,119.0,119.0,119.0,123.8,123.8,123.8,123.8,132.1,132.1,154.5,163.7,172.3,172.3,172.3,181.6,198.4,214.2,226.8,236.5,246.6,253.1,268.0,269.4,267.2,290.2,306.0,317.2,343.3,371.9,390.253
PCU49111049111082             ,PCU49111049111082             ,"PPI industry data for U.S. Postal Service-Other shipping services and shipping special services & fees, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.2,121.1,126.1,142.0,145.8,152.0,163.0,175.0,180.023
PCU491110491110P              ,PCU491110491110P              ,"PPI industry data for U.S. Postal Service-Primary services, not seasonally adjusted",Index base: 1989.06 = 100,1972-M01,2022-M02,36.6,36.6,42.7,44.0,54.6,55.1,60.6,64.6,64.4,74.0,79.2,79.2,79.3,85.3,86.5,86.5,96.6,100.0,100.0,117.9,119.8,119.8,119.8,132.2,132.3,132.3,132.3,135.3,135.2,143.4,150.2,155.0,155.0,155.0,164.7,171.9,178.9,185.0,187.7,190.6,195.7,202.4,213.2,216.5,215.1,217.1,221.6,230.2,237.1,246.812
