index,Index,Label,unit,start,last,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU423200423200P              ,PCU423200423200P              ,"PPI industry data for Furniture and home furnishing merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,87.9,82.0,86.8,92.0,101.1,101.0,105.7,108.3,109.6,109.9,113.9,126.401
PCU4233--4233--               ,PCU4233--4233--               ,"PPI industry group data for Lumber and other construction materials merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,92.9,100.7,97.2,92.0,89.8,91.8,96.8,96.6,98.3,99.7,102.9,126.657
PCU42330-42330-               ,PCU42330-42330-               ,"PPI industry data for Lumber and other construction materials merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,92.9,100.7,97.2,92.0,89.8,91.8,96.8,96.6,98.3,99.7,102.9,126.657
PCU423300423300               ,PCU423300423300               ,"PPI industry data for Lumber and other construction materials merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,92.9,100.7,97.2,92.0,89.8,91.8,96.8,96.6,98.3,99.7,102.8,126.58
PCU4233004233001              ,PCU4233004233001              ,"PPI industry data for Lumber and other construction materials merchant wholesalers-Lumber and other construction material wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,98.8,107.2,103.5,97.9,95.6,97.7,103.0,102.8,104.7,106.1,109.6,135.52
PCU423300423300P              ,PCU423300423300P              ,"PPI industry data for Lumber and other construction materials merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,98.8,107.2,103.5,97.9,95.6,97.7,103.0,102.8,104.7,106.1,109.6,135.52
PCU4234--4234--               ,PCU4234--4234--               ,"PPI industry group data for Professional and commercial equipment and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,77.7,77.9,78.6,84.4,89.3,91.7,91.9,93.8,97.9,99.2,100.8,107.203
PCU42340-42340-               ,PCU42340-42340-               ,"PPI industry data for Professional and commercial equipment and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,77.7,77.9,78.6,84.4,89.3,91.7,91.9,93.8,97.9,99.2,100.8,107.203
PCU423400423400               ,PCU423400423400               ,"PPI industry data for Professional and commercial equipment and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,77.7,77.9,78.6,84.4,89.3,91.7,91.9,93.8,97.9,99.1,100.7,107.33
PCU4234004234001              ,PCU4234004234001              ,"PPI industry data for Professional and commercial equipment and supplies merchant wholesalers-Professional and commercial equipment and supplies wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,92.9,93.1,93.9,100.8,106.7,109.5,109.8,112.1,116.9,117.6,119.8,130.092
PCU42340042340011             ,PCU42340042340011             ,"PPI industry data for Professional and commercial equipment and supplies merchant wholesalers-Wholesaling of new and used computer equipment, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2019-M05,,,,,,,,,,111.8,113.1,119.4,121.6,122.9,,,
PCU42340042340012             ,PCU42340042340012             ,"PPI industry data for Professional and commercial equipment and supplies merchant wholesalers-Wholesaling of surgical, medical, dental, and hospital equipment and supplies, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2019-M05,,,,,,99.4,103.6,107.3,107.3,112.8,113.4,107.7,109.4,115.4,,,
PCU42340042340013             ,PCU42340042340013             ,"PPI industry data for Professional and commercial equipment and supplies merchant wholesalers-Wholesaling of other professional equipment and supplies and all other goods, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2019-M05,,,,,,,,,,100.4,110.5,108.8,112.8,123.4,,,
PCU423400423400P              ,PCU423400423400P              ,"PPI industry data for Professional and commercial equipment and supplies merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,92.9,93.1,93.9,100.8,106.7,109.5,109.8,112.1,116.9,117.6,119.8,130.092
PCU4235--4235--               ,PCU4235--4235--               ,"PPI industry group data for Metal and mineral (except petroleum) merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,69.9,70.3,80.8,86.9,85.1,89.8,86.9,85.4,102.2,100.2,104.2,180.972
PCU42350-42350-               ,PCU42350-42350-               ,"PPI industry data for Metal and mineral (except petroleum) merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,69.9,70.3,80.8,86.9,85.1,89.8,86.9,85.4,102.2,100.2,104.2,180.972
PCU423500423500               ,PCU423500423500               ,"PPI industry data for Metal and mineral (except petroleum) merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,69.9,70.3,80.8,86.9,85.1,89.8,86.9,85.4,102.2,100.3,104.3,180.981
PCU4235004235001              ,PCU4235004235001              ,"PPI industry data for Metal and mineral (except petroleum) merchant wholesalers-Metals and minerals wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,100.5,101.1,116.2,125.0,122.4,129.2,125.0,122.8,147.0,145.3,151.9,260.537
PCU42350042350011             ,PCU42350042350011             ,"PPI industry data for Metal and mineral (except petroleum) merchant wholesalers-Wholesaling of metals and minerals (except petroleum), not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2019-M05,,,,,,100.5,101.1,116.2,125.0,122.4,129.2,125.0,122.8,147.0,,,
PCU423500423500P              ,PCU423500423500P              ,"PPI industry data for Metal and mineral (except petroleum) merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,100.5,101.1,116.2,125.0,122.4,129.2,125.0,122.8,147.0,145.3,151.9,260.537
PCU4236--4236--               ,PCU4236--4236--               ,"PPI industry group data for Household appliances and electrical and electronic goods merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,90.5,97.1,96.5,90.1,87.9,89.6,90.2,92.3,94.4,100.4,103.6,124.887
PCU42360-42360-               ,PCU42360-42360-               ,"PPI industry data for Household appliances and electrical and electronic goods merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,90.5,97.1,96.5,90.1,87.9,89.6,90.2,92.3,94.4,100.4,103.6,124.887
PCU423600423600               ,PCU423600423600               ,"PPI industry data for Household appliances and electrical and electronic goods merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,90.5,97.1,96.5,90.1,87.9,89.6,90.2,92.3,94.4,100.3,103.5,124.605
PCU4236004236001              ,PCU4236004236001              ,"PPI industry data for Household appliances and electrical and electronic goods merchant wholesalers-Household appliances, electrical, and electronics wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,101.7,109.1,108.3,101.2,98.7,100.6,101.3,103.7,106.1,112.9,116.8,143.541
PCU42360042360011             ,PCU42360042360011             ,"PPI industry data for Household appliances and electrical and electronic goods merchant wholesalers-Wholesaling of household appliances and electrical and electronic goods, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2019-M05,,,,,,101.7,109.1,108.3,101.2,98.7,100.6,101.3,103.7,106.1,,,
PCU423600423600P              ,PCU423600423600P              ,"PPI industry data for Household appliances and electrical and electronic goods merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,101.7,109.1,108.3,101.2,98.7,100.6,101.3,103.7,106.1,112.9,116.8,143.541
PCU4237--4237--               ,PCU4237--4237--               ,"PPI industry group data for Hardware, plumbing and heating equipment and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,91.0,92.6,93.3,94.2,94.4,96.0,95.3,94.4,93.3,97.9,100.0,117.406
PCU42370-42370-               ,PCU42370-42370-               ,"PPI industry data for Hardware, plumbing and heating equipment and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,91.0,92.6,93.3,94.2,94.4,96.0,95.3,94.4,93.3,97.9,100.0,117.406
PCU423700423700               ,PCU423700423700               ,"PPI industry data for Hardware, plumbing, and heating equipment and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,91.0,92.6,93.3,94.2,94.4,96.0,95.3,94.4,93.3,97.9,100.0,117.455
PCU4237004237001              ,PCU4237004237001              ,"PPI industry data for Hardware, plumbing, and heating equipment and supplies merchant wholesalers-Hardware, plumbing, and heating equipment and supplies wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,94.2,96.0,96.7,97.6,97.8,99.4,98.8,97.8,96.7,101.4,103.3,120.659
PCU423700423700P              ,PCU423700423700P              ,"PPI industry data for Hardware, plumbing, and heating equipment and supplies merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,94.2,96.0,96.7,97.6,97.8,99.4,98.8,97.8,96.7,101.4,103.3,120.659
PCU4238--4238--               ,PCU4238--4238--               ,"PPI industry group data for Machinery, equipment, and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,68.7,69.2,73.0,76.9,78.1,79.4,87.1,91.3,93.5,100.8,103.2,106.702
PCU42380-42380-               ,PCU42380-42380-               ,"PPI industry data for Machinery, equipment, and supplies merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,68.7,69.2,73.0,76.9,78.1,79.4,87.1,91.3,93.5,100.8,103.2,106.702
PCU423800423800               ,PCU423800423800               ,"PPI industry data for Machinery and supply merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,68.7,69.2,73.0,76.9,78.1,79.4,87.1,91.3,93.5,100.8,103.2,106.851
PCU4238004238001              ,PCU4238004238001              ,"PPI industry data for Machinery and supply merchant wholesalers-Machinery and supply wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,104.2,104.9,110.8,116.6,118.5,120.4,132.0,138.5,141.8,153.0,158.1,164.885
PCU423800423800P              ,PCU423800423800P              ,"PPI industry data for Machinery and supply merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,104.2,104.9,110.8,116.6,118.5,120.4,132.0,138.5,141.8,153.0,158.1,164.885
PCU423800423800SM             ,PCU423800423800SM             ,"PPI industry data for Machinery and supply merchant wholesalers-Other receipts, not seasonally adjusted",Index base: 2019.05 = 100,2019-M05,2022-M04,,,,,,,,,,,,,,,,99.0,98.715
PCU4239--4239--               ,PCU4239--4239--               ,"PPI industry group data for Miscellaneous durable goods merchant wholesalers (except materials recyclers), not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,,,,,103.0,103.7,99.9,104.7,102.4,102.3,110.5,124.305
PCU42390-42390-               ,PCU42390-42390-               ,"PPI industry data for Miscellaneous durable goods merchant wholesalers (except materials recyclers), not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,,,,,103.0,103.7,99.9,104.7,102.4,102.3,110.5,124.305
PCU423900423900               ,PCU423900423900               ,"PPI industry data for Miscellaneous durable goods, except recyclable material, merchant wholesalers, not seasonally adjusted",Index base: 2019.05 = 100,2009-M02,2022-M04,,,,,,,,,,103.0,103.7,99.9,104.7,102.4,102.2,110.3,124.155
PCU4239004239001              ,PCU4239004239001              ,"PPI industry data for Miscellaneous durable goods, except recyclable material, merchant wholesalers-Miscellaneous durable goods wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,,,,,85.6,86.2,83.1,87.0,85.1,85.1,92.4,103.74
PCU423900423900P              ,PCU423900423900P              ,"PPI industry data for Miscellaneous durable goods, except recyclable material, merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,,,,,85.6,86.2,83.1,87.0,85.1,85.1,92.4,103.74
PCU424---424---               ,PCU424---424---               ,"PPI industry sub-sector data for Merchant wholesalers, nondurable goods, not seasonally adjusted",Index base: 2005.06 = 100,2005-M06,2022-M04,,106.2,112.2,120.5,133.4,140.1,142.9,143.3,149.8,154.7,158.3,153.3,156.7,158.8,164.2,166.9,172.564
PCU4241--4241--               ,PCU4241--4241--               ,"PPI industry group data for Paper and paper product merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,,,,,73.1,74.0,74.3,80.2,88.9,93.6,100.8,106.869
PCU42410-42410-               ,PCU42410-42410-               ,"PPI industry data for Paper and paper product merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,,,,,73.1,74.0,74.3,80.2,88.9,93.6,100.8,106.869
PCU424100424100               ,PCU424100424100               ,"PPI industry data for Paper and paper product merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,,,,,73.1,74.0,74.3,80.2,88.9,93.6,100.8,106.869
PCU4241004241001              ,PCU4241004241001              ,"PPI industry data for Paper and paper product merchant wholesalers-Paper wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,,,,,95.3,96.4,96.8,104.6,115.9,122.1,131.4,138.865
PCU42410042410011             ,PCU42410042410011             ,"PPI industry data for Paper and paper product merchant wholesalers-Wholesaling of paper and paper products, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,,,,,95.3,96.4,96.8,104.6,115.9,122.1,131.4,140.49
PCU42410042410012             ,PCU42410042410012             ,"PPI industry data for Paper and paper product merchant wholesalers-Wholesaling of all other goods, except paper and paper products, not seasonally adjusted",Index base: 2021.01 = 100,2021-M01,2022-M04,,,,,,,,,,,,,,,,,97.55
PCU424100424100P              ,PCU424100424100P              ,"PPI industry data for Paper and paper product merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,,,,,95.3,96.4,96.8,104.6,115.9,122.1,131.4,138.865
PCU4242--4242--               ,PCU4242--4242--               ,"PPI industry group data for Drugs and druggists' sundries merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,86.2,91.8,92.6,101.1,111.6,114.0,99.5,93.1,96.6,104.4,107.6,104.641
PCU42420-42420-               ,PCU42420-42420-               ,"PPI industry data for Drugs and druggists' sundries merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,86.2,91.8,92.6,101.1,111.6,114.0,99.5,93.1,96.6,104.4,107.6,104.641
PCU424200424200               ,PCU424200424200               ,"PPI industry data for Drugs and druggists' sundries merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,86.2,91.8,92.6,101.1,111.6,114.0,99.5,93.1,96.6,104.4,107.6,104.641
PCU4242004242001              ,PCU4242004242001              ,"PPI industry data for Drugs and druggists' sundries merchant wholesalers-Wholesaling of pharmaceuticals, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,126.6,134.7,136.0,148.5,163.9,167.3,146.1,136.7,141.8,153.2,158.0,155.611
PCU4242004242002              ,PCU4242004242002              ,"PPI industry data for Drugs and druggists' sundries merchant wholesalers-Wholesaling of all other goods, except pharmaceuticals, not seasonally adjusted",Index base: 2021.01 = 100,2021-M01,2022-M04,,,,,,,,,,,,,,,,,98.092
PCU424200424200P              ,PCU424200424200P              ,"PPI industry data for Drugs and druggists' sundries merchant wholesalers-Primary products, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,126.6,134.7,136.0,148.5,163.9,167.3,146.1,136.7,141.8,153.2,158.0,153.625
PCU4243--4243--               ,PCU4243--4243--               ,"PPI industry group data for Apparel and piece goods merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,78.7,67.4,77.5,93.2,94.1,95.4,95.2,95.0,96.3,98.4,98.9,93.36
PCU42430-42430-               ,PCU42430-42430-               ,"PPI industry data for Apparel and piece goods merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,78.7,67.4,77.5,93.2,94.1,95.4,95.2,95.0,96.3,98.4,98.9,93.36
PCU424300424300               ,PCU424300424300               ,"PPI industry data for Apparel and piece goods merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,78.7,67.4,77.5,93.2,94.1,95.4,95.2,95.0,96.3,98.4,98.9,93.36
PCU4243004243001              ,PCU4243004243001              ,"PPI industry data for Apparel and piece goods merchant wholesalers-Apparel wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,97.3,83.4,95.8,115.2,116.4,117.9,117.7,117.5,119.1,121.7,122.2,115.413
PCU42430042430011             ,PCU42430042430011             ,"PPI industry data for Apparel and piece goods merchant wholesalers-Wholesaling of apparel, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,97.3,83.4,95.8,115.2,116.4,117.9,117.7,117.5,119.1,121.7,122.2,116.473
PCU424300424300P              ,PCU424300424300P              ,"PPI industry data for Apparel and piece goods merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,97.3,83.4,95.8,115.2,116.4,117.9,117.7,117.5,119.1,121.7,122.2,115.413
PCU4244--4244--               ,PCU4244--4244--               ,"PPI industry group data for Grocery and related product merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,93.5,96.1,92.7,83.1,84.5,89.0,90.2,90.6,93.1,97.5,98.2,101.932
PCU42440-42440-               ,PCU42440-42440-               ,"PPI industry data for Grocery and related product merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,93.5,96.1,92.7,83.1,84.5,89.0,90.2,90.6,93.1,97.5,98.2,101.932
PCU424400424400               ,PCU424400424400               ,"PPI industry data for Grocery and related product merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,93.5,96.1,92.7,83.1,84.5,89.0,90.2,90.6,93.1,97.5,98.2,101.932
PCU4244004244001              ,PCU4244004244001              ,"PPI industry data for Grocery and related product merchant wholesalers-Grocery and related product wholesaler services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,101.8,104.6,100.9,90.5,92.0,96.8,98.2,98.6,101.4,106.2,106.9,110.951
PCU42440042440011             ,PCU42440042440011             ,"PPI industry data for Grocery and related product merchant wholesalers-Wholesaling of fresh meat, seafood, dairy, and fruits and vegetables, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M04,,,,,,,,,,103.4,109.9,110.8,115.0,117.9,124.0,126.3,124.071
PCU42440042440012             ,PCU42440042440012             ,"PPI industry data for Grocery and related product merchant wholesalers-Wholesaling of packaged frozen and canned foods, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M04,,,,,,,,,,100.5,112.4,115.3,115.3,129.0,136.1,137.6,143.152
PCU42440042440013             ,PCU42440042440013             ,"PPI industry data for Grocery and related product merchant wholesalers-Wholesaling of baked goods, non-alcoholic beverages, and all other groceries, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M04,,,,,,,,,,104.1,105.8,107.3,105.1,103.8,107.8,107.1,115.757
PCU42440042440014             ,PCU42440042440014             ,"PPI industry data for Grocery and related product merchant wholesalers-Wholesaling of all other goods, except groceries, not seasonally adjusted",Index base: 2021.01 = 100,2021-M01,2022-M04,,,,,,,,,,,,,,,,,106.904
PCU424400424400P              ,PCU424400424400P              ,"PPI industry data for Grocery and related product merchant wholesalers-Primary services, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,101.8,104.6,100.9,90.5,92.0,96.8,98.2,98.6,101.4,106.2,106.9,110.951
PCU4245--4245--               ,PCU4245--4245--               ,"PPI industry group data for Farm product raw material merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2020-M13,,,,,,106.5,114.1,116.0,119.7,118.7,114.0,104.4,119.4,116.9,104.3,100.5,
PCU42450-42450-               ,PCU42450-42450-               ,"PPI industry data for Farm product raw material merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2020-M13,,,,,,106.5,114.1,116.0,119.7,118.7,114.0,104.4,119.4,116.9,104.3,100.5,
PCU424500424500               ,PCU424500424500               ,"PPI industry data for Farm product raw material merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2020-M13,,,,,,106.5,114.1,116.0,119.7,118.7,114.0,104.4,119.4,116.9,104.3,100.5,
PCU4246--4246--               ,PCU4246--4246--               ,"PPI industry group data for Chemicals and allied products merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,82.2,79.5,83.7,87.9,91.3,93.1,88.8,92.7,93.3,97.0,100.2,112.031
PCU42460-42460-               ,PCU42460-42460-               ,"PPI industry data for Chemicals and allied products merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,82.2,79.5,83.7,87.9,91.3,93.1,88.8,92.7,93.3,97.0,100.2,112.031
PCU424600424600               ,PCU424600424600               ,"PPI industry data for Chemicals and allied products merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,82.2,79.5,83.7,87.9,91.3,93.1,88.8,92.7,93.3,97.0,100.2,112.031
PCU4246004246001              ,PCU4246004246001              ,"PPI industry data for Chemicals and allied products merchant wholesalers-Wholesaling of chemicals, plastics, and allied products, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,94.9,91.7,96.6,101.3,105.3,107.4,102.5,106.9,107.6,111.9,115.5,129.961
PCU4246004246002              ,PCU4246004246002              ,"PPI industry data for Chemicals and allied products merchant wholesalers-Wholesaling of all other goods, except chemicals, plastics, and allied products, not seasonally adjusted",Index base: 2021.01 = 100,2021-M01,2022-M04,,,,,,,,,,,,,,,,,104.097
PCU424600424600P              ,PCU424600424600P              ,"PPI industry data for Chemicals and allied products merchant wholesalers-Primary products, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,94.9,91.7,96.6,101.3,105.3,107.4,102.5,106.9,107.6,111.9,115.5,129.358
PCU4247--4247--               ,PCU4247--4247--               ,"PPI industry group data for Petroleum and petroleum products merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,,,,,92.0,97.1,100.1,103.8,96.3,95.8,95.1,109.927
PCU42470-42470-               ,PCU42470-42470-               ,"PPI industry data for Petroleum and petroleum products merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,,,,,92.0,97.1,100.1,103.8,96.3,95.8,95.1,109.927
PCU424700424700               ,PCU424700424700               ,"PPI industry data for Petroleum and petroleum products merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,,,,,92.0,97.1,100.1,103.8,96.3,95.8,95.1,109.926
PCU4247004247001              ,PCU4247004247001              ,"PPI industry data for Petroleum and petroleum products merchant wholesalers-Wholesaling of petroleum products, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,,,,,112.1,118.3,122.0,126.5,117.4,116.8,116.0,134.603
PCU4247004247002              ,PCU4247004247002              ,"PPI industry data for Petroleum and petroleum products merchant wholesalers-Wholesaling of all other goods, except petroleum products, not seasonally adjusted",Index base: 2021.01 = 100,2021-M01,2022-M04,,,,,,,,,,,,,,,,,106.501
PCU424700424700P              ,PCU424700424700P              ,"PPI industry data for Petroleum and petroleum products merchant wholesalers-Primary products, not seasonally adjusted",Index base: 2009.02 = 100,2009-M02,2022-M04,,,,,,,,,,112.1,118.3,122.0,126.5,117.4,116.8,116.0,134.464
PCU424700424700SM             ,PCU424700424700SM             ,"PPI industry data for Petroleum and petroleum products merchant wholesalers-Other receipts, not seasonally adjusted",Index base: 2021.01 = 100,2021-M01,2022-M04,,,,,,,,,,,,,,,,,102.781
PCU4248--4248--               ,PCU4248--4248--               ,"PPI industry group data for Beer, wine, and distilled alcoholic beverage merchant wholesalers, not seasonally adjusted",Index base: 2021.01 = 100,2009-M02,2022-M04,,,,,,79.5,83.6,86.4,88.5,88.8,91.0,91.5,93.2,93.2,94.9,98.5,102.504
