index,Index,Label,unit,start,last,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU5613805613803              ,PCU5613805613803              ,"PPI industry data for Staffing services (except PEOs)-Executive search services, not seasonally adjusted",Index base: 2006.12 = 100,2007-M01,2022-M02,,,,,,,,,,,,,,,,,,100.0,101.5,100.6,100.6,100.6,100.5,100.5,100.5,100.5,99.6,98.5,94.9,97.1,98.3,100.437
PCU561380561380P              ,PCU561380561380P              ,"PPI industry data for Staffing services (except PEOs)-Primary services, not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,100.1,100.6,102.4,105.2,107.7,109.0,110.7,112.6,115.3,119.6,125.865
PCU561380561380SM             ,PCU561380561380SM             ,"PPI industry data for Staffing services (except PEOs)-Other receipts, not seasonally adjusted",Index base: 2010.12 = 100,2010-M12,2020-M05,,,,,,,,,,,,,,,,,,,,,,99.4,99.4,99.9,102.9,110.8,109.4,109.3,108.6,108.8,,
PCU56151-56151-               ,PCU56151-56151-               ,"PPI industry data for Travel agencies, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,96.9,95.9,99.5,101.0,99.7,99.6,100.2,100.9,101.3,102.1,102.2,102.8,102.7,102.5,103.1,105.2,97.5,97.902
PCU561510561510               ,PCU561510561510               ,"PPI industry data for Travel agencies, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,107.3,113.6,113.4,115.3,115.3,111.3,109.9,114.5,112.1,112.0,121.8,123.3,114.0,112.5,108.6,107.4,111.5,113.2,111.7,111.5,112.3,113.0,113.4,114.4,114.5,115.2,115.1,114.9,115.5,117.9,109.2,109.668
PCU5615105615101              ,PCU5615105615101              ,"PPI industry data for Travel agencies-Flight bookings, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,111.4,121.7,119.6,123.4,122.1,114.0,111.7,115.1,109.6,103.3,110.7,112.4,100.4,96.8,92.9,91.9,91.8,96.7,95.6,94.6,95.4,95.7,93.9,98.2,102.9,96.5,93.1,91.5,95.0,97.3,92.6,84.494
PCU561510561510111            ,PCU561510561510111            ,"PPI industry data for Travel agencies-Domestic flight bookings, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,110.0,120.3,119.7,124.6,121.2,112.1,107.0,109.5,104.9,106.6,124.4,126.2,113.7,110.0,103.5,101.9,102.3,106.1,103.5,96.6,95.3,95.5,92.0,97.4,104.8,95.2,90.4,87.4,92.8,96.8,87.6,71.274
PCU561510561510112            ,PCU561510561510112            ,"PPI industry data for Travel agencies-International flight bookings, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,115.9,126.3,119.2,119.3,124.9,120.5,126.9,133.2,125.0,94.7,71.0,72.5,61.4,57.4,59.7,60.1,59.1,61.9,62.2,66.1,68.3,68.5,69.2,70.9,71.2,70.5,69.7,70.1,70.7,71.3,70.7,69.869
PCU5615105615102              ,PCU5615105615102              ,"PPI industry data for Travel agencies-Other travel agency services, except flight bookings, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,100.4,100.3,103.7,102.2,104.8,107.8,107.7,117.7,124.3,142.6,159.5,160.5,159.1,159.1,153.7,152.0,160.9,159.9,157.3,158.2,159.2,160.6,162.6,162.2,158.9,164.3,164.6,165.2,164.3,167.6,151.7,158.745
PCU561510561510211            ,PCU561510561510211            ,"PPI industry data for Travel agencies-Hotel and car rental bookings, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,104.1,108.2,107.2,110.0,114.1,115.8,112.7,114.2,124.6,155.4,180.4,165.7,169.8,174.2,163.7,161.4,176.0,173.7,165.7,165.6,158.5,159.1,156.1,154.4,142.7,153.7,151.0,148.9,152.1,150.8,136.8,153.267
PCU5615105615102111           ,PCU5615105615102111           ,"PPI industry data for Travel agencies-Hotel bookings, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,97.6,96.3,87.9,93.5,91.4,90.2,93.2,92.4,86.1,96.269
PCU5615105615102112           ,PCU5615105615102112           ,"PPI industry data for Travel agencies-Car rental bookings, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,101.9,102.5,103.2,120.1,121.8,120.0,118.0,116.8,94.9,107.257
PCU561510561510222            ,PCU561510561510222            ,"PPI industry data for Travel agencies-Cruise and tour bookings, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2022-M02,,,,,,,,,,,,,,98.9,98.4,100.9,101.1,100.6,99.6,100.6,100.5,101.6,105.7,106.3,104.8,105.3,107.5,108.6,111.9,121.3,85.7,94.9
PCU5615105615102221           ,PCU5615105615102221           ,"PPI industry data for Travel agencies-Cruise bookings, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,102.4,104.8,95.4,95.7,107.9,110.2,112.1,112.4,89.2,100.913
PCU5615105615102222           ,PCU5615105615102222           ,"PPI industry data for Travel agencies-Packaged tour bookings, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,101.4,100.6,104.4,105.0,100.6,101.0,104.7,118.1,78.4,85.755
PCU561510561510233            ,PCU561510561510233            ,"PPI industry data for Travel agencies-All other travel agency services, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2022-M01,,,,,,,,,,,,,,100.8,97.5,86.1,99.1,108.6,108.2,108.2,116.0,116.7,116.8,116.7,122.7,124.8,125.4,127.5,125.6,125.8,126.6,126.57
PCU561510561510P              ,PCU561510561510P              ,"PPI industry data for Travel agencies-Primary services, not seasonally adjusted",Index base: 1989.12 = 100,1989-M12,2022-M02,107.6,114.4,114.1,116.1,116.2,111.9,110.5,115.2,112.8,112.7,122.5,124.0,114.7,113.1,109.0,107.8,111.6,113.4,111.8,111.7,112.5,113.2,113.6,114.7,114.4,115.2,114.4,114.1,114.7,117.2,107.8,108.221
PCU561510561510SM             ,PCU561510561510SM             ,"PPI industry data for Travel agencies-Other receipts, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2020-M01,,,,,,,,,,,,,,100.3,100.3,101.5,115.3,115.5,,,,,115.9,116.2,117.8,117.9,120.4,120.3,,121.2,,
PCU561612561612               ,PCU561612561612               ,"PPI industry data for Security guards and patrol services, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2022-M02,,,,,,,,,,,,,,,,100.9,102.5,104.3,106.5,108.3,108.4,108.9,109.4,109.9,111.7,113.9,116.6,119.1,121.9,126.6,131.4,136.928
PCU5616125616121              ,PCU5616125616121              ,"PPI industry data for Security guards and patrol services-Security guard services, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2022-M02,,,,,,,,,,,,,,,,100.9,102.6,104.5,106.5,108.2,108.2,108.7,109.3,109.8,111.6,113.8,116.5,119.0,121.7,126.5,131.3,136.762
PCU561612561612P              ,PCU561612561612P              ,"PPI industry data for Security guards and patrol services-Primary services, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2022-M02,,,,,,,,,,,,,,,,100.9,102.6,104.5,106.5,108.2,108.2,108.7,109.3,109.8,111.6,113.8,116.5,119.0,121.7,126.5,131.3,136.762
PCU56172-56172-               ,PCU56172-56172-               ,"PPI industry data for Janitorial services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,100.9,101.9,103.7,106.0,109.1,110.0,110.7,112.4,113.7,114.8,117.1,119.3,120.8,121.4,121.9,122.5,123.1,125.13
PCU561720561720               ,PCU561720561720               ,"PPI industry data for Janitorial services, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M02,,,,,,101.0,102.4,104.5,105.6,108.0,111.3,116.3,117.8,117.9,119.3,120.5,122.7,125.4,129.1,130.1,131.0,133.0,134.5,135.8,138.6,141.1,142.8,143.6,144.1,145.0,145.7,148.02
PCU5617205617205              ,PCU5617205617205              ,"PPI industry data for Janitorial services-Janitorial cleaning services, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M02,,,,,,101.0,102.3,104.6,105.7,108.2,111.5,116.6,118.1,118.3,119.5,120.6,122.7,125.5,129.1,130.0,130.9,132.7,134.2,135.7,138.5,141.1,143.0,143.9,144.4,145.2,145.9,148.388
PCU56172056172051             ,PCU56172056172051             ,"PPI industry data for Janitorial services-Nonresidential cleaning services, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M02,,,,,,,,,,,,,,,100.6,101.3,102.7,104.5,107.7,108.4,109.2,110.5,111.5,112.8,115.0,116.9,118.5,119.3,119.8,120.3,121.0,122.654
PCU56172056172052             ,PCU56172056172052             ,"PPI industry data for Janitorial services-Residential cleaning services, not seasonally adjusted",Index base: 2003.06 = 100,2003-M06,2022-M02,,,,,,,,,,,,,,,108.0,110.1,116.1,125.1,126.5,127.8,128.2,132.0,136.0,136.1,141.8,147.1,148.3,148.3,148.3,150.2,150.7,157.377
PCU561720561720P              ,PCU561720561720P              ,"PPI industry data for Janitorial services-Primary services, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2022-M02,,,,,,101.0,102.3,104.6,105.7,108.2,111.5,116.6,118.1,118.3,119.5,120.6,122.7,125.5,129.1,130.0,130.9,132.7,134.2,135.7,138.5,141.1,143.0,143.9,144.4,145.2,145.9,148.388
PCU561720561720SM             ,PCU561720561720SM             ,"PPI industry data for Janitorial services-Other receipts, not seasonally adjusted",Index base: 1994.12 = 100,1994-M12,2018-M03,,,,,,101.0,104.6,104.2,104.0,105.3,107.6,109.0,110.5,110.2,113.6,117.0,119.7,120.5,126.2,129.4,130.3,135.3,136.8,136.6,137.2,138.9,139.2,138.4,,,,
