index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CUUR0000SEEC02   ,CUUR0000SEEC02   ,"Delivery services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,108.7,114.5,123.0,127.9,134.9,150.1,160.2,172.9,183.93599999999998,210.976,197.832,225.86900000000003,252.31,265.675,274.818,283.165,283.094,277.29900000000004,290.356,309.476,318.328,320.157
CUUR0000SEED     ,CUUR0000SEED     ,"Telephone services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,100.1,98.5,99.3,99.7,98.3,95.8,94.9,95.8,98.24700000000001,100.45100000000001,102.39200000000001,102.37899999999999,101.209,101.685,101.559,101.131,99.31,98.846,91.75,90.375,89.35799999999998,92.195
CUUR0000SEED03   ,CUUR0000SEED03   ,"Wireless telephone services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,84.9,76.0,68.1,67.4,66.8,66.2,65.0,64.6,64.383,64.24,64.257,62.395,60.147,59.678000000000004,58.617,57.378,55.216,54.678999999999995,48.84,47.596000000000004,46.393,47.32899999999999
CUUR0000SEED04   ,CUUR0000SEED04   ,"Land-line telephone services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.61200000000001,103.325,105.58200000000001,108.146,111.059,113.42299999999999,114.514,116.103,117.21600000000001,120.791,128.908
CUUR0000SEEE     ,CUUR0000SEEE     ,"Information technology, hardware and services in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1988.12=100,1988-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,93.5,88.6,83.7,78.8,72.0,63.8,57.2,50.1,39.9,30.5,25.9,21.3,18.3,16.1,14.8,13.6,12.5,10.597000000000001,10.061,9.672,9.413,9.03,8.738999999999999,8.516,8.352,8.052999999999999,7.806,7.619,7.4670000000000005,7.386,7.322
CUUR0000SEEE01   ,CUUR0000SEEE01   ,"Personal computers and peripheral equipment in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2007.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.1,598.7,459.9,330.1,248.4,196.9,171.2,143.2,120.9,108.411,94.944,82.304,76.377,68.90100000000001,62.333999999999996,56.75899999999999,52.597,47.905,44.428000000000004,42.56399999999999,40.849000000000004,39.371,38.3
CUUR0000SEEE02   ,CUUR0000SEEE02   ,"Computer software and accessories in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5,88.4,85.4,79.1,74.0,67.4,62.4,58.9,55.4,52.512,50.64100000000001,49.94300000000001,46.428999999999995,43.056999999999995,40.98,38.558,37.001,36.779,34.363,33.019,32.147,29.576999999999998,26.449
CUUR0000SEEE03   ,CUUR0000SEEE03   ,"Internet services and electronic information providers in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,92.2,96.4,98.1,98.9,99.8,97.4,95.7,92.2,73.247,73.91199999999998,76.535,77.027,76.30199999999998,76.487,77.19,78.069,77.524,77.411,76.53399999999998,75.954,77.09,78.194
CUUR0000SEEE04   ,CUUR0000SEEE04   ,"Telephone hardware, calculators, and other consumer information items in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,84.4,76.1,68.3,62.2,55.5,49.8,45.8,41.7,38.613,36.964,35.312,34.013000000000005,32.863,31.101,29.561,27.566999999999997,23.974,21.381,20.223,19.082,16.315,14.009
CUUR0000SEEEC    ,CUUR0000SEEEC    ,"Information technology commodities in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.441,89.40299999999998,82.17,75.844,70.763,64.893,59.89,57.263999999999996,54.934,51.688,48.838
CUUR0000SS27051  ,CUUR0000SS27051  ,"Land-line interstate toll calls in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2009-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,82.1,83.3,90.3,99.4,101.5,99.2,94.9,88.4,75.3,72.3,70.0,68.2,67.6,68.0,69.6,75.2,74.9,77.9,77.3,75.5,73.4,68.0,65.3,62.2,57.1,51.3,48.2,48.9,51.25100000000001,53.632,56.562,,,,,,,,,,,
CUUR0000SS27061  ,CUUR0000SS27061  ,"Land-line intrastate toll calls in U.S. city average, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2009-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,86.4,85.2,87.8,93.8,100.4,105.9,106.8,106.8,104.7,101.5,97.0,95.1,93.1,91.4,90.7,90.2,86.0,89.4,93.9,95.7,94.7,90.7,88.1,84.8,77.3,71.2,69.0,70.3,75.115,80.383,84.566,,,,,,,,,,,
CUURN000SAE      ,CUURN000SAE      ,"Education and communication in Size Class B/C, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.5,101.6,104.0,106.4,108.2,109.4,111.1,113.9,116.205,119.314,122.677,125.185,126.684,129.1,130.743,132.914,133.25799999999998,134.548,130.97299999999998,130.72799999999998,131.515,134.342
CUURN000SAEC     ,CUURN000SAEC     ,"Education and communication commodities in Size Class B/C, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.766,98.272,96.744,94.287,92.844,90.434,87.68299999999998,85.17399999999998,82.595,77.57600000000002,74.175
CUURN000SAES     ,CUURN000SAES     ,"Education and communication services in Size Class B/C, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.728,102.214,104.531,106.31,108.44,109.04,110.557,107.64399999999999,107.764,109.10799999999999,112.094
CUURN000SEEB     ,CUURN000SEEB     ,"Tuition, other school fees, and childcare in Size Class B/C, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,2017-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.653,253.963,261.303,266.153
CUURS000SAE      ,CUURS000SAE      ,"Education and communication in Size Class A, all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,101.7,103.2,106.1,108.8,110.7,112.8,115.2,118.3,121.27600000000001,125.96,129.982,132.502,133.834,135.96,138.181,139.41299999999998,140.30100000000002,141.083,139.08,139.704,140.94,143.06799999999996
CUURS000SAEC     ,CUURS000SAEC     ,"Education and communication commodities in Size Class A, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.49600000000001,93.399,89.60600000000002,86.353,81.913,77.52199999999998,73.637,71.318,69.569,67.28399999999999,64.35
CUURS000SAES     ,CUURS000SAES     ,"Education and communication services in Size Class A, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.10700000000001,102.655,104.775,106.965,108.501,109.795,110.95700000000001,109.551,110.32,111.684,113.90899999999999
CUURS000SEEB     ,CUURS000SEEB     ,"Tuition, other school fees, and childcare in Size Class A, all urban consumers, not seasonally adjusted",Index base: 1986.12=100,2017-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.601,548.322,564.263,575.938
