index,Index,Label,unit,start,last,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CUURD000SANL113  ,CUURD000SANL113  ,"Nondurables less food, beverages, and apparel in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,59.1,70.1,87.2,97.3,98.6,100.1,101.3,103.0,94.2,97.3,101.7,109.4,119.0,122.8,124.4,125.9,125.7,128.7,134.7,137.4,134.6,144.8,159.7,161.3,159.9,169.0,182.5,202.1,216.1,224.93,247.74599999999998,218.80900000000003,239.30599999999998,269.695,274.089,270.161,269.177,235.83599999999998,229.296,240.965
CUURD000SANL13   ,CUURD000SANL13   ,"Nondurables less food and apparel in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,59.8,70.6,87.1,97.0,98.4,100.2,101.4,103.3,95.2,98.1,102.3,109.7,119.0,123.5,125.3,127.0,127.1,130.0,135.9,138.6,136.1,145.9,160.4,162.2,160.8,169.6,182.5,200.9,214.1,222.61700000000002,244.143,217.88,237.24599999999998,265.91,270.33299999999997,266.823,265.837,235.12599999999998,229.33,240.49099999999999
CUURD000SAR      ,CUURD000SAR      ,"Recreation in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,102.9,104.3,104.1,106.4,107.7,108.0,108.2,109.1,111.0,112.691,115.241,117.074,116.72,115.77,118.251,119.28299999999999,120.10700000000001,120.941,122.594,123.027
CUURD000SARC     ,CUURD000SARC     ,"Recreation commodities in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.572,99.61,99.194,97.928,96.632,95.575,92.738,88.46600000000002
CUURD000SARS     ,CUURD000SARS     ,"Recreation services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.82700000000001,97.195,101.374,103.89299999999999,106.07799999999999,108.06299999999999,112.68,116.655
CUURD000SAS      ,CUURD000SAS      ,"Services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,60.1,66.8,76.1,85.8,96.3,99.6,104.1,108.4,113.1,117.0,121.1,126.0,133.9,140.5,145.4,151.4,157.4,164.4,171.0,175.5,180.2,184.0,188.6,195.5,200.8,206.0,210.1,216.9,225.9,233.702,242.768,247.33599999999998,248.94,252.885,260.552,266.811,274.04900000000004,281.705,290.303,296.961
CUURD000SAS2RS   ,CUURD000SAS2RS   ,"Rent of shelter in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,2017-M13,,,,,,102.0,106.2,110.8,115.9,119.2,123.5,128.2,135.2,140.5,144.3,150.2,156.1,164.3,171.2,175.6,179.5,183.2,186.5,190.2,194.3,197.1,199.0,203.0,209.8,216.592,223.137,225.87400000000002,224.167,226.13,232.172,236.02,242.938,252.472,262.053,270.126
CUURD000SAS367   ,CUURD000SAS367   ,"Other services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,67.3,73.2,80.0,86.4,94.7,100.2,105.1,108.9,114.0,119.1,124.0,130.7,141.6,152.1,161.3,168.9,176.0,185.8,195.9,204.9,215.5,220.9,225.9,235.4,244.3,251.3,257.7,265.3,276.1,284.994,295.193,304.178,308.997,314.047,326.282,334.527,340.48699999999997,345.12300000000016,353.33,354.287
CUURD000SAS4     ,CUURD000SAS4     ,"Transportation services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.7,71.4,81.1,90.6,96.4,99.1,104.5,108.9,113.2,119.3,126.1,133.1,143.6,151.2,153.7,161.8,168.4,176.3,180.7,184.8,185.8,189.6,194.9,202.6,211.6,218.8,219.8,225.2,234.1,243.861,254.055,264.45,276.12,281.447,291.465,300.153,310.622,317.76,326.03,341.806
CUURD000SASL2RS  ,CUURD000SASL2RS  ,"Services less rent of shelter in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,2017-M13,,,,,,103.1,108.0,112.3,116.9,121.5,125.7,131.0,140.1,148.1,154.1,160.5,166.9,173.5,180.1,184.9,190.6,194.7,200.8,210.8,217.7,225.7,232.3,242.1,253.8,263.01,275.466,282.518,288.33099999999996,294.853,304.7940000000001,314.247,322.138,327.819,335.53,340.634
CUURD000SASL5    ,CUURD000SASL5    ,"Services less medical care services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,60.2,66.9,76.4,86.2,96.8,99.5,103.8,107.9,111.9,115.2,119.0,123.4,130.5,136.3,140.4,145.9,151.2,157.7,164.2,168.4,172.8,176.1,180.4,186.7,191.2,195.7,198.8,204.6,213.2,220.136,228.775,232.808,233.713,237.051,243.736,248.97400000000002,255.933,263.16700000000003,270.733,277.486
CUURD000SASLE    ,CUURD000SASLE    ,"Services less energy services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,60.1,66.9,76.5,86.1,96.7,99.3,104.0,108.6,114.1,118.3,122.9,128.4,137.0,144.2,149.4,155.9,162.3,170.3,177.3,182.2,187.4,191.7,195.9,202.0,208.5,213.5,217.4,223.3,231.5,239.705,247.989,253.433,255.549,259.264,267.847,274.34,281.57599999999996,290.207,300.193,307.259
CUURD000SAT      ,CUURD000SAT      ,"Transportation in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,62.0,70.9,83.3,93.6,97.1,99.3,103.6,105.8,100.6,104.1,107.2,112.9,119.4,122.7,124.4,128.3,132.2,138.1,141.9,142.3,138.5,141.6,150.7,151.1,148.8,154.2,160.1,173.6,181.0,185.64700000000002,196.771,177.804,193.85299999999998,214.553,220.674,220.81599999999997,220.265,200.265,195.442,202.61700000000002
CUURD000SAT1     ,CUURD000SAT1     ,"Private transportation in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,62.9,72.0,84.2,94.2,97.3,99.3,103.4,105.3,99.3,102.6,105.3,110.7,116.7,119.4,121.4,124.3,128.3,134.2,138.0,138.2,134.6,137.5,146.3,146.8,144.9,150.2,156.4,169.9,177.1,181.546,192.179,173.25900000000001,189.17700000000002,209.674,215.993,215.995,215.72099999999998,195.613,190.808,198.18400000000003
CUURD000SATCLTB  ,CUURD000SATCLTB  ,"Transportation commodities less motor fuel in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.76,105.465,107.434,108.84700000000001,109.385,110.425,109.611,107.458
CUURD000SEFV     ,CUURD000SEFV     ,"Food away from home in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,65.7,73.0,81.6,90.2,95.0,100.0,105.0,109.7,113.0,117.0,122.1,127.2,133.1,137.2,139.9,142.3,145.4,148.3,152.8,157.7,161.2,164.5,170.5,173.4,178.5,183.1,189.5,196.7,203.2,210.25099999999998,220.703,229.077,229.549,235.745,243.296,250.456,257.17,265.71299999999997,273.894,280.936
CUURD000SEHA     ,CUURD000SEHA     ,"Rent of primary residence in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,71.8,77.0,82.4,89.5,95.8,99.9,104.4,109.7,114.9,117.3,120.6,124.0,127.9,132.3,135.4,140.1,145.0,150.5,155.1,158.6,161.5,165.2,168.7,172.9,176.4,179.9,183.2,188.0,194.5,200.975,206.225,211.38,212.828,216.35299999999998,223.1,225.916,232.61900000000003,243.34400000000002,253.36599999999999,260.905
CUURD000SEHC     ,CUURD000SEHC     ,"Owners' equivalent rent of residences in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,2017-M13,,,,,,101.9,105.7,109.9,114.9,118.3,122.9,128.0,135.0,139.6,143.3,149.3,155.7,164.2,171.5,175.8,179.8,183.7,187.7,192.1,197.3,199.3,201.3,205.2,212.0,218.05,224.56900000000002,228.162,227.137,228.64700000000002,234.361,238.19099999999997,244.833,253.9,263.10200000000003,271.632
CUURD000SEHC01   ,CUURD000SEHC01   ,"Owners' equivalent rent of primary residence in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982.12=100,1982-M12,2017-M13,,,,,,101.9,105.7,109.9,114.9,118.3,122.9,128.0,135.0,139.6,143.3,149.3,155.7,164.2,171.5,175.8,179.8,183.7,187.7,192.1,197.3,199.3,201.3,205.2,212.0,218.05,224.56900000000002,228.162,227.138,228.653,234.378,238.197,244.845,253.857,263.01,271.507
CUURD000SEHF     ,CUURD000SEHF     ,"Energy services in Size Class D (under 50,000), all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2017-M13,60.2,65.7,72.2,81.9,91.8,102.9,105.3,106.3,104.6,105.1,105.8,105.2,107.1,109.1,111.3,112.9,115.0,114.1,117.1,118.4,118.7,118.4,125.7,136.8,134.4,141.3,146.7,160.1,175.3,179.774,195.597,192.525,189.705,195.66400000000002,195.25400000000002,199.44400000000002,206.49,205.90900000000002,202.831,205.986
