index,Index,Label,unit,start,last,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CUURA210SAGC     ,CUURA210SAGC     ,"Other goods in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.07600000000001,100.08,103.11,104.795,105.851,108.686,110.27,108.939
CUURA210SAGS     ,CUURA210SAGS     ,"Other personal services in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.56,104.90799999999999,108.62899999999999,109.61399999999999,111.14399999999999,112.34,114.196,114.995
CUURA210SAH      ,CUURA210SAH      ,"Housing in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,49.7,53.6,63.0,75.9,83.8,92.3,102.6,105.1,108.5,111.8,114.0,117.8,122.7,127.7,132.5,135.8,139.0,142.4,145.1,148.6,153.2,158.4,160.2,166.1,172.6,172.5,174.1,178.9,183.3,185.7,188.608,192.78799999999998,189.361,188.715,190.15200000000002,191.535,196.092,201.229,203.796,205.64700000000002,209.84799999999998
CUURA210SAH1     ,CUURA210SAH1     ,"Shelter in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,21.6,22.3,22.7,23.7,24.4,24.0,24.1,24.1,24.1,24.3,24.3,24.4,24.8,25.9,28.0,29.8,32.0,32.2,33.5,34.3,37.1,41.3,42.2,44.9,49.1,60.1,75.4,83.3,91.7,102.4,105.9,111.6,116.7,120.6,126.2,131.6,137.2,143.8,149.1,152.9,156.3,160.7,166.9,171.3,178.9,182.9,188.8,193.4,200.9,199.0,204.0,204.4,208.0,212.835,213.13299999999998,214.40900000000002,213.35,215.579,218.94400000000002,223.94799999999998,230.137,235.449,240.702,244.702
CUURA210SAH2     ,CUURA210SAH2     ,"Fuels and utilities in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1952-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,20.4,20.7,21.1,21.6,21.7,23.2,24.0,24.1,24.2,24.2,24.4,25.7,25.5,25.6,25.5,25.4,27.4,30.3,31.1,32.4,37.1,40.9,45.7,55.1,57.5,63.4,71.4,81.1,92.7,103.8,103.5,104.9,104.1,102.6,103.7,109.4,112.0,113.9,114.7,119.1,121.8,120.0,124.2,129.0,130.1,127.8,139.8,157.0,135.2,155.7,164.4,187.7,193.4,190.269,213.27599999999998,186.592,191.801,191.27200000000002,183.579,191.54,200.68400000000003,194.643,185.352,196.95
CUURA210SAH21    ,CUURA210SAH21    ,"Household energy in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,49.0,51.2,58.8,69.1,78.2,91.6,105.2,103.2,103.9,102.9,99.3,99.1,105.4,108.4,109.4,107.0,112.2,115.8,112.7,118.6,126.6,125.2,122.6,134.4,153.1,128.1,152.9,161.6,186.4,191.9,182.905,210.06599999999997,174.446,177.015,172.643,158.787,163.96099999999996,171.56,160.786,150.10299999999995,160.148
CUURA210SAH3     ,CUURA210SAH3     ,"Household furnishings and operations in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1975-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,70.5,74.2,78.4,83.9,90.3,96.5,100.2,103.3,103.6,106.9,108.6,110.5,113.2,118.8,121.6,122.0,123.0,127.0,129.6,125.0,130.0,130.7,127.9,126.7,129.2,125.2,123.3,123.0,124.5,118.7,119.133,121.581,122.18299999999999,117.09700000000001,117.251,119.42200000000001,119.14,118.47200000000001,117.811,116.699,116.383
CUURA210SAH31    ,CUURA210SAH31    ,"Household furnishings and supplies in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 2009.12=100,2010-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.439,95.712,97.023,96.185,95.145,94.53,92.929,92.05
CUURA210SAM      ,CUURA210SAM      ,"Medical care in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1947-M01,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,11.2,11.7,11.8,12.6,13.3,13.8,14.5,15.1,16.1,16.7,17.1,18.7,19.3,20.7,20.8,21.9,22.5,23.2,23.7,25.2,27.3,30.5,32.9,35.2,36.2,38.0,41.3,46.0,50.6,56.7,61.9,66.0,72.7,81.2,91.5,101.2,107.4,111.9,122.3,128.5,134.9,143.5,156.6,171.7,178.6,187.2,195.8,202.6,209.4,211.5,214.7,224.9,233.9,240.1,245.6,,268.1,285.8,299.0,321.064,341.1380000000001,349.589,364.167,379.185,391.415,389.626,396.039,411.17900000000003,426.725,443.365
CUURA210SAN      ,CUURA210SAN      ,"Nondurables in Cleveland-Akron, OH, all urban consumers, not seasonally adjusted",Index base: 1982-84=100,1966-M11,2017-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,37.8,39.8,42.0,42.9,44.3,48.5,54.6,58.9,61.9,65.1,69.3,77.1,85.8,94.2,97.4,100.0,102.6,104.6,102.6,107.2,110.7,118.3,126.2,130.9,132.2,135.4,139.3,142.1,145.8,148.1,150.8,155.1,161.8,165.3,165.5,169.0,175.6,184.9,188.7,195.94,209.10299999999998,201.984,211.74400000000003,226.40099999999998,233.68400000000003,233.93099999999998,235.702,227.77900000000002,225.081,227.623
