index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
WDU08110117                   ,WDU08110117                   ,"PPI Commodity data for Lumber and wood products-Boards, Utility, S-green, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,98.4,103.1,81.3,120.8,124.2,123.0,108.2,108.8,125.4,114.5,89.5,100.3,122.4,91.7,85.1,93.4,101.2,101.4,94.1,100.1,100.0,122.5,135.4,90.5,127.0,167.2,247.2,214.6,213.9,259.5,312.8,345.5,393.6,316.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110119                   ,WDU08110119                   ,"PPI Commodity data for Lumber and wood products-Timbers,Utility,green, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1972-M13,75.0,91.7,67.9,95.4,107.8,104.2,90.3,88.0,105.4,105.1,90.5,91.5,110.9,91.8,86.0,92.8,100.0,94.0,90.9,96.6,100.0,130.1,144.2,99.4,140.7,153.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110122                   ,WDU08110122                   ,"PPI Commodity data for Lumber and wood products-Studs, Stud and Better grade, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,116.3,136.8,112.7,125.0,160.2,198.1,224.9,211.1,196.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110125                   ,WDU08110125                   ,"PPI Commodity data for Lumber and wood products-Boards under 2"" thick, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.2,100.0,128.6,113.1,123.7,122.8,122.3,137.9,151.1,131.3,134.6,161.2,217.0,213.2,194.5,191.9,187.3,186.9,192.2,186.8,190.2,195.3,188.8,,,,,,,,,
WDU08110126                   ,WDU08110126                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6,100.0,141.5,129.7,130.4,126.9,125.9,131.9,148.5,138.7,139.5,169.7,241.1,240.9,196.8,233.9,227.8,184.4,215.8,182.3,172.7,172.4,171.5,,,,,,,,,
WDU08110127                   ,WDU08110127                   ,"PPI Commodity data for Lumber and wood products-Timbers & lumber over 2"" thick, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.7,100.0,115.2,106.8,104.9,112.2,126.9,148.9,168.2,155.9,153.2,184.6,262.1,255.9,222.5,237.5,232.0,190.5,212.5,204.5,194.6,182.2,184.4,,,,,,,,,
WDU081102                     ,WDU081102                     ,"PPI Commodity data for Lumber and wood products-Southern pine, dressed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2003-M13,27.8,30.5,27.5,30.9,33.1,33.4,33.1,31.7,32.9,34.1,32.8,32.3,33.4,32.8,31.4,31.4,31.3,31.3,31.9,35.0,35.0,39.8,44.1,40.1,46.9,53.0,65.7,64.5,61.3,76.0,91.8,106.5,113.4,104.0,102.0,100.0,111.9,111.9,105.2,104.9,114.1,112.4,108.0,111.2,111.0,130.6,168.8,182.6,166.9,177.9,201.2,177.3,185.7,161.0,152.5,145.2,145.4,,,,,,,,,
WDU08110221                   ,WDU08110221                   ,"PPI Commodity data for Lumber and wood products-Flooring, C and Better, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,91.2,104.3,96.2,100.0,103.8,104.7,105.4,101.9,100.4,102.7,98.0,92.9,92.1,91.9,89.9,89.2,89.8,89.9,91.6,100.3,100.0,106.6,120.7,123.7,133.7,140.8,186.2,229.2,226.9,233.6,250.2,276.9,301.4,324.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110223                   ,WDU08110223                   ,"PPI Commodity data for Lumber and wood products-Finish, C and Better, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,90.2,103.5,97.8,102.4,108.7,108.4,108.0,105.0,106.2,106.4,97.6,93.5,94.0,93.6,89.3,88.5,88.9,89.1,91.0,99.1,100.0,107.3,121.9,125.3,133.0,142.5,183.8,216.9,216.9,231.8,267.8,337.5,370.3,381.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110225                   ,WDU08110225                   ,"PPI Commodity data for Lumber and wood products-Drop siding, C and Better, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,79.4,93.0,87.1,90.6,97.2,97.6,96.7,93.8,94.8,96.0,90.8,88.3,87.2,87.0,84.5,84.0,85.1,84.8,86.3,96.5,100.0,106.4,122.8,128.2,135.4,143.7,183.8,222.8,222.6,235.9,272.5,335.8,370.9,384.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110227                   ,WDU08110227                   ,"PPI Commodity data for Lumber and wood products-Dimension,no.1, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,66.5,73.6,68.9,77.8,83.2,84.3,85.0,83.9,87.7,91.6,90.6,88.8,92.1,92.9,90.2,89.9,89.7,90.3,91.3,99.0,100.0,113.1,122.5,110.3,130.2,149.7,182.2,176.1,167.2,213.2,267.4,297.7,314.3,271.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110229                   ,WDU08110229                   ,"PPI Commodity data for Lumber and wood products-Dimension,no.2, not seasonally adjusted, discontinued",Index base: 1967 = 100,1948-M01,1980-M13,,73.6,68.4,79.2,86.0,87.9,86.6,82.2,87.3,91.0,90.7,90.0,93.4,94.0,91.1,90.8,89.6,89.9,91.7,99.4,100.0,117.8,128.0,112.5,135.1,155.4,190.9,177.6,167.8,213.1,265.0,300.1,320.5,271.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110231                   ,WDU08110231                   ,"PPI Commodity data for Lumber and wood products-Boards,no.2, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,84.8,90.9,77.1,91.5,98.3,98.9,96.9,91.0,97.1,101.3,95.6,94.8,99.5,95.7,89.6,90.0,89.4,89.6,91.1,101.5,100.0,115.0,127.6,107.9,134.0,154.7,198.2,188.4,166.6,226.0,271.3,329.9,366.2,337.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110233                   ,WDU08110233                   ,"PPI Commodity data for Lumber and wood products-Boards,no.3, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,90.8,95.3,79.0,96.1,104.4,103.2,101.3,94.2,100.9,104.0,95.4,96.3,103.3,94.6,86.0,87.2,89.1,88.8,90.8,103.6,100.0,119.8,137.2,106.1,136.9,157.8,206.7,186.5,159.2,225.4,257.2,300.5,323.2,284.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110235                   ,WDU08110235                   ,"PPI Commodity data for Lumber and wood products-Timbers,no.1, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,60.3,69.6,68.0,75.7,87.2,89.6,92.4,91.2,92.6,95.1,94.9,94.3,95.6,95.8,93.7,94.1,94.2,94.4,94.9,98.6,100.0,111.8,122.7,118.3,132.5,144.1,171.1,175.0,168.6,189.5,214.4,239.6,256.7,249.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110237                   ,WDU08110237                   ,"PPI Commodity data for Lumber and wood products-Timbers,no. 2 . . . . . . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1971-M13,59.6,66.8,66.3,76.2,87.7,89.3,88.2,84.9,89.0,92.9,92.4,91.3,94.9,93.9,91.7,92.3,93.0,92.8,93.0,99.4,100.0,113.3,126.3,116.2,132.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110242                   ,WDU08110242                   ,"PPI Commodity data for Lumber and wood products-Studs, Stud and Better grade, not seasonally adjusted, discontinued",Index base: 1971.12 = 100,1971-M12,1980-M13,,,,,,,,,,,,,,,,,,,,,,,,,,114.2,127.6,107.8,108.3,134.9,169.8,192.4,172.5,172.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110245                   ,WDU08110245                   ,"PPI Commodity data for Lumber and wood products-Boards under 2"" thick, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,100.0,103.4,107.9,106.2,106.2,108.6,114.9,112.1,118.2,116.8,138.5,171.5,181.8,179.9,181.7,205.0,181.8,173.1,169.1,160.9,160.6,153.7,,,,,,,,,
WDU08110246                   ,WDU08110246                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,100.0,118.1,114.8,105.1,104.7,118.3,112.4,107.6,109.4,109.8,129.4,169.7,184.5,163.1,175.3,198.5,174.9,187.8,157.4,149.6,140.1,141.9,,,,,,,,,
WDU08110247                   ,WDU08110247                   ,"PPI Commodity data for Lumber and wood products-Timbers & lumber over 2"" thick, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M03,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3,100.0,102.7,107.4,100.8,100.0,103.4,100.7,94.3,97.5,96.3,111.7,153.6,178.3,162.3,195.2,220.0,191.0,193.2,179.5,163.3,,156.5,,,,,,,,,
WDU081103                     ,WDU081103                     ,"PPI Commodity data for Lumber and wood products-Other species, dressed, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,2003-M13,18.2,22.0,21.7,24.6,26.9,26.5,27.4,26.9,28.3,28.4,27.4,26.7,28.5,26.8,25.0,25.9,26.5,27.0,26.8,27.4,28.1,34.7,39.0,32.3,40.8,49.7,63.6,62.0,57.7,72.4,87.8,102.2,112.4,101.1,106.2,100.0,113.2,108.3,106.4,109.7,119.0,120.1,127.1,126.3,130.0,157.3,202.4,206.8,184.8,200.3,219.3,189.7,208.7,186.1,176.5,182.6,182.0,,,,,,,,,
WDU08110301                   ,WDU08110301                   ,"PPI Commodity data for Lumber and wood products-Boards, ponderosa pine, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,100.0,109.3,112.6,110.8,121.3,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110303                   ,WDU08110303                   ,"PPI Commodity data for Lumber and wood products-Boards, western red cedar, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1984-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,100.0,120.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110306                   ,WDU08110306                   ,"PPI Commodity data for Lumber and wood products-Boards, eastern white pine, not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1985-M05,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.5,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110308                   ,WDU08110308                   ,"PPI Commodity data for Lumber and wood products-Boards, misc. western species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,100.0,108.7,121.2,120.2,124.8,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110309                   ,WDU08110309                   ,"PPI Commodity data for Lumber and wood products-Boards, misc. eastern species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1983-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110312                   ,WDU08110312                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, ponderosa pine, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3,100.0,,98.4,101.8,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110314                   ,WDU08110314                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, white fir, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.4,100.0,127.6,113.7,114.4,122.7,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110315                   ,WDU08110315                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, western hemlock, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5,100.0,135.8,116.4,119.2,119.2,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110316                   ,WDU08110316                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, redwood, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4,100.0,105.2,99.8,97.2,93.4,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110319                   ,WDU08110319                   ,"PPI Commodity data for Lumber and wood products-2"" lumber, misc. western species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,100.0,120.5,117.4,108.6,111.5,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110322                   ,WDU08110322                   ,"PPI Commodity data for Lumber and wood products-Over 2"" lumber, misc. western species, not seasonally adjusted, discontinued",Index base: 1982 = 100,1980-M12,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,,,,,97.2,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110331                   ,WDU08110331                   ,"PPI Commodity data for Lumber and wood products-Eastern species (ex. Southern pine), not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,1996-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6,157.0,168.5,125.5,,,,,,,,,,,,,,,,,
WDU08110332                   ,WDU08110332                   ,"PPI Commodity data for Lumber and wood products-Western species (ex. Douglas fir), not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.9,105.8,112.3,111.8,114.9,140.0,181.3,184.6,166.9,181.8,198.2,170.3,190.7,169.5,160.0,165.0,160.3,,,,,,,,,
WDU08110339                   ,WDU08110339                   ,"PPI Commodity data for Lumber and wood products-Ponderosa pine,boards,no.3, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,77.4,96.6,88.2,100.0,116.1,114.8,111.9,99.7,109.6,109.4,100.0,96.3,109.0,104.1,96.5,93.7,93.7,91.0,93.7,96.4,100.0,121.9,148.9,116.4,141.0,192.1,263.6,245.8,211.3,270.5,339.8,385.0,465.6,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110341                   ,WDU08110341                   ,"PPI Commodity data for Lumber and wood products-Ponderosa pine,boards,no.4, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,72.9,94.3,101.5,115.6,131.2,133.0,140.0,136.2,131.8,127.3,122.0,118.1,128.6,104.5,87.6,101.5,104.2,93.5,91.3,100.2,100.0,125.2,156.6,91.6,138.2,191.6,288.4,208.1,144.1,239.0,285.3,360.9,353.1,315.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110343                   ,WDU08110343                   ,"PPI Commodity data for Lumber and wood products-Ponderosa pine,shop,no.2, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,65.9,86.6,83.8,91.4,106.5,106.1,112.5,112.3,115.3,115.5,105.3,101.9,115.4,111.5,91.2,96.9,103.0,111.7,112.9,111.2,100.0,122.4,161.2,127.5,170.5,202.1,253.6,276.0,219.0,354.8,425.7,519.0,539.7,519.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110345                   ,WDU08110345                   ,"PPI Commodity data for Lumber and wood products-Larch-Douglas fir, dimension, not seasonally adjusted, discontinued",Index base: 1967 = 100,1959-M01,1980-M13,,,,,,,,,,,,,98.6,91.9,90.0,91.3,94.2,95.4,96.4,100.4,100.0,129.6,136.5,110.0,145.5,183.5,228.1,202.5,193.7,240.9,293.1,324.4,369.8,291.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110347                   ,WDU08110347                   ,"PPI Commodity data for Lumber and wood products-Hem-fir (inland), dimension, not seasonally adjusted, discontinued",Index base: 1967 = 100,1959-M01,1980-M13,,,,,,,,,,,,,101.0,92.2,87.8,91.6,91.1,92.0,95.6,99.0,100.0,128.2,137.1,106.5,146.9,186.4,242.8,210.2,193.0,249.1,293.6,337.1,380.9,300.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110349                   ,WDU08110349                   ,"PPI Commodity data for Lumber and wood products-Eastern white pine, boards, no. 3 com., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,69.1,75.0,75.0,81.5,85.7,86.0,92.2,93.7,104.7,106.2,107.5,110.7,103.3,97.0,99.8,102.3,103.1,101.0,90.8,95.7,100.0,104.8,119.0,126.5,137.2,133.6,175.2,214.5,225.0,229.8,230.8,268.8,316.9,320.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110351                   ,WDU08110351                   ,"PPI Commodity data for Lumber and wood products-Redwood boards,f.g.,green, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,42.4,45.8,47.3,51.8,55.5,58.4,65.1,65.7,69.8,78.9,80.6,80.6,95.7,91.5,76.4,78.2,85.3,96.4,100.3,98.4,100.0,131.6,181.3,141.0,138.0,159.8,236.0,316.8,266.9,306.1,421.9,525.3,528.6,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110353                   ,WDU08110353                   ,"PPI Commodity data for Lumber and wood products-Redwood,bevel siding,Clear all heart, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1973-M13,54.1,67.7,71.1,93.0,100.7,102.8,105.6,106.7,110.4,113.8,109.1,91.6,98.1,94.9,84.3,86.5,87.9,94.9,97.6,99.1,100.0,105.0,120.9,121.4,128.6,139.1,163.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110355                   ,WDU08110355                   ,"PPI Commodity data for Lumber and wood products-Redwood,boards,Clear,f.g.,dry, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,46.2,55.0,59.9,70.4,74.3,75.8,77.8,78.0,83.2,86.4,86.4,86.4,87.8,86.1,83.1,86.3,86.6,94.1,97.0,99.0,100.0,105.3,119.5,121.2,130.3,142.6,179.1,232.0,237.2,236.9,283.1,377.5,459.2,486.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110357                   ,WDU08110357                   ,"PPI Commodity data for Lumber and wood products-Cypress,C Select,finish, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1972-M13,63.8,70.7,80.8,93.2,99.2,99.2,99.7,98.1,99.1,101.4,103.1,103.6,103.9,103.9,104.0,105.0,100.2,98.8,97.8,101.4,100.0,102.2,104.7,107.1,117.7,123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110359                   ,WDU08110359                   ,"PPI Commodity data for Lumber and wood products-Cypress,no. 1 shop. . . . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,65.9,74.5,77.2,87.9,95.3,95.3,95.0,94.4,93.4,94.0,95.3,95.3,95.3,95.3,93.6,93.2,93.2,93.2,93.2,99.0,100.0,101.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110361                   ,WDU08110361                   ,"PPI Commodity data for Lumber and wood products-Cypress,no. 2 common, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1972-M13,60.2,69.1,70.0,78.0,83.6,83.6,85.9,87.2,93.5,98.9,99.8,99.8,99.8,99.6,99.2,99.0,95.5,93.9,93.1,97.1,100.0,101.2,111.4,119.9,132.9,140.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110363                   ,WDU08110363                   ,"PPI Commodity data for Lumber and wood products-Hem-fir (coastal), dimension, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,59.4,68.1,66.9,72.6,79.6,80.4,81.5,82.1,82.9,84.3,83.1,81.5,86.1,89.2,89.0,89.0,89.0,89.0,89.0,89.0,100.0,131.3,130.2,105.4,145.1,177.7,227.2,194.9,187.1,233.0,273.8,314.7,350.1,275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU08110365                   ,WDU08110365                   ,"PPI Commodity data for Lumber and wood products-Cedar,bevel siding,Clear, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1974-M13,95.2,129.0,110.6,129.0,119.3,89.8,90.8,94.4,107.5,91.1,91.9,96.3,97.5,88.9,85.3,86.5,90.8,94.8,97.3,100.9,100.0,110.5,128.4,129.0,137.9,146.4,166.7,205.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
