index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
WDU0412                       ,WDU0412                       ,"PPI Commodity data for Hides, skins, leather, and related products-Calfskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,163.9,127.6,126.2,144.0,134.1,83.6,106.5,83.1,96.3,99.4,91.0,102.0,143.7,115.4,128.8,124.5,73.4,83.4,111.7,128.2,100.0,124.4,126.9,71.9,64.0,122.0,134.0,138.5,80.8,167.9,199.7,290.2,399.7,246.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU041201                     ,WDU041201                     ,"PPI Commodity data for Hides, skins, leather, and related products-Calfskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1975-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.8,167.9,199.7,290.2,399.7,246.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04120101                   ,WDU04120101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, northern heavy, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,165.0,131.3,127.3,145.3,139.2,90.3,111.9,84.3,96.2,108.1,102.0,107.0,143.0,121.9,137.1,135.3,79.2,90.0,117.5,130.6,100.0,120.7,121.9,71.4,64.0,122.5,135.3,139.9,76.2,165.0,195.6,292.5,366.6,238.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04120102                   ,WDU04120102                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, northern light, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1980-M13,159.1,119.8,122.0,139.5,124.3,72.5,96.9,79.7,95.4,87.0,75.6,94.9,145.9,106.2,116.9,108.8,65.1,73.9,103.1,124.7,100.0,129.9,134.6,72.7,64.0,121.1,132.1,137.9,78.7,171.4,203.8,288.1,432.6,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0413                       ,WDU0413                       ,"PPI Commodity data for Hides, skins, leather, and related products-Kipskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,139.0,114.7,129.6,155.1,149.2,97.0,101.2,77.1,88.0,97.0,94.2,111.4,150.7,125.3,143.6,126.6,89.1,96.4,103.4,138.4,100.0,98.2,105.0,80.9,71.1,137.9,164.2,145.4,73.2,143.5,180.8,231.8,309.8,220.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU041301                     ,WDU041301                     ,"PPI Commodity data for Hides, skins, leather, and related products-Kipskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1975-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2,143.5,180.8,231.8,309.8,220.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04130101                   ,WDU04130101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, Northern, native, 15/25, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,142.1,118.7,133.0,157.7,151.5,102.1,104.1,76.3,87.7,99.1,95.4,113.9,159.7,132.2,154.6,134.7,91.3,97.4,102.1,137.5,100.0,99.4,104.9,80.1,71.1,141.0,169.9,154.5,,150.4,188.6,247.6,323.8,205.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04130102                   ,WDU04130102                   ,"PPI Commodity data for Hides, skins, leather, and related products-Packer, Northern, native, o/w, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,136.0,111.0,126.1,152.6,146.6,91.9,98.5,77.8,88.9,95.5,93.4,109.6,143.8,120.0,134.9,120.3,87.4,95.7,104.4,139.1,100.0,97.5,105.2,81.5,71.1,135.6,159.8,136.1,,144.9,175.1,219.1,299.7,236.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0414                       ,WDU0414                       ,"PPI Commodity data for Hides, skins, leather, and related products-Goatskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,73.3,73.8,76.0,75.4,78.4,47.4,50.7,57.2,56.4,49.7,50.4,54.5,66.6,69.6,68.1,67.3,70.1,72.8,80.6,106.2,100.0,85.1,95.0,85.8,86.7,106.5,159.9,145.9,125.7,139.6,139.6,139.6,139.6,139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU041401                     ,WDU041401                     ,"PPI Commodity data for Hides, skins, leather, and related products-Goatskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1975-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7,139.6,139.6,139.6,139.6,139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04140101                   ,WDU04140101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Amritsars, India, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,60.0,58.7,62.0,61.6,64.9,40.0,44.0,49.3,47.8,41.4,44.7,48.2,58.4,61.4,61.4,61.4,66.3,68.4,73.1,97.9,100.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,75.0,,,75.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04140102                   ,WDU04140102                   ,"PPI Commodity data for Hides, skins, leather, and related products-Pernambucos, Brazil, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,122.0,131.2,127.4,125.9,127.3,73.2,73.4,83.3,86.6,79.3,69.9,76.1,96.1,98.1,88.7,84.7,78.7,83.7,103.0,129.8,100.0,100.6,124.7,101.9,104.1,162.5,286.1,248.2,200.7,256.0,,,256.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0415                       ,WDU0415                       ,"PPI Commodity data for Hides, skins, leather, and related products-Sheep and lambskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,128.1,102.3,78.1,104.9,140.5,90.9,124.6,86.0,69.1,88.7,84.9,74.6,108.1,85.7,91.7,87.0,101.5,131.4,150.9,185.1,100.0,146.4,153.5,126.0,167.1,233.4,325.3,264.4,246.3,321.9,364.2,374.6,502.0,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU041501                     ,WDU041501                     ,"PPI Commodity data for Hides, skins, leather, and related products-Sheep and lambskins, not seasonally adjusted, discontinued",Index base: 1967 = 100,1975-M01,1981-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.3,321.9,364.2,374.6,502.0,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04150101                   ,WDU04150101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Lambskins, f. o. b. New York, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,153.9,117.9,108.8,141.9,163.4,106.9,147.4,96.1,83.1,103.6,99.5,89.3,123.8,98.0,83.5,93.4,103.9,139.7,145.0,171.6,100.0,152.5,167.1,135.5,175.9,251.3,363.2,285.7,284.5,376.8,415.7,421.5,566.1,698.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04150111                   ,WDU04150111                   ,"PPI Commodity data for Hides, skins, leather, and related products-Lambskins, c. i. f. New York, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M02,123.2,100.8,68.3,93.6,137.7,88.4,120.9,86.1,64.9,85.9,81.9,69.6,102.6,81.4,96.6,76.4,94.7,117.0,151.0,191.1,100.0,135.2,128.9,108.5,151.1,200.6,263.2,221.5,176.3,231.0,359.6,426.3,560.0,672.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0417                       ,WDU0417                       ,"PPI Commodity data for Hides, skins, leather, and related products-Other hides, skins, and pelts, not seasonally adjusted, discontinued",Index base: 1988.12 = 100,1988-M12,2001-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2,114.7,99.5,99.1,96.8,110.7,114.8,120.2,127.8,109.5,89.3,98.1,,,,,,,,,,,
WDU041701                     ,WDU041701                     ,"PPI Commodity data for Hides, skins, leather, and related products-Other hides, skins, and pelts, not seasonally adjusted, discontinued",Index base: 1988.12 = 100,1988-M12,2001-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2,114.7,99.5,99.1,96.8,110.7,114.8,120.2,127.8,109.5,89.3,98.1,,,,,,,,,,,
WDU04170105                   ,WDU04170105                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other hides, skins, and pelts, not seasonally adjusted, discontinued",Index base: 1988.12 = 100,1991-M07,2001-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.1,96.8,110.7,114.8,120.2,127.8,109.5,89.3,98.1,,,,,,,,,,,
WDU0421                       ,WDU0421                       ,"PPI Commodity data for Hides, skins, leather, and related products-Finished cattlehide and kipside leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1997-M13,32.5,31.0,28.5,33.2,40.0,27.1,27.8,24.8,24.6,26.8,25.9,26.8,34.3,30.0,31.1,32.5,30.4,30.2,31.6,35.2,31.8,31.9,35.2,34.9,34.9,45.5,51.1,47.6,47.0,59.5,62.2,73.5,114.4,100.0,102.3,100.0,105.3,117.9,113.1,121.9,138.9,161.7,164.5,171.8,165.4,163.5,168.5,174.2,182.3,177.7,181.8,,,,,,,,,,,,,,
WDU042101                     ,WDU042101                     ,"PPI Commodity data for Hides, skins, leather, and related products-Sole leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1991-M06,37.2,36.4,32.0,36.6,46.6,30.6,31.0,29.1,27.0,27.9,27.2,27.9,37.6,32.6,32.2,33.3,31.6,30.9,33.3,37.9,32.1,30.4,34.7,36.7,37.1,50.5,59.4,53.9,53.5,69.8,74.1,85.5,118.0,103.8,104.2,100.0,,,,,144.1,174.4,170.8,170.9,,,,,,,,,,,,,,,,,,,,,
WDU04210101                   ,WDU04210101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Light bends, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M06,38.7,37.8,32.2,37.5,48.1,35.1,34.3,32.6,30.4,31.5,31.2,32.0,44.6,37.5,37.6,37.6,35.9,34.7,36.6,41.2,35.1,34.2,38.5,40.0,40.2,55.3,64.8,55.8,53.1,69.5,72.4,82.6,115.7,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04210102                   ,WDU04210102                   ,"PPI Commodity data for Hides, skins, leather, and related products-Sole leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1989-M06,33.4,34.1,29.7,30.4,40.0,27.6,28.1,24.9,24.2,25.3,24.4,25.1,34.4,30.7,31.2,34.1,31.6,30.7,33.6,38.5,30.5,28.5,32.5,34.1,34.5,50.7,59.7,53.2,53.2,69.9,74.6,87.2,118.7,105.0,,,,,,,,184.5,,,,,,,,,,,,,,,,,,,,,,,
WDU04210121                   ,WDU04210121                   ,"PPI Commodity data for Hides, skins, leather, and related products-Bellies, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1975-M01,142.9,136.7,130.7,159.7,184.8,87.7,97.5,97.2,85.2,87.4,84.6,86.0,106.5,93.3,84.1,82.6,81.3,82.5,90.0,104.2,100.0,93.9,109.8,121.1,123.2,143.8,167.2,166.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU042102                     ,WDU042102                     ,"PPI Commodity data for Hides, skins, leather, and related products-Upper leather, including patent, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1997-M13,32.1,30.2,28.5,33.6,39.1,27.0,27.8,24.1,25.1,28.2,26.9,28.1,35.1,30.8,32.6,34.1,31.8,31.9,32.9,36.3,33.7,34.4,37.4,36.4,36.3,46.6,51.4,48.3,47.7,58.7,61.3,72.7,115.1,100.5,102.8,100.0,105.7,116.2,111.3,119.8,136.8,158.3,158.3,163.3,155.5,156.5,162.0,170.9,177.1,172.7,175.6,,,,,,,,,,,,,,
WDU04210201                   ,WDU04210201                   ,"PPI Commodity data for Hides, skins, leather, and related products-Dress and casual shoe, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,106.2,116.3,111.1,119.8,136.2,159.9,159.1,164.8,157.8,159.1,164.6,173.4,179.3,174.1,177.3,,,,,,,,,,,,,,
WDU04210202                   ,WDU04210202                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other upper leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1991-M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.8,116.2,112.6,119.9,139.5,,,155.8,,,,,,,,,,,,,,,,,,,,,
WDU04210231                   ,WDU04210231                   ,"PPI Commodity data for Hides, skins, leather, and related products-Work shoe elk, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M06,103.3,104.2,91.9,104.0,127.9,79.5,79.0,67.7,72.1,79.2,73.6,73.7,102.9,80.8,90.1,94.0,89.7,87.8,101.2,113.7,100.0,102.0,117.2,114.9,118.3,175.3,194.5,187.1,188.2,242.0,254.8,296.6,423.0,335.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04210241                   ,WDU04210241                   ,"PPI Commodity data for Hides, skins, leather, and related products-Cattle and kip sides, smooth, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M06,88.5,82.5,79.9,96.3,111.5,80.3,83.6,72.8,74.3,83.5,81.4,84.6,104.5,92.9,98.5,103.5,96.6,97.2,99.2,107.7,100.0,102.3,110.6,107.2,107.0,134.5,148.3,138.6,133.8,153.1,159.6,191.7,263.3,219.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04210251                   ,WDU04210251                   ,"PPI Commodity data for Hides, skins, leather, and related products-Cattle and kip sides, retanned, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1981-M06,102.0,103.8,90.7,102.3,127.4,77.7,80.9,70.0,72.1,78.6,72.8,74.5,101.7,80.4,85.8,92.0,91.0,87.5,92.4,107.5,100.0,98.0,108.5,113.6,115.5,158.6,181.5,177.9,189.0,244.5,255.1,308.3,499.5,448.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04210261                   ,WDU04210261                   ,"PPI Commodity data for Hides, skins, leather, and related products-Kip sides, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1974-M13,95.4,80.4,80.4,95.2,99.7,72.6,74.6,64.4,69.4,81.1,76.3,83.6,103.3,91.9,95.1,96.6,85.3,84.2,88.7,106.4,100.0,102.3,111.8,105.8,101.5,134.1,150.1,139.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU042103                     ,WDU042103                     ,"PPI Commodity data for Hides, skins, leather, and related products-Other grains except offal, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,102.5,115.8,114.1,123.6,140.6,165.5,175.3,191.0,186.4,180.7,185.6,188.4,194.7,189.8,195.2,,,,,,,,,,,,,,
WDU04210301                   ,WDU04210301                   ,"PPI Commodity data for Hides, skins, leather, and related products-Bag, case, and strap leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M12,1996-M03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.6,108.5,104.9,,,,,222.4,211.8,209.5,216.9,222.5,235.5,,,,,,,,,,,,,,,,
WDU04210302                   ,WDU04210302                   ,"PPI Commodity data for Hides, skins, leather, and related products-Garment leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1997-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,160.7,157.0,158.4,162.4,171.7,187.5,185.0,,,,,,,,,,,,,,,
WDU04210303                   ,WDU04210303                   ,"PPI Commodity data for Hides, skins, leather, and related products-Upholstery leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1989-M07,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6,180.9,174.7,179.1,181.4,182.7,175.5,181.1,,,,,,,,,,,,,,
WDU04210304                   ,WDU04210304                   ,"PPI Commodity data for Hides, skins, leather, and related products-Other grains, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.5,119.2,127.5,149.7,,,211.7,202.9,201.4,207.0,208.6,223.3,223.3,227.8,,,,,,,,,,,,,,
WDU042104                     ,WDU042104                     ,"PPI Commodity data for Hides, skins, leather, and related products-Finished splits, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1991-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,112.2,139.1,117.5,126.4,145.4,164.4,173.6,178.9,,,,,,,,,,,,,,,,,,,,,
WDU04210401                   ,WDU04210401                   ,"PPI Commodity data for Hides, skins, leather, and related products-Finished splits, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1991-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,112.2,139.1,117.5,126.4,145.4,164.4,173.6,178.9,,,,,,,,,,,,,,,,,,,,,
WDU04220101                   ,WDU04220101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Finish calf and whole kip leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1973-M13,44.2,37.4,35.9,40.5,39.8,31.2,36.6,33.4,33.7,38.2,39.8,40.8,45.7,44.3,46.8,44.5,38.7,39.7,41.9,44.4,38.9,38.6,38.8,32.8,32.7,41.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0423                       ,WDU0423                       ,"PPI Commodity data for Hides, skins, leather, and related products-Finished sheep and lamb leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1996-M08,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,61.2,64.3,73.2,80.1,99.1,87.6,,100.0,100.5,,107.6,111.3,154.5,171.1,168.8,168.1,170.3,181.9,178.7,169.0,179.9,,,,,,,,,,,,,,,,
WDU042301                     ,WDU042301                     ,"PPI Commodity data for Hides, skins, leather, and related products-Finished sheep and lamb leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1975-M01,1996-M08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,64.3,73.2,80.1,99.1,87.6,94.5,100.0,100.5,101.9,107.6,111.3,154.5,171.1,168.8,168.1,170.3,181.9,178.7,169.0,179.9,,,,,,,,,,,,,,,,
WDU04230101                   ,WDU04230101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Lining, shoe, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,94.4,85.2,72.1,89.2,111.0,79.7,89.9,83.2,77.0,83.7,87.1,83.2,87.7,82.2,76.6,78.0,77.6,87.0,96.0,117.9,100.0,114.3,116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04230103                   ,WDU04230103                   ,"PPI Commodity data for Hides, skins, leather, and related products-Garment leather, not seasonally adjusted, discontinued",Index base: 1982 = 100,1970-M01,1996-M08,,,,,,,,,,,,,,,,,,,,,,,,28.0,36.9,43.4,52.0,52.1,51.4,54.2,65.6,75.1,100.0,84.3,,100.0,100.6,103.4,112.0,117.0,163.2,180.7,178.6,177.1,177.9,183.2,177.5,168.2,177.3,,,,,,,,,,,,,,,,
WDU0424                       ,WDU0424                       ,"PPI Commodity data for Hides, skins, leather, and related products-Kid leather, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1968-M13,75.5,80.2,78.7,81.0,86.8,75.3,75.6,73.8,75.2,75.7,76.1,77.3,84.7,85.3,83.3,82.5,82.0,82.0,85.5,96.3,100.0,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04240101                   ,WDU04240101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Upper, glazed, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1968-M13,66.9,72.9,72.5,75.7,83.0,72.1,72.9,71.9,73.3,74.1,74.8,76.4,83.9,86.3,86.4,86.4,86.4,86.4,87.1,94.4,100.0,102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0425                       ,WDU0425                       ,"PPI Commodity data for Hides, skins, leather, and related products-Rough, crust, and wet blue, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1992-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,140.7,206.0,132.2,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU042501                     ,WDU042501                     ,"PPI Commodity data for Hides, skins, leather, and related products-Rough, crust, and wet blue, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1992-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,140.7,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU04250101                   ,WDU04250101                   ,"PPI Commodity data for Hides, skins, leather, and related products-Rough, crust, and wet blue, not seasonally adjusted, discontinued",Index base: 1982 = 100,1981-M06,1992-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,140.7,206.0,132.2,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU0426                       ,WDU0426                       ,"PPI Commodity data for Hides, skins, leather, and related products-Other finished leather, n.e.c., not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1991-M07,1993-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4,,,,,,,,,,,,,,,,,,,
WDU042601                     ,WDU042601                     ,"PPI Commodity data for Hides, skins, leather, and related products-Other finished leather, n.e.c., not seasonally adjusted, discontinued",Index base: 1983.06 = 100,1991-M07,1993-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4,,,,,,,,,,,,,,,,,,,
