index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
WDU10110311                   ,WDU10110311                   ,"PPI Commodity data for Metals and metal products-Other iron ores, market sales, all areas ex Gt Lakes, not seasonally adjusted, discontinued",Index base: 1989.12 = 100,1990-M04,1997-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.8,118.3,121.4,121.4,121.8,122.4,122.4,,,,,,,,,,,,,,,,,,,,
WDU101201                     ,WDU101201                     ,"PPI Commodity data for Metals and metal products-No. 1 heavy melting, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,58.1,61.1,51.3,55.8,42.7,40.7,49.9,50.7,45.5,42.4,38.6,45.8,62.7,50.9,53.4,86.2,163.6,109.1,115.8,99.1,117.9,156.6,147.2,146.6,100.0,111.0,132.4,115.8,112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120101                   ,WDU10120101                   ,"PPI Commodity data for Metals and metal products-Pittsburgh, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1986-M13,,,,,,,,,57.0,65.0,46.2,61.5,71.0,69.1,64.5,46.9,63.7,84.0,74.8,56.7,60.4,49.4,52.9,44.1,40.5,52.1,52.7,46.6,40.4,40.7,47.3,63.1,55.2,57.5,86.1,156.2,108.7,118.6,100.4,117.4,152.2,144.2,150.7,100.0,115.3,138.5,116.2,112.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120102                   ,WDU10120102                   ,"PPI Commodity data for Metals and metal products-Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,65.7,67.1,53.2,60.5,47.9,48.4,59.6,58.7,54.4,48.0,41.4,50.4,72.3,57.9,61.9,98.6,195.6,124.8,134.1,104.8,127.5,169.4,149.2,157.9,100.0,125.3,142.9,125.6,126.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120103                   ,WDU10120103                   ,"PPI Commodity data for Metals and metal products-Philadelphia, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,55.5,58.7,53.4,57.7,42.1,38.5,46.7,50.0,44.3,41.7,40.0,46.0,59.8,49.7,53.1,85.8,159.9,112.0,117.1,98.1,117.9,150.9,145.0,130.9,100.0,101.0,131.3,111.9,110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120104                   ,WDU10120104                   ,"PPI Commodity data for Metals and metal products-Detroit, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,150.6,144.4,152.7,100.0,96.1,113.1,107.8,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120105                   ,WDU10120105                   ,"PPI Commodity data for Metals and metal products-Birmingham, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,55.3,56.4,50.4,56.1,44.0,35.3,41.3,47.2,41.2,38.6,34.8,38.7,55.8,44.4,42.5,78.7,156.5,99.3,107.1,102.3,117.0,154.9,147.5,143.2,100.0,104.3,126.6,103.4,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120106                   ,WDU10120106                   ,"PPI Commodity data for Metals and metal products-Houston, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.3,155.4,145.7,148.4,100.0,109.1,118.4,110.0,108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120107                   ,WDU10120107                   ,"PPI Commodity data for Metals and metal products-Los Angeles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1959-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,64.9,61.3,72.1,49.2,52.7,62.3,58.0,52.3,59.5,48.9,62.4,74.3,47.9,51.0,97.5,157.5,118.6,105.4,95.1,120.3,165.8,163.9,128.1,100.0,114.1,137.4,135.0,127.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101202                     ,WDU101202                     ,"PPI Commodity data for Metals and metal products-No. 2 heavy melting, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,58.6,61.7,51.5,53.7,43.3,41.4,48.6,49.9,44.8,42.0,38.3,45.6,60.8,50.7,52.5,84.1,155.2,107.9,118.7,101.5,121.8,162.3,149.9,149.9,100.0,113.5,133.8,119.5,117.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120211                   ,WDU10120211                   ,"PPI Commodity data for Metals and metal products-Pittsburgh, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,54.9,59.5,47.2,48.0,39.7,38.9,48.0,52.1,48.0,42.9,40.8,48.6,63.6,58.3,59.1,89.8,150.9,110.7,122.9,103.1,115.4,156.3,145.7,151.6,100.0,115.6,136.5,115.3,108.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120212                   ,WDU10120212                   ,"PPI Commodity data for Metals and metal products-Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,64.1,66.0,53.1,58.0,48.0,47.4,54.8,57.1,52.3,45.1,39.0,47.4,67.0,55.7,58.4,89.9,187.7,125.7,133.6,108.3,133.8,173.8,150.7,161.2,100.0,123.6,143.7,127.2,129.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120213                   ,WDU10120213                   ,"PPI Commodity data for Metals and metal products-Philadelphia, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,58.2,59.5,54.3,59.7,43.2,41.5,46.6,45.6,39.4,40.3,40.9,44.2,56.5,48.0,50.4,81.9,138.6,104.1,124.2,100.1,119.4,159.7,156.1,139.2,100.0,102.7,127.7,113.3,111.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120215                   ,WDU10120215                   ,"PPI Commodity data for Metals and metal products-Birmingham, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,44.9,45.8,42.6,44.5,39.6,33.3,39.5,42.1,36.9,34.8,33.8,38.3,49.2,38.9,38.4,71.0,120.3,78.3,97.2,90.1,104.9,139.9,135.4,139.9,100.0,101.1,117.1,115.4,112.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120216                   ,WDU10120216                   ,"PPI Commodity data for Metals and metal products-Houston, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.9,176.0,156.1,159.7,100.0,112.4,124.2,115.4,119.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120217                   ,WDU10120217                   ,"PPI Commodity data for Metals and metal products-Los Angeles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1959-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,60.4,55.8,66.2,43.3,48.2,57.5,52.6,47.4,54.8,44.2,57.6,69.9,43.1,46.9,93.5,149.3,105.0,89.7,91.0,121.7,169.6,166.1,131.0,100.0,111.1,134.4,127.9,119.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101203                     ,WDU101203                     ,"PPI Commodity data for Metals and metal products-No. 2 bundles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,61.5,61.9,51.2,54.8,45.9,42.5,49.6,51.4,48.0,44.8,43.3,52.9,65.2,53.0,56.6,89.8,134.0,99.7,121.5,103.7,120.2,153.1,148.1,150.1,100.0,108.7,127.6,114.5,113.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120321                   ,WDU10120321                   ,"PPI Commodity data for Metals and metal products-Pittsburgh, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,63.8,65.3,55.8,56.1,48.1,44.8,52.6,54.1,55.0,49.2,47.8,57.0,66.5,54.7,54.3,84.4,135.1,101.5,123.9,101.6,109.9,145.2,141.2,149.3,100.0,107.9,122.9,114.0,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120322                   ,WDU10120322                   ,"PPI Commodity data for Metals and metal products-Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,59.8,57.7,43.5,49.2,41.7,38.7,46.4,45.2,43.0,40.3,40.0,48.5,61.5,52.0,58.2,87.7,118.9,91.2,111.8,87.8,103.6,131.0,138.2,153.2,100.0,111.7,123.1,126.1,124.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120323                   ,WDU10120323                   ,"PPI Commodity data for Metals and metal products-Philadelphia, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,53.8,54.4,46.6,53.5,45.2,43.4,47.5,49.8,44.2,42.1,42.0,48.7,58.9,46.0,51.1,84.6,129.5,99.9,122.4,98.0,110.9,138.7,140.8,129.8,100.0,104.8,117.8,100.9,107.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120324                   ,WDU10120324                   ,"PPI Commodity data for Metals and metal products-Detroit, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1,127.9,120.4,137.5,100.0,117.5,140.6,96.6,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120325                   ,WDU10120325                   ,"PPI Commodity data for Metals and metal products-Birmingham, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,55.1,60.6,54.0,53.4,44.9,34.4,41.6,52.1,44.9,40.3,38.8,55.6,68.2,57.4,58.2,99.6,152.0,105.0,134.5,131.6,133.9,172.2,165.2,172.5,100.0,119.2,159.9,130.2,118.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120326                   ,WDU10120326                   ,"PPI Commodity data for Metals and metal products-Houston, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1,146.5,128.1,149.3,100.0,101.9,117.6,123.6,120.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120327                   ,WDU10120327                   ,"PPI Commodity data for Metals and metal products-Los Angeles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1959-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,117.3,107.7,140.7,102.7,115.2,132.8,125.5,116.9,127.1,103.0,121.0,162.4,102.6,108.7,206.4,375.0,245.9,227.9,219.7,340.8,468.3,390.2,222.1,100.0,74.4,134.9,127.9,119.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101204                     ,WDU101204                     ,"PPI Commodity data for Metals and metal products-Melting, r.r. no. 1, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,62.2,65.4,51.8,56.4,45.5,42.9,52.3,53.4,48.8,43.1,39.8,46.7,64.6,52.8,53.8,87.3,177.6,113.1,122.4,103.2,119.0,155.2,143.5,144.4,100.0,115.8,138.4,117.6,114.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120431                   ,WDU10120431                   ,"PPI Commodity data for Metals and metal products-Pittsburgh, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,64.8,69.3,54.4,58.1,48.8,45.6,57.0,59.2,53.2,48.4,46.6,53.5,72.7,61.2,62.6,97.1,197.6,123.8,129.6,110.4,125.7,160.4,148.6,148.3,100.0,116.2,138.9,116.3,112.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120432                   ,WDU10120432                   ,"PPI Commodity data for Metals and metal products-Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,69.3,71.5,56.6,63.8,50.8,49.3,58.9,58.3,54.5,46.8,41.7,50.8,70.4,56.3,59.7,95.0,195.0,124.3,130.7,104.8,125.9,165.9,147.5,156.4,100.0,135.0,156.8,127.5,125.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120435                   ,WDU10120435                   ,"PPI Commodity data for Metals and metal products-Birmingham, not seasonally adjusted, discontinued",Index base: 1982 = 100,1958-M01,1986-M13,,,,,,,,,,,,,,,,,,,,56.4,58.2,50.9,56.1,43.1,35.3,42.5,49.9,42.3,38.6,36.0,39.6,57.7,47.0,40.0,80.3,157.1,103.9,121.2,105.2,114.0,152.0,146.1,143.2,100.0,110.4,144.4,128.5,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120436                   ,WDU10120436                   ,"PPI Commodity data for Metals and metal products-Houston, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,123.5,119.4,111.6,100.0,83.0,,89.9,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101205                     ,WDU101205                     ,"PPI Commodity data for Metals and metal products-No. 1 cupola cast iron, not seasonally adjusted, discontinued",Index base: 1982 = 100,1971-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,118.9,112.3,,118.9,145.0,139.2,132.6,100.0,98.6,106.4,108.0,108.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120541                   ,WDU10120541                   ,"PPI Commodity data for Metals and metal products-Pittsburgh, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.2,147.5,136.6,141.4,100.0,100.5,98.5,104.1,103.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120542                   ,WDU10120542                   ,"PPI Commodity data for Metals and metal products-Chicago, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1977-M06,,,,,,,,,99.2,155.5,88.2,107.3,117.1,108.4,88.7,81.9,99.2,112.9,97.1,96.5,117.0,96.9,95.3,85.9,87.9,97.8,102.3,107.5,100.0,89.9,96.3,101.2,95.6,106.4,147.0,281.2,237.8,224.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120543                   ,WDU10120543                   ,"PPI Commodity data for Metals and metal products-Philadelphia, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.2,159.8,155.5,140.8,100.0,96.1,120.0,120.3,131.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120544                   ,WDU10120544                   ,"PPI Commodity data for Metals and metal products-Detroit, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.5,123.9,129.2,121.6,100.0,90.5,92.2,101.8,97.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120545                   ,WDU10120545                   ,"PPI Commodity data for Metals and metal products-Birmingham, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.9,131.6,127.1,114.0,100.0,100.7,107.0,102.5,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120546                   ,WDU10120546                   ,"PPI Commodity data for Metals and metal products-Houston, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.5,160.0,134.1,128.4,100.0,106.6,115.9,122.2,119.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120547                   ,WDU10120547                   ,"PPI Commodity data for Metals and metal products-Los Angeles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1,136.5,150.7,128.0,100.0,97.1,116.4,97.6,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101206                     ,WDU101206                     ,"PPI Commodity data for Metals and metal products-No. 1 bundles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,38.0,36.8,46.9,47.2,43.2,39.6,36.2,43.0,58.0,46.8,49.1,79.0,166.6,105.9,111.1,93.7,112.4,148.2,138.9,144.9,100.0,112.0,134.3,114.5,114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120651                   ,WDU10120651                   ,"PPI Commodity data for Metals and metal products-Pittsburgh, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,37.7,34.6,46.8,46.4,43.1,39.1,38.8,45.6,62.5,51.6,54.9,84.5,173.1,112.7,116.8,95.0,111.0,145.2,134.9,147.4,100.0,115.4,134.7,113.9,115.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120652                   ,WDU10120652                   ,"PPI Commodity data for Metals and metal products-Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,40.4,40.1,50.4,49.8,45.7,40.9,36.0,43.9,61.0,48.8,51.1,83.3,177.8,108.6,114.6,90.4,108.6,145.7,136.1,147.0,100.0,123.3,145.8,122.8,124.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120653                   ,WDU10120653                   ,"PPI Commodity data for Metals and metal products-Philadelphia, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,38.2,35.8,44.9,46.8,42.5,40.6,37.7,44.7,58.5,48.1,51.4,82.4,161.0,110.1,111.5,92.2,110.4,143.1,138.0,142.8,100.0,104.3,127.3,112.8,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120654                   ,WDU10120654                   ,"PPI Commodity data for Metals and metal products-Detroit, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5,162.7,142.6,155.9,100.0,118.6,139.5,110.9,119.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120655                   ,WDU10120655                   ,"PPI Commodity data for Metals and metal products-Birmingham, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,41.2,34.5,38.4,44.6,38.8,36.8,32.8,35.6,43.7,38.9,38.4,68.4,162.8,99.4,111.8,102.0,112.9,149.6,142.5,141.5,100.0,102.9,122.6,108.6,105.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120656                   ,WDU10120656                   ,"PPI Commodity data for Metals and metal products-Houston, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6,150.6,126.7,142.0,100.0,99.4,111.1,95.5,109.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120657                   ,WDU10120657                   ,"PPI Commodity data for Metals and metal products-Los Angeles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M12,,,,,,,,,,,,,,,,,,,,,,,,40.1,42.2,49.9,53.6,48.7,52.6,43.7,54.2,66.5,42.2,44.2,81.1,145.5,101.5,92.8,90.2,120.4,151.1,162.2,126.8,100.0,99.7,145.6,125.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU101207                     ,WDU101207                     ,"PPI Commodity data for Metals and metal products-Stainless bundles, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,30.7,26.8,35.1,38.6,39.8,48.2,51.6,74.0,66.6,48.4,58.3,67.2,101.6,77.3,89.4,98.5,92.8,117.2,125.8,124.3,100.0,99.4,104.4,104.3,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120761                   ,WDU10120761                   ,"PPI Commodity data for Metals and metal products-Pittsburgh, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,31.0,27.8,35.3,37.7,39.8,47.7,52.2,73.8,66.0,49.7,59.5,67.4,103.9,80.9,91.4,98.1,90.6,113.9,124.2,122.5,100.0,102.2,106.6,107.4,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120762                   ,WDU10120762                   ,"PPI Commodity data for Metals and metal products-Chicago, not seasonally adjusted, discontinued",Index base: 1982 = 100,1962-M01,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,31.6,26.8,36.2,40.8,41.2,50.6,52.8,77.0,69.8,48.3,58.8,69.5,102.3,75.2,89.4,99.6,93.6,119.4,126.9,124.6,100.0,98.1,100.8,103.2,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10120764                   ,WDU10120764                   ,"PPI Commodity data for Metals and metal products-Detroit, not seasonally adjusted, discontinued",Index base: 1982 = 100,1977-M06,1986-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,120.7,127.6,128.4,100.0,94.5,107.0,98.6,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU10121102                   ,WDU10121102                   ,"PPI Commodity data for Metals and metal products-Heavy melting, Northeast, not seasonally adjusted, discontinued",Index base: 1986.12 = 100,1986-M12,1996-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2,147.3,159.4,158.5,135.7,120.4,166.6,177.5,191.4,,,,,,,,,,,,,,,,,,,,,,
