2023-07-28 06:00:41 PM Index U0113ITALAO.Q desc_e updated
2023-07-28 06:00:41 PM Index U0113ITAMDE.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAAFR.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAALL.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAASPC.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITACAN.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAEU.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAEUR.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAEURO.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAIOU.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITALAO.Q desc_e updated
2023-07-28 06:00:41 PM Index U0114ITAMDE.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAAFR.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAALL.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAASPC.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITACAN.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAEU.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAEUR.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAEURO.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAIOU.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITALAO.Q desc_e updated
2023-07-28 06:00:41 PM Index U0115ITAMDE.Q desc_e updated
2023-07-28 06:00:42 PM Index W974RC.Q desc_e inconsistent
2023-07-28 06:00:42 PM DF_KEY = United States National Income and Production Accounts, Capital Transfers Paid and Received, by Sector and by Type, Capital transfers received,by sector, By the rest of the world, Other, Table 5.11U., Unit: Millions of dollars; quarters seasonally adjusted at annual rates, Source: Bureau of Economic Analysis
2023-07-28 06:00:42 PM df_key = United States National Income and Production Accounts, Capital Transfers Paid and Received, by Sector and by Type, Capital transfers received,by sector, By the rest of the world, Other*(1), Table 5.11U., Unit: Millions of dollars; quarters seasonally adjusted at annual rates, Source: Bureau of Economic Analysis, Note: (1)For the second quarter of 2022, includes legal settlements paid by private business to the U.S. territories and Puerto Rico.
2023-07-28 06:00:43 PM unknown: 0
2023-07-28 06:00:43 PM name too long: 0
