index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU3231160010    ,CEU3231160010    ,32311600,10,1976-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4,100.6,104.0,110.8,113.0,113.2,111.1,111.2,112.2,116.7,122.1,128.1,131.9,136.3,137.4,139.0,143.0,144.9,148.2,156.9,158.1,161.6,167.1,172.4,173.2,173.9,172.4,171.5,172.0,174.3,172.5,174.8,167.5,165.1,164.1,164.5,171.4,175.4,173.8,171.8,173.9,181.8,188.0,196.6,208.1,205.6
CEU3231161101    ,CEU3231161101    ,32311611,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.8,137.9,138.0,140.1,139.7,145.8,150.0,151.0,152.1,150.9,151.1,154.7,153.7,153.8,149.1,146.1,146.6,147.1,150.0,147.5,144.0,143.1,141.9,140.3,134.9,134.7,135.0,138.9,142.0,143.1,146.9,147.5
CEU3231161110    ,CEU3231161110    ,32311611,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,28.9,31.4,32.2,32.8,34.7,35.9,37.5,39.7,41.6,41.7,41.9,41.4,40.9,41.0,40.5,39.8,38.7,37.4,39.2,41.4,41.7,44.2,44.3,41.2,39.0,39.5,39.0,40.8,42.4,49.7,49.9
CEU3231161301    ,CEU3231161301    ,32311613,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,101.3,102.2,102.8,103.9,107.2,109.8,110.5,113.1,115.9,117.5,117.9,117.8,119.6,119.3,119.5,119.8,121.9,121.5,118.7,118.7,118.9,119.8,120.9,124.3,127.5,131.5,135.9,139.1,143.7,147.2,150.8
CEU3231161310    ,CEU3231161310    ,32311613,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,29.3,29.4,29.5,30.3,32.6,33.1,33.2,34.1,35.0,35.4,35.5,34.8,36.0,37.5,39.1,38.3,41.7,37.7,35.2,33.7,33.2,36.4,41.4,42.8,42.2,41.9,44.7,48.0,51.9,55.7,58.4
CEU3231161501    ,CEU3231161501    ,32311615,1,1972-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,100.4,99.0,94.8,101.1,103.8,108.0,118.7,120.5,122.2,120.8,122.9,130.2,138.7,148.2,161.2,169.2,178.1,187.2,191.5,197.4,204.9,212.1,223.0,226.5,229.7,233.6,238.6,238.2,243.3,245.7,242.3,237.0,238.5,239.6,238.9,238.8,230.9,226.6,224.3,221.8,221.2,221.6,223.4,229.5,237.7,241.0,245.5,242.5,230.0
CEU3231161506    ,CEU3231161506    ,32311615,6,1972-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,92.4,90.7,86.6,92.4,94.9,98.8,108.5,109.5,110.4,109.4,111.9,118.5,126.7,136.0,146.5,153.5,161.9,168.9,171.7,176.7,182.9,188.2,198.1,202.0,204.0,207.0,214.1,214.7,218.2,217.5,214.0,211.1,213.7,212.7,212.5,211.4,204.8,201.5,200.2,200.1,199.5,199.8,199.9,204.9,212.3,214.4,216.2,215.1,205.5
CEU3231161510    ,CEU3231161510    ,32311615,10,1972-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,48.1,47.5,44.7,46.7,47.8,50.0,55.1,56.2,56.9,55.7,56.0,58.2,62.5,67.6,72.8,76.1,79.7,80.5,80.8,82.1,83.1,85.1,89.7,89.1,90.9,93.4,95.8,96.2,96.6,96.2,94.6,93.5,94.7,94.5,94.5,92.4,90.7,89.1,89.6,90.8,89.7,89.9,90.5,92.5,98.1,99.2,102.3,102.7,97.3
CEU3231170001    ,CEU3231170001    ,32311700,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,54.0,54.9,55.8,53.0,51.9,52.8,51.8,47.4,46.3,44.9,46.7,43.7,42.2,42.4,41.1,40.7,42.8,38.6,38.1,37.9,38.2,38.7,38.4,35.4,37.5,39.8,37.4,36.4,35.4,32.0,32.7
CEU3231170010    ,CEU3231170010    ,32311700,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,26.7,25.7,25.2,23.8,22.7,22.9,22.8,20.9,22.3,21.6,21.1,20.3,19.1,18.9,17.7,16.3,15.8,13.3,13.2,13.4,12.1,12.4,11.9,11.0,11.8,14.1,13.1,14.3,13.1,11.8,11.5
CEU3231180001    ,CEU3231180001    ,32311800,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.1,292.3,290.4,295.7,301.0,303.7,306.3,307.3,305.9,304.2,306.4,302.8,296.7,291.6,284.9,280.0,280.4,280.0,280.6,273.0,276.7,281.5,285.2,286.3,293.4,297.3,304.9,310.9,311.8,316.4,294.0,304.0
CEU3231180006    ,CEU3231180006    ,32311800,6,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.9,211.3,213.0,217.2,223.0,227.9,231.1,231.9,231.1,230.0,231.7,229.8,227.7,223.7,220.4,216.3,214.5,212.2,214.9,204.3,204.3,212.1,217.4,217.3,221.7,222.4,221.6,225.7,231.6,236.4,223.0,228.9
CEU3231180010    ,CEU3231180010    ,32311800,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6,113.9,115.4,117.3,123.5,127.4,129.9,131.6,129.9,127.7,127.0,124.6,120.7,118.9,119.4,118.7,123.6,123.4,123.8,115.3,113.7,118.3,123.5,123.8,129.9,131.7,136.6,141.6,144.7,150.7,137.8,145.2
CEU3231181001    ,CEU3231181001    ,32311810,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.6,223.3,219.5,222.4,226.1,227.9,230.9,232.2,231.0,227.3,228.4,225.4,219.6,216.5,211.7,208.7,208.2,207.9,207.0,201.2,205.1,209.6,213.0,213.8,220.4,223.6,229.2,235.0,236.5,240.8,221.8,230.6
CEU3231181010    ,CEU3231181010    ,32311810,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,83.4,84.1,85.0,89.7,93.0,95.4,97.1,95.7,92.4,91.8,89.9,87.1,87.0,86.7,86.4,91.5,90.8,87.8,82.6,82.7,87.9,93.0,92.9,97.7,98.0,102.9,109.3,113.9,119.6,107.1,114.5
CEU3231181101    ,CEU3231181101    ,32311811,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,58.9,60.6,61.5,64.8,68.7,72.3,75.5,75.4,73.7,72.8,72.0,71.1,71.1,68.3,66.6,66.3,66.2,65.4,63.3,65.2,67.9,70.6,74.3,77.7,79.6,82.3,84.9,86.9,88.4,78.3,85.7
CEU3231181110    ,CEU3231181110    ,32311811,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7,37.3,38.8,38.9,41.5,44.1,46.4,48.3,47.3,45.3,44.5,43.7,42.9,42.8,40.6,38.2,38.7,37.3,36.6,34.3,34.9,38.5,42.2,44.2,45.6,46.1,48.5,51.1,52.9,54.6,48.8,54.1
CEU3231181301    ,CEU3231181301    ,32311813,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.9,164.3,159.0,160.9,161.3,159.3,158.6,156.7,155.6,153.7,155.6,153.4,148.5,145.3,143.4,142.1,141.9,141.7,141.6,137.9,140.0,141.7,142.3,139.4,142.7,144.0,146.9,150.1,149.6,152.4,143.5,145.0
CEU3231181310    ,CEU3231181310    ,32311813,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,46.1,45.3,46.1,48.2,48.9,49.0,48.7,48.4,47.1,47.3,46.2,44.3,44.2,46.1,48.2,52.8,53.5,51.1,48.3,47.8,49.4,50.7,48.7,52.2,52.0,54.4,58.2,61.0,65.0,58.3,60.4
CEU3231183001    ,CEU3231183001    ,32311830,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,69.1,70.8,73.3,74.9,75.8,75.4,75.1,74.9,76.8,78.0,77.4,77.1,75.1,73.2,71.3,72.2,72.1,73.7,71.8,71.6,71.8,72.2,72.5,73.0,73.7,75.7,75.9,75.3,75.7,72.2,73.4
CEU3231183010    ,CEU3231183010    ,32311830,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,30.5,31.3,32.3,33.7,34.4,34.6,34.6,34.2,35.3,35.2,34.6,33.6,31.9,32.7,32.2,32.1,32.5,36.0,32.7,31.0,30.4,30.5,30.9,32.2,33.7,33.6,32.2,30.8,31.1,30.8,30.6
CEU3231190001    ,CEU3231190001    ,32311900,1,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.2,144.3,146.3,147.5,149.2,149.1,149.1,148.5,147.7,147.4,150.3,151.7,150.9,152.3,156.0,158.6,159.8,164.4,163.4,162.7,164.6,168.8,174.6,180.9,188.5,195.3,209.1,219.6,225.1,228.7,229.9,237.0
CEU3231190010    ,CEU3231190010    ,32311900,10,1990-M01,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,57.3,57.0,57.0,58.4,58.7,58.3,57.3,56.5,56.7,58.2,58.7,58.7,59.4,58.6,60.5,57.5,64.3,62.1,59.7,58.4,60.8,63.1,65.2,69.2,70.4,76.4,80.6,84.6,88.7,89.2,95.6
