index,Index,Label,unit,start,last,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU5051120013    ,CEU5051120013    ,50511200,13,2006-M03,2022-M04,21.16,21.3,21.61,21.05,20.56,20.38,21.25,21.86,22.94,23.64,23.54,23.34,22.86,21.85,20.29
CEU5051120016    ,CEU5051120016    ,50511200,16,2006-M03,2022-M04,100.0,103.2,101.4,102.2,108.3,117.0,120.4,126.5,132.6,140.1,150.4,164.0,183.2,199.7,216.1
CEU5051120017    ,CEU5051120017    ,50511200,17,2006-M03,2022-M04,100.0,107.9,107.1,106.9,114.1,124.8,135.8,149.2,164.3,181.2,197.7,219.1,244.0,257.4,270.7
CEU5051120056    ,CEU5051120056    ,50511200,56,2006-M03,2022-M04,9894.0,10215.0,10029.0,10108.0,10713.0,11577.0,11910.0,12517.0,13123.0,13864.0,14879.0,16229.0,18124.0,19758.0,21376.0
CEU5051120057    ,CEU5051120057    ,50511200,57,2006-M03,2022-M04,434131.0,468519.0,465058.0,464123.0,495486.0,541655.0,589664.0,647854.0,713379.0,786527.0,858283.0,951346.0,1059135.0,1117535.0,1175007.0
CEU5051200002    ,CEU5051200002    ,50512000,2,2006-M03,2022-M04,29.0,29.7,29.6,29.1,30.0,30.1,31.4,31.3,29.7,29.4,31.0,30.9,32.2,32.5,32.6
CEU5051200003    ,CEU5051200003    ,50512000,3,2006-M03,2022-M04,26.18,26.01,27.98,28.02,27.68,27.72,29.64,30.26,29.9,31.84,34.02,35.64,37.78,42.61,41.25
CEU5051200011    ,CEU5051200011    ,50512000,11,2006-M03,2022-M04,758.15,772.32,828.98,815.99,831.3,833.35,930.36,947.79,887.79,936.23,1054.91,1099.51,1216.58,1383.66,1345.31
CEU5051200012    ,CEU5051200012    ,50512000,12,2006-M03,2022-M04,365.65,358.71,386.4,374.21,369.57,362.97,399.37,400.36,374.57,390.08,430.36,437.87,475.86,534.62,496.48
CEU5051200013    ,CEU5051200013    ,50512000,13,2006-M03,2022-M04,12.63,12.08,13.04,12.85,12.31,12.07,12.72,12.78,12.62,13.27,13.88,14.19,14.78,16.46,15.22
CEU5051200016    ,CEU5051200016    ,50512000,16,2006-M03,2022-M04,100.0,100.0,96.1,97.8,98.7,98.8,105.5,107.8,107.2,113.7,121.7,123.5,127.9,88.7,109.7
CEU5051200017    ,CEU5051200017    ,50512000,17,2006-M03,2022-M04,100.0,99.4,102.7,104.7,104.3,104.6,119.4,124.6,122.4,138.2,158.1,168.1,184.5,144.3,172.8
CEU5051200056    ,CEU5051200056    ,50512000,56,2006-M03,2022-M04,11021.0,11025.0,10596.0,10781.0,10876.0,10893.0,11628.0,11882.0,11814.0,12528.0,13411.0,13615.0,14098.0,9772.0,12091.0
CEU5051200057    ,CEU5051200057    ,50512000,57,2006-M03,2022-M04,288584.0,286729.0,296470.0,302079.0,301049.0,301957.0,344669.0,359488.0,353268.0,398967.0,456303.0,485222.0,532579.0,416413.0,498809.0
