index,Index,Label,unit,start,last,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CWUS0000SERE02   ,CWUS0000SERE02   ,"Sewing machines, fabric and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.946,97.234,102.224,99.502,94.148,99.961,97.939,95.991
CWUS0000SERE03   ,CWUS0000SERE03   ,"Music instruments and accessories in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.315,99.99,99.282,102.368,104.508,105.445,104.63,107.522
CWUS0000SERF     ,CWUS0000SERF     ,"Other recreation services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.915,171.345,173.574,174.261,178.11,175.181,174.529,180.085
CWUS0000SERF01   ,CWUS0000SERF01   ,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.738,138.405,140.704,141.403,145.534,140.203,142.615,143.48
CWUS0000SERF02   ,CWUS0000SERF02   ,"Admissions in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.32,383.852,386.335,389.337,395.387,393.281,381.758,404.229
CWUS0000SERF03   ,CWUS0000SERF03   ,"Fees for lessons or instructions in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.03,312.078,319.669,319.559,323.0,329.621,338.512,341.62
CWUS0000SERG     ,CWUS0000SERG     ,"Recreational reading materials in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.134,252.8,256.662,263.928,266.087,271.464,275.73,276.769
CWUS0000SERG01   ,CWUS0000SERG01   ,"Newspapers and magazines in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.109,180.687,185.03,194.431,195.201,199.949,208.398,210.397
CWUS0000SERG02   ,CWUS0000SERG02   ,"Recreational books in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.403,95.715,95.906,95.278,96.503,98.113,97.4,97.252
CWUSN000SAR      ,CWUSN000SAR      ,"Recreation in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S03,,,,,,,,,,,100.6,100.8,101.0,100.6,101.2,101.9,102.5,102.5,103.1,102.6,103.0,103.0,104.0,103.9,104.1,104.4,105.1,105.5,105.669,105.583,106.32,107.561,108.642,108.83,109.093,108.324,108.758,109.51,110.095,110.27,111.208,110.952,111.813,111.229,111.578,111.099,112.252,112.106,113.771,114.11,114.203,114.126,114.954,115.503,116.351,116.978,118.749,120.559
CWUSN000SARC     ,CWUSN000SARC     ,"Recreation commodities in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.999,97.719,97.691,97.677,96.907,95.932,95.718,94.607,94.029,92.664,91.426,89.81,88.699,86.864,86.207,84.359,83.156,82.185,81.949,81.851,80.78,80.758,82.301,83.757
CWUSN000SARS     ,CWUSN000SARS     ,"Recreation services in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.384,102.047,102.822,104.137,105.808,106.942,108.732,109.244,111.188,111.334,112.951,113.48,116.246,117.375,120.567,122.492,123.646,124.445,126.153,127.23,130.051,131.304,132.904,134.687
CWUSS000SAR      ,CWUSS000SAR      ,"Recreation in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S03,,,,,,,,,,,100.8,100.6,101.3,101.5,102.5,103.3,104.0,104.7,105.6,106.1,107.2,107.6,108.3,108.2,108.8,109.1,110.4,110.7,110.811,110.778,112.092,112.99,113.129,111.995,110.566,109.759,110.332,109.918,111.505,111.413,111.751,111.671,111.819,111.02,111.457,111.634,112.378,111.667,112.971,113.135,113.417,113.49,114.496,114.603,116.268,115.98,116.663,120.009
CWUSS000SARC     ,CWUSS000SARC     ,"Recreation commodities in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.055,97.024,96.22,94.27,93.759,92.322,91.98,90.652,89.312,87.119,86.038,84.83,83.192,80.216,78.963,77.36,76.059,74.162,73.851,73.019,72.584,72.373,72.641,73.646
CWUSS000SARS     ,CWUSS000SARS     ,"Recreation services in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.722,100.85,102.242,102.908,105.737,106.711,107.519,108.428,109.666,110.002,111.46,112.606,114.919,115.911,118.799,120.177,121.483,122.78,124.475,125.154,127.976,127.686,128.577,133.21
