index,Index,Label,unit,start,last,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2
CWUS0000SEEB03   ,CWUS0000SEEB03   ,"Child care and nursery school in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1990.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.401,295.993,299.997,304.667,309.305,312.102,312.087,316.365
CWUS0000SEEB04   ,CWUS0000SEEB04   ,"Technical and business school tuition and fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.994,254.154,255.128,257.726,260.278,264.518,264.585,268.828
CWUS0000SEEC     ,CWUS0000SEEC     ,"Postage and delivery services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.037,184.711,192.938,194.081,200.226,201.079,206.925,211.773
CWUS0000SEEC01   ,CWUS0000SEEC01   ,"Postage in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.388,290.066,304.961,306.971,318.74,320.386,328.23,335.973
CWUS0000SEEC02   ,CWUS0000SEEC02   ,"Delivery services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.575,302.888,310.118,311.312,310.201,309.947,326.995,334.371
CWUS0000SEED     ,CWUS0000SEED     ,"Telephone services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.392,87.608,86.352,86.875,87.41,90.744,90.881,91.111
CWUS0000SEED03   ,CWUS0000SEED03   ,"Wireless telephone services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.63,48.056,47.089,47.043,47.004,48.973,48.813,48.716
CWUS0000SEED04   ,CWUS0000SEED04   ,"Land-line telephone services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.316,117.806,119.087,123.343,128.821,130.356,135.043,139.611
CWUS0000SEEE     ,CWUS0000SEEE     ,"Information technology, hardware and services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1988.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.053,8.074,8.018,7.99,8.007,7.95,7.955,8.081
CWUS0000SEEE01   ,CWUS0000SEEE01   ,"Personal computers and peripheral equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2007.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.691,39.8,38.921,38.605,37.895,37.575,37.932,39.162
CWUS0000SEEE02   ,CWUS0000SEEE02   ,"Computer software and accessories in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.511,31.352,30.06,28.04,26.255,25.219,25.387,24.81
CWUS0000SEEE03   ,CWUS0000SEEE03   ,"Internet services and electronic information providers in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.785,76.969,77.263,77.568,78.737,78.649,79.293,80.419
CWUS0000SEEE04   ,CWUS0000SEEE04   ,"Telephone hardware, calculators, and other consumer information items in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.02,19.813,18.33,17.087,15.807,14.586,12.544,12.395
CWUS0000SEEEC    ,CWUS0000SEEEC    ,"Information technology commodities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2018-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.633,53.078,51.281,50.108,48.447,47.193,46.083,47.062
CWUSN000SAE      ,CWUSN000SAE      ,"Education and communication in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S03,,,,,,,,,,,99.8,100.3,100.3,101.1,101.5,102.2,103.0,105.3,105.4,106.7,106.9,107.6,107.5,107.8,107.9,109.2,110.3,111.6,112.149,113.927,114.596,117.3,118.051,119.749,120.472,121.418,121.026,122.105,123.146,123.722,124.266,124.967,126.089,126.306,125.367,126.107,126.369,126.724,122.923,120.786,120.764,121.242,120.9,121.559,122.663,125.282,125.238,126.091
CWUSN000SAEC     ,CWUSN000SAEC     ,"Education and communication commodities in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.684,99.753,99.761,97.822,97.614,97.355,95.462,93.992,94.339,92.947,91.927,90.435,87.864,87.963,85.785,84.139,82.699,81.174,78.316,77.306,75.419,74.778,73.083,75.415
CWUSN000SAES     ,CWUSN000SAES     ,"Education and communication services in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.112,101.064,100.706,101.876,102.847,103.401,104.091,104.883,105.881,106.236,105.483,106.334,106.872,107.19,103.921,102.132,102.281,102.902,102.92,103.649,104.89,107.361,107.495,108.038
CWUSN000SEEB     ,CWUSN000SEEB     ,"Tuition, other school fees, and childcare in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2017-S02,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.639,243.238,248.093,251.121,254.386,256.484,258.849,258.439,259.331
CWUSS000SAE      ,CWUSS000SAE      ,"Education and communication in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1998-S01,2021-S03,,,,,,,,,,,100.2,101.1,101.4,102.6,102.9,103.8,105.0,107.0,107.4,109.6,109.5,110.2,110.7,111.5,112.2,113.6,114.6,116.2,116.656,119.055,120.613,123.229,124.466,126.201,126.705,127.477,127.053,127.834,128.518,129.4,130.204,130.921,130.959,131.126,130.44,131.371,131.474,130.462,127.963,127.081,127.222,127.489,126.881,128.159,128.514,130.372,130.936,132.435
CWUSS000SAEC     ,CWUSS000SAEC     ,"Education and communication commodities in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.427,97.421,94.597,92.087,91.548,89.651,88.941,86.546,84.47,82.247,79.56,77.623,75.926,73.852,73.222,72.559,72.233,70.562,69.493,68.288,66.766,65.199,64.673,64.262
CWUSS000SAES     ,CWUSS000SAES     ,"Education and communication services in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.393,101.226,101.1,101.982,102.619,103.569,104.336,105.191,105.442,105.831,105.524,106.55,106.829,106.185,104.057,103.359,103.52,103.959,103.553,104.828,105.321,107.11,107.658,109.013
CWUSS000SEEB     ,CWUSS000SEEB     ,"Tuition, other school fees, and childcare in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,2017-S02,2021-S03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.931,525.214,536.094,541.119,551.756,556.282,560.078,561.949,573.891
