index,Index,Label,unit,start,last,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SEHC     ,CWUR0000SEHC     ,"Owners' equivalent rent of residences in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1984.12=100,1985-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,108.8,113.7,119.5,125.2,131.9,137.1,141.8,146.3,151.1,156.2,161.2,165.8,171.1,175.7,180.8,187.6,195.1,199.7,204.1,208.8,216.0,223.175,228.758,232.499,232.461,235.147,239.846,245.03,251.379,258.473,266.826,275.496,284.533,293.977,302.203,310.071
CWUR0000SEHC01   ,CWUR0000SEHC01   ,"Owners' equivalent rent of primary residence in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1984.12=100,1985-M01,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,108.8,113.7,119.5,125.2,131.9,137.1,141.8,146.3,151.1,156.2,161.2,165.8,171.1,175.7,180.8,187.6,195.1,199.7,204.1,208.8,216.0,223.175,228.758,232.499,232.462,235.141,239.841,245.025,251.375,258.461,266.818,275.503,284.556,294.005,302.232,310.093
CWUR0000SEHD     ,CWUR0000SEHD     ,"Tenants' and household insurance in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.6,103.9,106.4,108.7,114.7,116.4,117.9,116.8,117.366,119.136,121.935,126.739,128.563,132.597,136.794,143.332,148.083,149.87,151.156,152.553,153.478,152.768,152.373
CWUR0000SEHE     ,CWUR0000SEHE     ,"Fuel oil and other fuels in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,5.7,5.8,5.9,5.8,5.7,5.9,6.2,6.6,7.0,7.3,7.4,7.9,9.0,10.6,10.8,11.2,11.8,12.0,12.6,12.5,12.7,13.2,13.9,13.7,13.8,13.8,14.0,14.1,14.4,14.3,14.6,15.0,15.4,15.9,16.3,17.0,18.1,18.3,21.0,33.1,36.3,38.7,43.7,46.0,62.2,85.9,104.7,103.4,97.2,99.4,95.9,77.8,77.6,77.9,81.4,98.9,94.4,90.6,90.2,88.7,88.0,99.0,99.6,90.3,91.7,128.8,129.2,115.0,138.7,160.0,208.1,234.0,251.121,331.784,243.003,277.433,336.592,334.762,330.546,337.175,254.56,224.706,250.713,288.378,275.655,232.381,302.718
CWUR0000SEHE01   ,CWUR0000SEHE01   ,"Fuel oil in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,5.6,5.8,6.7,6.4,5.8,6.1,6.3,7.2,7.8,7.8,7.5,7.5,9.0,11.4,10.8,10.9,11.6,11.9,12.5,12.5,13.0,13.6,14.3,13.5,13.7,13.4,14.0,14.0,14.3,13.9,14.2,14.6,15.1,15.6,15.9,16.5,17.5,17.6,20.3,32.1,34.8,37.3,42.3,44.8,62.9,87.5,107.3,105.0,96.5,98.5,94.6,74.3,76.0,76.0,80.6,99.0,92.7,88.3,87.5,85.9,85.0,97.3,97.1,85.0,86.9,130.8,126.6,111.3,136.3,160.1,217.2,245.1,263.707,366.554,241.493,285.126,369.934,378.816,372.443,367.217,255.567,211.963,245.106,300.348,285.392,221.578,295.471
CWUR0000SEHE02   ,CWUR0000SEHE02   ,"Propane, kerosene, and firewood in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,102.5,104.0,123.6,122.7,119.4,119.9,118.3,117.8,128.2,131.1,126.3,126.9,156.6,168.7,154.3,181.4,201.8,241.0,269.5,287.817,347.22,296.425,323.463,351.916,331.439,329.988,357.46,301.248,287.36,311.765,333.662,321.707,307.112,387.231
CWUR0000SEHF     ,CWUR0000SEHF     ,"Energy services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,20.4,20.0,19.7,19.7,19.7,19.5,19.3,19.2,19.1,19.0,18.9,18.4,18.3,18.8,19.2,19.3,19.3,19.6,20.0,20.2,20.7,21.0,21.2,21.9,22.5,23.4,23.6,23.6,23.6,23.6,23.6,23.6,23.7,23.9,24.4,25.4,27.2,28.6,30.0,34.6,40.2,44.8,50.6,55.2,61.1,71.4,81.8,93.1,101.5,105.3,107.1,105.7,103.6,104.4,107.3,108.9,112.1,114.3,118.0,118.7,118.4,121.6,124.6,120.8,120.4,127.5,141.5,133.4,144.1,149.8,165.4,180.2,184.357,200.265,191.981,191.552,193.519,188.92,193.963,202.59,197.866,195.086,201.541,202.714,202.303,203.172,217.625
CWUR0000SEHF01   ,CWUR0000SEHF01   ,"Electricity in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1913-M12,2022-M02,45.6,44.7,43.3,42.2,41.0,41.2,42.6,42.6,43.3,42.9,42.0,41.7,41.2,40.7,40.1,39.4,38.0,37.3,36.7,36.3,35.9,33.2,31.5,30.6,29.9,29.4,29.0,28.7,28.5,28.3,28.3,28.2,28.1,27.0,26.6,26.9,27.1,27.2,27.4,27.7,28.0,28.2,28.5,28.6,28.7,29.1,29.5,29.9,30.0,30.0,30.0,29.8,29.7,29.7,30.0,30.2,30.8,31.8,33.9,35.6,37.4,44.2,50.0,53.2,56.7,61.0,65.7,75.9,87.2,95.8,98.9,105.3,109.0,110.5,110.0,111.5,114.5,117.1,121.5,123.9,126.2,126.2,129.1,131.3,132.0,126.9,125.9,127.9,137.0,135.1,138.6,141.3,149.8,167.6,174.086,185.379,190.548,190.988,194.955,194.679,198.515,205.865,206.739,204.349,208.71,210.146,210.527,211.559,221.006
CWUR0000SEHF02   ,CWUR0000SEHF02   ,"Utility (piped) gas service in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,,,12.9,12.8,12.7,12.8,13.0,12.9,12.7,12.7,12.6,12.5,12.3,12.1,12.2,12.7,13.2,13.3,13.2,13.5,13.9,14.1,14.7,14.9,15.2,16.1,16.6,17.7,18.0,18.0,18.0,18.0,18.1,18.2,18.2,18.3,18.7,19.7,21.1,22.2,23.2,26.1,31.3,36.5,43.5,47.7,55.2,65.7,74.8,89.8,104.8,105.4,104.7,99.5,94.7,94.1,96.8,96.9,97.9,99.7,106.2,108.0,102.1,107.0,114.3,111.7,112.4,132.0,158.1,134.9,166.2,180.4,215.9,220.4,217.355,248.378,193.231,189.6,184.292,166.326,174.931,187.584,164.269,160.214,173.2,173.643,170.785,171.023,200.947
CWUR0000SEHG     ,CWUR0000SEHG     ,"Water and sewer and trash collection services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,104.0,106.6,109.6,113.1,117.3,124.1,130.6,137.1,143.98,152.419,161.584,171.446,179.953,189.763,198.126,205.457,214.556,222.247,229.6,237.599,244.863,252.573,261.496
CWUR0000SEHG01   ,CWUR0000SEHG01   ,"Water and sewerage maintenance in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1952-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,17.0,18.6,19.2,20.7,21.9,22.8,23.5,24.1,24.7,25.7,25.9,26.6,27.5,28.2,29.5,31.5,33.9,37.6,39.0,41.2,43.6,47.9,53.2,58.9,65.6,68.6,73.4,82.5,92.5,100.4,107.1,113.3,119.4,125.7,132.2,140.3,149.2,159.6,169.8,178.9,188.1,193.9,201.9,207.0,214.2,218.8,224.3,231.3,239.2,248.4,264.5,279.8,293.5,308.473,326.889,349.545,375.145,396.097,421.033,441.381,459.407,483.479,503.518,522.096,539.542,556.39,573.28,591.415
CWUR0000SEHG02   ,CWUR0000SEHG02   ,"Garbage and trash collection in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1983.12=100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,109.9,119.0,130.3,142.3,155.5,171.3,189.5,207.8,221.0,231.7,241.2,246.0,250.5,257.0,264.0,269.9,275.3,282.4,291.4,303.0,313.7,329.9,345.32,364.49,376.624,384.956,395.629,405.675,417.49,427.392,434.083,441.526,450.523,468.317,481.628,498.199,521.033
CWUR0000SEHH     ,CWUR0000SEHH     ,"Window and floor coverings and other linens in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,100.8,100.5,98.9,96.9,92.8,90.0,89.0,85.7,81.894,79.436,76.562,72.393,70.007,67.135,64.843,63.362,60.824,59.303,57.852,58.337,56.89,57.769,58.162
CWUR0000SEHH01   ,CWUR0000SEHH01   ,"Floor coverings in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,101.5,103.7,106.6,107.4,106.8,107.2,111.2,115.8,116.667,118.262,119.077,114.153,113.567,112.489,108.127,108.567,108.673,109.629,108.684,110.899,112.29,111.106,112.594
CWUR0000SEHH02   ,CWUR0000SEHH02   ,"Window coverings in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,100.4,102.0,97.9,96.0,94.5,92.5,90.1,90.2,89.956,90.48,86.124,76.987,74.378,73.571,74.239,72.775,68.216,68.537,66.038,63.245,61.401,65.558,66.982
CWUR0000SEHH03   ,CWUR0000SEHH03   ,"Other linens in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,100.7,98.1,95.9,93.2,87.2,83.3,81.8,76.2,70.508,66.578,63.593,60.853,58.531,55.255,52.62,51.071,48.947,46.867,45.606,46.447,44.908,45.278,45.358
CWUR0000SEHJ     ,CWUR0000SEHJ     ,"Furniture and bedding in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M02,,,,,,,,,,,,,,,,,,,,,,,16.2,16.9,18.9,18.5,18.2,18.5,20.6,23.5,24.7,27.9,30.4,33.0,36.6,40.2,39.2,39.5,43.6,42.8,42.4,42.1,41.4,41.6,42.7,42.4,42.5,42.6,43.0,43.3,43.4,43.5,43.8,44.8,46.6,48.9,51.7,53.8,55.5,56.4,58.3,63.4,68.4,70.9,73.5,77.0,82.4,88.4,93.5,97.6,100.2,102.2,104.8,107.3,109.4,112.7,113.3,114.8,115.9,119.3,121.8,125.7,128.6,131.3,131.8,132.0,131.4,130.6,128.6,125.8,124.2,123.7,122.6,123.3,122.196,121.33,121.115,116.025,115.044,116.84,115.715,113.008,111.884,110.148,109.238,109.113,111.332,111.979,120.906
CWUR0000SEHJ01   ,CWUR0000SEHJ01   ,"Bedroom furniture in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5,76.5,83.4,89.4,95.7,101.3,103.1,107.3,113.4,113.8,117.4,117.6,118.1,120.1,125.5,130.4,133.2,134.6,137.2,140.0,140.5,139.5,136.5,135.1,133.4,131.8,135.1,140.3,142.6,142.069,142.531,140.332,134.624,134.451,134.716,133.04,131.006,127.788,126.736,125.322,125.206,127.078,125.987,132.599
CWUR0000SEHJ02   ,CWUR0000SEHJ02   ,"Living room, kitchen, and dining room furniture in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,101.2,101.6,100.6,97.9,96.5,95.3,91.8,91.9,90.596,89.406,89.605,87.701,87.979,90.289,89.909,87.001,86.635,86.335,86.132,86.342,88.529,89.452,98.016
CWUR0000SEHJ03   ,CWUR0000SEHJ03   ,"Other furniture in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,102.5,101.1,96.4,94.8,93.5,90.9,89.0,89.4,88.756,87.756,89.627,81.11,77.054,77.626,75.88,74.781,75.214,69.452,67.84,66.928,68.205,70.354,77.261
CWUR0000SEHK     ,CWUR0000SEHK     ,"Appliances in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,97.6,96.2,94.7,92.2,88.9,85.7,87.0,88.3,90.158,90.749,91.553,87.487,86.447,88.709,86.762,82.916,79.638,76.58,74.122,75.437,77.191,79.752,85.369
CWUR0000SEHK01   ,CWUR0000SEHK01   ,"Major appliances in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,98.0,97.1,96.7,96.0,93.2,90.5,93.8,96.8,100.73,102.283,102.66,98.432,97.047,102.212,99.786,93.924,88.839,84.217,79.773,82.825,84.072,88.055,97.909
CWUR0000SEHK02   ,CWUR0000SEHK02   ,"Other appliances in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,97.1,94.7,91.5,86.6,82.7,78.8,77.6,76.9,76.4,75.734,77.161,73.234,72.667,71.584,70.216,68.604,67.185,65.319,64.115,64.142,66.107,67.944,70.52
CWUR0000SEHL     ,CWUR0000SEHL     ,"Other household equipment and furnishings in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,98.7,97.6,96.1,92.9,88.7,86.8,85.2,80.6,77.499,76.874,75.577,72.573,70.153,67.066,65.194,62.158,60.052,57.865,55.3,52.944,52.234,52.336,52.878
CWUR0000SEHL01   ,CWUR0000SEHL01   ,"Clocks, lamps, and decorator items in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6,82.8,89.7,95.3,98.3,100.1,101.5,103.6,102.0,102.6,105.2,108.5,112.7,115.7,117.0,117.2,115.9,115.9,116.9,116.9,118.3,113.9,108.1,103.4,98.2,91.2,86.3,83.7,75.9,70.499,67.454,65.558,62.042,58.611,55.158,52.212,48.827,46.31,43.994,40.097,37.425,36.85,36.856,37.002
CWUR0000SEHL02   ,CWUR0000SEHL02   ,"Indoor plants and flowers in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1990.12=100,1990-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6,111.4,110.1,111.9,118.1,116.1,111.2,112.8,110.2,115.6,119.3,119.9,119.6,123.0,122.7,124.0,125.949,132.488,131.817,130.835,131.687,130.72,131.61,132.25,134.092,132.277,133.919,136.245,137.058,139.431,147.009
CWUR0000SEHL03   ,CWUR0000SEHL03   ,"Dishes and flatware in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,99.4,96.1,92.7,89.1,86.7,85.8,84.5,79.1,74.735,75.14,73.673,69.558,66.768,61.246,61.32,57.982,57.286,55.885,55.806,52.968,51.803,52.392,50.966
CWUR0000SEHL04   ,CWUR0000SEHL04   ,"Nonelectric cookware and tableware in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4,97.9,98.8,97.1,94.8,91.5,92.0,92.6,92.9,94.806,97.239,97.785,96.647,97.927,97.6,96.59,93.178,90.307,87.67,85.549,82.41,80.752,79.764,81.494
CWUR0000SEHM     ,CWUR0000SEHM     ,"Tools, hardware, outdoor equipment and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,99.1,97.1,96.3,94.9,92.7,92.8,94.0,94.3,94.334,93.833,94.593,92.35,92.803,93.112,93.271,92.798,92.781,91.63,91.113,91.237,92.245,93.853,97.412
