index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SEEB03   ,CWUR0000SEEB03   ,"Child care and nursery school in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1990.12=100,1990-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,108.2,113.5,119.9,125.1,129.8,135.0,141.8,149.1,157.1,164.8,173.1,180.4,186.9,194.6,205.1,213.565,223.252,231.213,239.657,246.227,252.431,258.327,263.788,274.841,282.851,290.781,294.697,302.332,310.703,314.226
CWUR0000SEEB04   ,CWUR0000SEEB04   ,"Technical and business school tuition and fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.6,110.2,116.2,122.4,128.8,138.9,151.0,163.7,172.5,179.672,190.122,198.871,206.794,214.858,222.643,229.354,233.283,236.631,240.755,246.549,252.074,256.427,262.398,266.707
CWUR0000SEEC     ,CWUR0000SEEC     ,"Postage and delivery services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,103.1,103.2,107.3,113.8,119.5,119.9,120.2,126.6,130.103,135.407,140.939,145.337,151.685,157.222,166.716,173.345,173.85,174.518,179.159,184.374,193.51,200.652,209.349
CWUR0000SEEC01   ,CWUR0000SEEC01   ,"Postage in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M02,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,14.2,14.8,14.7,14.5,14.5,15.6,15.7,16.1,17.7,18.0,19.3,19.3,19.3,19.4,20.8,22.7,23.5,23.7,23.9,27.5,28.4,28.6,28.8,29.6,33.7,34.7,34.9,40.9,43.4,43.4,50.5,52.0,65.9,66.8,72.3,76.2,76.2,89.4,100.0,100.0,100.0,109.0,110.4,110.4,121.7,125.4,125.4,144.0,145.7,145.7,145.7,160.8,160.8,160.8,160.8,165.6,165.6,172.1,182.6,191.7,191.7,191.7,201.9,206.879,213.863,224.216,230.143,239.4,247.826,263.367,274.078,274.836,276.555,283.793,289.727,305.966,319.563,332.101
CWUR0000SEEC02   ,CWUR0000SEEC02   ,"Delivery services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5,108.9,114.7,123.3,128.8,135.9,151.0,161.1,172.8,184.184,210.509,196.862,223.969,250.253,264.037,273.184,281.456,282.707,273.865,282.952,301.732,310.715,310.074,330.683
CWUR0000SEED     ,CWUR0000SEED     ,"Telephone services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,100.2,98.7,99.4,99.9,98.5,96.0,95.0,95.9,98.373,100.502,102.341,102.086,100.626,100.963,100.636,99.931,97.735,97.165,89.559,88.0,86.614,89.077,90.996
CWUR0000SEED03   ,CWUR0000SEED03   ,"Wireless telephone services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4,85.8,76.7,68.9,68.5,68.0,67.4,66.0,65.6,65.385,65.22,65.234,63.36,61.027,60.555,59.512,58.263,56.066,55.519,49.642,48.343,47.066,47.989,48.764
CWUR0000SEED04   ,CWUR0000SEED04   ,"Land-line telephone services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.574,103.323,105.626,108.176,111.11,113.429,114.51,116.188,117.561,121.215,129.588,137.327
CWUR0000SEEE     ,CWUR0000SEEE     ,"Information technology, hardware and services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1988.12=100,1988-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,92.8,88.7,83.5,78.0,71.2,63.9,57.7,51.1,41.2,31.6,26.8,22.1,19.0,16.7,15.3,14.2,13.0,11.062,10.567,10.178,9.96,9.571,9.3,9.08,8.941,8.638,8.398,8.213,8.063,8.004,7.978,8.018
CWUR0000SEEE01   ,CWUR0000SEEE01   ,"Personal computers and peripheral equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2007.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.9,600.5,458.0,329.1,246.5,195.6,169.6,142.5,121.0,108.164,94.863,82.104,76.273,68.439,62.46,56.581,52.298,47.65,44.012,41.999,40.246,38.763,37.735,38.547
CWUR0000SEEE02   ,CWUR0000SEEE02   ,"Computer software and accessories in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,88.5,85.7,79.3,72.5,66.6,61.4,57.9,54.1,51.234,49.588,49.128,45.863,42.412,40.179,37.873,36.375,36.241,33.671,32.327,31.431,29.05,25.737,25.099
CWUR0000SEEE03   ,CWUR0000SEEE03   ,"Internet services and electronic information providers in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,92.3,96.5,98.2,99.3,100.2,97.6,96.0,92.4,73.714,74.292,76.786,77.56,76.893,77.012,77.692,78.564,77.918,77.79,76.952,76.377,77.416,78.693,79.856
CWUR0000SEEE04   ,CWUR0000SEEE04   ,"Telephone hardware, calculators, and other consumer information items in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,83.7,75.7,67.8,62.1,55.5,50.0,46.2,43.0,40.902,40.534,38.938,37.724,36.49,34.424,32.325,30.416,25.807,22.814,21.572,20.417,17.708,15.196,12.47
CWUR0000SEEEC    ,CWUR0000SEEEC    ,"Information technology commodities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.708,89.341,82.367,75.517,70.393,64.22,58.937,56.224,53.855,50.695,47.82,46.573
CWURN000SAE      ,CWURN000SAE      ,"Education and communication in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,100.7,101.8,104.1,106.0,107.2,107.7,108.5,110.9,113.038,115.948,118.9,120.945,121.566,123.434,124.617,126.197,125.737,126.547,121.855,121.003,121.229,123.972,125.664
CWURN000SAEC     ,CWURN000SAEC     ,"Education and communication commodities in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.219,98.791,97.485,94.727,93.643,91.181,87.914,84.962,81.936,77.811,75.099,74.249
CWURN000SAES     ,CWURN000SAES     ,"Education and communication services in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.588,101.291,103.124,104.486,106.058,105.909,107.031,103.026,102.591,103.285,106.125,107.767
CWURN000SEEB     ,CWURN000SEEB     ,"Tuition, other school fees, and childcare in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2017-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.872,245.665,252.753,257.666,258.885
CWURS000SAE      ,CWURS000SAE      ,"Education and communication in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,102.0,103.3,106.0,108.5,109.9,111.1,112.9,115.4,117.856,121.921,125.334,127.091,127.444,128.959,130.562,131.043,130.905,130.968,127.522,127.356,127.52,129.443,131.686
CWURS000SAEC     ,CWURS000SAEC     ,"Education and communication commodities in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.424,93.342,90.599,87.743,83.358,78.591,74.889,72.89,71.398,68.891,65.982,64.467
CWURS000SAES     ,CWURS000SAES     ,"Education and communication services in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.809,101.541,103.094,104.763,105.637,106.037,106.507,103.708,103.739,104.191,106.216,108.335
CWURS000SEEB     ,CWURS000SEEB     ,"Tuition, other school fees, and childcare in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,2017-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.672,530.654,546.437,558.18,567.92
