index,Index,Label,unit,start,last,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CWUR0000SERC01   ,CWUR0000SERC01   ,"Sports vehicles including bicycles in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8,82.1,88.6,93.7,96.8,99.6,103.6,106.6,106.5,107.5,111.3,115.7,118.6,119.9,123.0,124.3,126.2,129.1,129.1,127.3,128.9,131.9,134.5,135.9,134.1,132.8,132.8,135.8,139.3,139.703,137.096,136.048,135.761,142.29399999999995,144.827,148.261,146.034,145.93200000000004,141.847,139.852,140.842,143.131,146.42700000000005
CWUR0000SERC02   ,CWUR0000SERC02   ,"Sports equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M01,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,84.3,90.6,95.9,98.9,100.3,100.8,99.7,99.3,101.3,105.3,107.7,111.7,116.2,117.4,116.7,119.0,118.8,118.0,117.6,115.5,110.3,106.4,104.2,101.4,99.7,97.8,96.1,94.8,92.995,95.14,97.462,94.95,90.056,88.965,87.087,85.257,82.85700000000001,80.812,78.822,77.937,76.598,77.558
CWUR0000SERD     ,CWUR0000SERD     ,"Photography in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,99.7,99.5,99.2,98.6,96.8,93.7,90.9,87.8,83.573,81.98899999999998,82.669,81.399,81.2,80.797,79.449,79.71300000000002,78.172,78.363,78.604,76.956,76.02199999999998,77.84
CWUR0000SERD01   ,CWUR0000SERD01   ,"Photographic equipment and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8,81.1,90.3,95.2,98.3,99.9,101.8,103.5,107.5,114.9,120.6,126.1,129.2,131.9,134.3,135.9,133.5,134.0,134.5,135.1,133.5,131.1,127.2,124.1,119.0,113.2,104.8,98.7,91.7,82.376,77.378,75.093,71.172,67.286,64.52,60.83,59.387,55.474,53.615,55.152,53.761,53.63399999999999,56.056000000000004
CWUR0000SERD02   ,CWUR0000SERD02   ,"Photographers and photo processing in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,101.1,102.5,103.5,105.2,105.8,105.9,105.4,105.4,105.833,107.594,111.712,112.506,115.23100000000001,116.78399999999999,117.861,120.149,121.244,124.057,123.119,120.70200000000001,118.506,119.40700000000001
CWUR0000SERE     ,CWUR0000SERE     ,"Other recreational goods in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,92.1,87.6,84.3,80.1,75.5,72.5,68.5,66.2,63.516999999999996,61.048,58.893,56.00899999999999,53.992,52.037,49.81100000000001,47.523,45.00899999999999,42.108999999999995,38.769,35.512,33.3,31.451999999999998
CWUR0000SERE01   ,CWUR0000SERE01   ,"Toys in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,81.5,87.2,93.7,98.6,100.0,101.4,101.5,102.7,105.2,110.7,115.1,117.2,118.0,120.2,122.2,124.1,123.7,127.2,127.0,120.9,113.8,107.1,101.9,95.7,89.3,84.9,79.2,75.7,72.157,68.418,64.825,60.574,57.852,55.055,52.13399999999999,48.95399999999999,45.848,42.257,38.36,34.624,31.885,29.631
CWUR0000SERE02   ,CWUR0000SERE02   ,"Sewing machines, fabric and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,96.9,96.5,96.3,95.8,93.5,93.8,92.5,92.2,89.131,88.3,90.62299999999999,92.596,95.081,97.366,97.37299999999999,99.665,98.43,93.564,93.329,97.09,100.863,97.054
CWUR0000SERE03   ,CWUR0000SERE03   ,"Music instruments and accessories in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,99.7,99.1,100.2,99.6,98.4,97.2,96.1,97.2,96.007,98.258,99.212,97.781,95.156,94.916,96.734,98.214,96.65700000000001,99.178,100.25,99.652,100.825,104.977
CWUR0000SERF     ,CWUR0000SERF     ,"Other recreation services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,106.9,111.9,116.7,120.5,125.5,128.7,131.8,136.7,141.058,144.286,146.031,146.743,146.834,149.661,151.886,154.072,157.67,162.00799999999995,166.35,170.13,173.917,176.645
CWUR0000SERF01   ,CWUR0000SERF01   ,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,105.7,108.8,112.0,113.1,116.2,116.4,116.7,121.8,123.51299999999999,125.49600000000001,125.348,122.824,121.399,124.994,127.073,128.586,129.196,130.963,133.941,137.572,141.054,142.868
CWUR0000SERF02   ,CWUR0000SERF02   ,"Admissions in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,80.1,85.6,88.4,93.4,100.0,106.7,112.9,118.0,124.3,130.6,141.2,151.0,158.7,163.9,166.8,174.6,181.5,191.6,198.7,204.8,215.7,229.7,241.3,251.0,262.7,272.3,281.5,290.6,302.185,309.666,314.283,319.432,320.944,327.98800000000006,332.2480000000001,337.6040000000001,349.48400000000015,363.876,373.844,380.586,387.836,394.334
CWUR0000SERF03   ,CWUR0000SERF03   ,"Fees for lessons or instructions in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,107.8,114.9,123.0,130.7,136.6,143.3,150.8,156.9,162.6,170.4,177.6,184.9,188.1,196.5,204.8,214.7,223.8,230.5,237.6,246.929,255.12599999999998,261.712,265.22900000000004,267.932,271.099,276.498,280.693,287.724,293.856,302.687,311.0540000000001,319.6140000000001,326.311
CWUR0000SERG     ,CWUR0000SERG     ,"Recreational reading materials in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,70.1,77.7,86.1,94.3,101.2,104.5,110.6,115.5,119.5,124.4,129.7,136.1,145.0,151.3,156.8,162.2,169.0,177.3,180.2,185.1,187.4,189.8,192.8,196.9,198.5,202.4,205.6,206.9,208.642,213.745,222.84799999999998,224.03,223.537,227.739,235.90599999999998,240.39,244.84400000000002,244.113,245.97799999999998,249.967,260.295,268.776
CWUR0000SERG01   ,CWUR0000SERG01   ,"Newspapers and magazines in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,104.5,106.4,108.4,110.2,112.3,115.6,118.6,120.4,121.617,124.781,132.97899999999998,134.715,136.279,143.534,152.91,159.305,164.067,166.16,171.454,176.898,189.731,197.575
CWUR0000SERG02   ,CWUR0000SERG02   ,"Recreational books in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,100.9,100.8,101.7,104.9,103.6,103.9,103.6,102.6,103.15,105.508,106.81,106.256,104.166,101.859,101.896,100.936,101.352,99.045,96.64399999999999,96.059,95.59200000000001,97.30799999999999
CWURN000SAR      ,CWURN000SAR      ,"Recreation in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,100.8,101.6,102.5,102.9,103.0,104.0,104.2,105.3,105.626,106.941,108.736,108.709,109.134,110.182,111.08,111.521,111.339,112.179,113.94,114.164,115.228,116.664
CWURN000SARC     ,CWURN000SARC     ,"Recreation commodities in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.859,97.684,96.419,95.162,93.346,90.618,87.781,85.28299999999999,82.67,81.9,80.76899999999998
CWURN000SARS     ,CWURN000SARS     ,"Recreation services in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.715,103.479,106.375,108.988,111.26100000000001,113.21600000000001,116.81,121.53,124.046,126.691,130.67700000000002
CWURS000SAR      ,CWURS000SAR      ,"Recreation in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7,101.4,102.9,104.3,105.9,107.4,108.3,108.9,110.6,110.794,112.541,112.56200000000001,110.162,110.125,111.459,111.711,111.42,111.546,112.023,113.053,113.45299999999999,114.55,116.124
CWURS000SARC     ,CWURS000SARC     ,"Recreation commodities in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.04,95.245,93.041,91.316,88.21600000000002,85.434,81.704,78.16199999999998,75.11,73.435,72.479
CWURS000SARS     ,CWURS000SARS     ,"Recreation services in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.786,102.575,106.22399999999999,107.973,109.834,112.03299999999999,115.415,119.488,122.131,124.814,127.831
