index,Index,Label,unit,start,last,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0000SETB02   ,CWUR0000SETB02   ,"Other motor fuels in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4,95.8,125.7,123.1,111.2,121.7,141.2,183.8,205.5,217.772,284.024,182.966,218.492,280.449,288.993,284.403,277.731,197.768,164.992,189.575,227.383,219.825,188.111,236.784
CWUR0000SETC     ,CWUR0000SETC     ,"Motor vehicle parts and equipment in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4,84.5,94.6,101.2,103.7,100.8,95.6,95.8,95.4,95.8,97.5,99.8,100.4,101.6,102.4,101.0,100.6,101.3,101.3,101.0,100.5,100.0,100.9,104.0,106.1,107.3,108.2,111.5,116.9,121.356,128.776,134.133,136.998,143.796,148.348,146.61,145.494,145.168,144.473,144.388,145.357,148.218,149.215,156.096
CWUR0000SETC01   ,CWUR0000SETC01   ,"Tires in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,31.6,31.4,34.9,35.5,34.2,31.5,32.6,,,,,,38.2,38.8,38.7,43.3,50.3,50.3,50.1,47.2,48.2,49.4,49.9,51.7,50.5,46.9,44.7,46.9,49.2,49.4,50.6,51.8,53.7,56.7,58.9,60.8,62.5,62.3,59.4,63.6,67.8,71.4,74.0,77.2,83.9,95.0,102.4,104.5,101.4,94.1,94.4,93.3,93.6,95.2,98.1,97.3,98.5,100.0,99.4,99.5,101.0,100.6,99.5,97.9,96.8,96.6,99.6,101.0,101.0,101.0,103.7,107.4,110.797,116.005,120.113,122.641,129.749,134.058,129.955,127.143,125.77,124.685,123.734,122.757,125.002,124.821,131.739
CWUR0000SETC02   ,CWUR0000SETC02   ,"Vehicle accessories other than tires in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,99.7,101.6,104.8,107.5,109.8,111.6,115.4,122.7,128.428,138.383,145.11,148.182,153.747,158.362,161.613,164.012,165.786,165.894,167.406,171.871,175.57,178.785,184.522
CWUR0000SETD     ,CWUR0000SETD     ,"Motor vehicle maintenance and repair in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,13.1,13.1,13.1,13.1,13.1,13.0,13.6,14.8,15.0,15.2,15.3,15.8,17.1,18.1,18.5,18.9,20.3,20.8,21.9,22.7,23.2,24.1,25.0,25.4,25.9,26.4,27.1,27.4,27.8,28.1,28.7,29.2,30.3,32.0,34.0,36.6,39.2,41.0,43.1,47.5,53.5,57.5,61.8,67.0,73.7,81.6,89.2,96.0,100.2,103.8,106.9,110.6,115.1,119.8,124.9,130.4,136.4,141.8,146.5,150.9,154.8,159.3,163.7,168.2,173.3,178.8,185.1,191.7,197.3,202.0,209.3,218.1,225.535,236.353,245.795,250.543,255.76,260.303,264.394,268.912,273.508,278.267,283.611,288.64,298.505,309.178,321.453
CWUR0000SETD01   ,CWUR0000SETD01   ,"Motor vehicle body work in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,71.3,79.8,87.3,94.8,100.6,104.6,108.9,112.6,118.4,124.2,130.9,136.9,141.5,145.2,148.9,154.0,159.0,166.4,173.2,179.5,182.6,188.1,195.3,200.0,203.6,208.2,215.0,224.9,232.208,239.663,250.098,256.431,262.611,267.457,273.004,282.191,283.674,290.425,297.176,304.904,314.565,327.526,349.03
CWUR0000SETD02   ,CWUR0000SETD02   ,"Motor vehicle maintenance and servicing in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,76.1,84.0,91.2,97.0,100.5,102.6,104.7,107.7,112.7,117.4,120.9,124.6,130.6,135.5,138.5,140.4,143.3,147.0,150.0,155.4,159.5,163.6,170.0,176.2,180.7,184.2,190.9,197.3,203.95,215.228,224.906,227.704,231.104,236.099,239.575,243.076,246.108,249.496,254.912,260.775,272.077,280.811,290.801
CWUR0000SETD03   ,CWUR0000SETD03   ,"Motor vehicle repair in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,104.7,108.4,111.9,116.1,119.7,123.0,127.3,133.3,138.002,144.148,149.357,152.909,156.7,159.045,161.579,164.422,168.082,171.652,174.131,175.403,178.57,186.361,194.674
CWUR0000SETE     ,CWUR0000SETE     ,"Motor vehicle insurance in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M13,2022-M01,8.9,8.9,8.9,8.9,8.9,8.8,9.0,10.0,9.0,8.7,8.7,10.4,11.7,13.9,15.8,14.8,15.2,18.2,20.5,20.4,19.6,19.0,20.6,23.6,25.1,25.8,26.0,25.8,26.2,27.6,30.2,32.3,33.2,34.0,37.0,42.1,46.9,46.7,45.9,45.9,48.5,62.4,70.0,72.1,76.0,82.1,85.9,91.5,100.4,108.1,119.1,134.7,145.7,155.6,165.6,177.1,191.0,204.7,215.8,224.0,233.6,243.4,251.3,254.4,254.0,256.9,268.7,292.4,315.5,324.4,330.9,332.8,334.25,342.817,358.606,376.906,391.022,404.968,421.782,439.359,463.715,492.12,531.278,572.129,577.13,550.044,569.445
CWUR0000SETF     ,CWUR0000SETF     ,"Motor vehicle fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,103.8,108.1,109.8,112.9,117.0,132.2,135.4,139.2,141.611,146.02,155.52,165.35,166.915,170.821,173.28,174.92,177.166,180.855,183.353,186.611,190.349,193.486,196.138
CWUR0000SETF01   ,CWUR0000SETF01   ,"State motor vehicle registration and license fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,102.2,106.4,107.0,109.9,114.4,132.9,134.5,138.6,140.084,143.192,152.803,164.996,165.813,166.371,167.521,168.082,169.45,173.051,175.76,178.327,180.82,185.24,186.378
CWUR0000SETF03   ,CWUR0000SETF03   ,"Parking and other fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5,108.4,112.9,118.1,121.8,124.6,129.8,136.9,140.2,144.714,152.226,161.602,165.926,169.179,180.42,185.769,189.706,193.849,197.717,199.871,204.493,210.595,211.692,216.69
CWUR0000SETG     ,CWUR0000SETG     ,"Public transportation in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1935-M03,2022-M01,9.3,9.2,9.1,9.2,9.3,9.3,9.3,9.3,9.4,9.4,9.4,9.6,10.1,11.4,12.7,13.7,15.1,16.1,17.2,18.4,18.9,19.6,20.4,21.3,22.0,22.7,23.7,24.5,24.8,25.3,25.8,26.7,28.0,29.3,31.6,36.0,38.6,40.2,40.6,41.5,44.5,48.9,51.2,52.8,56.1,68.8,85.6,95.1,99.3,105.7,109.9,116.8,120.4,122.5,128.2,140.4,146.6,150.0,163.0,167.7,171.9,179.6,184.2,187.1,193.1,203.4,204.9,202.6,206.0,207.1,215.5,225.0,228.531,247.865,234.661,248.713,266.151,269.399,277.85,276.124,271.071,269.013,268.279,265.6,267.14,236.945,241.28
CWUR0000SETG01   ,CWUR0000SETG01   ,"Airline fares in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1963-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,24.0,24.1,24.1,24.6,26.4,28.6,30.6,31.4,32.5,35.2,38.3,41.5,43.9,45.9,49.5,68.4,86.0,94.4,99.8,105.7,112.3,116.4,121.8,122.9,130.1,146.6,153.6,153.7,176.3,183.8,188.3,191.2,198.4,204.0,217.8,237.9,238.1,230.4,230.2,225.7,235.0,246.4,250.567,279.702,254.898,274.198,300.045,301.403,309.006,303.655,289.677,280.704,275.19,267.085,268.081,219.07,219.989
CWUR0000SETG02   ,CWUR0000SETG02   ,"Other intercity transportation in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4,63.3,72.8,84.1,92.2,100.1,107.7,114.4,125.2,126.9,132.6,139.2,144.6,150.5,155.0,152.8,154.9,155.0,158.4,157.8,164.2,163.6,158.9,156.8,157.7,151.7,148.3,150.1,156.2,155.423,158.207,149.799,152.606,152.925,152.383,154.233,153.26,154.08,160.545,161.461,158.461,157.433,151.023,162.252
CWUR0000SETG03   ,CWUR0000SETG03   ,"Intracity transportation in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1978-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,60.1,68.8,85.4,95.7,98.8,105.5,107.8,116.4,119.3,121.9,125.5,133.8,139.1,146.8,150.7,152.6,157.4,172.8,175.3,173.8,171.8,173.9,178.5,182.2,195.1,205.8,215.6,223.1,227.376,236.554,247.74,257.975,270.315,278.747,291.831,295.448,302.389,307.139,312.827,317.379,321.322,315.598,321.989
CWUR0000SS47014  ,CWUR0000SS47014  ,"Gasoline, unleaded regular in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1976-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,49.6,52.0,70.5,97.4,108.5,102.7,99.5,97.8,98.8,76.3,79.3,79.5,86.6,99.1,97.4,96.7,95.0,95.7,97.4,103.9,103.8,89.2,98.0,127.4,122.8,114.7,134.3,159.3,195.0,220.6,238.953,278.757,201.189,238.798,302.879,312.462,302.802,290.53,209.605,184.277,208.198,236.677,227.576,189.052,259.339
CWUR0000SS47015  ,CWUR0000SS47015  ,"Gasoline, unleaded midgrade in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1993.12=100,1993-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2,104.4,110.4,110.2,96.4,104.7,133.4,128.2,120.7,139.7,164.4,200.0,225.2,243.543,284.607,208.523,245.996,309.693,319.997,312.7,303.632,226.799,204.152,228.697,258.377,251.934,217.04,285.82
CWUR0000SS47016  ,CWUR0000SS47016  ,"Gasoline, unleaded premium in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1981-M08,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,99.0,100.1,81.3,83.2,84.6,91.8,103.8,102.2,101.8,100.8,101.2,102.0,107.0,106.8,94.2,101.9,127.9,123.6,116.5,134.1,156.7,189.3,212.5,229.561,267.403,198.242,232.523,290.41,300.547,294.86,285.808,219.953,200.584,224.086,252.958,248.368,216.147,278.737
CWURN000SAT      ,CWURN000SAT      ,"Transportation in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,100.7,107.7,108.0,106.4,109.1,112.6,120.8,126.2,129.227,137.457,123.364,134.761,149.041,152.338,151.835,150.702,137.498,134.542,139.58,146.083,145.191,139.614,163.715
CWURN000SAT1     ,CWURN000SAT1     ,"Private transportation in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,100.4,107.4,107.7,106.1,108.9,112.5,120.8,126.0,129.112,137.204,123.014,134.509,148.844,152.139,151.687,150.545,136.987,133.964,139.147,145.912,144.968,139.982,164.76
CWURN000SATCLTB  ,CWURN000SATCLTB  ,"Transportation commodities less motor fuel in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.648,105.012,106.502,106.868,106.607,106.541,105.602,103.905,103.698,104.52,106.722,123.934
CWURN000SETA     ,CWURN000SETA     ,"New and used motor vehicles in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,100.6,101.3,102.0,99.6,95.7,92.0,94.0,94.3,92.756,91.443,90.347,95.776,98.608,99.727,100.143,100.031,99.99,99.2,97.762,97.966,98.515,100.383,116.576
CWURN000SETA01   ,CWURN000SETA01   ,"New vehicles in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,99.6,99.4,99.3,97.9,95.9,95.1,96.0,96.2,95.179,93.854,94.947,96.69,98.912,100.65,101.63,101.555,102.72,103.408,103.825,103.229,103.657,104.739,110.333
CWURN000SETA02   ,CWURN000SETA02   ,"Used cars and trucks in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6,102.4,104.4,106.6,102.1,96.1,89.9,93.9,94.2,91.362,90.009,85.34,96.406,100.335,101.154,101.095,100.787,99.607,97.273,93.735,93.769,94.702,97.702,123.75
CWURN000SETB     ,CWURN000SETB     ,"Motor fuel in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,98.7,127.6,121.7,114.6,132.8,158.1,193.6,218.3,237.109,278.89,199.965,237.752,300.722,309.194,300.941,290.05,206.695,182.917,205.936,232.676,222.559,186.009,253.877
CWURN000SETB01   ,CWURN000SETB01   ,"Gasoline (all types) in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,98.7,127.6,121.6,114.7,133.0,158.4,193.9,218.7,237.584,278.439,200.915,238.838,301.895,310.135,301.703,290.471,206.986,183.279,206.288,232.897,222.72,186.046,254.45
CWURN000SETE     ,CWURN000SETE     ,"Motor vehicle insurance in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,2017-M12,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.505,223.658,225.735,211.605,220.614
CWURN000SS47014  ,CWURN000SS47014  ,"Gasoline, unleaded regular in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,98.8,129.1,122.8,115.6,134.9,161.4,198.1,223.8,243.443,285.386,204.658,243.81,309.074,317.352,307.779,295.888,208.764,183.736,207.04,233.954,223.172,185.267,255.545
CWURN000SS47015  ,CWURN000SS47015  ,"Gasoline, unleaded midgrade in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.2,98.4,126.3,120.0,113.3,130.8,155.2,189.5,213.3,231.311,270.909,197.28,233.744,294.083,302.406,296.003,286.264,209.463,189.691,212.836,240.241,232.147,199.937,264.841
CWURN000SS47016  ,CWURN000SS47016  ,"Gasoline, unleaded premium in Size Class B/C, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8,98.5,124.4,118.9,112.5,128.9,151.6,183.5,205.5,222.636,260.346,192.062,226.551,282.878,291.594,286.773,278.804,209.508,191.877,214.334,240.123,233.629,203.356,262.753
CWURS000SAT      ,CWURS000SAT      ,"Transportation in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5,107.9,113.2,119.1,121.9,125.3,129.1,133.1,137.9,142.0,143.0,140.0,142.8,151.8,153.0,151.7,156.7,162.1,173.0,180.1,183.791,194.756,177.248,192.457,213.289,219.098,218.886,216.524,198.791,193.586,200.931,211.773,211.469,201.271,231.79
CWURS000SAT1     ,CWURS000SAT1     ,"Private transportation in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1986.12=100,1986-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8,108.4,113.8,119.4,122.1,125.5,128.9,132.9,137.9,141.8,142.6,139.3,142.0,151.1,152.3,150.9,156.0,161.5,172.6,179.8,183.56,194.314,176.353,191.745,213.018,219.105,218.167,215.725,197.288,191.909,199.751,211.451,211.026,201.553,234.735
CWURS000SATCLTB  ,CWURS000SATCLTB  ,"Transportation commodities less motor fuel in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2009-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.44,105.177,106.673,106.752,106.642,106.142,105.091,103.091,103.088,103.7,105.135,120.653
CWURS000SETA     ,CWURS000SETA     ,"New and used motor vehicles in Size Class A, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1997-M12,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2,100.2,101.3,101.8,99.4,96.4,93.8,95.3,95.2,93.94,92.977,92.504,96.978,99.953,100.74,100.602,100.209,99.707,98.935,96.996,97.195,97.3,98.082,112.291
