index,Index,Label,unit,start,last,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU316210316210P              ,PCU316210316210P              ,"PPI industry data for Footwear manufacturing-Primary products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4,108.1,110.4,112.3,113.8,114.8,115.5,117.9,118.7
PCU3169--3169--               ,PCU3169--3169--               ,"PPI industry group data for Other leather product manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,100.7,102.6,104.7,106.6,109.8,111.0,113.6,116.0,118.4,122.0,127.5,128.6,129.8,133.1,135.4,137.3
PCU31699-31699-               ,PCU31699-31699-               ,"PPI industry data for Other leather product manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8,100.7,102.6,104.7,106.6,109.8,111.0,113.6,116.0,118.4,122.0,127.5,128.6,129.8,133.1,135.4,137.3
PCU316992316992               ,PCU316992316992               ,"PPI industry data for Women's handbag and purse manufacturing, not seasonally adjusted",Index base: 1982.06 = 100,1975-M12,2021-M11,64.3,65.0,70.4,81.4,87.1,98.2,100.2,103.0,106.9,111.3,113.6,115.1,121.6,123.1,127.2,130.4,130.7,131.0,127.4,129.5,128.8,127.2,127.2,127.5,127.8,131.5,127.2,129.1,130.7,132.2,142.5,149.8,155.1,155.1,154.3,157.1,158.8,161.8,166.3,176.8,176.3,177.4,191.2,190.7,191.8
PCU3169923169920              ,PCU3169923169920              ,"PPI industry data for Women's handbag and purse manufacturing-Women's and children's handbags and purses, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2,109.9,109.7,108.3,109.3,110.3,111.1,114.0,123.0,120.4,121.6,131.5,131.1,131.9
PCU316992316992P              ,PCU316992316992P              ,"PPI industry data for Women's handbag and purse manufacturing-Primary products, not seasonally adjusted",Index base: 1982.06 = 100,1982-M06,2021-M11,,,,,,,,103.2,107.7,112.8,115.1,115.5,121.0,122.6,127.1,130.3,131.5,132.1,127.7,130.3,129.5,127.7,127.7,128.0,128.2,131.0,126.5,129.9,131.9,133.9,139.5,146.6,150.4,150.1,148.2,149.5,150.9,151.9,155.9,168.2,164.7,166.3,179.8,179.3,180.5
PCU316992316992S              ,PCU316992316992S              ,"PPI industry data for Women's handbag and purse manufacturing-Secondary products, not seasonally adjusted",Index base: 1982.06 = 100,1982-M06,2014-M06,,,,,,,,101.4,102.4,103.2,105.4,112.9,125.2,125.9,128.4,131.8,128.1,127.4,,,,,,127.4,128.1,138.1,139.3,139.3,139.7,140.3,159.6,169.2,182.7,183.1,185.2,194.6,198.9,199.1,,,,,,,
PCU316998316998               ,PCU316998316998               ,"PPI industry data for All other leather and allied good mfg., not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,103.7,107.1,111.2,112.6,113.9,115.2,117.9,119.8
PCU3169983169981              ,PCU3169983169981              ,"PPI industry data for All other leather and allied good mfg.-Luggage (including suitcases, travel bags, backpacks, and other types), not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,101.5,97.3,98.8,104.3,109.4,114.0,117.2,119.8,120.9,121.4,120.3,121.2,123.5,125.2,125.7,125.8,125.4,125.3,125.2,120.9,121.1,122.1,125.4,128.2,132.3,130.6,135.4,139.2,139.5,136.9,136.9,140.4,144.2,145.3,149.2,150.0
PCU3169983169982              ,PCU3169983169982              ,"PPI industry data for All other leather and allied good mfg.-Personal leather goods (excluding women's handbags and purses), not seasonally adjusted",Index base: 1982.06 = 100,1982-M06,2021-M11,,,,,,,,101.8,107.1,110.4,111.4,112.4,119.4,123.7,128.8,133.6,136.2,138.2,138.0,138.0,138.5,142.2,143.5,144.4,144.3,146.2,147.9,147.7,147.2,148.6,150.8,156.2,159.0,161.2,161.1,164.1,167.8,175.7,179.3,181.6,184.3,186.2,187.9,188.5,189.3
