index,Index,Label,unit,start,last,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU44121-44121-               ,PCU44121-44121-               ,"PPI industry data for Recreational vehicle dealers, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,98.8,112.2,109.7,121.4,133.6,133.8,142.4,143.5,119.1,120.3,123.0,122.0,125.0,134.5,133.4,130.5,123.8,125.0,127.5,151.0,210.324
PCU441210441210               ,PCU441210441210               ,"PPI industry data for Recreational vehicle dealers, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,98.8,112.2,109.7,121.4,133.6,133.8,142.4,143.5,119.1,120.3,123.0,122.0,125.0,134.5,133.4,130.5,123.8,125.0,127.5,151.0,210.324
PCU4412104412101              ,PCU4412104412101              ,"PPI industry data for Recreational vehicle dealers-Recreational vehicle dealer services, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,98.7,112.3,109.7,121.4,133.7,133.9,142.5,143.6,119.2,120.4,123.0,122.7,125.8,135.4,134.3,131.4,124.7,125.9,128.4,153.4,218.451
PCU441210441210P              ,PCU441210441210P              ,"PPI industry data for Recreational vehicle dealers-Primary services, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,98.7,112.3,109.7,121.4,133.7,133.9,142.5,143.6,119.2,120.4,123.0,122.7,125.8,135.4,134.3,131.4,124.7,125.9,128.4,153.4,218.451
PCU441222441222               ,PCU441222441222               ,"PPI industry data for Boat dealers, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,99.6,107.9,113.8,116.4,121.9,125.5,131.7,131.7,125.4,133.1,131.5,139.4,148.3,169.5,161.9,161.8,155.8,159.3,165.6,164.6,167.923
PCU4412224412221              ,PCU4412224412221              ,"PPI industry data for Boat dealers-Boat dealer services, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,99.6,107.9,114.0,116.8,122.2,125.9,132.3,132.2,125.8,133.6,132.1,141.2,150.4,171.8,163.7,163.5,156.8,159.7,165.5,164.4,167.673
PCU441222441222P              ,PCU441222441222P              ,"PPI industry data for Boat dealers-Primary services, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,99.6,107.9,114.0,116.8,122.2,125.9,132.3,132.2,125.8,133.6,132.1,141.2,150.4,171.8,163.7,163.5,156.8,159.7,165.5,164.4,167.673
PCU4413--4413--               ,PCU4413--4413--               ,"PPI industry group data for Automotive parts, accessories and tire stores, not seasonally adjusted",Index base: 2001.12 = 100,2001-M12,2022-M01,,,100.9,104.2,109.4,115.1,124.3,128.2,142.0,148.2,149.0,156.0,157.8,161.5,159.1,157.7,163.3,168.8,174.8,182.0,186.0,193.599
PCU44131-44131-               ,PCU44131-44131-               ,"PPI industry data for Automotive parts and accessories stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,106.8,110.9,119.7,125.6,140.3,148.1,148.9,158.4,163.3,172.5,166.7,163.0,169.6,177.3,187.6,198.4,203.1,211.115
PCU441310441310               ,PCU441310441310               ,"PPI industry data for Automotive parts and accessories stores, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,106.8,110.9,119.7,125.6,140.3,148.1,148.9,158.4,163.3,172.5,166.7,163.0,169.6,177.3,187.6,198.4,203.1,211.115
PCU4413104413101              ,PCU4413104413101              ,"PPI industry data for Automotive parts and accessories stores-Automotive parts and accessories store services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,106.8,110.9,119.7,125.6,140.3,148.1,148.9,158.4,163.3,172.5,166.7,163.0,169.6,177.3,187.6,198.4,203.1,211.118
PCU441310441310P              ,PCU441310441310P              ,"PPI industry data for Automotive parts and accessories stores-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,106.8,110.9,119.7,125.6,140.3,148.1,148.9,158.4,163.3,172.5,166.7,163.0,169.6,177.3,187.6,198.4,203.1,211.118
PCU44132-44132-               ,PCU44132-44132-               ,"PPI industry data for Tire dealers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,102.0,110.7,119.3,117.5,128.1,130.5,131.2,132.9,129.5,125.3,127.8,129.8,133.4,135.1,134.5,135.8,138.3,144.424
PCU441320441320               ,PCU441320441320               ,"PPI industry data for Tire dealers, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,102.0,110.7,119.3,117.5,128.1,130.5,131.2,132.9,129.5,125.3,127.8,129.8,133.4,135.1,134.5,135.8,138.3,144.424
PCU4413204413201              ,PCU4413204413201              ,"PPI industry data for Tire dealers-Tire dealer services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,102.0,110.7,119.3,117.5,128.1,130.5,131.2,132.9,129.5,125.3,127.8,129.8,133.4,135.2,134.6,135.9,138.5,144.561
PCU441320441320P              ,PCU441320441320P              ,"PPI industry data for Tire dealers-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,102.0,110.7,119.3,117.5,128.1,130.5,131.2,132.9,129.5,125.3,127.8,129.8,133.4,135.2,134.6,135.9,138.5,144.561
