index,Index,Label,unit,start,last,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU213112213112P              ,PCU213112213112P              ,"PPI industry data for Support activities for oil and gas operations-Primary services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,94.2,92.1,95.9,98.4,104.2,107.4,103.8,104.0,105.8,111.0,107.5,112.2,113.1,112.3,123.2,144.0,138.4,136.2,142.8,163.0,190.3,197.2,199.1,178.0,175.3,188.6,194.7,199.4,199.7,197.7,194.0,195.8,198.5,198.3,187.3,189.565
PCU213113213113               ,PCU213113213113               ,"PPI industry data for Support activities for coal mining, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,99.8,100.3,101.7,103.3,107.0,105.9,103.3,105.4,104.9,105.7,109.2,108.1,108.1,107.7,108.4,117.0,118.6,125.1,142.5,158.1,162.5,166.5,177.7,188.3,186.4,189.3,191.7,199.7,200.5,193.7,180.2,181.7,185.4,190.5,196.3,197.104
PCU2131132131130              ,PCU2131132131130              ,"PPI industry data for Support activities for coal mining-Coal mining services, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,99.8,100.3,101.7,103.3,107.0,105.8,103.1,105.3,104.8,105.7,109.5,108.4,108.4,108.0,108.7,117.6,119.2,125.8,143.4,159.3,163.9,168.0,179.2,189.9,188.0,190.9,193.3,201.4,202.2,195.4,181.8,183.2,187.0,192.2,198.0,198.808
PCU213113213113P              ,PCU213113213113P              ,"PPI industry data for Support activities for coal mining-Primary services, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,99.8,100.3,101.7,103.3,107.0,105.8,103.1,105.3,104.8,105.7,109.5,108.4,108.4,108.0,108.7,117.6,119.2,125.8,143.4,159.3,163.9,168.0,179.2,189.9,188.0,190.9,193.3,201.4,202.2,195.4,181.8,183.2,187.0,192.2,198.0,198.808
PCU213114213114               ,PCU213114213114               ,"PPI industry data for Support activities for metal mining, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,100.1,100.6,102.5,107.2,108.6,108.7,108.8,111.2,111.3,111.4,112.5,116.8,122.2,120.2,109.0,117.6,115.9,116.1,117.0,129.9,135.5,138.4,147.9,150.7,150.7,157.3,167.5,159.4,155.1,156.8,154.7,151.1,153.4,159.8,179.7,201.039
PCU2131142131140              ,PCU2131142131140              ,"PPI industry data for Support activities for metal mining-Metal mining services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,,,,,,,,,,,,,,,,118.9,117.1,117.3,118.2,131.8,137.2,140.0,149.7,152.4,152.4,159.2,169.5,161.3,156.9,158.6,156.5,152.9,155.1,161.6,181.8,203.384
PCU213114213114P              ,PCU213114213114P              ,"PPI industry data for Support activities for metal mining-Primary services, not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2022-M02,100.1,100.6,102.7,107.6,108.9,109.0,109.1,111.6,111.6,111.6,112.8,117.7,123.3,121.2,110.0,118.9,117.1,117.3,118.2,131.8,137.2,140.0,149.7,152.4,152.4,159.2,169.5,161.3,156.9,158.6,156.5,152.9,155.1,161.6,181.8,203.384
PCU213115213115               ,PCU213115213115               ,"PPI industry data for Support activities for nonmetallic minerals (except fuels) mining, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,102.2,108.0,103.0,102.9,102.7,98.5,98.1,98.0,96.1,100.0,103.4,104.7,104.7,106.5,107.2,109.3,110.5,114.6,119.6,127.5,137.2,140.2,146.0,148.7,148.7,151.3,148.6,146.1,146.0,147.3,145.6,146.0,146.0,146.0,146.0,146.044
PCU2131152131150              ,PCU2131152131150              ,"PPI industry data for Support activities for nonmetallic minerals (except fuels) mining-Nonmetallic minerals (except fuels) mining support activity, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,102.6,108.1,102.4,102.6,103.1,98.4,97.1,97.0,95.7,99.4,103.3,104.4,104.3,106.3,107.1,109.1,110.3,114.4,118.8,123.8,132.4,134.9,140.5,143.1,143.2,145.6,143.1,140.6,140.6,141.8,140.2,140.6,140.6,140.6,140.6,140.563
PCU213115213115P              ,PCU213115213115P              ,"PPI industry data for Support activities for nonmetallic minerals (except fuels) mining-Primary services, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2022-M02,102.6,108.1,102.4,102.6,103.1,98.4,97.1,97.0,95.7,99.4,103.3,104.4,104.3,106.3,107.1,109.1,110.3,114.4,118.8,123.8,132.4,134.9,140.5,143.1,143.2,145.6,143.1,140.6,140.6,141.8,140.2,140.6,140.6,140.6,140.6,140.563
