index,Index,Label,unit,start,last,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU321114321114               ,PCU321114321114               ,"PPI industry data for Wood preservation, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,97.5,98.2,101.0,108.5,110.9,113.7,120.5,133.2,142.1,146.2,153.3,162.9,161.2,165.9,156.2,152.7,151.6,154.0,167.7,175.7,169.4,163.8,165.6,162.0,171.8,165.6,179.0,195.8,205.2,203.1,203.7,204.1,217.4,215.1,236.5
PCU3211143211141              ,PCU3211143211141              ,"PPI industry data for Wood preservation-Wood poles, piles, and posts owned and treated by the same establishment, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,98.9,96.2,99.6,111.2,115.1,118.4,121.9,132.0,138.8,155.3,160.1,165.9,171.3,170.8,175.7,177.3,177.3,176.0,176.7,187.9,203.7,202.5,215.3,221.6,223.3,228.0,240.1,241.4,258.1,259.3,257.8,256.0,261.3,271.5,285.6
PCU3211143211145              ,PCU3211143211145              ,"PPI industry data for Wood preservation-Other wood products owned and treated by the same establishment, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,95.6,98.4,102.1,107.3,109.5,111.9,122.2,138.9,151.7,145.7,151.5,161.7,157.3,164.4,148.3,143.4,140.6,143.2,160.4,168.7,156.9,150.0,149.6,141.6,154.2,144.6,160.8,181.3,187.3,183.6,181.0,180.1,195.6,190.6,218.7
PCU3211143211149              ,PCU3211143211149              ,"PPI industry data for Wood preservation-Receipts for treating wood owned by others w/ arsenical chemicals, creosote, & other chemicals, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.5,158.8,170.3,188.4,190.0,186.6,185.1,200.5,207.5,207.7,213.7,214.8,216.6,214.4,202.6
PCU321114321114P              ,PCU321114321114P              ,"PPI industry data for Wood preservation-Primary products, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,97.2,98.0,101.3,108.4,111.3,114.3,121.1,134.3,143.8,147.3,154.0,163.2,161.2,166.1,155.8,152.8,151.3,153.4,168.4,177.5,169.8,163.7,166.4,162.4,172.6,165.9,180.7,197.8,206.0,203.4,201.6,200.6,213.1,211.4,232.8
PCU321114321114S              ,PCU321114321114S              ,"PPI industry data for Wood preservation-Secondary products, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2010-M07,,,,,,,,,,,,,,,,,,,,100.8,101.7,104.7,141.7,147.2,148.9,170.5,185.1,177.9,176.2,176.8,180.5,186.7,188.8,186.5,182.4,184.1,192.0,,,172.8,172.3,,159.5,,,,,,,,,,,
PCU321114321114SS             ,PCU321114321114SS             ,"PPI industry data for Wood preservation-Secondary products, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,1990-M06,,,,,,,,,,,,,,,,,,,,100.8,101.7,104.7,141.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU3212--3212--               ,PCU3212--3212--               ,"PPI industry group data for Plywood and engineered wood product mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,105.2,99.6,94.6,95.8,90.6,96.2,94.4,102.9,113.1,111.9,110.9,113.0,121.7,133.4,122.6,144.5
PCU32121-32121-               ,PCU32121-32121-               ,"PPI industry data for Plywood and engineered wood product mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,105.2,99.6,94.6,95.8,90.6,96.2,94.4,102.9,113.1,111.9,110.9,113.0,121.7,133.4,122.6,144.5
PCU321211321211               ,PCU321211321211               ,"PPI industry data for Hardwood veneer and plywood manufacturing, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,100.4,102.5,103.7,109.1,113.1,112.1,116.0,125.1,133.5,137.3,137.8,139.8,139.6,140.1,142.7,142.5,142.3,138.6,143.6,146.2,149.8,151.1,153.0,151.5,152.3,150.0,152.5,155.2,155.3,155.4,161.6,164.8,175.5,176.1,178.0
PCU3212113212111              ,PCU3212113212111              ,"PPI industry data for Hardwood veneer and plywood manufacturing-Hardwood veneer, including veneer backed with paper, cloth, or other flexible material, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.3,103.1,103.8,102.8,103.5,101.8,102.6,102.3,103.1,101.2,101.4,102.1,101.6,102.4,110.6,108.7,111.2
PCU3212113212114              ,PCU3212113212114              ,"PPI industry data for Hardwood veneer and plywood manufacturing-Hardwood plywood, not seasonally adjusted",Index base: 2012.12 = 100,2012-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.6,102.5,101.5,110.9,114.2,123.2,124.3,124.7
PCU32121132121143             ,PCU32121132121143             ,"PPI industry data for Hardwood veneer and plywood manufacturing-Hardwood plywood, excluding prefinished hardwood plywood made from purchased hardwood plywood, not seasonally adjusted",Index base: 1985.06 = 100,1967-M01,2012-M13,,,,,,64.3,69.6,80.3,73.7,75.6,78.8,86.5,104.3,108.9,110.9,111.7,110.9,111.3,100.4,100.6,102.0,105.7,110.0,115.1,114.5,116.9,128.3,134.0,133.1,137.6,141.3,140.5,143.0,144.3,143.5,142.6,139.2,147.0,151.5,157.0,159.9,162.9,161.7,162.9,164.8,168.8,,,,,,,,
PCU3212113212117              ,PCU3212113212117              ,"PPI industry data for Hardwood veneer and plywood manufacturing-Hardwood veneered panels, including two-ply veneers, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,100.1,101.8,103.0,103.7,104.6,105.6,120.4,125.7,133.8,139.7,140.1,141.3,141.8,142.9,145.3,147.6,152.0,152.4,154.6,159.1,162.4,162.4,163.9,164.7,,,,164.1,170.8,174.6,172.8,176.8,180.9,186.1,187.9
PCU321211321211M              ,PCU321211321211M              ,"PPI industry data for Hardwood veneer and plywood manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2015-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4,113.6,,,,,,,87.3,,,,,,
PCU321211321211MM             ,PCU321211321211MM             ,"PPI industry data for Hardwood veneer and plywood manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,1993-M13,,,,,,,,,,,,,,,,,,,,,,,,,,101.2,111.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU321211321211P              ,PCU321211321211P              ,"PPI industry data for Hardwood veneer and plywood manufacturing-Primary products, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2021-M11,,,,,,,,,,,,,,,,,,,,100.2,102.9,105.2,111.2,115.3,114.3,118.8,127.7,135.8,137.4,139.6,142.7,142.4,142.8,145.2,145.9,145.9,141.9,147.4,149.7,152.7,154.2,156.1,154.7,155.7,154.5,157.2,160.2,160.5,160.7,167.5,171.0,183.1,183.7,185.7
PCU321211321211S              ,PCU321211321211S              ,"PPI industry data for Hardwood veneer and plywood manufacturing-Secondary products, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2010-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9,,,,120.7,120.4,121.7,125.0,121.0,119.6,118.4,120.1,125.1,125.3,122.7,119.9,115.8,,,,,,,,,,,
PCU321212321212               ,PCU321212321212               ,"PPI industry data for Softwood veneer and plywood manufacturing, not seasonally adjusted",Index base: 1980.12 = 100,1975-M12,2021-M11,,,,,,,,,,72.5,85.2,94.8,96.3,91.4,90.9,85.5,94.3,91.6,90.0,91.5,93.8,93.0,104.8,102.5,103.5,124.2,145.4,152.9,158.0,139.5,142.4,142.5,164.7,140.4,135.8,131.8,154.4,189.0,172.7,151.1,154.9,150.8,135.6,153.1,145.7,170.0,186.3,193.9,187.1,170.9,186.2,218.9,181.9,208.2
PCU3212123212121              ,PCU3212123212121              ,"PPI industry data for Softwood veneer and plywood manufacturing-Softwood veneer, incl. veneer backed w/ paper, cloth, or other flexible material, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M11,,,,,,,,,,,,,,,88.1,74.1,76.4,76.6,74.2,78.5,80.3,86.9,105.3,105.5,102.6,124.7,160.1,154.0,150.8,140.3,149.5,133.5,146.3,135.0,130.0,128.1,136.4,155.2,152.8,153.1,148.2,137.9,123.4,137.1,143.5,153.8,165.8,167.5,158.6,151.9,170.6,197.2,162.8,177.1
PCU3212123212124              ,PCU3212123212124              ,"PPI industry data for Softwood veneer and plywood manufacturing-Softwood plywood products: rough, sanded, and specialties, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9,126.9,132.3,126.7,114.5,124.6,146.4,118.1,148.7
PCU321212321212P              ,PCU321212321212P              ,"PPI industry data for Softwood veneer and plywood manufacturing-Primary products, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M11,,,,,,,,,,,,,,,88.6,80.9,89.0,87.2,86.6,88.7,89.1,89.1,102.0,98.7,99.1,121.5,141.8,147.2,154.9,140.2,143.5,142.3,167.5,140.8,136.7,132.7,158.9,197.8,179.0,155.4,161.4,157.6,140.5,160.2,151.3,178.6,193.7,200.6,191.7,175.2,191.9,224.6,182.2,221.8
PCU321212321212S              ,PCU321212321212S              ,"PPI industry data for Softwood veneer and plywood manufacturing-Secondary products, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M11,,,,,,,,,,,,,,,102.4,106.0,115.6,109.2,102.0,101.0,117.0,116.0,122.1,120.3,122.0,134.1,165.2,177.9,163.8,126.4,125.1,134.4,139.3,129.1,119.3,112.4,115.4,132.1,128.1,112.8,101.6,93.7,88.2,94.1,96.9,,,,201.5,,188.7,223.0,205.1,175.9
PCU321212321212SS             ,PCU321212321212SS             ,"PPI industry data for Softwood veneer and plywood manufacturing-Secondary products, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2003-M13,,,,,,,,,,,,,,,102.4,106.0,115.6,109.2,102.0,101.0,117.0,116.0,122.1,120.3,122.0,134.1,165.2,177.9,163.8,126.4,125.1,134.4,139.3,129.1,119.3,112.4,115.4,,,,,,,,,,,,,,,,,
PCU321213321213               ,PCU321213321213               ,"PPI industry data for Engineered wood member manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1,121.0,118.1,108.8,106.5,101.0,104.3,106.7,108.2,115.2,119.5,120.6,121.5,125.9,136.8,134.6,133.0
PCU3212133212130              ,PCU3212133212130              ,"PPI industry data for Engineered wood member manufacturing-Engineered wood members (excluding trusses), not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,90.2,85.3,88.1,90.2,91.6,97.6,101.3,102.2,102.9,106.4,115.1,113.0,111.5
PCU32121332121301             ,PCU32121332121301             ,"PPI industry data for Engineered wood member manufacturing-Laminated veneer lumber, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8,124.9,126.3,,,,,115.0,117.1,123.4,122.4,124.5,127.6,129.0,138.3,132.7,127.9
PCU32121332121302             ,PCU32121332121302             ,"PPI industry data for Engineered wood member manufacturing-Other engineered structural wood members, excluding trusses & laminated veneer lumber, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,121.0,119.7,110.9,107.0,101.7,103.8,104.4,105.8,113.5,120.7,121.3,120.9,126.4,137.7,138.1,139.2
PCU321213321213P              ,PCU321213321213P              ,"PPI industry data for Engineered wood member manufacturing-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2,121.9,121.3,110.9,106.9,101.1,104.5,106.9,108.5,115.7,120.1,121.2,121.9,126.1,136.5,133.9,132.2
PCU321213321213S              ,PCU321213321213S              ,"PPI industry data for Engineered wood member manufacturing-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2009-M07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,98.7,104.8,118.5,164.6,,,,,,,,,,,,
PCU321214321214               ,PCU321214321214               ,"PPI industry data for Truss manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5,119.6,119.1,111.2,111.9,105.2,108.2,107.8,114.1,131.7,135.4,135.9,139.0,151.2,179.7,178.1,210.2
PCU3212143212140              ,PCU3212143212140              ,"PPI industry data for Truss manufacturing-Wood trusses, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3,116.9,116.6,107.5,107.3,103.2,105.2,104.3,111.1,129.7,133.6,133.8,137.5,150.7,182.0,180.1,216.1
PCU321214321214M              ,PCU321214321214M              ,"PPI industry data for Truss manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2020-M05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.8,132.0,147.2,158.5,162.8,175.8,178.5,,,186.1,205.5,212.4,
PCU321214321214P              ,PCU321214321214P              ,"PPI industry data for Truss manufacturing-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3,116.9,116.6,107.5,107.3,103.2,105.2,104.3,111.1,129.7,133.6,133.8,137.5,150.7,182.0,180.1,216.1
PCU321214321214S              ,PCU321214321214S              ,"PPI industry data for Truss manufacturing-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2017-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3,112.5,104.4,100.5,100.9,96.4,99.3,93.1,94.0,100.2,101.9,105.7,104.8,,,,
PCU321219321219               ,PCU321219321219               ,"PPI industry data for Reconstituted wood product manufacturing, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,104.3,115.8,125.2,125.9,119.2,112.8,115.9,123.7,121.1,112.5,112.3,139.1,168.2,162.2,152.8,138.4,146.5,140.8,151.8,148.2,168.3,186.2,169.7,167.5,180.2,197.8,199.5,179.1,234.0
PCU3212193212191              ,PCU3212193212191              ,"PPI industry data for Reconstituted wood product manufacturing-Particleboard made from particleboard produced at the same location, not seasonally adjusted",Index base: 1982.12 = 100,1967-M01,2021-M11,64.4,65.3,72.2,46.5,46.1,48.1,59.4,56.7,52.2,56.5,68.4,92.3,78.8,92.1,98.7,99.7,106.1,116.3,110.0,111.8,120.3,124.6,127.8,117.1,117.0,120.7,138.6,156.2,155.3,148.9,141.2,137.2,141.5,146.5,136.6,132.7,134.9,172.1,166.3,194.8,192.1,205.0,190.2,187.1,193.1,206.4,218.6,230.9,230.8,231.1,234.2,237.6,254.5,260.0
PCU3212193212192              ,PCU3212193212192              ,"PPI industry data for Reconstituted wood product manufacturing-Waferboard and oriented strandboard (OSB), not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2019-M01,,,,,,,,,,,,,,,,,,,,,,,,,,123.7,141.6,150.9,149.7,129.4,110.1,131.0,154.7,134.1,114.4,119.7,225.3,293.4,265.4,190.3,127.2,134.3,125.2,151.5,133.2,176.7,211.2,159.3,149.5,181.0,221.7,224.2,,
PCU3212193212193              ,PCU3212193212193              ,"PPI industry data for Reconstituted wood product manufacturing-Medium density fiberboard (MDF) made from MDF produced at the same location, not seasonally adjusted",Index base: 1984.06 = 100,1984-M06,2021-M11,,,,,,,,,,,,,,,,,,,,90.5,89.9,88.9,90.3,92.3,93.2,95.2,101.7,120.1,122.8,108.5,103.8,97.3,97.7,100.4,102.2,102.9,103.0,119.8,125.6,132.2,137.4,156.0,149.7,157.8,160.5,165.6,175.1,184.1,184.0,183.9,188.1,188.9,,187.7
PCU321219321219A              ,PCU321219321219A              ,"PPI industry data for Reconstituted wood product manufacturing-Cellulosic fiberboard (insulating board), not seasonally adjusted",Index base: 1985.12 = 100,1985-M12,2003-M13,,,,,,,,,,,,,,,,,,,,100.3,99.7,102.2,106.5,107.0,107.3,108.2,116.1,126.0,128.7,128.3,126.6,124.2,130.5,135.4,146.6,147.6,155.3,,,,,,,,,,,,,,,,,
PCU321219321219B              ,PCU321219321219B              ,"PPI industry data for Reconstituted wood product manufacturing-Hardboard products, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.4
PCU321219321219C              ,PCU321219321219C              ,"PPI industry data for Reconstituted wood product manufacturing-Prefinished particleboard and medium density fiberboard (MDF) made from purchased materials, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2009-M05,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,115.2,122.3,125.4,124.1,122.1,121.5,125.0,127.6,123.4,120.6,116.7,127.1,132.1,146.8,150.3,155.0,,,,,,,,,,,,
PCU321219321219P              ,PCU321219321219P              ,"PPI industry data for Reconstituted wood product manufacturing-Primary products, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,116.3,126.1,126.8,119.8,113.3,116.4,124.3,121.5,112.7,112.7,140.9,171.1,164.2,154.0,138.2,146.3,139.7,150.8,147.0,168.0,186.5,169.6,167.3,180.4,198.4,200.1,179.3,235.0
PCU321219321219S              ,PCU321219321219S              ,"PPI industry data for Reconstituted wood product manufacturing-Secondary products, not seasonally adjusted",Index base: 1992.01 = 100,1992-M01,2001-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.3,118.0,,,,,,,,,,,,,,,,,,,
PCU3219--3219--               ,PCU3219--3219--               ,"PPI industry group data for Other wood product manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,108.3,111.4,112.4,114.3,113.5,115.2,117.0,120.0,124.8,130.4,132.2,132.7,136.1,143.2,147.1,150.7
PCU32191-32191-               ,PCU32191-32191-               ,"PPI industry data for Millwork, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8,105.4,106.7,107.3,107.5,106.3,108.6,109.8,112.4,117.2,123.3,125.0,126.1,129.8,135.8,137.3,141.4
PCU321911321911               ,PCU321911321911               ,"PPI industry data for Wood window and door manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,103.1,106.6,107.3,107.7,109.2,110.6,112.6,117.9,119.8,124.2,129.2,131.8,135.4,141.9,145.7,149.6
PCU3219113219111              ,PCU3219113219111              ,"PPI industry data for Wood window and door manufacturing-Wood window units, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2021-M11,,,,,,,,,,,,,,,,,,103.4,104.8,108.1,112.0,115.0,120.1,124.3,129.4,135.9,141.4,145.7,149.5,152.0,154.3,157.6,159.2,161.8,166.9,168.4,171.6,171.8,172.5,179.2,180.8,186.6,190.5,196.7,199.8,211.4,218.0,225.3,232.5,238.8,243.8,253.4,267.4,278.1
PCU32191132191111             ,PCU32191132191111             ,"PPI industry data for Wood window and door manufacturing-Double hung wood window units, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,105.9,109.3,111.5,115.9,120.3,124.3
PCU32191132191112             ,PCU32191132191112             ,"PPI industry data for Wood window and door manufacturing-Casement wood window units, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8,107.4,110.3,112.8,117.5,128.5,136.1
PCU32191132191113             ,PCU32191132191113             ,"PPI industry data for Wood window and door manufacturing-All other wood window units, including horizontal sliding, awning and single hung, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7,105.8,107.3,109.5,113.2,115.0,116.2
