index,Index,Label,unit,start,last,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU4842204842206              ,PCU4842204842206              ,"PPI industry data for Specialized freight (except used goods) trucking, local, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M01,,99.9,100.9,102.0,106.2,107.9,109.8,115.8,120.0,120.4,121.7,125.5,131.0,137.5,139.9,156.4,151.4,154.6,160.8,163.4,165.4,165.9,161.4,161.1,162.1,166.6,172.8,172.1,176.35
PCU484220484220601            ,PCU484220484220601            ,"PPI industry data for Specialized freight (except used goods) trucking, local-Local hazardous materials trucking (except waste), not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,101.8,105.6,109.6,112.7,114.9,120.26
PCU484220484220602            ,PCU484220484220602            ,"PPI industry data for Specialized freight (except used goods) trucking, local-Local agricultural products trucking without storage, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,83.0,83.0,84.6,85.5,84.2,87.673
PCU484220484220603            ,PCU484220484220603            ,"PPI industry data for Specialized freight (except used goods) trucking, local-Dump trucking, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,100.8,101.2,103.7,109.0,107.5,108.564
PCU484220484220604            ,PCU484220484220604            ,"PPI industry data for Specialized freight (except used goods) trucking, local-Local specialized trucking without storage, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,97.1,97.3,100.8,104.8,104.1,106.792
PCU484220484220P              ,PCU484220484220P              ,"PPI industry data for Specialized freight (except used goods) trucking, local-Primary services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M01,,99.9,100.9,102.0,106.2,107.9,109.8,115.8,120.0,120.4,121.7,125.5,131.0,137.5,139.9,156.4,151.4,154.6,160.8,163.4,165.4,165.9,161.4,161.1,162.1,166.6,172.8,172.1,176.35
PCU484220484220SM             ,PCU484220484220SM             ,"PPI industry data for Specialized freight (except used goods) trucking, local-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2018-M03,,,,,,,,,,,,100.4,103.6,105.1,106.1,,,121.9,122.8,125.0,127.2,128.2,127.5,130.6,132.8,,,,
PCU48423-48423-               ,PCU48423-48423-               ,"PPI industry data for Specialized freight (except used) trucking, long-distance, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,101.7,107.5,112.8,114.8,123.6,113.2,115.8,121.4,122.9,123.4,123.9,121.6,120.7,122.9,129.2,128.8,125.9,138.66
PCU484230484230               ,PCU484230484230               ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M01,,,,,,,,,,,,101.7,107.5,112.8,114.8,123.6,113.2,115.8,121.4,122.9,123.4,123.9,121.6,120.7,122.9,129.2,128.8,125.9,138.665
PCU4842304842306              ,PCU4842304842306              ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,,,,,,,,,99.4,101.2,103.4,109.3,114.7,116.7,125.8,115.3,117.8,123.3,124.7,124.9,125.4,122.7,119.9,121.2,127.2,126.7,123.5,135.596
PCU484230484230602            ,PCU484230484230602            ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance-Agricultural products trucking, long-distance, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,100.8,105.7,109.9,108.5,113.433
PCU484230484230603            ,PCU484230484230603            ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance-All other specialized trucking, long-distance, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,96.4,101.9,100.9,98.1,108.489
PCU4842304842306031           ,PCU4842304842306031           ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance-Hazardous materials trucking (except waste), long-distance, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,96.7,98.2,99.8,,,
PCU4842304842306032           ,PCU4842304842306032           ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance-Other specialized trucking, long-distance, not seasonally adjusted",Index base: 2013.06 = 100,2013-M06,2019-M05,,,,,,,,,,,,,,,,,,,,,,,,,96.4,101.9,,,
PCU484230484230P              ,PCU484230484230P              ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance-Primary services, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2022-M01,,,,,,,,,,99.4,101.2,103.4,109.3,114.7,116.7,125.8,115.3,117.8,123.3,124.7,124.9,125.4,122.7,119.9,121.2,127.2,126.7,123.5,135.596
PCU484230484230SM             ,PCU484230484230SM             ,"PPI industry data for Specialized freight (except used goods) trucking, long-distance-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,103.7,111.0,117.6,120.0,126.4,,120.7,127.7,129.6,130.7,131.3,129.7,133.2,137.9,146.8,147.9,146.8,
