index,Index,Label,unit,start,last,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU515110515110P              ,PCU515110515110P              ,"PPI industry data for Radio broadcasting-Primary services, not seasonally adjusted",Index base: 1988.06 = 100,1988-M06,2021-M11,104.8,110.5,112.4,114.2,118.5,124.3,131.7,144.3,152.5,154.9,167.0,173.9,175.4,175.2,183.8,193.7,201.2,199.9,196.0,194.3,184.5,186.4,183.8,178.5,180.3,177.0,167.4,176.0,176.4,182.0,189.1,175.0
PCU515110515110SM             ,PCU515110515110SM             ,"PPI industry data for Radio broadcasting-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,99.1,101.7,102.2,105.3,105.5,105.5,105.5,,106.2,104.0,103.5,105.5,110.4,107.5,116.8,114.9,130.7
PCU51512-51512-               ,PCU51512-51512-               ,"PPI industry data for Television broadcasting, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,100.5,97.3,96.3,97.3,98.0,85.8,90.6,90.3,97.4,95.0,96.5,94.2,99.6,96.9,99.4,96.7,94.1
PCU515120515120               ,PCU515120515120               ,"PPI industry data for Television broadcasting, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,,96.7,98.9,101.4,98.2,97.2,98.1,99.0,87.8,91.8,91.6,98.2,95.9,97.8,95.6,101.2,97.8,100.3,97.5,94.9
PCU5151205151203              ,PCU5151205151203              ,"PPI industry data for Television broadcasting-Television advertising sales, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,87.8,92.9,92.6,100.5,97.0,96.0,93.1,99.5,95.6,96.8,93.4,90.6
PCU5151205151204              ,PCU5151205151204              ,"PPI industry data for Television broadcasting-Other television broadcasting services, not seasonally adjusted",Index base: 2008.06 = 100,2008-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,97.8,96.6,95.5,93.4,98.1,103.2,104.7,107.3,112.4,126.3,123.8,123.5
PCU515120515120P              ,PCU515120515120P              ,"PPI industry data for Television broadcasting-Primary services, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,,96.8,99.1,100.5,95.5,91.6,91.0,91.6,80.2,84.5,84.2,90.8,88.2,87.6,85.3,90.8,88.4,91.2,88.2,86.0
PCU515120515120SM             ,PCU515120515120SM             ,"PPI industry data for Television broadcasting-Other receipts, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,,,,81.9,83.0,83.3,83.3,83.3,,,83.1,82.5,82.2,83.1,83.9,94.4,94.2,,96.4,97.0,98.3,95.5
PCU5152--5152--               ,PCU5152--5152--               ,"PPI industry group data for Cable and other subscription programming, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,101.4,104.3,106.7,103.6,111.9,115.2,120.5,125.5,130.0,132.0,134.2,138.9,139.0,144.1,144.9,148.1,153.5
PCU51521-51521-               ,PCU51521-51521-               ,"PPI industry data for Cable and other subscription programming, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,101.4,104.3,106.7,103.6,111.9,115.2,120.9,126.1,131.4,133.6,136.2,141.3,141.4,146.6,147.4,150.6,156.2
PCU515210515210               ,PCU515210515210               ,"PPI industry data for Cable and other subscription programming, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,101.4,104.3,106.7,103.6,111.9,115.2,120.5,125.5,130.1,132.0,134.3,138.9,139.1,144.2,145.0,148.1,153.6
PCU5152105152101              ,PCU5152105152101              ,"PPI industry data for Cable and other subscription programming-Cable network advertising services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2021-M11,,,,,,96.3,100.1,108.2,122.5,127.0,130.4,148.3,158.2,153.6,167.4,176.7,177.3,176.2,162.1,186.8,192.2,206.1,217.9,232.6,231.8,236.3,239.0,233.9,239.0,226.2,222.6,233.0
PCU5152105152102              ,PCU5152105152102              ,"PPI industry data for Cable and other subscription programming-Cable network programming services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2021-M11,,,,,,103.6,105.7,109.1,112.4,115.5,117.1,116.7,121.9,128.2,136.3,139.5,145.8,151.7,154.5,159.0,164.5,169.5,175.1,179.7,188.6,193.3,208.2,213.7,225.1,235.2,245.1,252.9
PCU515210515210P              ,PCU515210515210P              ,"PPI industry data for Cable and other subscription programming-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,101.4,104.3,106.7,103.5,112.5,116.1,122.0,127.5,133.7,136.4,139.5,145.1,145.3,150.6,151.5,154.7,160.5
