index,Index,Label,unit,start,last,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU5173115173112222           ,PCU5173115173112222           ,"PPI industry data for Wired telecommunications carriers-Inbound business special access switched toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,192.5,183.3,179.1,155.4,134.5,123.8,108.5,102.3,98.7,90.6,84.7,84.5,93.1,82.8,68.9,70.3,,,,,,,,,,
PCU51731151731122223          ,PCU51731151731122223          ,"PPI industry data for Wired telecommunications carriers-International business special access switched toll service, inbound, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,186.1,185.4,184.5,180.0,172.3,164.1,144.1,114.1,91.3,67.0,58.7,58.5,52.5,47.9,45.2,41.1,,,,,,,,,,
PCU517311517311223            ,PCU517311517311223            ,"PPI industry data for Wired telecommunications carriers-Other toll service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2011-M13,,,122.8,123.0,124.7,123.6,122.7,124.0,121.2,106.7,92.8,81.8,74.9,70.0,67.0,65.0,64.2,64.0,,,,,,,,,,
PCU5173115173113              ,PCU5173115173113              ,"PPI industry data for Wired telecommunications carriers-Private line telephone service, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,99.0,99.1,99.1,99.1,99.2,99.2,99.7,100.0,100.0,100.4,101.7,102.2,102.3,102.3,102.3,102.3,102.1,101.3,100.7,101.4,100.9,99.6,99.1,99.1,99.1,94.669
PCU5173115173114              ,PCU5173115173114              ,"PPI industry data for Wired telecommunications carriers-All-distance telephone service, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,101.8,107.3,111.0,115.1,119.1,123.5,128.9,132.0,132.1,137.13
PCU5173115173115              ,PCU5173115173115              ,"PPI industry data for Wired telecommunications carriers-Video programming distribution, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,102.2,106.6,109.9,114.2,117.5,120.0,122.1,125.5,127.2,128.1,129.4,131.1,136.9,141.4,149.3,154.9,156.9,161.883
PCU517311517311501            ,PCU517311517311501            ,"PPI industry data for Wired telecommunications carriers-Video programming subscriber services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M02,96.4,97.7,102.2,106.6,110.8,114.4,117.8,121.3,126.7,131.5,136.5,142.4,147.0,153.1,158.0,161.7,164.5,169.3,172.2,174.2,176.4,178.8,187.6,194.1,206.1,214.6,218.9,228.553
PCU517311517311502            ,PCU517311517311502            ,"PPI industry data for Wired telecommunications carriers-Advertising services, not seasonally adjusted",Index base: 1993.06 = 100,1993-M06,2022-M02,108.4,110.8,112.3,113.6,115.9,122.9,126.2,128.3,133.7,146.7,156.5,159.9,159.9,160.7,157.2,157.8,157.9,159.4,156.6,152.3,151.1,151.1,151.1,153.4,153.9,153.9,144.0,127.857
PCU5173115173116              ,PCU5173115173116              ,"PPI industry data for Wired telecommunications carriers-Internet access services, not seasonally adjusted",Index base: 2004.06 = 100,2004-M06,2022-M02,,,,,,,,,,,,95.4,84.5,65.5,66.9,66.6,65.3,64.5,64.6,64.5,64.7,64.8,64.6,63.4,61.9,61.7,61.1,60.681
PCU517311517311601            ,PCU517311517311601            ,"PPI industry data for Wired telecommunications carriers-Residential Internet access services, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,100.6,100.8,100.8,101.5,101.1,97.2,92.3,91.1,89.5,89.566
PCU517311517311602            ,PCU517311517311602            ,"PPI industry data for Wired telecommunications carriers-Business Internet access services, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,99.7,99.3,99.6,99.6,99.2,99.3,99.7,100.2,100.0,98.555
PCU5173115173117              ,PCU5173115173117              ,"PPI industry data for Wired telecommunications carriers-Bundled access services, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,100.1,100.4,100.8,102.7,104.5,102.7,106.0,110.1,114.7,116.294
PCU5173115173119              ,PCU5173115173119              ,"PPI industry data for Wired telecommunications carriers-Other wired telecommunications services, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,98.4,98.7,98.8,98.8,98.8,99.6,99.8,100.0,100.0,100.8,101.1,102.0,102.0,101.1,99.9,99.9,99.9,100.7,101.6,103.1,102.9,102.7,103.5,104.0,104.4,105.104
PCU517311517311P              ,PCU517311517311P              ,"PPI industry data for Wired telecommunications carriers-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,1995-M06,2022-M02,,,118.7,118.4,117.0,114.1,111.6,108.5,103.8,101.7,99.5,98.9,99.8,102.9,104.6,105.1,105.8,107.1,108.2,109.3,110.4,112.3,114.6,115.0,119.2,121.9,124.6,125.785
PCU517312517312               ,PCU517312517312               ,"PPI industry data for Wireless telecommunications carriers, not seasonally adjusted",Index base: 1999.06 = 100,1999-M06,2022-M02,,,,,,,94.1,90.1,91.6,92.3,90.9,79.6,74.5,73.9,69.9,67.5,64.5,62.0,60.5,59.9,58.1,53.0,48.9,45.2,43.5,43.5,43.2,43.186
PCU5173125173121              ,PCU5173125173121              ,"PPI industry data for Wireless telecommunications carriers-Wireless telecommunications services, not seasonally adjusted",Index base: 1999.06 = 100,1999-M06,2022-M02,,,,,,,93.1,89.1,90.6,91.3,89.9,78.7,73.6,73.1,69.1,66.7,63.7,61.3,59.8,59.2,57.4,52.3,48.3,44.7,43.0,43.0,42.7,42.683
PCU517312517312P              ,PCU517312517312P              ,"PPI industry data for Wireless telecommunications carriers-Primary services, not seasonally adjusted",Index base: 1999.06 = 100,1999-M06,2022-M02,,,,,,,93.1,89.1,90.6,91.3,89.9,78.7,73.6,73.1,69.1,66.7,63.7,61.3,59.8,59.2,57.4,52.3,48.3,44.7,43.0,43.0,42.7,42.683
