index,Index,Label,unit,start,last,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU322121322121P              ,PCU322121322121P              ,"PPI industry data for Paper, except newsprint, mills-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.4,108.7,113.9,117.5,126.6,128.4,129.4,133.1,133.3,132.4,132.0,131.8,130.5,128.9,131.8,136.5,134.6,139.027
PCU322121322121Q              ,PCU322121322121Q              ,"PPI industry data for Paper, except newsprint, mills-Sanitary tissue paper products, made in paper mills, not seasonally adjusted",Index base: 1983.06 = 100,1967-M01,2022-M02,,,,,,,28.5,29.5,31.0,32.8,34.0,34.4,35.5,44.7,56.7,62.7,68.9,73.8,81.3,94.3,99.3,100.3,100.8,102.4,105.5,106.2,106.6,112.8,124.3,133.6,137.0,134.0,133.4,134.6,148.6,157.9,154.5,149.8,147.0,152.3,148.8,149.3,149.8,153.6,165.4,176.4,178.9,,202.0,201.1,204.0,207.2,206.5,203.6,201.9,202.5,202.3,198.2,200.5,202.3,205.839
PCU322121322121Q1             ,PCU322121322121Q1             ,"PPI industry data for Paper, except newsprint, mills-Facial tissues and handkerchiefs, including sputum wipes, made in paper mills, not seasonally adjusted",Index base: 1990.06 = 100,1990-M06,2019-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,,97.6,,,,,112.9,116.8,118.3,119.1,119.1,118.8,111.9,111.2,111.0,118.2,118.9,,,
PCU322121322121Q2             ,PCU322121322121Q2             ,"PPI industry data for Paper, except newsprint, mills-Paper table napkins, industrial & retail pkgs, bulk and dispenser types, made in paper mills, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,102.5,105.4,109.3,111.9,115.4,122.8,123.4,122.8,120.2,123.4,127.8,140.7,148.9,141.8,141.3,138.7,146.6,151.1,153.2,152.6,157.8,171.5,182.9,,199.3,217.0,218.7,224.0,222.5,221.9,223.0,223.8,227.2,227.8,230.3,238.4,238.8,249.815
PCU322121322121Q5             ,PCU322121322121Q5             ,"PPI industry data for Paper, except newsprint, mills-Toilet tissue, retail packages, rolls and ovals, not seasonally adjusted",Index base: 1983.06 = 100,1983-M06,2019-M06,,,,,,,,,,,,,,,,,,,,,,,,100.5,100.6,100.8,101.6,107.0,,,,,,,,,,,,,151.9,150.0,152.5,156.4,171.8,184.4,,196.9,216.6,211.8,215.7,222.3,221.5,215.9,215.2,218.6,218.8,221.7,,,
PCU322121322121Q6             ,PCU322121322121Q6             ,"PPI industry data for Paper, except newsprint, mills-Paper towels, industrial packages (rolled, folded, and interfolded), made in paper mills, not seasonally adjusted",Index base: 2006.12 = 100,2006-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9,115.4,116.1,120.1,122.9,122.2,118.9,119.8,122.0,120.6,106.1,,105.9,107.373
PCU322121322121Q7             ,PCU322121322121Q7             ,"PPI industry data for Paper, except newsprint, mills-Paper towels, retail packages (rolled, folded, and interfolded), made in paper mills, not seasonally adjusted",Index base: 2007.06 = 100,2007-M06,2019-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.8,114.2,113.9,113.6,113.5,113.6,108.6,105.6,99.6,97.5,96.8,,,
PCU322121322121Q9             ,PCU322121322121Q9             ,"PPI industry data for Paper, except newsprint, mills-Other sanitary tissue paper products, made in paper mills, not seasonally adjusted",Index base: 2002.12 = 100,2007-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3,107.4,106.0,103.1,104.9,104.8,106.405
PCU322121322121S              ,PCU322121322121S              ,"PPI industry data for Paper, except newsprint, mills-Secondary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2016-M09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9,98.6,112.6,116.8,108.1,106.2,,113.8,,,,,,
PCU322122322122               ,PCU322122322122               ,"PPI industry data for Newsprint mills, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,115.7,123.9,106.8,119.4,103.9,103.2,111.3,112.0,105.8,104.6,92.0,94.3,95.6,109.1,110.2,95.2,103.034
PCU3221223221221              ,PCU3221223221221              ,"PPI industry data for Newsprint mills-Newsprint, not seasonally adjusted",Index base: 1981.06 = 100,1967-M01,2022-M02,,,,,,,33.1,33.5,34.6,35.6,37.2,38.7,40.5,50.1,61.0,65.6,71.4,75.0,82.9,92.6,101.9,104.6,100.3,107.0,110.1,108.0,117.4,133.0,127.7,124.7,126.0,114.5,116.9,,,,,,,132.5,144.1,109.8,116.5,129.0,143.5,157.2,136.3,153.3,130.9,130.1,142.1,144.8,135.2,133.6,115.1,117.9,121.4,144.7,144.9,117.4,127.892
PCU3221223221223              ,PCU3221223221223              ,"PPI industry data for Newsprint mills-Uncoated ground-wood paper (containing more than 10 percent mechanical fiber), not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2016-M06,,,,,,,,,,,,,,,,,,,,,,104.9,101.7,106.9,108.3,108.7,113.0,120.0,124.6,124.1,123.9,118.1,118.4,111.1,126.4,107.2,112.6,109.1,105.0,122.5,119.2,107.8,111.3,,,,,125.5,123.5,114.4,118.1,114.8,108.6,106.6,95.6,,,,,,
PCU322122322122P              ,PCU322122322122P              ,"PPI industry data for Newsprint mills-Primary products, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,116.8,125.4,107.9,120.6,104.8,103.2,112.0,113.3,106.1,104.7,91.0,94.0,95.5,110.4,111.6,95.2,103.518
PCU32213-32213-               ,PCU32213-32213-               ,"PPI industry data for Paperboard mills, not seasonally adjusted",Index base: 1982.12 = 100,1974-M12,2022-M02,,,,,,,,,,,,,,,70.4,72.5,73.1,74.5,83.8,97.3,106.2,104.4,103.0,116.3,112.0,113.0,126.2,141.6,149.9,146.0,140.7,142.6,138.3,152.6,203.1,169.7,158.2,165.1,166.9,192.2,187.3,179.5,180.2,189.9,196.0,212.7,224.1,242.4,230.9,251.9,258.0,255.4,270.4,275.6,269.6,258.1,282.8,300.7,293.1,280.7,326.504
PCU322130322130               ,PCU322130322130               ,"PPI industry data for Paperboard mills, not seasonally adjusted",Index base: 1982.12 = 100,1974-M12,2022-M02,,,,,,,,,,,,,,,70.4,72.5,73.1,74.5,83.8,97.3,106.2,104.4,103.0,116.3,112.0,113.0,126.2,141.6,149.9,146.0,140.7,142.6,138.3,152.6,203.2,169.8,158.2,165.1,167.0,192.4,187.4,179.7,180.4,190.1,196.2,213.0,224.4,242.6,231.1,252.2,258.3,255.6,270.7,275.9,269.9,258.4,283.1,301.1,293.5,281.0,326.865
PCU3221303221301              ,PCU3221303221301              ,"PPI industry data for Paperboard mills-Unbleached kraft packaging and industrial converting paperboard, not seasonally adjusted",Index base: 1982.12 = 100,1975-M12,2022-M02,,,,,,,,,,,,,,,,74.5,72.9,73.3,83.9,98.6,107.5,105.5,104.5,121.2,116.3,115.6,133.4,157.3,162.0,153.5,143.2,148.8,139.8,152.6,203.0,160.0,139.9,151.1,153.7,179.1,173.1,165.7,163.2,172.5,175.9,195.9,207.0,226.8,214.5,233.6,239.2,235.2,246.5,252.1,248.7,,,,,,
PCU3221303221305              ,PCU3221303221305              ,"PPI industry data for Paperboard mills-Semichemical paperboard, including corrugating medium, not seasonally adjusted",Index base: 1982.12 = 100,1975-M12,2014-M13,,,,,,,,,,,,,,,,80.7,78.8,79.6,90.6,103.7,113.5,109.0,,,,,,,,,,,,,,,,,,186.7,175.0,164.3,163.7,175.2,186.3,218.8,233.1,255.9,232.9,257.9,261.2,257.1,289.3,294.0,,,,,,,
PCU3221303221307              ,PCU3221303221307              ,"PPI industry data for Paperboard mills-Recycled paperboard, not seasonally adjusted",Index base: 1982.12 = 100,1975-M12,2022-M02,,,,,,,,,,,,,,,,70.6,72.4,75.1,82.5,95.0,103.5,103.0,101.7,109.2,108.5,107.7,114.3,124.1,129.0,128.6,129.0,131.9,132.2,143.9,187.5,171.6,170.9,174.6,173.7,202.6,199.0,190.0,187.9,198.5,202.9,221.3,235.1,254.1,246.2,272.6,287.0,289.7,309.6,315.1,310.5,293.6,322.8,331.3,323.6,316.4,363.567
PCU322130322130P              ,PCU322130322130P              ,"PPI industry data for Paperboard mills-Primary products, not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,102.9,115.2,112.2,111.3,123.1,138.9,146.2,141.7,136.0,140.2,135.8,146.7,191.7,160.6,148.7,156.4,158.1,184.0,178.9,171.0,169.3,177.7,183.2,200.0,211.0,229.6,219.6,239.9,246.2,243.3,258.5,263.6,257.6,246.7,270.8,287.3,280.5,269.0,311.609
PCU322130322130S              ,PCU322130322130S              ,"PPI industry data for Paperboard mills-Secondary products, not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,103.2,122.0,111.1,121.7,141.9,155.1,,,,,,193.6,292.8,233.1,228.9,222.7,226.1,240.2,238.1,233.9,262.5,285.7,297.7,309.0,,,,,,,,,332.1,317.2,334.9,372.3,354.1,,
PCU322130322130SS             ,PCU322130322130SS             ,"PPI industry data for Paperboard mills-Secondary products, not seasonally adjusted",Index base: 1982.12 = 100,1982-M12,2003-M13,,,,,,,,,,,,,,,,,,,,,,,103.2,122.0,111.1,121.7,141.9,155.1,,,,,,193.6,292.8,233.1,228.9,222.7,226.1,240.2,238.1,233.9,262.5,,,,,,,,,,,,,,,,,,
PCU3222--3222--               ,PCU3222--3222--               ,"PPI industry group data for Converted paper product mfg, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,105.5,110.5,113.9,119.4,121.8,125.4,129.9,130.9,135.0,137.5,137.7,137.7,141.6,145.7,148.4,148.0,158.975
PCU32221-32221-               ,PCU32221-32221-               ,"PPI industry data for Paper container mfg, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,98.4,97.3,104.3,111.7,117.2,117.7,116.6,118.5,118.0,123.7,148.5,140.4,132.9,141.1,144.1,157.1,158.9,157.0,157.3,161.5,167.1,177.1,182.9,192.3,195.0,202.8,210.2,211.4,223.4,228.3,229.3,230.1,242.5,249.0,253.1,251.1,274.816
PCU322211322211               ,PCU322211322211               ,"PPI industry data for Corrugated and solid fiber box manufacturing, not seasonally adjusted",Index base: 1980.03 = 100,1980-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,108.0,108.5,106.5,115.4,119.7,117.2,129.1,140.2,143.6,139.6,134.5,137.3,135.8,146.2,186.5,168.7,154.9,168.8,175.5,196.8,198.0,193.2,192.9,200.1,208.1,224.2,232.0,245.9,249.3,262.6,273.5,273.4,293.3,301.5,303.8,303.9,328.0,342.8,346.2,339.0,381.434
PCU3222113222110              ,PCU3222113222110              ,"PPI industry data for Corrugated and solid fiber box manufacturing-Corrugated and solid fiber boxes, including pallets, not seasonally adjusted",Index base: 1980.03 = 100,1980-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,108.3,108.8,106.8,115.8,119.9,117.1,129.3,140.7,144.3,140.1,134.8,137.6,135.8,146.6,188.0,169.4,155.2,169.8,177.0,199.2,200.5,195.2,194.7,201.8,209.9,226.7,234.1,249.0,252.4,265.7,276.5,277.0,296.8,305.5,308.3,308.1,332.5,347.2,350.4,342.8,382.112
PCU32221132221101             ,PCU32221132221101             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Corrugated shipping containers for food and beverages and carryout boxes for retail food, not seasonally adjusted",Index base: 1980.03 = 100,1961-M01,2022-M02,41.0,42.5,42.4,41.3,41.2,42.4,43.8,44.7,46.0,47.4,49.1,52.0,57.8,66.9,72.6,75.9,76.1,79.0,90.0,101.1,107.2,106.9,106.8,117.0,120.4,117.3,131.2,144.3,147.5,139.8,132.7,135.0,132.5,141.8,180.7,161.3,143.0,157.3,164.8,186.3,189.1,184.8,182.4,188.0,194.0,206.3,213.0,225.7,229.6,238.5,244.1,242.5,256.8,265.7,274.3,272.3,291.1,303.7,305.9,296.5,318.372
PCU32221132221102             ,PCU32221132221102             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Corrugated shipping containers for paper and allied products, not seasonally adjusted",Index base: 1980.03 = 100,1980-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,106.9,106.6,102.9,112.8,120.7,116.2,125.7,136.6,141.6,139.8,137.7,139.6,137.4,147.3,188.0,170.9,159.0,170.3,178.4,200.0,201.7,197.9,200.3,207.9,216.2,231.6,250.4,263.1,264.2,276.3,287.7,289.4,316.1,327.0,322.0,324.8,346.0,357.3,361.9,359.1,399.856
PCU32221132221103             ,PCU32221132221103             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Corrugated shipping containers for metal and electrical machinery, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,101.4,105.1,112.2,115.8,126.3,133.4,147.5,152.6,153.2,163.7,168.1,170.5,170.8,186.0,195.7,200.2,199.4,225.736
PCU32221132221104             ,PCU32221132221104             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Corrugated shipping containers for all other end uses, not seasonally adjusted",Index base: 1980.03 = 100,1980-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,108.8,109.2,106.6,114.3,118.3,114.8,126.6,136.0,138.5,135.8,130.9,134.2,133.1,144.4,186.5,167.2,153.3,172.0,179.7,203.8,205.8,200.0,200.0,210.5,221.3,239.3,241.9,258.9,261.3,274.1,281.8,283.0,301.0,308.3,308.2,307.4,325.7,340.5,340.2,331.3,373.976
PCU32221132221105             ,PCU32221132221105             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Corrugated paperboard in sheets and rolls, lined and unlined, not seasonally adjusted",Index base: 1980.03 = 100,1980-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,110.4,110.3,107.2,118.8,120.3,115.4,130.1,144.1,148.2,142.1,136.6,140.7,136.5,154.1,201.9,166.6,152.4,165.5,175.2,198.3,191.2,180.0,178.3,182.4,187.5,209.9,216.7,223.3,208.7,214.0,221.6,223.7,251.3,258.3,257.0,255.6,294.8,312.7,312.7,296.9,340.609
PCU32221132221109             ,PCU32221132221109             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Other corrugated and solid fiber products, including containers, pallets, pads, etc., not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.4,105.7,110.1,120.8,127.5,136.7,142.3,151.5,161.9,162.4,168.4,172.2,175.5,174.9,188.8,197.6,201.3,200.6,223.531
PCU322211322211M              ,PCU322211322211M              ,"PPI industry data for Corrugated and solid fiber box manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2002.06 = 100,2002-M06,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.2,114.8,120.1,122.6,132.8,134.7,,,154.6,145.6,163.3,164.6,161.1,164.1,182.6,196.7,201.3,199.0,258.722
PCU322211322211MM             ,PCU322211322211MM             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 1987.06 = 100,1987-M06,1992-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU322211322211P              ,PCU322211322211P              ,"PPI industry data for Corrugated and solid fiber box manufacturing-Primary products, not seasonally adjusted",Index base: 1980.03 = 100,1980-M03,2022-M02,,,,,,,,,,,,,,,,,,,,,108.3,108.8,106.8,115.8,119.9,117.1,129.3,140.7,144.3,140.1,134.8,137.6,135.8,146.6,188.0,169.4,155.2,169.8,177.0,199.2,200.5,195.2,194.7,201.8,209.9,226.7,234.1,249.0,252.4,265.7,276.5,277.0,296.8,305.5,308.3,308.1,332.5,347.2,350.4,342.8,382.112
PCU322211322211S              ,PCU322211322211S              ,"PPI industry data for Corrugated and solid fiber box manufacturing-Secondary products, not seasonally adjusted",Index base: 1990.12 = 100,1990-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5,103.3,113.9,118.5,129.8,127.7,122.9,119.5,117.1,117.5,116.3,118.7,120.6,118.1,117.5,126.2,127.5,127.5,,,141.9,145.2,148.9,150.7,150.8,151.5,,,152.6,153.1,176.923
PCU322211322211SS             ,PCU322211322211SS             ,"PPI industry data for Corrugated and solid fiber box manufacturing-Secondary products, not seasonally adjusted",Index base: 1984.09 = 100,1984-M09,1987-M06,,,,,,,,,,,,,,,,,,,,,,,,,107.9,110.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU322212322212               ,PCU322212322212               ,"PPI industry data for Folding paperboard box manufacturing, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,102.8,105.1,105.9,109.6,115.1,124.7,129.1,131.7,133.1,133.2,133.3,141.4,143.4,142.2,143.6,142.3,145.4,146.9,146.6,146.3,145.4,146.7,145.9,148.7,151.7,154.5,155.3,159.7,162.7,161.5,164.0,163.3,165.0,163.9,161.5,168.3,172.1,177.993
PCU3222123222120              ,PCU3222123222120              ,"PPI industry data for Folding paperboard box manufacturing-Folding paperboard boxes, packaging, and packaging components, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,102.7,104.7,105.3,109.1,114.5,123.8,128.5,131.0,132.3,132.6,132.6,140.8,142.2,141.0,142.6,141.4,144.5,146.1,145.8,145.7,145.9,147.4,146.2,148.7,151.4,154.0,154.8,159.2,162.5,160.8,163.1,163.2,165.1,163.5,160.5,166.4,169.2,175.519
PCU322212322212P              ,PCU322212322212P              ,"PPI industry data for Folding paperboard box manufacturing-Primary products, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,102.7,104.7,105.3,109.1,114.5,123.8,128.5,131.0,132.3,132.6,132.6,140.8,142.2,141.0,142.6,141.4,144.5,146.1,145.8,145.7,145.9,147.4,146.2,148.7,151.4,154.0,154.8,159.2,162.5,160.8,163.1,163.2,165.1,163.5,160.5,166.4,169.2,175.519
PCU322212322212S              ,PCU322212322212S              ,"PPI industry data for Folding paperboard box manufacturing-Secondary products, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2016-M03,,,,,,,,,,,,,,,,,,,,,,,,103.1,107.3,109.7,112.3,118.5,128.3,129.5,131.7,133.2,134.8,135.1,141.0,152.3,150.8,148.1,147.2,148.6,149.3,148.9,146.0,129.7,128.6,131.8,135.1,144.3,153.7,156.5,160.2,161.1,164.1,168.3,160.8,,,,,,
PCU322212322212SS             ,PCU322212322212SS             ,"PPI industry data for Folding paperboard box manufacturing-Secondary products, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,1988-M13,,,,,,,,,,,,,,,,,,,,,,,,103.1,107.3,109.7,112.3,118.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCU322219322219               ,PCU322219322219               ,"PPI industry data for Other paperboard container manufacturing, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,110.2,110.2,110.5,111.5,112.5,111.1,112.5,113.6,117.855
PCU3222193222191              ,PCU3222193222191              ,"PPI industry data for Other paperboard container manufacturing-Setup (rigid) paperboard boxes, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,101.9,103.6,105.0,107.3,110.2,114.7,118.9,122.3,124.8,127.8,131.7,142.7,147.6,152.6,157.4,159.0,162.2,165.4,166.7,167.5,171.4,175.9,183.8,189.1,194.8,198.4,200.7,205.9,211.0,211.8,213.7,215.2,224.2,226.1,231.0,247.8,258.3,288.862
PCU3222193222194              ,PCU3222193222194              ,"PPI industry data for Other paperboard container manufacturing-Milk and milk-type paperboard cartons, including juice, beverage, and other products, not seasonally adjusted",Index base: 2004.02 = 100,2004-M02,2021-M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2,108.5,,,,,,,,,,,,,,,
PCU3222193222195              ,PCU3222193222195              ,"PPI industry data for Other paperboard container manufacturing-Cups and liquid-tight paper and paperboard containers, not seasonally adjusted",Index base: 1985.06 = 100,1985-M06,2019-M13,,,,,,,,,,,,,,,,,,,,,,,,,,101.9,107.6,115.1,131.7,137.1,140.4,143.1,143.3,148.6,172.9,171.3,165.8,174.3,172.3,182.0,195.5,203.2,209.7,218.7,229.6,246.2,256.2,267.8,266.3,,,,,,,,,,249.6,,
PCU3222193222197              ,PCU3222193222197              ,"PPI industry data for Other paperboard container manufacturing-Paperboard fiber drums with ends of any material, not seasonally adjusted",Index base: 1985.12 = 100,1967-M01,2022-M02,,,,,,,28.6,29.6,30.1,32.4,34.3,36.0,38.1,45.9,51.9,55.8,59.1,62.2,71.2,79.2,86.9,94.1,94.5,97.6,99.9,100.4,107.2,118.9,122.8,123.0,124.1,124.0,123.4,127.1,141.8,140.8,140.2,149.4,157.2,170.1,172.7,179.2,183.5,179.1,,208.1,210.1,,,276.2,294.8,309.9,322.5,330.5,334.0,350.3,368.8,390.6,408.1,421.2,476.632
